Date,Open,High,Low,Close,Volume
22-Nov-16,29.50,29.65,29.27,29.64,826617
21-Nov-16,29.10,29.36,28.96,29.34,630775
18-Nov-16,28.74,29.10,28.28,29.01,925144
17-Nov-16,28.77,29.00,28.61,28.64,688423
16-Nov-16,27.94,28.76,27.84,28.63,751389
15-Nov-16,27.95,28.40,27.66,28.04,595489
14-Nov-16,27.60,28.40,27.53,27.97,783409
11-Nov-16,26.78,27.59,26.57,27.47,987308
10-Nov-16,26.50,27.31,26.31,26.75,862816
9-Nov-16,25.22,26.37,25.22,26.30,732114
8-Nov-16,25.92,26.10,25.60,25.71,347373
7-Nov-16,25.78,26.04,25.71,26.01,554844
4-Nov-16,24.98,25.78,24.90,25.26,508036
3-Nov-16,24.81,25.26,24.69,24.84,517926
2-Nov-16,25.15,25.57,24.77,24.81,727077
1-Nov-16,24.82,25.20,24.64,25.17,761257
31-Oct-16,24.48,25.09,24.43,24.71,996742
28-Oct-16,23.28,24.90,22.96,24.33,1617056
27-Oct-16,22.71,22.86,22.37,22.63,650680
26-Oct-16,22.93,23.31,22.77,22.95,489441
25-Oct-16,23.42,23.46,23.00,23.10,415069
24-Oct-16,23.60,23.71,23.43,23.52,313471
21-Oct-16,23.06,23.36,22.94,23.23,262710
20-Oct-16,23.45,23.67,23.16,23.22,381628
19-Oct-16,23.53,23.80,23.37,23.56,577773
18-Oct-16,22.96,23.62,22.92,23.42,648338
17-Oct-16,22.77,23.09,22.66,22.82,368054
14-Oct-16,22.85,22.93,22.69,22.76,438770
13-Oct-16,22.98,23.17,22.60,22.77,822349
12-Oct-16,22.85,22.99,22.60,22.68,718656
11-Oct-16,24.04,24.55,22.60,22.81,1693786
10-Oct-16,25.32,25.80,25.32,25.62,344865
7-Oct-16,25.35,25.38,24.94,25.13,185949
6-Oct-16,25.15,25.27,24.80,25.25,212786
5-Oct-16,25.12,25.51,24.97,25.17,269109
4-Oct-16,24.92,25.65,24.91,24.97,401251
3-Oct-16,25.39,25.49,24.88,24.95,437423
30-Sep-16,24.84,25.68,24.77,25.42,743682
29-Sep-16,24.91,25.18,24.66,24.69,718174
28-Sep-16,25.17,25.32,24.76,24.99,513678
27-Sep-16,24.90,25.36,24.88,25.14,249383
26-Sep-16,25.53,25.53,24.98,24.99,492168
23-Sep-16,25.43,25.90,25.37,25.66,455732
22-Sep-16,25.20,25.65,25.19,25.59,753856
21-Sep-16,25.22,25.31,24.89,25.09,662532
20-Sep-16,25.08,25.39,24.92,25.01,454891
19-Sep-16,25.06,25.47,24.85,25.01,682948
16-Sep-16,24.95,25.08,24.73,24.92,1025404
15-Sep-16,24.60,25.02,24.42,25.01,378788
14-Sep-16,25.06,25.18,24.65,24.71,393768
13-Sep-16,25.00,25.39,24.97,24.99,791664
12-Sep-16,24.40,25.43,24.40,25.25,753470
9-Sep-16,25.20,25.48,24.72,24.73,531389
8-Sep-16,24.90,25.63,24.77,25.41,692205
7-Sep-16,24.19,25.00,24.12,24.92,420675
6-Sep-16,24.78,24.84,24.12,24.17,441736
2-Sep-16,24.59,24.98,24.30,24.78,364615
1-Sep-16,24.32,24.50,23.77,24.47,433170
31-Aug-16,24.90,24.96,24.35,24.36,503038
30-Aug-16,25.09,25.13,24.78,24.86,260580
29-Aug-16,24.80,25.20,24.77,25.20,405526
26-Aug-16,25.05,25.24,24.64,24.73,410625
25-Aug-16,25.27,25.53,25.06,25.07,374522
24-Aug-16,25.53,25.67,25.24,25.30,459805
23-Aug-16,25.41,25.50,25.26,25.27,407535
22-Aug-16,25.21,25.42,24.98,25.26,334374
19-Aug-16,25.17,25.37,25.00,25.22,629381
18-Aug-16,24.82,25.22,24.74,25.21,300977
17-Aug-16,24.92,25.08,24.49,24.85,462789
16-Aug-16,25.03,25.09,24.53,24.93,508166
15-Aug-16,24.87,25.18,24.81,25.05,235231
12-Aug-16,24.86,25.03,24.68,24.78,299350
11-Aug-16,25.14,25.42,24.66,24.91,495714
10-Aug-16,24.68,24.84,24.46,24.55,423884
9-Aug-16,24.67,24.71,24.39,24.58,427682
8-Aug-16,24.75,24.93,24.44,24.57,320746
5-Aug-16,24.17,24.81,24.15,24.66,496824
4-Aug-16,23.87,24.14,23.68,23.96,377563
3-Aug-16,23.60,23.99,23.29,23.82,544387
2-Aug-16,24.08,24.17,23.55,23.70,674405
1-Aug-16,23.82,24.46,23.22,24.10,1177292
29-Jul-16,21.87,24.32,21.50,23.95,2127704
28-Jul-16,22.52,22.52,21.52,21.95,1546851
27-Jul-16,23.27,23.53,22.90,22.90,477017
26-Jul-16,23.13,23.54,23.10,23.25,391940
25-Jul-16,22.65,23.23,22.58,23.09,648101
22-Jul-16,23.01,23.01,22.68,22.73,718633
21-Jul-16,23.01,23.19,22.88,22.97,493314
20-Jul-16,23.20,23.30,23.01,23.09,507144
19-Jul-16,23.42,23.54,23.12,23.14,728878
18-Jul-16,23.47,23.83,23.41,23.42,686111
15-Jul-16,23.75,23.79,23.42,23.42,692769
14-Jul-16,23.84,24.09,23.68,23.69,330775
13-Jul-16,24.03,24.12,23.57,23.59,519426
12-Jul-16,23.88,24.43,23.82,23.87,1151530
11-Jul-16,23.56,23.79,23.44,23.64,509943
8-Jul-16,23.05,23.58,22.77,23.30,607335
7-Jul-16,22.86,23.21,22.55,22.70,668159
6-Jul-16,22.16,22.93,22.04,22.84,2867592
5-Jul-16,22.38,22.64,21.90,22.17,1109878
1-Jul-16,21.89,22.81,21.89,22.38,810789
30-Jun-16,22.00,22.02,21.54,21.89,716025
29-Jun-16,21.52,22.09,21.38,22.04,1290064
28-Jun-16,21.27,21.52,20.99,21.19,1058887
27-Jun-16,21.55,21.57,20.50,21.10,1428579
24-Jun-16,21.47,22.10,21.38,21.73,6824275
23-Jun-16,22.31,22.57,22.13,22.48,866503
22-Jun-16,22.25,22.30,21.82,21.98,788427
21-Jun-16,22.90,22.90,22.10,22.24,639376
20-Jun-16,22.97,23.29,22.81,22.82,605574
17-Jun-16,22.40,23.05,22.34,22.71,787854
16-Jun-16,22.49,22.56,22.12,22.51,643417
15-Jun-16,22.52,23.03,22.48,22.54,564128
14-Jun-16,22.85,22.98,22.33,22.53,735683
13-Jun-16,23.62,23.62,22.92,23.00,926735
10-Jun-16,24.41,24.41,23.67,23.70,574571
9-Jun-16,25.44,25.60,24.66,24.69,565538
