Date,Open,High,Low,Close,Volume
22-Nov-16,44.53,44.93,43.91,44.42,307570
21-Nov-16,44.10,44.52,43.72,44.33,251740
18-Nov-16,43.11,43.92,42.75,43.88,298735
17-Nov-16,42.43,43.04,42.18,43.01,277520
16-Nov-16,42.97,43.33,42.16,42.52,377019
15-Nov-16,42.90,43.71,42.66,43.59,234607
14-Nov-16,42.06,43.00,41.78,42.93,450840
11-Nov-16,41.41,42.02,41.18,41.94,627415
10-Nov-16,40.32,41.56,40.08,41.44,465993
9-Nov-16,39.07,40.32,38.88,40.28,349926
8-Nov-16,38.96,39.54,38.96,39.38,158304
7-Nov-16,38.64,39.23,38.46,39.00,169349
4-Nov-16,38.33,38.63,38.22,38.29,149247
3-Nov-16,38.15,38.57,38.04,38.30,155709
2-Nov-16,38.47,38.82,38.20,38.22,192775
1-Nov-16,39.08,39.31,38.50,38.58,351949
31-Oct-16,38.55,39.15,38.45,39.08,283172
28-Oct-16,38.33,38.86,38.30,38.59,147893
27-Oct-16,38.45,38.46,38.17,38.29,121169
26-Oct-16,38.30,38.67,38.25,38.35,122967
25-Oct-16,38.62,38.62,38.32,38.47,112665
24-Oct-16,38.24,38.74,38.24,38.74,198495
21-Oct-16,37.75,38.22,37.69,37.98,196102
20-Oct-16,37.83,38.12,37.67,38.01,143881
19-Oct-16,38.11,38.11,37.78,37.86,208142
18-Oct-16,38.20,38.34,38.06,38.12,174690
17-Oct-16,37.78,37.94,37.60,37.87,326059
14-Oct-16,38.08,38.47,37.79,37.82,202068
13-Oct-16,37.77,38.44,37.72,38.08,484391
12-Oct-16,38.25,38.40,37.95,38.07,352789
11-Oct-16,38.84,38.84,38.07,38.21,220967
10-Oct-16,38.97,39.30,38.79,38.80,153492
7-Oct-16,39.26,39.30,38.53,38.78,222311
6-Oct-16,38.98,39.40,38.76,39.26,150058
5-Oct-16,39.42,39.56,39.04,39.10,196057
4-Oct-16,39.83,40.08,39.10,39.23,205656
3-Oct-16,39.63,40.15,39.63,40.04,351542
30-Sep-16,39.29,39.90,39.19,39.70,267396
29-Sep-16,39.64,39.72,39.27,39.33,149324
28-Sep-16,39.61,39.71,39.37,39.69,178256
27-Sep-16,39.41,39.66,39.38,39.40,379601
26-Sep-16,39.46,39.93,39.20,39.55,205884
23-Sep-16,40.00,40.05,39.62,39.72,187898
22-Sep-16,39.50,40.03,39.36,40.00,259023
21-Sep-16,38.90,39.40,38.75,39.36,259242
20-Sep-16,39.20,39.26,38.58,38.60,407046
19-Sep-16,39.08,39.25,38.85,38.95,252092
16-Sep-16,39.45,39.45,38.92,39.11,377405
15-Sep-16,39.00,39.46,38.90,39.42,154083
14-Sep-16,38.79,39.08,38.65,39.01,273631
13-Sep-16,38.15,38.86,38.15,38.77,323717
12-Sep-16,38.33,38.78,38.06,38.76,254232
9-Sep-16,40.20,40.20,38.55,38.58,350768
8-Sep-16,40.00,40.47,38.69,40.42,779656
7-Sep-16,38.92,39.06,38.43,38.65,415994
6-Sep-16,38.97,39.06,38.46,38.99,234126
2-Sep-16,38.90,39.16,38.60,38.91,222502
1-Sep-16,38.29,38.66,38.08,38.66,148212
31-Aug-16,38.41,38.49,37.99,38.43,200448
30-Aug-16,38.14,38.57,38.12,38.40,196311
29-Aug-16,38.06,38.29,37.87,38.03,135341
26-Aug-16,38.21,38.54,37.77,38.03,163932
25-Aug-16,38.18,38.39,38.00,38.25,208516
24-Aug-16,38.36,38.38,38.09,38.15,167192
23-Aug-16,38.27,38.59,38.24,38.35,168056
22-Aug-16,37.71,38.27,37.71,38.21,199468
19-Aug-16,37.92,37.94,37.71,37.84,215426
18-Aug-16,37.95,38.05,37.74,37.92,169860
17-Aug-16,38.09,38.09,37.72,37.89,210515
16-Aug-16,38.17,38.33,37.90,37.99,172188
15-Aug-16,37.65,38.12,37.65,38.12,109150
12-Aug-16,38.00,38.00,37.47,37.73,115653
11-Aug-16,37.66,38.01,37.64,38.01,189763
10-Aug-16,37.20,37.61,37.20,37.61,136578
9-Aug-16,37.06,37.23,36.98,37.20,179408
8-Aug-16,37.26,37.30,36.97,37.10,80874
5-Aug-16,37.19,37.47,37.02,37.26,126347
4-Aug-16,37.29,37.34,37.02,37.12,115356
3-Aug-16,36.86,37.27,36.63,37.27,283542
2-Aug-16,37.18,37.42,36.75,36.85,237805
1-Aug-16,37.16,37.41,36.90,37.27,194507
29-Jul-16,37.23,37.37,36.95,37.21,224205
28-Jul-16,37.45,37.54,37.08,37.24,148220
27-Jul-16,37.50,37.62,37.16,37.61,178943
26-Jul-16,37.07,37.62,37.07,37.52,177736
25-Jul-16,37.44,37.44,37.10,37.29,196504
22-Jul-16,37.07,37.67,36.90,37.52,122220
21-Jul-16,37.11,37.28,36.94,37.15,169033
20-Jul-16,36.85,37.33,36.70,37.09,161508
19-Jul-16,36.89,37.10,36.62,36.77,247579
18-Jul-16,37.28,37.40,37.00,37.05,133868
15-Jul-16,37.16,37.26,36.77,37.25,264016
14-Jul-16,37.37,37.47,36.93,37.04,218017
13-Jul-16,37.32,37.40,37.12,37.24,189358
12-Jul-16,37.25,37.54,36.86,37.25,214106
11-Jul-16,36.86,37.14,36.76,37.07,157901
8-Jul-16,36.54,37.07,36.54,36.82,240904
7-Jul-16,36.35,36.52,36.05,36.27,139335
6-Jul-16,36.34,36.60,36.20,36.42,176784
5-Jul-16,36.09,36.73,35.96,36.48,245911
1-Jul-16,36.49,36.68,36.26,36.33,185231
30-Jun-16,35.67,36.49,35.67,36.48,380755
29-Jun-16,35.53,35.92,35.53,35.74,209153
28-Jun-16,35.34,35.72,35.19,35.24,426892
27-Jun-16,35.56,35.61,35.03,35.23,349770
24-Jun-16,35.85,36.04,35.54,35.74,531905
23-Jun-16,36.65,36.93,36.53,36.78,396774
22-Jun-16,36.54,36.71,36.30,36.36,240591
21-Jun-16,36.32,36.70,36.08,36.54,257738
20-Jun-16,36.68,36.91,36.24,36.28,615029
17-Jun-16,37.07,37.19,36.07,36.26,478991
16-Jun-16,36.41,36.71,36.20,36.67,176502
15-Jun-16,36.89,36.94,36.43,36.49,200537
14-Jun-16,36.57,36.95,36.40,36.79,389746
13-Jun-16,37.14,37.48,36.69,36.71,553052
10-Jun-16,37.08,37.86,36.87,37.30,600982
9-Jun-16,35.73,37.59,35.16,37.27,1351945
8-Jun-16,34.25,34.99,34.13,34.76,344488
7-Jun-16,34.11,34.36,34.04,34.24,188338
