Date,Open,High,Low,Close,Volume
22-Nov-16,12.56,12.65,12.56,12.62,88611
21-Nov-16,12.50,12.62,12.49,12.56,49007
18-Nov-16,12.39,12.50,12.38,12.46,107285
17-Nov-16,12.27,12.54,12.27,12.44,107098
16-Nov-16,12.18,12.29,12.16,12.29,55895
15-Nov-16,12.04,12.20,12.02,12.19,102278
14-Nov-16,12.11,12.11,11.85,12.02,114441
11-Nov-16,12.10,12.19,12.04,12.12,236316
10-Nov-16,12.30,12.30,12.04,12.13,89728
9-Nov-16,12.06,12.30,12.03,12.25,128275
8-Nov-16,12.21,12.25,12.13,12.21,71244
7-Nov-16,12.25,12.45,12.25,12.27,104415
4-Nov-16,12.27,12.27,12.12,12.21,106048
3-Nov-16,12.35,12.36,12.17,12.24,133322
2-Nov-16,12.34,12.45,12.29,12.41,148534
1-Nov-16,12.60,12.73,12.33,12.46,201920
31-Oct-16,12.80,12.80,12.50,12.60,152567
28-Oct-16,12.87,12.87,12.77,12.80,46951
27-Oct-16,12.92,12.92,12.79,12.81,66587
26-Oct-16,12.92,12.95,12.87,12.90,62694
25-Oct-16,12.84,12.94,12.81,12.92,98767
24-Oct-16,12.86,12.87,12.76,12.80,67836
21-Oct-16,12.78,12.80,12.73,12.80,52706
20-Oct-16,12.76,12.81,12.71,12.78,71471
19-Oct-16,12.79,12.88,12.76,12.78,86840
18-Oct-16,12.81,12.85,12.74,12.81,84184
17-Oct-16,12.81,12.87,12.74,12.80,74815
14-Oct-16,12.86,12.88,12.80,12.81,31162
13-Oct-16,12.77,12.85,12.71,12.85,56658
12-Oct-16,12.77,12.85,12.72,12.80,45276
11-Oct-16,12.86,12.86,12.69,12.75,86408
10-Oct-16,12.96,13.02,12.88,13.00,49031
7-Oct-16,12.93,12.98,12.87,12.93,42666
6-Oct-16,12.87,12.96,12.76,12.94,79506
5-Oct-16,12.93,12.95,12.86,12.94,73562
4-Oct-16,13.05,13.05,12.81,12.85,106615
3-Oct-16,12.99,13.08,12.97,13.06,106885
30-Sep-16,12.88,12.98,12.88,12.97,73080
29-Sep-16,12.86,12.86,12.76,12.84,49448
28-Sep-16,12.81,12.84,12.72,12.84,65364
27-Sep-16,12.71,12.79,12.69,12.74,41590
26-Sep-16,12.73,12.73,12.66,12.71,38993
23-Sep-16,12.76,12.80,12.73,12.76,42710
22-Sep-16,12.77,12.78,12.64,12.72,88391
21-Sep-16,12.55,12.64,12.49,12.64,145555
20-Sep-16,12.42,12.49,12.40,12.49,73754
19-Sep-16,12.49,12.49,12.37,12.44,65090
16-Sep-16,12.40,12.40,12.36,12.40,46641
15-Sep-16,12.35,12.40,12.28,12.37,80306
14-Sep-16,12.38,12.41,12.22,12.28,58659
