Date,Open,High,Low,Close,Volume
22-Nov-16,48.92,49.53,48.77,49.43,1542439
21-Nov-16,48.53,49.12,48.47,48.84,866977
18-Nov-16,48.43,48.82,48.28,48.48,1224410
17-Nov-16,48.36,48.81,48.29,48.51,1439060
16-Nov-16,49.36,49.52,48.19,48.47,1642484
15-Nov-16,48.88,49.47,48.65,49.27,2124654
14-Nov-16,47.49,48.67,46.97,48.62,3519161
11-Nov-16,47.80,48.45,47.61,47.77,2161783
10-Nov-16,48.71,48.71,47.28,47.80,2323663
9-Nov-16,49.80,49.99,48.97,49.05,1905443
8-Nov-16,50.93,51.46,50.76,51.21,1400441
7-Nov-16,49.75,50.82,49.38,50.81,1779772
4-Nov-16,49.95,50.27,49.27,49.36,1732992
3-Nov-16,48.54,49.24,48.36,49.07,1528617
2-Nov-16,49.10,49.10,48.24,48.65,1293498
1-Nov-16,49.96,49.96,49.12,49.17,1382022
31-Oct-16,49.15,50.25,48.97,49.95,1469645
28-Oct-16,48.82,49.24,48.70,48.87,1939245
27-Oct-16,48.89,49.09,48.45,48.74,1114965
26-Oct-16,49.00,49.22,48.64,49.10,696226
25-Oct-16,48.48,49.04,48.41,49.03,1285633
24-Oct-16,48.72,48.93,48.32,48.65,997402
21-Oct-16,48.36,48.63,48.16,48.47,1069092
20-Oct-16,48.70,48.99,48.50,48.62,757993
19-Oct-16,48.79,48.89,48.49,48.70,1221868
18-Oct-16,48.45,48.95,47.96,48.91,1076056
17-Oct-16,48.23,48.39,47.88,48.18,1030255
14-Oct-16,47.82,48.30,47.67,48.03,1658210
13-Oct-16,47.64,48.42,47.54,48.04,1801210
12-Oct-16,46.96,47.71,46.84,47.59,2038535
11-Oct-16,47.50,47.69,46.86,46.88,1444220
10-Oct-16,47.50,47.79,47.41,47.70,1352288
7-Oct-16,47.98,48.33,47.37,47.43,1472373
6-Oct-16,47.47,47.83,47.21,47.59,1230317
5-Oct-16,47.51,47.95,47.28,47.71,4074587
4-Oct-16,48.51,48.52,47.03,47.38,3360870
3-Oct-16,48.97,49.08,48.18,48.63,1567546
30-Sep-16,49.73,49.95,48.90,49.18,2012830
29-Sep-16,50.11,50.21,49.29,49.60,1491830
28-Sep-16,50.73,50.81,49.78,50.36,2037789
27-Sep-16,51.76,51.91,50.47,50.56,1541745
26-Sep-16,51.69,51.76,51.29,51.48,1164217
23-Sep-16,51.22,51.86,50.99,51.70,1576289
22-Sep-16,51.34,51.47,50.86,51.41,1273725
21-Sep-16,50.05,51.20,50.02,51.14,1602578
20-Sep-16,50.22,50.68,50.09,50.10,1394339
19-Sep-16,49.49,50.05,49.36,50.04,1842224
16-Sep-16,48.54,49.45,48.24,49.38,2038359
15-Sep-16,48.39,48.80,48.22,48.65,1528511
14-Sep-16,48.23,48.73,48.08,48.49,1295736
13-Sep-16,48.73,48.76,47.79,48.10,1773932
12-Sep-16,48.08,48.93,48.00,48.86,1814883
9-Sep-16,49.44,49.51,48.03,48.06,1926285
8-Sep-16,49.90,50.24,49.62,49.85,1469598
7-Sep-16,49.79,50.06,49.58,50.02,1074063
6-Sep-16,49.52,49.97,49.28,49.84,1282443
2-Sep-16,49.15,49.67,49.02,49.66,1839748
1-Sep-16,49.40,49.50,49.08,49.15,1293649
31-Aug-16,49.33,49.52,49.15,49.42,1449413
30-Aug-16,49.75,50.04,49.25,49.30,974758
29-Aug-16,49.51,49.92,49.51,49.77,1472997
26-Aug-16,50.49,50.74,49.36,49.40,1397774
25-Aug-16,50.38,50.58,50.31,50.44,931607
24-Aug-16,50.29,50.49,49.94,50.32,1551142
23-Aug-16,50.74,51.08,50.42,50.42,820923
22-Aug-16,50.70,50.90,50.58,50.65,1284011
19-Aug-16,51.24,51.26,50.26,50.57,1371525
18-Aug-16,50.71,51.35,50.66,51.35,1477521
17-Aug-16,49.74,50.84,49.34,50.71,2004844
16-Aug-16,50.27,50.31,49.80,49.82,1726549
15-Aug-16,51.00,51.21,50.38,50.41,977489
12-Aug-16,51.23,51.49,51.03,51.05,1160313
11-Aug-16,51.02,51.16,50.71,51.02,875171
10-Aug-16,51.06,51.22,50.86,51.02,975136
9-Aug-16,50.86,51.24,50.72,50.94,912554
8-Aug-16,51.10,51.51,50.86,50.94,1279681
5-Aug-16,51.98,52.25,50.87,51.00,2196696
4-Aug-16,51.71,52.19,51.62,51.84,1474181
3-Aug-16,52.08,52.13,51.37,51.65,1771532
2-Aug-16,51.97,52.42,51.89,52.17,1020280
1-Aug-16,52.43,52.58,52.24,52.52,1495632
29-Jul-16,52.17,52.66,52.08,52.44,1206794
28-Jul-16,51.78,52.21,51.63,52.15,924129
27-Jul-16,52.06,52.25,51.26,51.77,1536942
26-Jul-16,52.85,52.85,51.95,52.22,1196596
25-Jul-16,52.83,52.94,52.42,52.70,773849
22-Jul-16,52.24,52.97,52.24,52.87,1712047
21-Jul-16,52.04,52.28,51.68,52.24,2186608
20-Jul-16,52.34,52.37,52.00,52.21,827431
19-Jul-16,52.67,52.70,52.13,52.34,1014990
18-Jul-16,52.52,52.73,52.45,52.51,998127
15-Jul-16,52.34,52.61,52.28,52.51,1202754
14-Jul-16,52.56,52.70,50.65,52.24,1264013
13-Jul-16,52.73,52.91,52.52,52.88,1160832
12-Jul-16,52.51,52.85,52.31,52.46,1874294
11-Jul-16,52.93,53.09,52.38,52.94,1680086
8-Jul-16,52.42,53.18,51.98,53.15,1782731
7-Jul-16,53.63,53.63,52.47,52.65,2643255
6-Jul-16,53.76,53.91,53.09,53.77,2390564
5-Jul-16,53.75,54.08,53.60,53.76,3291186
1-Jul-16,53.77,53.93,53.16,53.75,1518318
30-Jun-16,52.64,53.59,52.47,53.58,2390710
29-Jun-16,52.27,52.69,52.12,52.50,1767893
28-Jun-16,52.59,52.59,51.81,52.28,1874959
27-Jun-16,51.73,52.61,51.50,52.31,1956856
24-Jun-16,51.74,52.31,50.85,51.79,2136436
23-Jun-16,51.26,51.50,51.05,51.50,1035578
22-Jun-16,51.43,51.48,51.13,51.26,1053221
21-Jun-16,51.26,51.60,50.99,51.37,1004389
20-Jun-16,51.40,51.56,50.80,51.35,1836151
17-Jun-16,51.02,51.31,50.67,51.27,1587196
16-Jun-16,50.92,51.36,50.87,51.20,1115238
15-Jun-16,51.36,51.36,50.62,50.91,1418582
14-Jun-16,50.55,51.40,50.45,51.31,2194859
13-Jun-16,50.96,51.13,50.72,50.76,1340007
10-Jun-16,50.74,51.02,50.54,50.96,1709218
9-Jun-16,49.70,50.94,49.70,50.89,1961115
8-Jun-16,49.49,49.70,49.29,49.68,809036
7-Jun-16,49.46,49.92,49.35,49.48,1772687
6-Jun-16,49.47,49.78,49.27,49.54,1930104
3-Jun-16,49.58,50.25,49.50,50.00,1938696
2-Jun-16,49.26,49.39,48.69,49.10,2410299
1-Jun-16,49.40,49.62,49.16,49.43,2918124
31-May-16,48.20,49.74,47.97,49.55,7029263
27-May-16,47.78,48.12,47.62,48.11,1251808
26-May-16,47.09,48.14,47.09,47.83,1727970
25-May-16,47.07,47.32,46.86,47.11,1151109
24-May-16,46.74,47.31,46.72,47.24,872018
23-May-16,47.29,47.36,46.65,46.69,1428132
20-May-16,47.49,47.61,46.85,47.24,2855698
19-May-16,46.67,47.37,46.30,47.35,2160423
18-May-16,47.10,47.70,46.59,46.82,3264592
17-May-16,47.80,47.96,47.00,47.32,2806280
16-May-16,47.94,48.17,47.62,47.90,1577572
13-May-16,48.12,48.33,47.58,48.07,1576637
12-May-16,48.11,48.77,47.35,48.12,3854013
11-May-16,48.63,49.00,47.94,48.15,3292155
10-May-16,48.52,48.86,48.40,48.66,1366599
9-May-16,48.28,48.55,48.05,48.43,1443020
6-May-16,48.83,48.83,47.82,48.19,1599108
5-May-16,48.64,49.27,48.43,48.88,1680625
4-May-16,48.47,49.22,48.24,48.73,2496379
3-May-16,48.19,48.75,48.19,48.55,1587817
2-May-16,48.05,48.55,47.80,48.14,1888740
29-Apr-16,47.45,48.06,47.08,48.00,2112582
28-Apr-16,46.82,47.72,46.55,47.69,1530131
27-Apr-16,46.96,47.48,46.57,47.26,1846091
26-Apr-16,47.03,47.19,46.63,46.81,1741107
25-Apr-16,46.48,46.97,46.40,46.97,2186316
22-Apr-16,46.62,46.96,46.39,46.55,1493124
21-Apr-16,47.48,47.56,46.29,46.47,1422987
