Date,Open,High,Low,Close,Volume
22-Nov-16,84.01,84.60,83.52,84.30,653920
21-Nov-16,82.81,83.90,82.58,83.85,744011
18-Nov-16,82.95,83.28,82.18,82.46,529783
17-Nov-16,81.93,83.22,81.78,82.97,900278
16-Nov-16,80.29,81.82,79.84,81.55,1076565
15-Nov-16,77.25,80.16,77.25,80.12,1270821
14-Nov-16,80.72,81.00,76.32,77.08,1933853
11-Nov-16,81.00,81.48,80.14,80.43,1115445
10-Nov-16,80.73,82.00,80.10,81.52,1302203
9-Nov-16,81.91,82.21,79.21,80.42,2626928
8-Nov-16,85.99,86.88,82.68,82.75,1818244
7-Nov-16,85.02,86.88,84.69,86.28,1412329
4-Nov-16,83.60,84.41,82.70,83.48,845387
3-Nov-16,82.60,84.48,82.30,83.80,1009159
2-Nov-16,82.51,82.93,81.80,82.25,627028
1-Nov-16,83.57,84.26,82.22,82.90,1071269
31-Oct-16,82.96,84.17,82.74,83.55,1105193
28-Oct-16,82.25,84.04,82.23,82.91,648208
27-Oct-16,81.76,82.41,81.27,82.05,634924
26-Oct-16,81.29,82.00,80.68,81.09,697233
25-Oct-16,83.19,83.19,82.00,82.10,424553
24-Oct-16,83.04,83.48,82.20,83.36,608492
21-Oct-16,82.89,82.89,81.54,82.20,594378
20-Oct-16,81.95,83.44,81.88,83.02,437137
19-Oct-16,81.80,82.65,81.01,82.59,552876
18-Oct-16,82.47,82.71,81.63,81.66,503436
17-Oct-16,80.81,81.51,80.75,81.26,595882
14-Oct-16,81.14,81.78,80.77,80.86,621162
13-Oct-16,80.26,80.95,79.08,80.44,662936
12-Oct-16,81.71,81.71,80.27,81.15,807830
11-Oct-16,83.03,83.20,81.31,81.72,523134
10-Oct-16,83.22,84.48,83.10,83.48,623019
7-Oct-16,83.83,83.83,81.63,82.37,973986
6-Oct-16,83.03,83.87,82.91,83.64,979610
5-Oct-16,83.42,83.92,82.72,83.44,974715
4-Oct-16,84.97,85.38,82.54,82.62,1056738
3-Oct-16,85.20,85.45,84.09,84.83,966403
30-Sep-16,83.93,85.84,83.49,85.49,1380522
29-Sep-16,84.87,85.31,83.07,83.15,1199944
28-Sep-16,83.44,84.99,83.02,84.87,1027670
27-Sep-16,81.41,82.86,81.41,82.75,831857
26-Sep-16,80.86,82.18,80.78,81.70,1351216
23-Sep-16,80.77,81.08,80.21,80.75,1193957
22-Sep-16,81.02,81.80,80.91,81.20,1587474
21-Sep-16,77.56,80.23,77.51,80.19,1483474
20-Sep-16,77.93,78.56,76.79,76.79,958541
19-Sep-16,77.11,77.98,77.04,77.64,776972
16-Sep-16,76.83,77.15,75.78,76.73,2304890
15-Sep-16,75.90,77.31,75.39,77.25,1792692
14-Sep-16,76.05,76.44,75.13,75.72,1657654
13-Sep-16,76.78,77.53,75.73,76.09,1373452
12-Sep-16,75.60,77.72,75.11,77.44,1525870
9-Sep-16,79.91,80.50,76.51,76.82,1849054
8-Sep-16,82.76,83.04,80.87,80.92,984259
7-Sep-16,82.71,83.07,82.13,82.95,924661
6-Sep-16,82.13,83.04,81.85,83.04,956746
2-Sep-16,82.46,82.49,81.10,81.96,894782
1-Sep-16,79.95,81.30,79.56,81.30,1181887
31-Aug-16,81.25,81.25,79.71,79.97,1308176
30-Aug-16,82.75,83.50,81.60,81.73,760448
29-Aug-16,81.93,82.95,81.65,82.75,740881
26-Aug-16,82.92,83.52,81.33,81.79,879536
25-Aug-16,82.31,83.38,82.13,82.57,753960
24-Aug-16,83.84,84.41,81.95,82.19,1566057
23-Aug-16,84.50,86.50,84.16,84.17,1299809
22-Aug-16,82.28,83.85,81.74,83.85,1088950
19-Aug-16,81.00,82.92,80.82,82.74,1755977
18-Aug-16,81.01,81.32,80.80,81.28,1070082
17-Aug-16,81.78,81.83,80.18,80.55,1183178
16-Aug-16,84.28,84.33,81.63,81.73,1066091
15-Aug-16,83.48,84.79,83.28,84.08,1135752
12-Aug-16,82.41,83.73,82.21,83.01,1139558
11-Aug-16,82.12,83.11,81.62,82.58,1133081
10-Aug-16,82.03,82.33,81.40,82.09,1298506
9-Aug-16,82.49,82.66,81.72,82.01,1487424
8-Aug-16,82.33,82.66,81.54,82.17,1495493
5-Aug-16,82.22,82.65,81.49,82.33,1723331
4-Aug-16,84.17,84.66,80.39,82.12,2906576
3-Aug-16,84.51,84.58,83.11,83.99,2404049
2-Aug-16,84.26,84.76,83.66,84.37,2035317
1-Aug-16,84.22,84.49,83.58,83.91,1782679
29-Jul-16,84.79,84.80,83.31,84.17,1702227
28-Jul-16,84.66,86.14,84.25,85.11,1037734
27-Jul-16,85.37,85.51,84.12,84.82,841051
26-Jul-16,86.20,86.21,84.88,85.52,909348
25-Jul-16,85.00,86.23,84.78,86.20,1229767
22-Jul-16,84.63,85.43,84.11,85.01,875043
21-Jul-16,86.26,86.60,83.85,84.27,1265574
20-Jul-16,86.04,86.89,85.90,86.62,948546
19-Jul-16,85.95,86.36,85.56,85.92,630110
18-Jul-16,86.23,86.43,85.34,86.21,700926
15-Jul-16,86.42,87.29,86.01,86.35,899495
14-Jul-16,85.97,86.97,85.82,86.04,707623
13-Jul-16,85.52,85.75,85.02,85.55,955343
12-Jul-16,84.38,86.07,84.26,85.22,1299116
11-Jul-16,83.92,84.00,83.11,83.63,1277333
8-Jul-16,82.20,83.99,81.99,83.58,1268457
7-Jul-16,81.18,82.20,80.88,81.32,865299
6-Jul-16,79.39,80.96,78.81,80.86,1341121
5-Jul-16,80.08,80.21,79.43,79.90,1366398
1-Jul-16,79.45,82.28,79.45,81.32,1588409
30-Jun-16,79.13,80.50,77.92,79.31,24895474
29-Jun-16,79.46,79.85,78.59,79.12,1928740
28-Jun-16,76.81,78.49,76.14,78.29,2707421
27-Jun-16,77.44,78.09,74.86,75.34,2711001
