Date,Open,High,Low,Close,Volume
22-Nov-16,15.30,15.60,14.95,15.55,19175
21-Nov-16,15.05,15.25,14.95,15.20,12720
18-Nov-16,15.05,15.40,14.85,15.20,33166
17-Nov-16,14.60,15.25,14.45,15.05,23839
16-Nov-16,15.30,15.45,14.10,14.65,133153
15-Nov-16,14.70,15.65,14.56,15.45,43553
14-Nov-16,14.35,14.80,13.80,14.75,36876
11-Nov-16,12.90,14.25,12.20,14.25,43652
10-Nov-16,12.10,12.85,12.00,12.70,34447
9-Nov-16,10.55,12.40,10.40,12.00,47223
8-Nov-16,10.75,10.90,10.30,10.40,13630
7-Nov-16,10.70,10.90,10.50,10.85,14671
4-Nov-16,10.55,10.60,10.40,10.45,19454
3-Nov-16,10.75,10.75,10.45,10.45,12251
2-Nov-16,10.55,10.80,10.25,10.75,29384
1-Nov-16,10.55,10.65,10.30,10.50,53823
31-Oct-16,10.55,10.95,10.30,10.80,14798
28-Oct-16,10.75,11.00,10.55,10.70,15175
27-Oct-16,11.00,11.00,10.60,10.70,12255
26-Oct-16,11.00,11.10,10.90,11.00,9697
25-Oct-16,10.75,11.30,10.70,11.10,17397
24-Oct-16,10.65,10.90,10.60,10.85,14457
21-Oct-16,10.40,10.61,10.28,10.55,12555
20-Oct-16,10.52,10.83,10.45,10.57,21302
19-Oct-16,10.54,10.82,10.53,10.56,23470
18-Oct-16,10.58,10.72,10.46,10.64,8704
17-Oct-16,10.40,10.57,10.40,10.51,10426
14-Oct-16,10.52,10.68,10.39,10.41,16702
13-Oct-16,10.64,10.64,10.22,10.37,32542
12-Oct-16,10.59,10.87,10.54,10.64,75892
11-Oct-16,10.74,10.79,10.44,10.58,63015
10-Oct-16,10.33,10.96,10.33,10.85,31378
7-Oct-16,11.16,11.16,10.29,10.32,19410
6-Oct-16,10.76,11.35,10.76,11.11,148588
5-Oct-16,10.65,10.94,10.50,10.85,87269
4-Oct-16,10.73,10.73,10.35,10.40,18598
3-Oct-16,11.05,11.17,10.54,10.73,15965
30-Sep-16,11.27,11.30,11.00,11.09,25727
29-Sep-16,11.25,11.50,11.24,11.28,26446
28-Sep-16,11.08,11.39,11.08,11.25,18715
27-Sep-16,10.92,11.18,10.76,11.11,19621
26-Sep-16,10.26,11.00,10.26,10.92,27472
23-Sep-16,10.32,10.65,10.31,10.34,25158
22-Sep-16,10.35,10.48,10.14,10.38,26864
21-Sep-16,9.97,10.28,9.97,10.27,11956
20-Sep-16,9.53,10.15,9.53,9.88,41175
19-Sep-16,10.26,10.27,9.34,9.61,108091
16-Sep-16,10.30,10.38,10.16,10.18,45882
15-Sep-16,10.25,10.49,10.25,10.28,14818
14-Sep-16,10.12,10.52,10.11,10.26,23668
13-Sep-16,10.48,10.59,9.98,10.06,31247
12-Sep-16,10.54,10.63,10.45,10.57,15214
9-Sep-16,10.90,10.94,10.59,10.62,23930
8-Sep-16,11.43,11.44,11.05,11.16,11642
7-Sep-16,11.55,11.64,11.41,11.43,18414
6-Sep-16,11.87,11.87,11.55,11.65,13669
2-Sep-16,11.37,11.88,11.37,11.77,35063
1-Sep-16,10.78,11.34,10.78,11.30,34203
31-Aug-16,11.23,11.23,10.75,10.80,23304
30-Aug-16,11.15,11.36,11.11,11.12,13211
29-Aug-16,10.99,11.13,10.95,11.06,15834
26-Aug-16,11.32,11.58,10.91,10.98,19168
25-Aug-16,11.56,11.63,11.30,11.33,26401
24-Aug-16,12.04,12.14,11.51,11.57,26610
23-Aug-16,12.20,12.32,12.00,12.07,22428
22-Aug-16,12.63,12.63,12.01,12.04,34662
19-Aug-16,13.17,13.27,12.60,12.63,64657
18-Aug-16,12.67,13.29,12.67,13.22,25502
17-Aug-16,12.56,12.88,12.46,12.79,20354
16-Aug-16,13.08,13.11,12.56,12.66,23322
15-Aug-16,12.77,13.42,12.75,13.13,44187
12-Aug-16,12.30,12.88,12.29,12.76,41575
11-Aug-16,11.61,12.44,11.49,12.28,36311
10-Aug-16,11.56,11.68,11.50,11.57,19961
9-Aug-16,11.52,11.56,11.38,11.49,24819
8-Aug-16,11.65,11.68,11.31,11.46,25662
5-Aug-16,11.56,11.83,11.46,11.54,18068
4-Aug-16,11.56,11.67,11.45,11.47,13373
3-Aug-16,11.63,11.70,11.07,11.51,69965
2-Aug-16,12.73,12.75,11.88,11.90,61685
1-Aug-16,13.21,13.32,12.72,12.76,40375
29-Jul-16,13.18,13.57,13.00,13.21,29426
28-Jul-16,13.50,13.65,13.18,13.22,39928
27-Jul-16,12.82,13.58,12.82,13.53,55235
26-Jul-16,12.32,12.98,12.28,12.73,68804
25-Jul-16,12.23,12.29,12.12,12.21,37480
22-Jul-16,11.90,12.27,11.89,12.23,21664
21-Jul-16,12.07,12.16,11.83,12.03,35501
20-Jul-16,12.34,12.44,11.97,12.07,36540
19-Jul-16,12.76,12.76,12.31,12.36,34266
18-Jul-16,12.95,13.08,12.52,12.86,43785
15-Jul-16,13.10,13.49,13.00,13.19,60682
14-Jul-16,12.94,13.24,12.89,13.05,30089
13-Jul-16,13.20,13.53,12.73,12.89,51319
12-Jul-16,12.35,13.31,12.22,13.22,73094
11-Jul-16,11.85,12.59,11.85,12.32,81853
8-Jul-16,11.30,12.08,11.21,11.92,101529
7-Jul-16,11.62,12.17,11.15,11.29,81586
6-Jul-16,11.25,11.73,11.25,11.66,45784
5-Jul-16,11.35,11.45,11.08,11.34,25575
1-Jul-16,11.25,11.85,11.19,11.50,29457
30-Jun-16,10.95,11.33,10.74,11.31,45455
29-Jun-16,11.16,11.16,10.72,10.81,82096
28-Jun-16,10.92,11.00,10.38,10.73,120494
27-Jun-16,11.66,11.73,10.56,10.67,132883
24-Jun-16,12.34,12.67,11.63,11.86,724857
23-Jun-16,12.71,13.38,12.67,12.77,87169
22-Jun-16,12.43,12.79,12.40,12.71,36541
21-Jun-16,12.82,12.98,12.23,12.43,58066
20-Jun-16,13.12,13.47,12.69,12.71,51133
17-Jun-16,12.88,13.16,12.68,12.91,79571
16-Jun-16,13.06,13.36,12.57,13.08,34518
15-Jun-16,13.09,13.54,13.00,13.17,51548
14-Jun-16,12.82,13.14,12.69,12.96,31212
13-Jun-16,13.55,13.72,12.77,12.95,76385
10-Jun-16,14.12,14.12,13.57,13.78,34789
9-Jun-16,14.13,14.31,13.68,14.10,31312
8-Jun-16,14.20,14.71,14.11,14.38,37569
7-Jun-16,14.23,14.64,14.07,14.10,32821
6-Jun-16,14.27,14.69,14.24,14.32,25943
3-Jun-16,14.19,14.50,13.93,14.31,25925
2-Jun-16,14.00,14.40,13.86,14.15,31690
1-Jun-16,14.36,14.38,13.97,14.17,21843
31-May-16,14.67,14.95,14.37,14.39,42189
27-May-16,14.78,14.94,14.60,14.67,37368
26-May-16,14.87,14.87,14.10,14.70,49505
25-May-16,15.16,15.27,14.43,14.67,55503
24-May-16,15.40,15.53,15.12,15.16,35851
23-May-16,14.62,15.48,14.58,15.26,42852
20-May-16,14.20,14.92,14.17,14.74,37951
19-May-16,14.85,15.04,13.60,14.00,79484
18-May-16,14.66,15.31,14.66,14.92,22078
17-May-16,15.36,15.48,14.81,14.89,20255
16-May-16,15.54,15.85,15.15,15.19,45375
13-May-16,16.06,16.38,15.41,15.52,32269
12-May-16,16.42,16.65,16.04,16.08,31895
11-May-16,16.85,17.10,16.27,16.28,51270
10-May-16,16.90,17.18,16.84,16.96,36545
9-May-16,17.30,17.70,16.88,17.06,68887
6-May-16,18.27,18.38,17.58,17.86,32221
5-May-16,18.87,19.00,18.40,18.70,27196
4-May-16,18.43,18.89,18.19,18.85,34574
3-May-16,18.69,19.19,18.04,18.52,39314
2-May-16,18.83,19.22,18.68,18.91,48510
29-Apr-16,18.27,19.14,18.27,19.09,43740
28-Apr-16,18.37,18.51,18.16,18.28,28483
27-Apr-16,18.63,18.65,18.12,18.38,33689
26-Apr-16,18.18,18.68,17.64,18.61,61700
25-Apr-16,18.49,18.49,17.63,18.18,40634
22-Apr-16,18.57,18.99,18.14,18.46,47080
21-Apr-16,18.31,18.70,18.15,18.53,32829
20-Apr-16,18.05,18.34,18.04,18.25,57406
19-Apr-16,18.15,18.89,18.08,18.20,51211
18-Apr-16,18.17,18.21,17.80,18.09,41908
15-Apr-16,18.00,18.23,17.75,18.17,88463
14-Apr-16,17.01,18.47,16.85,18.09,164255
13-Apr-16,16.86,17.43,16.78,17.19,79176
12-Apr-16,15.85,17.03,15.81,16.73,79185
11-Apr-16,15.54,16.01,15.54,15.80,42716
8-Apr-16,15.20,15.48,15.04,15.24,47683
7-Apr-16,14.87,15.20,14.81,15.20,35916
6-Apr-16,14.34,14.98,14.30,14.86,34074
5-Apr-16,13.84,14.34,13.84,14.34,106203
4-Apr-16,13.85,14.26,13.81,13.93,33868
1-Apr-16,13.84,14.15,13.83,13.95,26714
31-Mar-16,14.00,14.38,13.90,13.91,30717
30-Mar-16,14.40,14.40,13.97,14.02,31092
29-Mar-16,13.98,14.68,13.89,14.45,80125
28-Mar-16,13.50,14.21,13.50,14.04,54636
24-Mar-16,13.09,13.66,12.97,13.61,32109
23-Mar-16,12.91,13.20,12.91,13.17,23180
22-Mar-16,12.53,13.20,12.53,13.19,41515
21-Mar-16,12.59,13.15,12.50,12.87,35164
18-Mar-16,13.40,13.49,12.56,12.64,45320
17-Mar-16,13.25,13.49,13.18,13.43,23275
16-Mar-16,12.96,13.36,12.86,13.22,14591
15-Mar-16,12.74,12.90,12.57,12.66,13316
14-Mar-16,12.73,13.03,12.55,12.91,15786
11-Mar-16,12.81,12.81,12.59,12.71,25264
10-Mar-16,12.74,12.84,12.57,12.76,23002
9-Mar-16,12.75,12.93,12.74,12.77,24153
8-Mar-16,12.50,12.64,12.50,12.59,12903
7-Mar-16,12.49,12.78,12.40,12.51,25974
4-Mar-16,12.20,12.85,11.80,12.33,64334
3-Mar-16,12.61,12.94,12.43,12.46,10548
2-Mar-16,12.50,12.87,12.38,12.70,35582
1-Mar-16,12.18,12.57,12.01,12.50,64503
29-Feb-16,11.74,12.15,11.61,12.01,18752
26-Feb-16,11.68,11.80,11.61,11.79,4975
25-Feb-16,11.50,11.67,11.38,11.57,10869
24-Feb-16,11.50,11.55,11.39,11.48,5143
23-Feb-16,11.90,11.93,11.70,11.79,23578
22-Feb-16,11.00,11.90,11.00,11.74,42842
