Date,Open,High,Low,Close,Volume
22-Nov-16,13.75,13.84,13.62,13.69,178244
21-Nov-16,13.65,13.72,13.53,13.66,173741
18-Nov-16,13.40,13.65,13.40,13.61,337446
17-Nov-16,13.25,13.53,13.25,13.40,203382
16-Nov-16,13.18,13.32,13.10,13.20,293315
15-Nov-16,13.32,13.34,13.02,13.09,113228
14-Nov-16,13.08,13.24,12.95,13.20,152172
11-Nov-16,12.84,13.19,12.75,13.05,211288
10-Nov-16,13.09,13.14,12.62,12.80,317997
9-Nov-16,12.64,13.13,12.51,13.02,244876
8-Nov-16,13.12,13.23,12.94,13.00,161933
7-Nov-16,13.34,13.46,13.05,13.13,193285
4-Nov-16,13.24,13.34,13.17,13.21,169852
3-Nov-16,13.00,13.34,12.87,13.23,220285
2-Nov-16,12.61,13.02,12.55,12.95,201429
1-Nov-16,13.15,13.23,12.58,12.66,207260
31-Oct-16,12.65,13.06,12.60,13.02,127260
28-Oct-16,12.64,12.81,12.60,12.66,112209
27-Oct-16,12.98,12.99,12.61,12.64,135051
26-Oct-16,13.17,13.19,12.86,12.93,93950
25-Oct-16,13.33,13.33,13.13,13.26,100894
24-Oct-16,13.32,13.46,13.22,13.40,105266
21-Oct-16,13.13,13.36,13.13,13.25,99187
20-Oct-16,13.25,13.40,13.11,13.19,79259
19-Oct-16,13.16,13.30,13.05,13.23,157707
18-Oct-16,13.04,13.13,12.97,13.02,84996
17-Oct-16,12.90,13.05,12.80,12.96,165964
14-Oct-16,12.54,12.95,12.49,12.85,256680
13-Oct-16,12.32,12.61,12.26,12.48,214415
12-Oct-16,12.14,12.34,12.11,12.32,123984
11-Oct-16,12.57,12.58,12.02,12.16,252019
10-Oct-16,12.54,12.64,12.46,12.55,165454
7-Oct-16,12.48,12.71,12.40,12.48,160302
6-Oct-16,12.27,12.58,12.10,12.50,304538
5-Oct-16,12.79,12.83,12.35,12.36,369931
4-Oct-16,13.30,13.31,12.65,12.80,291843
3-Oct-16,13.42,13.42,13.20,13.26,149969
30-Sep-16,13.59,13.59,13.34,13.51,137928
29-Sep-16,13.63,13.63,13.44,13.53,112706
28-Sep-16,13.31,13.62,13.25,13.62,168200
27-Sep-16,13.59,13.64,13.26,13.32,126591
26-Sep-16,13.80,13.98,13.63,13.64,210783
23-Sep-16,13.67,14.05,13.56,13.93,188715
22-Sep-16,13.62,13.79,13.58,13.73,197192
21-Sep-16,13.40,13.58,13.22,13.55,169855
20-Sep-16,13.56,13.56,13.16,13.40,181400
19-Sep-16,13.65,13.72,13.41,13.54,141423
16-Sep-16,13.15,13.76,13.11,13.63,512032
15-Sep-16,13.32,13.36,12.96,13.17,302476
14-Sep-16,13.41,13.56,13.19,13.27,232676
13-Sep-16,13.67,13.83,13.26,13.42,305596
12-Sep-16,13.60,13.97,13.55,13.92,230760
9-Sep-16,14.35,14.40,13.61,13.66,388900
8-Sep-16,14.37,14.40,14.26,14.37,149988
7-Sep-16,13.96,14.50,13.96,14.37,405743
6-Sep-16,13.94,14.03,13.85,13.97,111271
2-Sep-16,13.86,14.14,13.83,13.93,115792
1-Sep-16,13.89,13.89,13.62,13.75,143492
31-Aug-16,13.64,13.94,13.62,13.84,127588
30-Aug-16,13.80,13.82,13.61,13.69,154967
29-Aug-16,13.90,14.05,13.75,13.84,144509
26-Aug-16,14.20,14.30,13.81,13.87,302720
25-Aug-16,13.79,14.28,13.79,14.22,181616
24-Aug-16,14.03,14.03,13.77,13.85,199899
23-Aug-16,14.02,14.14,13.93,13.95,113684
22-Aug-16,14.10,14.22,13.93,14.04,120174
19-Aug-16,14.23,14.30,13.91,14.16,171475
18-Aug-16,14.06,14.24,14.02,14.21,83916
17-Aug-16,14.18,14.25,13.82,14.11,161224
16-Aug-16,14.40,14.42,14.06,14.15,169561
15-Aug-16,14.53,14.63,14.41,14.41,108337
12-Aug-16,14.38,14.66,14.38,14.56,100421
11-Aug-16,14.80,14.82,14.32,14.46,150282
10-Aug-16,15.00,15.01,14.67,14.76,307836
9-Aug-16,14.41,14.97,14.41,14.93,176342
8-Aug-16,14.38,14.64,14.31,14.51,139492
5-Aug-16,14.24,14.58,14.03,14.40,185744
4-Aug-16,14.55,14.57,14.27,14.31,151959
3-Aug-16,14.36,14.75,14.34,14.44,217540
2-Aug-16,14.69,14.87,14.30,14.36,183129
1-Aug-16,14.89,14.96,14.67,14.73,102744
29-Jul-16,14.75,15.03,14.75,14.87,165370
28-Jul-16,14.72,14.89,14.70,14.71,92999
27-Jul-16,15.00,15.01,14.66,14.73,181765
26-Jul-16,15.08,15.11,14.88,15.02,116837
25-Jul-16,15.10,15.25,14.93,15.07,153742
22-Jul-16,14.96,15.10,14.96,15.07,66867
21-Jul-16,15.36,15.36,14.91,14.96,129033
20-Jul-16,15.03,15.39,15.01,15.33,164712
19-Jul-16,15.20,15.25,14.94,15.08,156687
18-Jul-16,14.95,15.27,14.95,15.15,203387
15-Jul-16,14.78,15.03,14.66,14.94,134790
14-Jul-16,15.08,15.18,14.76,14.77,112326
13-Jul-16,15.10,15.36,15.02,15.07,132073
12-Jul-16,15.15,15.38,14.97,15.19,195598
11-Jul-16,14.88,15.25,14.76,15.16,199626
8-Jul-16,14.66,15.01,14.61,14.86,167420
7-Jul-16,14.86,14.93,14.58,14.65,92494
6-Jul-16,14.75,14.99,14.60,14.83,143580
5-Jul-16,14.81,15.06,14.71,14.88,147528
1-Jul-16,14.73,14.82,14.61,14.77,116945
30-Jun-16,14.44,14.74,14.31,14.72,184474
29-Jun-16,14.30,14.50,14.30,14.48,146404
28-Jun-16,14.04,14.26,14.04,14.25,194014
27-Jun-16,14.05,14.06,13.75,13.94,146887
24-Jun-16,13.70,14.17,13.50,14.11,341051
23-Jun-16,13.91,14.01,13.80,13.94,102967
22-Jun-16,13.91,14.02,13.82,13.90,122399
21-Jun-16,14.04,14.11,13.90,13.93,62001
20-Jun-16,13.98,14.20,13.96,14.04,225017
17-Jun-16,14.04,14.04,13.70,13.95,213901
16-Jun-16,14.01,14.07,13.85,14.00,101093
15-Jun-16,13.86,14.08,13.67,14.01,112519
14-Jun-16,14.20,14.29,13.54,13.80,172024
13-Jun-16,14.29,14.43,14.02,14.05,116008
10-Jun-16,14.37,14.54,14.21,14.50,126862
9-Jun-16,14.05,14.42,14.00,14.38,235337
8-Jun-16,14.01,14.32,13.85,14.30,207283
7-Jun-16,13.84,13.99,13.80,13.82,119006
6-Jun-16,14.00,14.10,13.74,13.86,185881
3-Jun-16,13.93,14.11,13.85,14.07,132691
2-Jun-16,13.95,13.95,13.74,13.93,74675
1-Jun-16,13.91,13.95,13.73,13.93,89644
31-May-16,13.99,13.99,13.78,13.91,103248
27-May-16,13.80,13.99,13.75,13.98,95284
26-May-16,13.62,13.85,13.60,13.78,133453
25-May-16,13.50,13.67,13.27,13.67,111509
24-May-16,13.22,13.50,13.15,13.47,84194
23-May-16,13.17,13.24,13.04,13.13,64194
20-May-16,13.17,13.23,12.98,13.12,97844
19-May-16,13.44,13.44,12.95,13.09,111076
18-May-16,13.36,13.65,13.29,13.44,94765
17-May-16,13.75,13.95,13.34,13.40,125056
16-May-16,13.64,13.83,13.59,13.74,157717
13-May-16,13.55,13.68,13.28,13.57,174024
12-May-16,13.64,13.80,13.50,13.60,164604
11-May-16,13.83,13.98,13.62,13.64,123248
10-May-16,14.00,14.19,13.73,13.78,187462
9-May-16,13.64,14.00,13.63,13.89,207710
6-May-16,13.01,13.81,12.99,13.64,370708
5-May-16,13.43,13.43,12.91,12.97,188517
4-May-16,13.00,13.40,12.89,13.23,351830
3-May-16,12.31,12.86,12.04,12.62,133891
2-May-16,12.28,12.34,12.16,12.32,96791
29-Apr-16,12.25,12.35,12.12,12.34,105242
28-Apr-16,12.31,12.44,12.23,12.26,91869
27-Apr-16,12.68,12.92,12.17,12.38,132906
26-Apr-16,12.37,12.77,12.32,12.66,126892
25-Apr-16,12.33,12.37,12.14,12.30,135958
22-Apr-16,12.30,12.39,12.20,12.32,82126
21-Apr-16,12.76,12.76,12.14,12.30,114978
20-Apr-16,12.81,12.87,12.63,12.68,69007
19-Apr-16,12.95,13.10,12.82,12.85,122959
18-Apr-16,12.44,12.89,12.43,12.87,133752
15-Apr-16,12.63,12.63,12.43,12.51,106927
14-Apr-16,12.58,12.86,12.49,12.53,99501
13-Apr-16,12.73,12.85,12.58,12.66,97295
12-Apr-16,12.54,12.82,12.54,12.70,117045
11-Apr-16,12.59,12.78,12.49,12.49,90394
8-Apr-16,12.73,12.88,12.50,12.55,87481
7-Apr-16,12.82,12.97,12.60,12.67,88429
6-Apr-16,12.67,13.00,12.56,12.91,111520
5-Apr-16,12.60,12.78,12.45,12.70,86687
4-Apr-16,12.46,12.69,12.38,12.67,102171
1-Apr-16,12.57,12.70,12.49,12.49,58785
31-Mar-16,12.68,12.83,12.58,12.68,108321
30-Mar-16,12.81,12.81,12.61,12.64,105953
29-Mar-16,12.15,12.83,12.15,12.81,110180
28-Mar-16,12.16,12.30,12.02,12.22,111239
24-Mar-16,11.87,12.38,11.69,12.22,125570
23-Mar-16,12.25,12.30,11.90,11.94,113594
22-Mar-16,11.93,12.30,11.85,12.21,112186
21-Mar-16,11.88,12.14,11.82,11.91,107316
18-Mar-16,12.06,12.20,11.78,11.87,540807
17-Mar-16,11.90,12.31,11.82,11.97,242090
16-Mar-16,11.60,11.97,11.51,11.95,141826
15-Mar-16,11.26,11.67,11.16,11.63,220113
14-Mar-16,11.57,11.67,11.30,11.34,126491
11-Mar-16,11.44,11.60,11.30,11.60,110473
10-Mar-16,11.80,11.80,11.27,11.43,197793
9-Mar-16,11.59,12.15,11.59,11.71,241818
8-Mar-16,12.03,12.26,11.52,12.02,368244
7-Mar-16,12.42,12.73,12.11,12.28,167223
4-Mar-16,12.62,12.64,12.25,12.42,206825
3-Mar-16,12.60,12.73,12.41,12.68,105250
2-Mar-16,12.19,12.69,12.19,12.67,139085
1-Mar-16,12.19,12.26,11.94,12.24,86305
29-Feb-16,12.01,12.38,11.96,12.10,158570
26-Feb-16,12.02,12.23,11.93,12.04,88136
25-Feb-16,11.70,12.05,11.70,12.01,67637
24-Feb-16,11.40,11.72,11.30,11.69,84437
23-Feb-16,11.85,11.90,11.45,11.45,120543
22-Feb-16,11.85,11.85,11.65,11.83,120491
19-Feb-16,11.55,11.96,11.55,11.83,67212
18-Feb-16,11.55,11.63,11.43,11.56,68338
17-Feb-16,11.45,11.62,11.34,11.56,127354
16-Feb-16,11.21,11.45,11.09,11.34,127817
12-Feb-16,11.13,11.38,11.00,11.12,68251
11-Feb-16,10.68,11.27,10.66,11.05,237412
10-Feb-16,10.85,11.10,10.76,10.76,108633
9-Feb-16,11.06,11.13,10.76,10.78,203924
8-Feb-16,11.42,11.45,10.79,11.13,300952
5-Feb-16,11.99,12.07,11.43,11.57,271328
4-Feb-16,12.04,12.17,11.99,12.02,92749
3-Feb-16,12.28,12.46,12.05,12.12,261850
2-Feb-16,12.06,12.20,11.81,12.13,211640
1-Feb-16,12.00,12.18,11.85,12.12,119649
29-Jan-16,11.61,12.10,11.61,12.05,190483
28-Jan-16,11.73,11.75,11.52,11.60,101322
27-Jan-16,11.70,11.75,11.38,11.58,133021
26-Jan-16,11.71,11.74,11.27,11.67,148062
25-Jan-16,11.68,11.79,11.50,11.59,93844
22-Jan-16,11.81,11.92,11.61,11.75,123483
