Date,Open,High,Low,Close,Volume
22-Nov-16,22.00,22.71,21.93,22.47,65484
21-Nov-16,23.02,23.02,21.60,22.01,238387
18-Nov-16,24.89,24.89,23.99,24.10,128387
17-Nov-16,22.98,25.42,22.78,24.93,397640
16-Nov-16,22.61,22.97,21.19,22.94,140506
15-Nov-16,20.18,23.00,20.18,22.25,225531
14-Nov-16,19.09,20.52,18.43,20.17,179411
11-Nov-16,18.94,19.82,17.93,19.57,488437
10-Nov-16,18.72,18.73,17.87,18.01,133109
9-Nov-16,17.70,18.68,17.47,18.58,94066
8-Nov-16,18.45,18.52,18.00,18.27,65598
7-Nov-16,17.71,18.70,17.61,18.55,64380
4-Nov-16,17.21,17.91,17.00,17.42,60306
3-Nov-16,18.01,18.10,16.86,17.13,52818
2-Nov-16,17.75,18.46,17.62,18.05,87920
1-Nov-16,17.70,17.81,17.56,17.79,36960
31-Oct-16,17.13,17.90,17.02,17.66,144144
28-Oct-16,17.85,17.85,16.89,17.07,72862
27-Oct-16,18.87,18.87,17.84,17.87,149455
26-Oct-16,18.71,19.04,18.56,18.80,163690
25-Oct-16,18.44,18.98,18.44,18.91,112874
24-Oct-16,18.33,18.66,18.16,18.59,174763
21-Oct-16,18.18,18.48,17.97,18.15,96510
20-Oct-16,18.21,18.77,17.97,18.24,133446
19-Oct-16,17.77,18.65,17.52,18.31,137950
18-Oct-16,17.82,18.03,17.47,17.66,160209
17-Oct-16,18.15,18.23,17.68,17.76,147263
14-Oct-16,18.01,18.48,17.92,18.02,167450
13-Oct-16,17.85,17.99,17.63,17.85,298530
12-Oct-16,18.09,18.31,17.67,18.10,78015
11-Oct-16,17.82,17.89,17.43,17.58,621115
10-Oct-16,17.68,18.01,17.55,17.91,93319
7-Oct-16,17.78,17.80,17.54,17.60,129138
6-Oct-16,17.88,18.29,17.54,17.70,165508
5-Oct-16,17.83,18.00,17.66,17.88,69079
4-Oct-16,17.67,17.96,17.64,17.74,128590
3-Oct-16,18.24,18.51,17.66,17.73,107505
30-Sep-16,18.19,18.44,17.65,18.27,184444
29-Sep-16,18.70,18.73,18.00,18.03,139216
28-Sep-16,18.80,18.80,18.52,18.66,107356
27-Sep-16,18.74,18.78,18.51,18.70,60299
