Date,Open,High,Low,Close,Volume
22-Nov-16,74.60,75.65,73.96,75.49,452449
21-Nov-16,73.70,74.26,73.34,74.24,182626
18-Nov-16,73.42,73.76,72.87,73.65,229859
17-Nov-16,73.58,74.26,72.80,73.58,207514
16-Nov-16,73.63,73.72,72.91,73.57,205436
15-Nov-16,73.48,73.80,72.99,73.38,190346
14-Nov-16,72.29,73.54,72.29,73.51,308005
11-Nov-16,71.36,72.13,70.75,71.85,316912
10-Nov-16,75.60,75.60,71.27,71.43,636142
9-Nov-16,74.91,76.07,74.53,75.11,313417
8-Nov-16,74.28,76.07,74.05,75.74,506672
7-Nov-16,72.57,74.35,72.29,74.33,458830
4-Nov-16,71.11,71.90,70.98,71.41,235508
3-Nov-16,70.85,71.46,70.64,70.87,218440
2-Nov-16,70.58,71.54,70.43,70.92,267391
1-Nov-16,71.81,71.85,70.32,70.62,345495
31-Oct-16,72.93,73.89,70.88,71.44,644902
28-Oct-16,75.11,75.99,72.58,73.02,464700
27-Oct-16,76.39,76.39,75.60,76.28,174609
26-Oct-16,76.82,77.19,76.20,76.27,179249
25-Oct-16,77.00,77.14,76.19,77.00,187127
24-Oct-16,78.10,78.10,76.55,77.00,150838
21-Oct-16,76.23,77.41,75.87,77.16,184447
20-Oct-16,76.12,76.80,75.39,75.97,219684
19-Oct-16,76.28,76.78,76.04,76.48,97884
18-Oct-16,76.78,77.00,75.98,76.39,112928
17-Oct-16,76.02,76.47,76.01,76.20,81454
14-Oct-16,75.62,76.32,75.57,76.03,176818
13-Oct-16,74.78,76.20,74.58,75.59,211211
12-Oct-16,75.56,75.81,75.10,75.66,140867
11-Oct-16,75.62,75.72,74.55,75.07,152995
10-Oct-16,76.04,76.52,75.68,75.95,116369
7-Oct-16,76.66,76.66,75.19,75.64,279517
6-Oct-16,76.10,76.67,75.76,76.64,153470
5-Oct-16,76.46,76.59,75.93,76.11,189698
4-Oct-16,77.24,77.68,76.00,76.10,242680
3-Oct-16,77.07,77.44,76.60,77.36,301526
30-Sep-16,77.36,77.92,76.97,77.41,407279
