Date,Open,High,Low,Close,Volume
22-Nov-16,7.38,7.44,7.27,7.29,248357
21-Nov-16,7.42,7.50,7.36,7.37,163652
18-Nov-16,7.36,7.45,7.32,7.32,97749
17-Nov-16,7.41,7.50,7.33,7.36,52302
16-Nov-16,7.41,7.48,7.36,7.40,52848
15-Nov-16,7.38,7.56,7.38,7.44,82562
14-Nov-16,7.44,7.50,7.29,7.36,48844
11-Nov-16,7.64,7.64,7.30,7.38,110787
10-Nov-16,8.09,8.09,7.64,7.66,124735
9-Nov-16,8.10,8.20,8.06,8.12,46757
8-Nov-16,8.12,8.29,8.12,8.21,104283
7-Nov-16,8.05,8.16,7.92,8.16,73841
4-Nov-16,8.01,8.01,7.92,7.94,94113
3-Nov-16,8.10,8.13,7.94,8.05,55700
2-Nov-16,8.10,8.10,8.01,8.06,78353
1-Nov-16,8.26,8.26,8.06,8.06,83758
31-Oct-16,8.21,8.32,8.14,8.19,110156
28-Oct-16,8.20,8.29,8.17,8.20,32071
27-Oct-16,8.26,8.29,8.15,8.17,253436
26-Oct-16,8.36,8.36,8.18,8.22,274506
25-Oct-16,8.48,8.48,8.37,8.37,113092
24-Oct-16,8.50,8.54,8.44,8.45,98358
21-Oct-16,8.48,8.49,8.40,8.45,105199
20-Oct-16,8.55,8.55,8.48,8.51,43708
19-Oct-16,8.58,8.69,8.54,8.54,81668
18-Oct-16,8.38,8.57,8.33,8.54,163096
17-Oct-16,8.20,8.28,8.16,8.27,267320
14-Oct-16,8.34,8.35,8.27,8.31,92173
13-Oct-16,8.30,8.31,8.23,8.28,108633
12-Oct-16,8.44,8.44,8.31,8.40,78952
11-Oct-16,8.44,8.58,8.35,8.45,179923
10-Oct-16,8.50,8.66,8.48,8.60,217141
7-Oct-16,8.45,8.45,8.33,8.38,82442
6-Oct-16,8.43,8.49,8.39,8.45,96596
5-Oct-16,8.41,8.44,8.30,8.43,82547
4-Oct-16,8.45,8.45,8.23,8.30,127746
3-Oct-16,8.77,8.77,8.36,8.41,199376
30-Sep-16,8.72,8.88,8.64,8.83,456057
29-Sep-16,8.75,8.78,8.60,8.63,263279
28-Sep-16,8.47,8.73,8.42,8.71,283634
27-Sep-16,8.39,8.45,8.30,8.38,199408
26-Sep-16,8.37,8.45,8.37,8.39,244271
23-Sep-16,8.52,8.52,8.36,8.38,80811
22-Sep-16,8.30,8.60,8.30,8.55,235475
21-Sep-16,8.27,8.32,8.18,8.21,192851
20-Sep-16,8.35,8.35,8.12,8.22,129829
19-Sep-16,8.23,8.45,8.23,8.28,152218
16-Sep-16,8.35,8.35,8.14,8.18,108182
15-Sep-16,8.47,8.47,8.37,8.40,128387
14-Sep-16,8.41,8.48,8.30,8.43,63039
13-Sep-16,8.50,8.50,8.32,8.36,54659
12-Sep-16,8.61,8.61,8.50,8.54,72906
9-Sep-16,8.88,8.91,8.62,8.63,81476
8-Sep-16,8.91,9.04,8.90,8.90,76037
7-Sep-16,8.91,8.97,8.89,8.94,197744
6-Sep-16,8.69,8.85,8.62,8.84,116228
2-Sep-16,8.49,8.67,8.42,8.58,306949
1-Sep-16,8.45,8.45,8.21,8.44,158235
31-Aug-16,8.36,8.42,8.31,8.41,141103
30-Aug-16,8.50,8.50,8.29,8.32,544088
29-Aug-16,8.59,8.59,8.42,8.45,88247
26-Aug-16,8.60,8.68,8.50,8.55,106776
25-Aug-16,8.49,8.62,8.49,8.55,177819
24-Aug-16,8.55,8.55,8.42,8.51,71179
23-Aug-16,8.51,8.70,8.39,8.48,129756
22-Aug-16,8.54,8.58,8.45,8.47,111661
19-Aug-16,8.53,8.67,8.46,8.55,299547
18-Aug-16,8.39,8.59,8.39,8.59,381215
17-Aug-16,8.32,8.62,8.16,8.58,358562
16-Aug-16,8.33,8.33,8.21,8.28,123947
15-Aug-16,8.23,8.45,8.23,8.35,72375
12-Aug-16,8.25,8.30,8.13,8.17,135228
11-Aug-16,8.15,8.28,8.15,8.26,60542
10-Aug-16,8.03,8.15,8.00,8.13,36730
9-Aug-16,7.87,8.02,7.87,8.00,369978
8-Aug-16,7.85,7.91,7.81,7.87,72045
5-Aug-16,7.69,7.79,7.68,7.77,30972
4-Aug-16,7.64,7.71,7.61,7.66,30356
3-Aug-16,7.63,7.69,7.51,7.65,80305
2-Aug-16,7.64,7.68,7.55,7.61,64423
1-Aug-16,7.67,7.68,7.56,7.60,95950
29-Jul-16,7.66,7.79,7.57,7.71,232857
28-Jul-16,7.79,7.79,7.58,7.64,115813
27-Jul-16,7.67,7.77,7.62,7.68,124425
26-Jul-16,7.81,7.81,7.66,7.67,147038
25-Jul-16,8.15,8.15,7.76,7.80,84371
22-Jul-16,7.93,8.15,7.93,8.13,344478
21-Jul-16,8.13,8.13,7.94,7.95,168961
20-Jul-16,7.94,8.15,7.92,8.07,61179
19-Jul-16,8.01,8.02,7.90,7.90,102456
18-Jul-16,7.99,8.06,7.97,8.03,47455
15-Jul-16,7.99,8.03,7.94,7.97,171223
14-Jul-16,8.10,8.10,7.98,8.00,282580
13-Jul-16,8.02,8.03,7.90,7.97,125193
12-Jul-16,8.04,8.07,7.97,8.01,67835
11-Jul-16,8.00,8.04,7.93,7.96,100457
8-Jul-16,7.94,8.00,7.90,7.99,101176
7-Jul-16,7.86,7.90,7.72,7.86,164671
6-Jul-16,7.81,7.85,7.74,7.83,90498
5-Jul-16,8.00,8.00,7.79,7.82,74812
1-Jul-16,8.12,8.16,7.95,8.02,114955
30-Jun-16,8.11,8.11,7.94,8.05,172832
29-Jun-16,8.00,8.06,7.95,8.04,129485
28-Jun-16,7.73,7.89,7.64,7.88,116490
27-Jun-16,7.72,7.87,7.62,7.67,66545
24-Jun-16,7.80,7.90,7.73,7.81,166260
23-Jun-16,8.13,8.18,8.07,8.14,38207
22-Jun-16,7.85,8.10,7.85,8.02,73072
21-Jun-16,7.80,7.94,7.80,7.92,48510
20-Jun-16,7.97,8.04,7.81,7.83,54642
17-Jun-16,7.86,7.90,7.80,7.85,121423
16-Jun-16,7.82,7.84,7.71,7.82,130681
15-Jun-16,7.75,7.94,7.75,7.85,118487
14-Jun-16,7.80,7.82,7.68,7.74,205513
13-Jun-16,7.74,7.80,7.66,7.76,56483
10-Jun-16,7.84,7.85,7.76,7.76,57057
9-Jun-16,7.88,7.98,7.87,7.96,71697
8-Jun-16,7.85,7.99,7.82,7.94,184809
7-Jun-16,7.49,7.85,7.49,7.82,233239
6-Jun-16,7.63,7.65,7.37,7.47,57465
3-Jun-16,7.40,7.65,7.40,7.61,45725
2-Jun-16,7.34,7.42,7.30,7.41,74044
1-Jun-16,7.21,7.36,7.20,7.33,149747
