Date,Open,High,Low,Close,Volume
22-Nov-16,77.80,78.20,77.20,78.00,134959
21-Nov-16,78.20,78.60,76.92,77.30,149202
18-Nov-16,78.35,78.40,77.45,78.05,159893
17-Nov-16,78.35,78.40,77.60,78.25,236243
16-Nov-16,77.95,78.55,76.35,78.30,234958
15-Nov-16,74.60,78.40,73.60,78.35,354737
14-Nov-16,73.70,75.45,73.70,74.25,194601
11-Nov-16,70.50,73.15,69.80,73.00,293747
10-Nov-16,69.65,72.15,69.60,70.35,268395
9-Nov-16,65.20,69.40,65.20,69.00,166405
8-Nov-16,66.20,66.50,65.40,66.25,111784
7-Nov-16,65.45,66.90,65.35,66.60,137198
4-Nov-16,63.70,65.05,63.40,63.80,143250
3-Nov-16,64.35,64.65,63.50,63.70,131311
2-Nov-16,64.50,65.45,63.85,64.20,126394
1-Nov-16,66.20,66.35,64.20,64.90,106655
31-Oct-16,66.00,66.18,64.86,65.75,136301
28-Oct-16,65.35,66.45,65.15,65.70,159775
27-Oct-16,66.80,66.80,64.80,65.00,181538
26-Oct-16,64.35,66.25,64.35,64.90,230225
25-Oct-16,61.60,64.50,61.10,64.40,222920
24-Oct-16,61.55,62.20,60.45,60.75,114483
21-Oct-16,60.00,61.18,59.95,60.65,108481
20-Oct-16,60.90,61.95,60.75,60.80,155134
19-Oct-16,60.95,61.55,60.65,61.25,160404
18-Oct-16,61.65,61.65,60.55,60.90,90292
17-Oct-16,60.85,61.30,60.20,60.80,72518
14-Oct-16,60.45,61.53,60.45,60.80,156492
13-Oct-16,60.15,60.36,58.99,59.83,108816
12-Oct-16,61.15,61.23,60.36,60.97,97114
11-Oct-16,62.61,62.73,60.78,61.20,89231
10-Oct-16,63.10,64.41,62.74,62.98,145326
7-Oct-16,63.88,63.88,60.86,62.22,190737
6-Oct-16,63.85,64.03,62.76,63.73,101757
5-Oct-16,63.97,64.36,63.08,63.94,222959
4-Oct-16,64.14,64.90,63.17,63.33,147064
3-Oct-16,64.14,64.57,63.56,64.08,145597
30-Sep-16,63.00,64.65,62.65,64.50,159065
29-Sep-16,62.56,63.10,62.22,62.58,121550
28-Sep-16,61.71,63.01,61.65,62.88,139981
27-Sep-16,60.86,61.82,60.80,61.53,103588
26-Sep-16,61.32,61.92,60.82,60.86,77657
23-Sep-16,61.82,62.62,61.35,62.10,109432
22-Sep-16,60.55,62.11,60.55,62.06,140476
21-Sep-16,59.40,60.36,59.38,60.14,112257
20-Sep-16,60.68,60.73,58.90,58.95,85720
19-Sep-16,59.78,61.29,59.78,60.44,106186
16-Sep-16,60.09,60.17,59.22,59.32,161080
15-Sep-16,58.91,60.29,58.64,60.28,84323
14-Sep-16,59.27,59.72,58.55,58.74,105820
13-Sep-16,59.83,60.36,58.99,59.30,151143
12-Sep-16,59.49,60.86,59.49,60.48,152261
9-Sep-16,62.64,62.64,59.97,59.99,133697
8-Sep-16,63.62,63.78,62.73,63.29,122535
7-Sep-16,64.25,64.32,63.08,63.76,193168
6-Sep-16,65.96,65.96,64.30,64.51,83805
2-Sep-16,65.00,65.73,64.57,65.64,117194
1-Sep-16,63.90,64.77,63.14,64.72,139511
31-Aug-16,64.30,64.38,63.38,63.94,152842
30-Aug-16,63.78,64.70,63.78,64.19,152705
29-Aug-16,62.38,64.14,62.38,63.84,93239
26-Aug-16,63.04,63.95,62.39,62.92,56679
25-Aug-16,62.48,63.17,62.08,62.82,64015
24-Aug-16,62.98,63.41,62.77,62.83,62453
23-Aug-16,63.59,63.99,63.05,63.13,91180
22-Aug-16,62.91,63.90,62.53,63.01,107955
19-Aug-16,63.10,64.08,62.56,63.30,125079
18-Aug-16,62.82,63.83,62.66,63.42,132369
17-Aug-16,62.53,63.09,62.36,62.64,105030
16-Aug-16,63.13,63.37,62.52,62.74,79662
15-Aug-16,62.00,63.76,62.00,63.16,124336
12-Aug-16,61.31,61.90,60.77,61.76,76039
11-Aug-16,60.98,61.72,60.75,61.31,98373
10-Aug-16,60.98,61.12,60.13,60.72,125237
9-Aug-16,60.46,61.16,60.24,60.76,125759
8-Aug-16,60.46,61.17,60.35,60.60,113435
5-Aug-16,57.96,60.52,57.96,60.28,351652
4-Aug-16,57.40,58.16,57.13,57.38,166361
3-Aug-16,57.09,57.59,56.23,57.27,194213
2-Aug-16,59.49,59.49,56.88,56.97,272125
1-Aug-16,61.45,61.45,59.28,59.46,146925
29-Jul-16,60.84,61.75,60.12,61.28,219804
28-Jul-16,60.89,61.09,60.00,60.85,148477
27-Jul-16,60.18,61.30,60.10,61.13,189139
26-Jul-16,57.52,60.26,57.35,60.23,167912
25-Jul-16,58.56,58.99,58.23,58.70,145790
22-Jul-16,58.25,58.98,57.84,58.85,124209
21-Jul-16,58.05,58.40,57.49,58.37,136106
20-Jul-16,57.21,58.47,56.82,58.11,147620
19-Jul-16,57.28,57.57,56.35,56.99,144321
18-Jul-16,57.55,57.92,57.42,57.62,103157
15-Jul-16,57.14,57.80,56.59,57.73,100616
14-Jul-16,56.51,56.91,56.11,56.68,137097
13-Jul-16,56.54,56.64,55.45,55.84,150349
12-Jul-16,55.97,56.75,55.30,56.29,233304
11-Jul-16,54.97,55.45,54.77,55.31,96254
8-Jul-16,53.22,55.09,53.22,54.76,152809
7-Jul-16,52.23,53.18,51.84,52.42,116294
