Date,Open,High,Low,Close,Volume
22-Nov-16,8.95,8.95,8.65,8.77,17769143
21-Nov-16,8.76,8.85,8.62,8.73,16637930
18-Nov-16,8.59,8.70,8.46,8.58,10388003
17-Nov-16,8.59,8.70,8.35,8.38,11240186
16-Nov-16,8.69,8.84,8.60,8.64,14919409
15-Nov-16,8.53,8.91,8.53,8.86,15001242
14-Nov-16,8.52,8.58,8.30,8.50,25872337
11-Nov-16,8.25,8.72,7.97,8.61,23923248
10-Nov-16,9.08,9.17,8.48,8.56,24569458
9-Nov-16,9.87,10.16,9.82,9.83,14611057
8-Nov-16,10.16,10.49,10.06,10.28,8414472
7-Nov-16,10.17,10.28,10.10,10.26,9466115
4-Nov-16,9.67,9.93,9.61,9.75,11248692
3-Nov-16,9.92,10.15,9.69,9.74,10656221
2-Nov-16,9.93,10.10,9.82,9.92,6146287
1-Nov-16,10.33,10.35,9.88,10.02,8153530
31-Oct-16,10.36,10.45,10.23,10.41,10599737
28-Oct-16,10.14,10.21,9.96,10.11,9388113
27-Oct-16,10.27,10.35,10.12,10.16,9207212
26-Oct-16,10.10,10.20,10.01,10.06,10015921
25-Oct-16,10.13,10.29,10.02,10.21,11949104
24-Oct-16,10.39,10.43,10.14,10.24,9595478
21-Oct-16,10.24,10.30,10.20,10.22,6046054
20-Oct-16,10.09,10.37,10.07,10.35,11681306
19-Oct-16,10.18,10.28,10.06,10.07,9721816
18-Oct-16,9.97,10.21,9.84,10.17,38856600
17-Oct-16,9.67,9.85,9.62,9.81,10666849
14-Oct-16,9.76,9.81,9.64,9.65,6290495
13-Oct-16,9.45,9.69,9.33,9.65,9356998
12-Oct-16,9.54,9.60,9.41,9.45,31376081
11-Oct-16,9.50,9.58,9.44,9.58,6624801
10-Oct-16,9.61,9.69,9.53,9.59,6513557
7-Oct-16,9.56,9.57,9.34,9.53,9351454
6-Oct-16,9.35,9.45,9.33,9.42,12060943
5-Oct-16,9.40,9.47,9.34,9.42,7816026
4-Oct-16,9.31,9.37,9.16,9.25,14038030
3-Oct-16,8.97,9.30,8.93,9.29,11345494
30-Sep-16,9.18,9.22,9.02,9.07,10680166
29-Sep-16,9.33,9.37,9.00,9.03,13839753
28-Sep-16,9.26,9.35,9.07,9.33,11590115
27-Sep-16,9.02,9.25,8.94,9.23,11923157
26-Sep-16,9.00,9.06,8.94,8.99,6148970
23-Sep-16,9.11,9.20,9.02,9.10,8906022
22-Sep-16,9.17,9.30,9.04,9.15,9089550
21-Sep-16,8.83,9.03,8.67,9.00,13459804
20-Sep-16,8.74,8.79,8.65,8.68,10693924
19-Sep-16,8.66,8.79,8.50,8.53,8998619
16-Sep-16,8.50,8.62,8.36,8.50,16430916
15-Sep-16,8.36,8.67,8.24,8.59,13617620
14-Sep-16,8.27,8.44,8.25,8.34,13500729
13-Sep-16,8.57,8.61,8.17,8.28,16705784
12-Sep-16,8.57,8.85,8.52,8.83,11633458
9-Sep-16,9.07,9.10,8.71,8.71,17747101
8-Sep-16,9.33,9.46,9.27,9.39,11769583
7-Sep-16,9.13,9.36,9.11,9.30,8405492
6-Sep-16,9.05,9.30,9.04,9.30,9073359
2-Sep-16,8.93,9.11,8.93,9.07,10754552
1-Sep-16,8.88,8.93,8.72,8.79,22130598
31-Aug-16,9.10,9.10,8.78,8.92,14921107
30-Aug-16,8.92,9.01,8.82,8.98,8287162
29-Aug-16,8.71,9.01,8.67,8.97,8042096
26-Aug-16,8.76,9.07,8.60,8.71,13060819
25-Aug-16,8.69,8.77,8.62,8.71,8561506
24-Aug-16,8.58,8.75,8.54,8.68,10459194
23-Aug-16,9.01,9.08,8.68,8.69,14229162
22-Aug-16,9.05,9.05,8.86,8.88,8124372
19-Aug-16,9.03,9.15,8.90,9.11,5547482
18-Aug-16,9.15,9.19,8.99,9.10,5079455
17-Aug-16,8.99,9.14,8.86,9.14,9589275
16-Aug-16,9.23,9.27,9.09,9.10,10297515
15-Aug-16,9.20,9.30,9.18,9.26,7469455
12-Aug-16,9.18,9.30,9.08,9.14,7942627
11-Aug-16,9.02,9.25,9.02,9.25,9207827
10-Aug-16,9.16,9.21,8.82,8.96,14131392
9-Aug-16,9.08,9.25,9.03,9.10,9176392
8-Aug-16,9.06,9.16,9.02,9.06,11050474
5-Aug-16,9.08,9.17,8.91,9.13,11579043
4-Aug-16,8.86,9.10,8.85,9.03,11965262
3-Aug-16,8.50,8.80,8.44,8.78,9946557
2-Aug-16,8.74,8.78,8.43,8.50,15469873
1-Aug-16,8.75,8.76,8.60,8.62,7519293
29-Jul-16,8.43,8.75,8.42,8.70,13038675
28-Jul-16,8.51,8.53,8.23,8.31,16952290
27-Jul-16,8.73,8.88,8.66,8.73,9896254
26-Jul-16,8.71,8.82,8.68,8.68,6835602
25-Jul-16,8.83,8.86,8.66,8.73,5109254
22-Jul-16,8.73,8.90,8.66,8.86,7640256
