Date,Open,High,Low,Close,Volume
22-Nov-16,20.99,21.08,20.76,21.07,253781
21-Nov-16,20.74,20.90,20.55,20.90,208127
18-Nov-16,20.81,20.84,20.61,20.72,268364
17-Nov-16,20.97,21.02,20.67,20.76,338305
16-Nov-16,20.65,20.92,20.45,20.87,253129
15-Nov-16,20.39,20.69,20.27,20.67,216358
14-Nov-16,20.63,20.75,20.39,20.50,265991
11-Nov-16,20.04,20.48,20.01,20.48,293396
10-Nov-16,19.78,20.07,19.73,20.00,416010
9-Nov-16,18.66,19.59,18.66,19.57,346187
8-Nov-16,18.73,19.09,18.53,18.84,255326
7-Nov-16,18.91,19.00,18.76,18.77,401918
4-Nov-16,18.35,18.71,18.28,18.54,313352
3-Nov-16,18.30,18.49,18.11,18.33,400821
2-Nov-16,18.33,18.49,18.17,18.19,284340
1-Nov-16,18.61,18.72,18.19,18.31,386130
31-Oct-16,18.12,18.67,18.01,18.62,452034
28-Oct-16,18.51,18.53,17.90,18.01,608440
27-Oct-16,19.45,20.10,18.52,18.60,780150
26-Oct-16,18.51,18.90,18.50,18.57,316188
25-Oct-16,19.14,19.15,18.52,18.54,308920
24-Oct-16,19.01,19.28,18.96,19.18,251830
21-Oct-16,18.87,19.11,18.71,18.97,321011
20-Oct-16,18.92,19.01,18.76,18.95,210213
19-Oct-16,18.95,19.12,18.84,18.96,246397
18-Oct-16,19.20,19.20,18.90,18.95,189805
17-Oct-16,18.64,19.06,18.62,19.00,221665
14-Oct-16,18.93,18.98,18.51,18.58,249720
13-Oct-16,18.86,19.17,18.74,18.78,166391
12-Oct-16,18.69,19.05,18.62,19.00,198155
11-Oct-16,18.96,19.03,18.60,18.64,280856
10-Oct-16,19.00,19.28,18.72,18.98,228032
7-Oct-16,19.71,19.71,18.93,18.94,327543
6-Oct-16,19.51,19.78,19.31,19.66,372197
5-Oct-16,19.39,19.83,19.39,19.57,304846
4-Oct-16,18.64,19.41,18.61,19.38,504791
3-Oct-16,18.47,18.88,18.37,18.64,608146
30-Sep-16,18.58,18.87,18.52,18.65,701303
29-Sep-16,18.77,19.04,18.45,18.45,463253
28-Sep-16,18.47,18.87,18.40,18.77,352940
27-Sep-16,18.26,18.67,18.26,18.43,276853
26-Sep-16,18.44,18.65,18.25,18.26,254231
23-Sep-16,18.73,18.85,18.44,18.50,276721
22-Sep-16,18.78,18.97,18.69,18.80,532787
21-Sep-16,18.43,18.71,18.43,18.55,369042
20-Sep-16,18.79,18.90,18.38,18.38,376146
19-Sep-16,18.40,18.74,18.40,18.69,325134
16-Sep-16,18.38,18.44,18.13,18.27,334135
15-Sep-16,18.04,18.48,18.02,18.44,365247
14-Sep-16,18.19,18.29,17.98,18.01,465624
13-Sep-16,18.69,18.69,18.32,18.33,263793
12-Sep-16,18.64,18.92,18.56,18.89,283650
9-Sep-16,19.06,19.21,18.67,18.68,456504
8-Sep-16,19.75,19.75,19.22,19.25,291761
7-Sep-16,19.46,19.88,19.46,19.74,339278
6-Sep-16,19.57,19.64,19.43,19.50,283145
2-Sep-16,19.45,19.58,19.16,19.56,282830
1-Sep-16,19.02,19.38,18.86,19.38,384324
31-Aug-16,19.11,19.20,18.88,19.01,409564
30-Aug-16,19.17,19.23,19.07,19.15,210054
