Date,Open,High,Low,Close,Volume
22-Nov-16,13.44,13.48,13.42,13.47,6335
21-Nov-16,13.35,13.44,13.35,13.43,7738
18-Nov-16,13.40,13.45,13.36,13.36,14275
17-Nov-16,13.35,13.43,13.32,13.40,8464
16-Nov-16,13.43,13.43,13.24,13.33,22368
15-Nov-16,13.32,13.40,13.32,13.40,10550
14-Nov-16,13.41,13.41,13.35,13.36,16057
11-Nov-16,13.31,13.39,13.29,13.37,8805
10-Nov-16,13.41,13.41,13.31,13.31,11489
9-Nov-16,13.41,13.43,13.37,13.38,6523
8-Nov-16,13.42,13.42,13.42,13.42,1235
7-Nov-16,13.40,13.46,13.40,13.43,2897
4-Nov-16,13.38,13.46,13.38,13.38,5073
3-Nov-16,13.36,13.47,13.36,13.40,7171
2-Nov-16,13.42,13.47,13.38,13.43,25295
1-Nov-16,13.47,13.47,13.41,13.41,3471
31-Oct-16,13.45,13.46,13.43,13.46,5578
28-Oct-16,13.45,13.46,13.37,13.44,9700
27-Oct-16,13.48,13.50,13.46,13.46,4400
26-Oct-16,13.48,13.54,13.48,13.51,5996
25-Oct-16,13.47,13.47,13.44,13.47,1201
24-Oct-16,13.45,13.48,13.44,13.44,874
21-Oct-16,13.41,13.42,13.41,13.42,330
20-Oct-16,13.49,13.50,13.40,13.42,20946
19-Oct-16,13.40,13.48,13.40,13.45,4535
18-Oct-16,13.38,13.44,13.36,13.44,27112
17-Oct-16,13.34,13.39,13.34,13.39,10222
14-Oct-16,13.48,13.48,13.34,13.35,15772
13-Oct-16,13.39,13.47,13.39,13.47,4937
12-Oct-16,13.40,13.50,13.39,13.47,16033
11-Oct-16,13.46,13.50,13.41,13.45,22073
10-Oct-16,13.53,13.53,13.40,13.44,17506
7-Oct-16,13.51,13.53,13.43,13.53,20724
6-Oct-16,13.49,13.59,13.46,13.52,2831
5-Oct-16,13.49,13.56,13.43,13.52,11329
4-Oct-16,13.55,13.60,13.46,13.52,5463
3-Oct-16,13.50,13.58,13.50,13.54,5071
30-Sep-16,13.54,13.56,13.48,13.48,5491
29-Sep-16,13.51,13.53,13.50,13.53,6482
28-Sep-16,13.50,13.55,13.50,13.51,3812
27-Sep-16,13.46,13.51,13.45,13.50,9616
26-Sep-16,13.48,13.49,13.42,13.43,23445
23-Sep-16,13.47,13.51,13.46,13.46,3405
22-Sep-16,13.61,13.61,13.45,13.49,25830
21-Sep-16,13.43,13.52,13.43,13.52,8300
20-Sep-16,13.44,13.53,13.44,13.49,3847
19-Sep-16,13.54,13.56,13.43,13.50,6500
16-Sep-16,13.49,13.50,13.49,13.49,503
15-Sep-16,13.42,13.49,13.40,13.48,18912
14-Sep-16,13.47,13.50,13.44,13.45,11250
13-Sep-16,13.38,13.48,13.38,13.48,17176
12-Sep-16,13.45,13.59,13.45,13.46,21304
9-Sep-16,13.50,13.50,13.46,13.49,3828
8-Sep-16,13.53,13.53,13.53,13.53,439
7-Sep-16,13.46,13.52,13.40,13.52,17160
6-Sep-16,13.50,13.50,13.45,13.46,7414
2-Sep-16,13.44,13.57,13.44,13.50,9731
1-Sep-16,13.50,13.50,13.41,13.45,19649
31-Aug-16,13.40,13.42,13.40,13.42,22747
30-Aug-16,13.44,13.44,13.33,13.34,26742
29-Aug-16,13.43,13.47,13.41,13.47,7471
26-Aug-16,13.37,13.44,13.35,13.42,7373
25-Aug-16,13.34,13.36,13.33,13.35,18419
24-Aug-16,13.34,13.36,13.34,13.36,12111
23-Aug-16,13.40,13.40,13.34,13.34,15152
22-Aug-16,13.41,13.42,13.39,13.40,7085
19-Aug-16,13.41,13.41,13.37,13.40,14600
18-Aug-16,13.41,13.41,13.38,13.41,7131
17-Aug-16,13.41,13.42,13.38,13.41,13536
16-Aug-16,13.42,13.43,13.37,13.40,6392
15-Aug-16,13.40,13.46,13.40,13.41,16309
12-Aug-16,13.39,13.41,13.39,13.39,12539
11-Aug-16,13.38,13.42,13.38,13.41,16797
10-Aug-16,13.52,13.52,13.44,13.44,21657
9-Aug-16,13.47,13.56,13.47,13.49,6079
8-Aug-16,13.61,13.61,13.55,13.58,5202
5-Aug-16,13.57,13.61,13.53,13.61,2404
4-Aug-16,13.59,13.62,13.53,13.60,11583
3-Aug-16,13.54,13.60,13.50,13.56,5090
2-Aug-16,13.50,13.53,13.47,13.48,7487
