Date,Open,High,Low,Close,Volume
22-Nov-16,35.25,36.10,35.15,35.65,626092
21-Nov-16,35.45,35.85,35.05,35.10,191576
18-Nov-16,35.00,35.58,34.75,35.15,263795
17-Nov-16,35.20,35.50,34.80,34.80,200486
16-Nov-16,35.40,35.65,34.85,34.90,270682
15-Nov-16,35.70,35.70,34.85,35.40,177090
14-Nov-16,36.00,36.40,35.50,35.85,147396
11-Nov-16,34.45,36.15,34.35,35.70,212492
10-Nov-16,34.25,34.75,33.95,34.40,159828
9-Nov-16,32.45,34.25,32.45,33.95,137157
8-Nov-16,32.60,33.25,32.55,32.90,95372
7-Nov-16,32.70,32.85,32.30,32.60,107938
4-Nov-16,31.85,32.50,31.65,32.05,144254
3-Nov-16,31.70,32.25,31.55,31.70,176771
2-Nov-16,31.90,31.98,31.60,31.75,132499
1-Nov-16,32.15,32.30,31.55,31.90,143477
31-Oct-16,31.85,32.25,31.50,32.15,182863
28-Oct-16,31.60,32.10,31.58,31.70,104557
27-Oct-16,32.10,32.14,31.41,31.53,96652
26-Oct-16,31.96,32.42,31.80,31.97,122047
25-Oct-16,32.14,32.21,31.72,32.03,165003
24-Oct-16,31.88,32.31,31.85,32.15,94437
21-Oct-16,31.39,31.65,31.16,31.64,153190
20-Oct-16,30.97,31.96,30.96,31.73,200203
19-Oct-16,30.82,31.57,30.63,31.09,193646
18-Oct-16,30.84,31.96,29.30,30.70,529580
17-Oct-16,33.08,33.24,32.61,33.01,73814
14-Oct-16,32.65,33.42,32.65,33.06,83151
13-Oct-16,32.72,32.85,32.54,32.74,120104
12-Oct-16,32.65,33.09,32.51,32.94,70951
11-Oct-16,33.27,33.31,32.66,32.83,86104
10-Oct-16,33.32,33.58,33.30,33.41,53961
7-Oct-16,33.85,34.00,33.08,33.23,101129
6-Oct-16,33.66,33.78,33.42,33.71,82244
5-Oct-16,33.64,33.94,33.33,33.83,124430
4-Oct-16,33.50,33.75,33.09,33.41,71497
3-Oct-16,33.37,33.64,33.25,33.54,89707
30-Sep-16,33.35,33.57,33.04,33.51,145541
29-Sep-16,33.59,33.59,33.03,33.13,132636
28-Sep-16,33.62,33.78,33.38,33.64,58059
27-Sep-16,33.21,33.56,33.15,33.52,89366
26-Sep-16,33.69,33.89,33.25,33.28,127103
23-Sep-16,34.31,34.41,33.68,33.73,126078
22-Sep-16,33.75,34.35,33.72,34.24,135126
21-Sep-16,33.60,33.77,33.20,33.46,157123
20-Sep-16,33.46,33.74,33.28,33.39,104845
19-Sep-16,33.13,33.42,32.97,33.14,186979
16-Sep-16,32.85,33.21,32.69,32.89,480462
15-Sep-16,32.50,32.95,32.46,32.80,133126
14-Sep-16,32.50,32.66,31.90,32.42,102550
13-Sep-16,32.65,32.81,32.38,32.56,128766
12-Sep-16,32.10,32.93,32.10,32.90,169814
9-Sep-16,32.58,32.75,32.20,32.22,192910
8-Sep-16,33.14,33.14,32.80,32.88,164422
7-Sep-16,33.17,33.36,32.93,33.20,395780
6-Sep-16,33.41,33.41,32.82,33.16,288256
2-Sep-16,33.22,33.40,32.91,33.23,547782
1-Sep-16,33.00,33.08,32.60,33.00,152692
31-Aug-16,33.08,33.23,32.78,33.00,428036
30-Aug-16,33.58,33.58,33.10,33.22,179658
29-Aug-16,33.18,33.90,33.15,33.42,505002
26-Aug-16,33.22,33.32,32.66,33.14,290566
25-Aug-16,33.62,33.62,32.94,33.22,266474
24-Aug-16,34.24,34.38,33.30,33.62,232780
23-Aug-16,34.40,34.56,33.94,34.10,210464
22-Aug-16,34.20,34.33,33.66,34.10,149808
19-Aug-16,34.64,34.76,34.28,34.40,345572
18-Aug-16,34.43,34.84,34.43,34.60,194590
17-Aug-16,34.88,35.00,34.28,34.39,215936
16-Aug-16,35.02,35.68,34.67,34.79,216746
15-Aug-16,33.92,35.24,33.30,35.08,329646
12-Aug-16,35.40,36.10,35.00,35.55,117850
11-Aug-16,35.05,35.54,34.78,35.32,114574
10-Aug-16,35.14,35.36,34.78,35.04,100658
9-Aug-16,35.24,35.54,34.78,35.18,113690
8-Aug-16,34.58,35.23,34.52,35.16,97204
5-Aug-16,34.42,34.87,34.26,34.71,134886
4-Aug-16,34.14,34.42,34.04,34.22,98514
3-Aug-16,34.38,34.52,34.00,34.18,112678
2-Aug-16,34.60,34.83,34.40,34.40,72284
1-Aug-16,34.84,35.36,34.70,34.85,126410
29-Jul-16,34.82,35.14,34.61,34.87,111144
28-Jul-16,34.46,35.13,34.44,34.92,105872
27-Jul-16,34.68,34.88,34.42,34.60,162694
26-Jul-16,34.93,34.93,34.50,34.66,192516
25-Jul-16,35.77,35.86,34.78,34.81,125022
22-Jul-16,35.29,36.28,35.25,35.80,145892
21-Jul-16,37.24,37.66,34.86,35.34,232586
20-Jul-16,37.14,37.70,36.88,37.42,137288
19-Jul-16,37.30,37.66,36.73,37.15,69314
18-Jul-16,37.44,37.68,36.83,37.40,73214
15-Jul-16,37.60,37.72,37.07,37.35,124502
14-Jul-16,37.70,37.80,37.25,37.43,87604
13-Jul-16,37.36,37.78,37.25,37.45,104122
12-Jul-16,37.30,37.55,36.81,37.24,104464
11-Jul-16,37.48,37.65,36.74,37.07,155418
8-Jul-16,36.52,37.08,36.10,36.98,134350
7-Jul-16,36.17,36.81,35.99,36.16,82834
6-Jul-16,35.94,36.59,35.82,36.28,113076
5-Jul-16,35.85,36.49,35.53,36.07,91530
1-Jul-16,36.49,36.98,35.84,36.04,70506
