Date,Open,High,Low,Close,Volume
22-Nov-16,39.91,40.10,39.67,40.06,935402
21-Nov-16,39.36,39.77,39.19,39.70,671108
18-Nov-16,39.43,39.78,39.22,39.28,914150
17-Nov-16,40.23,40.31,39.76,39.99,689666
16-Nov-16,40.22,40.43,39.89,40.10,768048
15-Nov-16,40.00,40.48,39.99,40.37,891213
14-Nov-16,39.97,40.66,39.88,40.23,1119125
11-Nov-16,39.33,39.82,39.24,39.78,774502
10-Nov-16,39.66,40.01,39.06,39.39,858759
9-Nov-16,36.63,39.80,36.63,39.54,2924615
8-Nov-16,36.85,37.06,36.56,36.63,696224
7-Nov-16,36.96,37.18,36.72,36.88,810947
4-Nov-16,36.57,36.69,36.16,36.37,1121072
3-Nov-16,37.36,37.49,36.43,36.68,1267156
2-Nov-16,37.67,37.67,36.96,37.34,1889446
1-Nov-16,38.92,38.93,36.95,37.75,2055571
31-Oct-16,38.84,39.34,38.84,39.22,682622
28-Oct-16,38.68,39.34,38.68,38.89,330012
27-Oct-16,38.66,38.68,38.43,38.60,378238
26-Oct-16,38.62,38.91,38.62,38.68,550967
25-Oct-16,38.79,39.02,38.68,38.75,664294
24-Oct-16,38.93,39.20,38.92,39.05,322768
21-Oct-16,38.46,38.79,38.32,38.76,457326
20-Oct-16,38.77,38.88,38.42,38.70,551030
19-Oct-16,38.50,39.04,38.40,38.90,704604
18-Oct-16,38.51,38.67,38.25,38.52,480348
17-Oct-16,37.68,38.45,37.68,38.36,435950
14-Oct-16,38.00,38.32,37.72,37.81,376835
13-Oct-16,37.75,37.99,37.61,37.88,351288
12-Oct-16,37.75,38.25,37.63,38.01,302237
11-Oct-16,38.52,38.62,37.57,37.79,510918
10-Oct-16,38.44,38.82,38.44,38.59,319567
7-Oct-16,38.34,38.46,38.07,38.35,759469
6-Oct-16,38.17,38.41,38.06,38.38,442783
5-Oct-16,38.25,38.43,37.90,38.19,858797
4-Oct-16,38.26,38.46,37.97,38.11,354598
3-Oct-16,38.32,38.40,38.20,38.27,381023
30-Sep-16,38.46,38.63,38.37,38.37,494713
29-Sep-16,38.78,39.04,38.22,38.39,660319
28-Sep-16,38.99,39.30,38.81,39.01,511386
27-Sep-16,38.66,39.09,38.66,38.99,667594
26-Sep-16,38.83,39.10,38.69,38.76,420054
23-Sep-16,39.24,39.33,38.89,38.92,475136
22-Sep-16,39.25,39.49,39.13,39.44,406762
21-Sep-16,38.44,38.95,38.43,38.93,338568
20-Sep-16,38.73,38.87,38.37,38.37,367121
19-Sep-16,38.77,38.77,38.21,38.44,683443
16-Sep-16,38.65,38.81,38.26,38.42,640030
15-Sep-16,37.74,38.79,37.74,38.69,389428
14-Sep-16,38.21,38.36,37.87,37.91,335840
13-Sep-16,38.83,39.22,38.10,38.10,958263
12-Sep-16,38.95,39.45,38.83,39.19,766184
9-Sep-16,39.36,39.39,39.00,39.17,762559
8-Sep-16,39.10,39.70,39.02,39.66,465724
7-Sep-16,39.22,39.43,38.99,39.06,728339
6-Sep-16,39.30,39.39,39.02,39.22,386612
2-Sep-16,39.22,39.36,39.14,39.30,385222
1-Sep-16,38.87,39.18,38.70,39.12,677975
31-Aug-16,39.08,39.10,38.63,38.81,547097
30-Aug-16,39.24,39.34,38.90,39.06,434864
29-Aug-16,39.13,39.45,39.13,39.26,463843
26-Aug-16,38.84,39.20,38.82,39.03,367557
25-Aug-16,39.10,39.10,38.74,38.89,489222
24-Aug-16,39.40,39.46,39.06,39.10,327244
23-Aug-16,39.42,39.49,39.20,39.34,703143
22-Aug-16,39.35,39.40,39.02,39.17,511556
19-Aug-16,39.31,39.41,39.16,39.37,516332
18-Aug-16,38.96,39.51,38.95,39.32,620820
17-Aug-16,38.20,39.01,38.09,38.99,845590
16-Aug-16,38.50,38.52,38.23,38.25,392844
15-Aug-16,38.29,38.71,38.21,38.54,554633
12-Aug-16,38.35,38.50,38.10,38.37,881191
11-Aug-16,37.90,38.47,37.80,38.29,1310336
10-Aug-16,38.03,38.16,37.76,37.90,803014
9-Aug-16,38.05,38.61,37.61,37.92,918080
8-Aug-16,37.95,38.07,37.80,37.96,852748
5-Aug-16,37.42,38.21,37.35,37.98,1563816
4-Aug-16,37.20,37.48,37.17,37.35,401600
3-Aug-16,36.73,37.19,36.67,37.18,814419
2-Aug-16,36.76,36.92,36.58,36.83,515826
1-Aug-16,36.81,36.92,36.70,36.88,469368
29-Jul-16,36.62,36.90,36.49,36.81,433489
28-Jul-16,36.57,36.63,36.40,36.60,707969
27-Jul-16,36.50,36.60,36.26,36.55,392645
26-Jul-16,36.10,36.47,36.10,36.45,330743
25-Jul-16,35.57,36.04,35.37,36.03,984559
22-Jul-16,35.74,35.97,35.34,35.61,357475
21-Jul-16,36.16,36.16,35.71,35.73,268012
20-Jul-16,35.99,36.16,35.83,36.13,342707
19-Jul-16,35.93,36.14,35.87,35.99,332383
18-Jul-16,36.10,36.10,35.80,35.92,324199
15-Jul-16,36.50,36.52,35.96,36.01,626730
14-Jul-16,36.48,36.53,36.03,36.33,712148
13-Jul-16,36.05,36.45,36.05,36.14,655113
12-Jul-16,36.00,36.00,35.74,35.75,347377
11-Jul-16,35.76,35.91,35.75,35.76,324756
8-Jul-16,35.73,35.82,35.48,35.69,551730
7-Jul-16,35.32,35.70,35.32,35.45,485080
6-Jul-16,34.85,35.39,34.75,35.30,621709
5-Jul-16,35.09,35.17,34.69,34.82,479371
1-Jul-16,35.77,35.94,35.18,35.34,568249
30-Jun-16,35.34,35.79,35.29,35.77,526770
29-Jun-16,35.08,35.44,35.00,35.31,717737
28-Jun-16,34.40,34.88,34.40,34.79,702066
27-Jun-16,34.74,34.80,33.85,34.16,812580
24-Jun-16,35.00,35.48,35.00,35.08,2631688
23-Jun-16,36.40,36.43,35.92,36.12,577188
22-Jun-16,35.89,36.22,35.79,36.15,598710
21-Jun-16,35.57,35.97,35.55,35.89,526322
20-Jun-16,35.74,35.82,35.37,35.49,466257
17-Jun-16,35.07,35.36,35.07,35.31,504537
16-Jun-16,34.96,35.21,34.72,35.13,461039
15-Jun-16,34.85,35.19,34.85,35.14,406015
14-Jun-16,34.94,35.18,34.70,34.93,542710
13-Jun-16,35.28,35.43,35.02,35.05,518024
10-Jun-16,35.56,35.82,35.26,35.45,387908
9-Jun-16,35.59,35.96,35.50,35.93,357379
8-Jun-16,36.01,36.20,35.65,35.74,658735
7-Jun-16,36.00,36.38,35.92,36.03,710952
6-Jun-16,35.75,36.10,35.65,35.90,550380
3-Jun-16,35.64,35.91,35.46,35.81,442429
2-Jun-16,35.46,35.72,35.39,35.71,463192
1-Jun-16,34.91,35.66,34.91,35.65,562122
31-May-16,35.14,35.33,35.11,35.17,501743
27-May-16,35.07,35.17,34.95,35.11,180685
26-May-16,34.85,35.19,34.83,35.07,352905
25-May-16,34.94,35.50,34.72,34.85,796957
24-May-16,34.71,34.99,34.53,34.91,400408
23-May-16,34.85,34.99,34.35,34.58,496945
20-May-16,34.36,34.95,34.14,34.86,783929
19-May-16,34.15,34.28,33.91,34.17,624589
18-May-16,34.07,34.42,33.83,34.29,611270
17-May-16,34.58,34.70,33.94,34.14,761057
16-May-16,33.93,34.68,33.74,34.55,786757
13-May-16,34.46,34.54,33.71,33.83,671470
12-May-16,34.19,34.57,34.06,34.46,570185
11-May-16,34.08,34.60,33.91,34.13,725777
10-May-16,33.30,34.20,33.22,34.16,812056
9-May-16,33.16,33.55,33.00,33.37,785957
6-May-16,32.81,33.08,32.70,33.05,652588
5-May-16,32.87,33.07,32.58,32.78,731103
4-May-16,33.62,33.72,32.74,32.86,754487
3-May-16,33.89,34.89,33.50,33.70,972804
2-May-16,33.37,33.42,33.14,33.28,657196
29-Apr-16,33.50,33.58,33.18,33.39,485640
28-Apr-16,33.56,34.01,33.39,33.57,417119
27-Apr-16,33.07,33.83,32.97,33.78,711560
26-Apr-16,32.53,33.06,32.53,33.04,971850
25-Apr-16,33.20,33.29,32.36,32.52,795146
22-Apr-16,33.28,33.42,33.13,33.32,371576
21-Apr-16,33.22,33.43,33.14,33.23,287152
20-Apr-16,33.23,33.35,32.97,33.25,689577
19-Apr-16,33.24,33.37,33.09,33.17,430618
18-Apr-16,32.72,33.15,32.72,33.10,418887
15-Apr-16,32.94,33.01,32.87,32.94,438067
14-Apr-16,33.14,33.28,32.86,32.91,667406
13-Apr-16,32.73,33.18,32.69,33.05,443026
12-Apr-16,32.46,32.75,32.34,32.59,682307
11-Apr-16,32.41,32.73,32.24,32.39,475032
8-Apr-16,32.54,32.68,32.26,32.36,610353
7-Apr-16,32.60,32.61,32.32,32.38,347942
6-Apr-16,32.75,32.87,32.41,32.69,538074
5-Apr-16,33.03,33.04,32.55,32.72,550321
4-Apr-16,33.63,33.76,33.16,33.20,801230
1-Apr-16,33.32,33.91,33.06,33.73,1377310
31-Mar-16,34.01,34.15,33.55,33.56,369853
30-Mar-16,34.18,34.34,33.93,34.21,322755
29-Mar-16,33.70,33.98,33.56,33.96,257136
28-Mar-16,33.97,34.19,33.74,33.80,217784
