Date,Open,High,Low,Close,Volume
22-Nov-16,26.46,26.63,26.34,26.49,3173846
21-Nov-16,26.87,26.87,26.11,26.35,5213678
18-Nov-16,26.00,26.61,25.81,26.60,5052365
17-Nov-16,25.58,26.12,25.43,25.90,3678766
16-Nov-16,25.81,25.96,25.30,25.56,4339488
15-Nov-16,25.41,26.00,25.20,25.90,6076258
14-Nov-16,24.50,25.31,24.45,25.27,7727561
11-Nov-16,24.59,24.66,24.10,24.20,7100876
10-Nov-16,23.99,24.64,23.72,24.53,9968476
9-Nov-16,23.98,24.08,23.33,23.69,9296804
8-Nov-16,23.84,24.08,23.52,24.04,3875488
7-Nov-16,24.00,24.21,23.67,23.86,3750419
4-Nov-16,23.70,24.10,23.51,23.54,3129496
3-Nov-16,24.01,24.17,23.70,23.84,3472160
2-Nov-16,24.80,24.87,24.33,24.36,4040733
1-Nov-16,25.15,25.65,24.80,24.92,3303269
31-Oct-16,25.55,25.78,25.02,25.03,2672125
28-Oct-16,25.48,25.93,25.35,25.50,3880516
27-Oct-16,26.00,26.30,25.16,25.34,6865522
26-Oct-16,25.10,25.46,24.94,25.38,5456902
25-Oct-16,24.80,25.25,24.70,25.04,4284455
24-Oct-16,24.54,25.05,24.41,24.79,4906233
21-Oct-16,23.53,24.11,23.41,24.07,4458159
20-Oct-16,23.75,23.78,23.47,23.62,2957129
19-Oct-16,23.75,24.05,23.61,23.71,4980075
18-Oct-16,23.80,23.80,23.38,23.61,3569111
17-Oct-16,23.73,23.73,23.34,23.52,3627191
14-Oct-16,23.96,24.19,23.64,23.68,3911888
13-Oct-16,24.00,24.02,23.74,23.84,5397630
12-Oct-16,24.32,24.40,24.02,24.16,3651105
11-Oct-16,24.62,24.65,24.02,24.30,4147288
10-Oct-16,24.79,24.88,24.52,24.66,2064680
7-Oct-16,24.79,24.79,24.46,24.68,2548742
6-Oct-16,25.13,25.14,24.65,24.79,3163149
5-Oct-16,25.25,25.36,24.98,25.14,4127902
4-Oct-16,25.29,25.36,24.88,25.09,3674067
3-Oct-16,25.43,25.73,25.05,25.19,2580280
30-Sep-16,25.26,25.70,25.05,25.53,5698539
29-Sep-16,25.07,25.52,24.89,25.06,4169847
28-Sep-16,25.10,25.18,24.86,25.12,3493516
27-Sep-16,25.35,25.44,24.92,25.00,5416835
26-Sep-16,25.59,25.64,25.26,25.46,3149229
23-Sep-16,26.00,26.12,25.76,25.83,3470024
22-Sep-16,26.50,26.61,25.96,26.05,4356506
21-Sep-16,26.00,26.42,25.91,26.35,2577098
20-Sep-16,26.02,26.15,25.71,25.96,2293863
19-Sep-16,25.80,26.09,25.72,25.83,2000630
16-Sep-16,25.78,25.78,25.46,25.76,2079800
15-Sep-16,25.59,26.02,25.45,25.79,2888962
14-Sep-16,25.69,25.74,25.30,25.59,3069197
13-Sep-16,26.07,26.11,25.51,25.78,4865648
12-Sep-16,25.91,26.45,25.38,26.32,4038012
9-Sep-16,26.63,26.65,25.92,26.17,4551961
8-Sep-16,26.56,27.00,26.55,26.79,1853633
7-Sep-16,26.76,26.80,26.39,26.62,2542341
6-Sep-16,26.95,26.99,26.47,26.70,2288550
2-Sep-16,26.98,27.24,26.75,26.88,3513230
1-Sep-16,27.59,27.59,26.66,26.93,3836918
31-Aug-16,27.67,27.67,27.17,27.42,1544932
30-Aug-16,27.66,27.69,27.45,27.58,1427226
29-Aug-16,27.50,27.81,27.37,27.60,2509763
26-Aug-16,27.83,27.97,27.10,27.44,4042837
25-Aug-16,28.00,28.23,27.77,27.82,1862109
24-Aug-16,28.16,28.25,28.02,28.16,2005975
23-Aug-16,28.36,28.51,28.19,28.23,2845155
22-Aug-16,28.08,28.24,27.89,28.20,1919291
19-Aug-16,28.22,28.36,28.06,28.19,1756523
18-Aug-16,27.89,28.40,27.89,28.32,3507765
17-Aug-16,27.80,28.10,27.70,27.89,2235508
16-Aug-16,27.90,27.94,27.72,27.87,1513038
15-Aug-16,27.62,28.07,27.60,27.94,2026576
12-Aug-16,27.78,27.90,27.58,27.60,2934978
11-Aug-16,27.95,28.23,27.88,27.90,2049104
10-Aug-16,27.85,28.07,27.66,27.83,2506206
9-Aug-16,27.72,28.15,27.66,27.89,5919027
8-Aug-16,27.46,27.68,27.26,27.63,3695301
5-Aug-16,26.81,27.29,26.77,27.19,4201525
4-Aug-16,26.69,26.86,26.38,26.63,3929709
3-Aug-16,25.95,26.71,25.93,26.66,5817326
2-Aug-16,26.33,26.45,25.84,25.95,4885153
1-Aug-16,26.80,26.90,26.41,26.47,5022023
29-Jul-16,26.88,27.03,26.68,26.84,2166027
28-Jul-16,27.14,27.21,26.82,26.99,3890280
27-Jul-16,27.69,28.02,27.30,27.50,6077738
26-Jul-16,27.70,27.84,27.49,27.67,4885994
25-Jul-16,27.47,28.28,27.45,27.68,6129964
22-Jul-16,26.85,27.52,26.82,27.42,5742921
21-Jul-16,26.09,26.99,26.04,26.83,7204536
20-Jul-16,25.30,26.03,25.01,25.84,5304823
19-Jul-16,25.03,25.33,24.97,25.30,2371659
18-Jul-16,25.00,25.24,24.96,25.13,4415601
15-Jul-16,25.20,25.24,24.94,25.00,3062737
14-Jul-16,25.05,25.31,24.92,25.07,3570988
13-Jul-16,24.60,25.00,24.17,24.80,4596672
12-Jul-16,24.37,24.91,24.20,24.57,7021378
11-Jul-16,24.12,24.51,24.02,24.10,4460422
8-Jul-16,23.64,24.12,23.50,24.00,5146077
7-Jul-16,23.20,23.54,23.05,23.41,6719387
6-Jul-16,23.01,23.07,22.45,22.96,13704744
5-Jul-16,24.28,24.28,23.25,23.25,7262985
1-Jul-16,24.45,24.83,24.34,24.50,2811611
30-Jun-16,24.90,24.97,24.35,24.54,3411958
29-Jun-16,24.01,24.75,23.85,24.75,4295974
28-Jun-16,23.98,24.26,23.52,23.86,5615535
27-Jun-16,24.03,24.08,23.26,23.32,6597866
24-Jun-16,24.44,25.49,24.35,24.47,7158367
23-Jun-16,25.43,25.89,25.33,25.88,5054304
22-Jun-16,25.33,25.60,25.07,25.17,2334864
21-Jun-16,25.68,25.86,25.28,25.32,4050668
20-Jun-16,25.37,25.92,25.34,25.49,4706796
