Date,Open,High,Low,Close,Volume
22-Nov-16,34.11,34.11,33.42,33.76,1152390
21-Nov-16,33.49,34.02,33.07,34.00,1727082
18-Nov-16,33.29,33.45,32.87,33.33,1165089
17-Nov-16,32.47,33.68,32.45,33.10,1694903
16-Nov-16,32.22,32.23,31.82,32.08,909651
15-Nov-16,32.20,32.44,31.80,32.39,1599843
14-Nov-16,31.49,32.16,31.43,32.07,1682797
11-Nov-16,31.50,31.76,31.19,31.26,2061570
10-Nov-16,31.41,31.86,30.58,31.34,3178900
9-Nov-16,30.81,31.31,30.20,31.12,3227774
8-Nov-16,31.57,31.89,31.09,31.35,1692517
7-Nov-16,32.32,32.57,31.89,32.07,1095921
4-Nov-16,31.11,32.46,30.93,31.71,1329375
3-Nov-16,31.51,31.75,30.98,31.07,1233846
2-Nov-16,31.73,32.03,31.26,31.50,1291570
1-Nov-16,32.27,32.57,31.43,31.75,1873763
31-Oct-16,31.96,32.63,31.96,32.32,1859294
28-Oct-16,30.68,32.21,30.68,31.96,2423099
27-Oct-16,31.98,32.86,30.18,30.88,3487419
26-Oct-16,30.81,31.57,30.52,30.99,2621386
25-Oct-16,31.80,31.80,30.91,31.00,2098142
24-Oct-16,31.98,32.10,31.57,31.98,1407559
21-Oct-16,31.61,31.77,31.27,31.47,1706177
20-Oct-16,32.25,32.25,31.45,31.78,1495155
19-Oct-16,32.39,32.67,32.05,32.52,1219299
18-Oct-16,32.49,32.61,32.29,32.29,830391
17-Oct-16,32.20,32.63,31.98,32.16,1002711
14-Oct-16,32.30,32.68,32.10,32.21,1502000
13-Oct-16,32.70,32.70,32.18,32.32,1368558
12-Oct-16,33.33,33.40,32.95,32.99,1211466
11-Oct-16,33.06,33.34,32.90,33.25,1812885
10-Oct-16,33.04,33.36,32.95,33.20,667127
7-Oct-16,33.47,34.19,32.90,33.01,1067690
6-Oct-16,32.99,33.52,32.85,33.37,1057019
5-Oct-16,32.99,33.47,32.90,33.14,1616217
4-Oct-16,33.05,33.37,32.61,32.73,1173538
3-Oct-16,33.21,33.46,32.95,33.09,907895
30-Sep-16,33.22,33.72,33.01,33.44,1646267
29-Sep-16,34.01,34.42,33.05,33.19,1306342
28-Sep-16,34.15,34.42,33.69,34.19,1164422
27-Sep-16,33.85,34.42,33.78,34.14,1030938
26-Sep-16,33.78,34.05,33.57,33.89,1927734
23-Sep-16,34.06,34.48,33.95,33.95,1181807
22-Sep-16,34.23,34.66,34.11,34.17,1572511
21-Sep-16,33.46,34.06,33.19,33.83,1369710
20-Sep-16,34.16,34.16,32.86,33.36,2650159
19-Sep-16,33.63,34.67,33.63,33.80,1794318
16-Sep-16,33.94,34.09,33.14,33.36,3470147
15-Sep-16,34.84,34.99,34.27,34.47,2028221
14-Sep-16,34.77,35.08,34.42,34.82,867686
13-Sep-16,35.55,35.80,34.58,34.68,1272354
12-Sep-16,34.86,35.94,34.73,35.86,961164
9-Sep-16,36.77,36.77,34.98,35.15,1817047
8-Sep-16,37.02,37.47,36.91,37.17,948451
7-Sep-16,37.71,37.71,36.43,37.22,811620
6-Sep-16,36.58,36.61,36.12,36.41,399584
2-Sep-16,36.43,36.93,36.30,36.38,803256
1-Sep-16,36.58,36.89,35.98,36.16,724294
31-Aug-16,36.47,36.71,36.08,36.49,956973
30-Aug-16,36.08,36.51,36.03,36.48,852512
29-Aug-16,36.29,36.65,36.12,36.16,776008
26-Aug-16,36.81,36.96,35.72,36.13,1192770
25-Aug-16,36.60,36.98,36.50,36.73,617548
24-Aug-16,36.93,36.98,36.45,36.71,925386
23-Aug-16,36.28,37.60,36.22,37.08,1508390
22-Aug-16,35.74,36.07,35.44,35.97,774584
19-Aug-16,35.99,36.09,35.62,35.75,895743
18-Aug-16,35.76,36.05,35.40,36.00,911701
17-Aug-16,36.12,36.26,35.45,35.77,657881
16-Aug-16,36.42,36.50,36.00,36.18,681401
15-Aug-16,36.11,36.97,35.99,36.45,792799
12-Aug-16,36.54,36.54,35.66,35.84,1191806
11-Aug-16,35.74,36.15,35.57,35.70,1408655
10-Aug-16,36.08,36.16,35.35,35.63,1003211
9-Aug-16,36.05,36.08,35.67,36.03,1029723
8-Aug-16,36.76,36.90,36.03,36.15,881850
5-Aug-16,36.69,37.05,36.68,36.76,1142815
4-Aug-16,36.38,36.52,35.80,36.37,1369721
