Date,Open,High,Low,Close,Volume
22-Nov-16,18.25,18.25,17.85,18.25,464102
21-Nov-16,17.65,17.95,17.50,17.80,346914
18-Nov-16,17.05,17.55,17.00,17.55,238275
17-Nov-16,17.25,17.30,16.90,17.00,597668
16-Nov-16,16.75,17.22,16.75,17.15,537382
15-Nov-16,16.25,17.00,16.10,16.90,239065
14-Nov-16,16.45,16.60,16.20,16.40,255899
11-Nov-16,16.20,16.65,16.05,16.40,337604
10-Nov-16,15.60,16.30,15.52,16.15,306268
9-Nov-16,14.70,15.48,14.45,15.45,427104
8-Nov-16,14.85,15.00,14.72,14.90,235348
7-Nov-16,15.10,15.10,14.80,14.85,202396
4-Nov-16,15.10,15.15,14.65,14.85,276733
3-Nov-16,14.80,15.45,14.80,14.95,279306
2-Nov-16,15.15,15.45,15.00,15.05,180231
1-Nov-16,15.80,15.80,15.20,15.30,153282
31-Oct-16,15.55,15.80,15.50,15.80,160921
28-Oct-16,15.65,15.72,15.49,15.63,99403
27-Oct-16,15.59,15.75,15.44,15.61,156726
26-Oct-16,15.59,15.70,15.45,15.54,131693
25-Oct-16,15.98,15.98,15.62,15.62,126014
24-Oct-16,15.92,16.11,15.82,15.98,212488
21-Oct-16,15.60,15.93,15.59,15.89,175965
20-Oct-16,15.66,15.82,15.53,15.81,148076
19-Oct-16,15.85,15.86,15.69,15.74,125104
18-Oct-16,16.04,16.04,15.71,15.79,119554
17-Oct-16,15.74,15.85,15.66,15.70,134173
14-Oct-16,15.99,16.04,15.66,15.78,241255
13-Oct-16,15.89,16.43,15.77,15.91,177307
12-Oct-16,16.12,16.17,16.02,16.10,139639
11-Oct-16,16.25,16.36,15.95,16.10,428036
10-Oct-16,16.27,16.50,16.16,16.37,245462
7-Oct-16,16.41,16.45,15.95,16.13,421683
6-Oct-16,16.04,16.43,15.98,16.42,256929
5-Oct-16,15.79,16.27,15.71,16.14,462619
4-Oct-16,15.82,16.14,15.43,15.70,512411
3-Oct-16,15.19,15.22,15.00,15.02,185453
30-Sep-16,15.35,15.35,15.12,15.17,187408
29-Sep-16,15.22,15.46,15.22,15.25,185327
28-Sep-16,15.04,15.33,15.01,15.27,165218
27-Sep-16,14.95,15.02,14.59,14.96,358625
26-Sep-16,15.08,15.10,14.92,15.02,317150
23-Sep-16,14.91,15.14,14.86,15.08,257542
22-Sep-16,14.82,15.04,14.79,14.99,179497
21-Sep-16,14.68,14.74,14.49,14.68,184043
20-Sep-16,14.81,14.86,14.52,14.52,161388
19-Sep-16,14.48,14.90,14.48,14.73,191495
16-Sep-16,14.25,14.45,14.06,14.39,668922
15-Sep-16,14.23,14.42,14.23,14.36,158993
14-Sep-16,14.45,14.47,14.26,14.26,218930
13-Sep-16,14.85,14.96,14.43,14.49,226226
12-Sep-16,14.75,15.00,14.58,14.97,277216
9-Sep-16,15.29,15.45,14.79,14.89,624682
8-Sep-16,14.66,15.77,14.53,15.38,575635
7-Sep-16,14.60,14.74,14.54,14.64,208227
6-Sep-16,14.72,14.79,14.53,14.63,233547
2-Sep-16,14.65,14.74,14.50,14.71,129181
1-Sep-16,14.51,14.60,14.42,14.58,140767
31-Aug-16,14.51,14.66,14.41,14.50,219628
30-Aug-16,14.59,14.76,14.50,14.56,95601
29-Aug-16,14.51,14.68,14.48,14.60,157471
26-Aug-16,14.54,14.68,14.42,14.49,151045
25-Aug-16,14.28,14.53,14.24,14.48,155353
24-Aug-16,14.50,14.63,14.27,14.29,111201
23-Aug-16,14.59,14.71,14.48,14.54,164843
22-Aug-16,14.31,14.58,14.24,14.57,157849
19-Aug-16,14.29,14.45,14.28,14.44,129041
18-Aug-16,14.13,14.41,14.13,14.35,140835
17-Aug-16,14.14,14.20,14.00,14.10,333520
16-Aug-16,14.25,14.34,14.04,14.14,372151
15-Aug-16,14.03,14.36,14.03,14.25,236809
12-Aug-16,13.97,14.03,13.76,13.99,626360
11-Aug-16,14.00,14.11,13.92,14.00,220170
10-Aug-16,13.93,14.16,13.77,14.00,308624
9-Aug-16,13.48,14.15,13.46,13.91,522386
8-Aug-16,13.25,13.49,13.16,13.49,415046
5-Aug-16,14.02,14.02,12.89,12.99,667276
4-Aug-16,13.68,13.97,13.68,13.94,189581
3-Aug-16,13.64,13.75,13.49,13.70,244999
2-Aug-16,13.86,13.93,13.66,13.66,322913
1-Aug-16,13.82,14.02,13.62,13.79,246972
29-Jul-16,13.90,13.95,13.50,13.80,373767
28-Jul-16,14.14,14.14,13.88,13.93,131867
27-Jul-16,14.11,14.17,13.96,14.11,160527
26-Jul-16,13.87,14.04,13.75,14.01,118346
25-Jul-16,13.87,13.87,13.76,13.86,100906
22-Jul-16,13.91,13.97,13.78,13.87,116468
21-Jul-16,13.90,14.05,13.81,13.91,243720
20-Jul-16,13.92,13.96,13.78,13.91,219645
19-Jul-16,14.02,14.13,13.84,13.94,200941
18-Jul-16,13.99,14.13,13.93,14.10,225239
15-Jul-16,14.03,14.12,13.96,13.99,166265
14-Jul-16,13.94,14.09,13.83,13.94,363485
13-Jul-16,13.81,13.86,13.64,13.76,273145
12-Jul-16,13.61,13.87,13.52,13.75,249904
11-Jul-16,13.43,13.50,13.31,13.46,236039
8-Jul-16,13.23,13.45,13.18,13.35,282474
7-Jul-16,13.08,13.24,12.93,13.02,154309
