Date,Open,High,Low,Close,Volume
22-Nov-16,9.15,9.29,9.06,9.26,2625336
21-Nov-16,9.32,9.42,9.13,9.18,2238104
18-Nov-16,9.33,9.33,9.04,9.08,1624248
17-Nov-16,9.29,9.29,9.16,9.24,1803305
16-Nov-16,8.92,9.30,8.90,9.20,3551213
15-Nov-16,8.86,9.05,8.71,8.97,2759098
14-Nov-16,8.75,8.88,8.70,8.87,2631388
11-Nov-16,8.99,9.01,8.60,8.71,3615840
10-Nov-16,8.64,9.10,8.59,8.94,5074702
9-Nov-16,8.41,8.60,8.35,8.54,5296301
8-Nov-16,8.32,8.62,8.23,8.48,4310643
7-Nov-16,8.39,8.50,8.24,8.25,2536362
4-Nov-16,8.16,8.58,8.12,8.24,4049777
3-Nov-16,8.34,8.34,7.97,8.23,5495990
2-Nov-16,7.68,8.35,7.60,8.34,6947371
1-Nov-16,7.74,7.74,7.41,7.46,3169735
31-Oct-16,7.93,7.94,7.69,7.70,1701750
28-Oct-16,7.92,8.05,7.88,7.93,1777417
27-Oct-16,7.96,8.04,7.88,7.93,1965263
26-Oct-16,7.83,8.10,7.83,7.94,2321667
25-Oct-16,7.93,8.01,7.81,7.88,2114144
24-Oct-16,8.05,8.06,7.87,7.88,1851994
21-Oct-16,8.05,8.09,8.00,8.04,1342852
20-Oct-16,8.00,8.15,7.93,8.12,2081187
19-Oct-16,8.07,8.09,8.00,8.03,1528776
18-Oct-16,8.01,8.01,7.84,8.00,1485906
17-Oct-16,7.97,8.06,7.88,7.91,2306950
14-Oct-16,7.91,8.08,7.87,8.02,3583891
13-Oct-16,7.67,7.83,7.45,7.82,4117426
12-Oct-16,7.89,7.93,7.74,7.76,2165051
11-Oct-16,7.98,8.02,7.88,7.94,2139765
10-Oct-16,7.92,8.03,7.88,7.96,1900921
7-Oct-16,8.07,8.08,7.86,7.88,3007098
6-Oct-16,8.08,8.21,7.92,8.04,2439707
5-Oct-16,8.22,8.23,8.09,8.13,3163223
4-Oct-16,8.39,8.42,8.09,8.10,4302840
3-Oct-16,8.56,8.62,8.37,8.43,2099715
30-Sep-16,8.74,8.82,8.55,8.56,1974639
29-Sep-16,8.72,8.83,8.62,8.68,2882859
28-Sep-16,8.55,8.65,8.33,8.63,3778284
27-Sep-16,8.64,8.67,8.50,8.56,2487467
26-Sep-16,8.81,8.86,8.69,8.71,1115028
23-Sep-16,8.89,9.00,8.75,8.84,1782032
22-Sep-16,9.08,9.16,8.89,8.95,1345351
21-Sep-16,8.82,8.96,8.80,8.96,1373014
20-Sep-16,8.78,8.92,8.71,8.74,1805301
19-Sep-16,8.91,8.91,8.71,8.75,2567358
16-Sep-16,8.78,8.81,8.68,8.77,1752039
15-Sep-16,8.68,8.90,8.68,8.84,2039940
14-Sep-16,8.63,8.84,8.59,8.68,3379931
13-Sep-16,8.99,8.99,8.57,8.64,3157081
12-Sep-16,8.96,9.10,8.93,9.03,2893087
9-Sep-16,9.20,9.28,9.01,9.04,2579198
8-Sep-16,9.41,9.43,9.27,9.33,1655046
7-Sep-16,9.51,9.59,9.35,9.37,1568175
6-Sep-16,9.40,9.52,9.31,9.49,2222813
2-Sep-16,9.24,9.32,9.18,9.30,3161470
1-Sep-16,9.19,9.22,9.05,9.13,3526652
31-Aug-16,9.31,9.32,9.09,9.22,2237486
30-Aug-16,9.36,9.49,9.31,9.34,1563076
29-Aug-16,9.30,9.38,9.25,9.35,3082044
26-Aug-16,9.45,9.59,9.28,9.29,1461481
25-Aug-16,9.55,9.56,9.39,9.42,1169128
24-Aug-16,9.47,9.66,9.46,9.56,1481817
23-Aug-16,9.45,9.57,9.39,9.50,1271336
22-Aug-16,9.40,9.46,9.31,9.42,1350489
19-Aug-16,9.49,9.56,9.43,9.45,1417512
18-Aug-16,9.62,9.65,9.50,9.55,1339173
17-Aug-16,9.65,9.66,9.51,9.61,1392602
16-Aug-16,9.90,9.92,9.67,9.67,1458251
15-Aug-16,9.82,9.87,9.67,9.85,1395858
12-Aug-16,9.84,9.84,9.65,9.74,1496258
11-Aug-16,9.52,9.79,9.49,9.78,2120831
10-Aug-16,9.61,9.63,9.39,9.45,1227338
9-Aug-16,9.73,9.75,9.49,9.52,1532834
8-Aug-16,9.65,9.72,9.56,9.69,1834315
5-Aug-16,9.43,9.53,9.30,9.52,1475270
4-Aug-16,9.47,9.68,9.42,9.43,2051205
3-Aug-16,9.45,9.48,9.25,9.48,2062743
2-Aug-16,9.49,9.56,9.29,9.45,3235371
1-Aug-16,9.55,9.63,9.08,9.14,2927188
29-Jul-16,9.58,9.85,9.38,9.56,4256982
28-Jul-16,10.40,10.42,9.39,9.50,8255223
27-Jul-16,10.60,10.68,10.49,10.63,2753874
26-Jul-16,10.22,10.55,10.20,10.55,2321331
25-Jul-16,10.30,10.34,10.15,10.26,1485183
22-Jul-16,10.50,10.54,10.28,10.35,1568209
21-Jul-16,10.57,10.66,10.42,10.53,1966677
20-Jul-16,10.53,10.70,10.51,10.61,1235685
19-Jul-16,10.69,10.71,10.51,10.59,1375620
18-Jul-16,10.73,10.80,10.68,10.77,989280
15-Jul-16,10.93,10.99,10.73,10.79,983802
14-Jul-16,10.79,10.96,10.75,10.92,1981694
13-Jul-16,10.82,10.82,10.58,10.68,2278325
12-Jul-16,10.70,10.89,10.65,10.79,2262756
11-Jul-16,10.68,10.73,10.55,10.57,1112639
8-Jul-16,10.56,10.68,10.48,10.57,2073129
7-Jul-16,10.71,10.72,10.34,10.43,1703065
6-Jul-16,10.58,10.65,10.48,10.57,1531326
5-Jul-16,10.85,10.92,10.55,10.61,1432873
1-Jul-16,10.93,11.05,10.83,10.93,687180
30-Jun-16,10.81,11.02,10.72,10.97,1874097
29-Jun-16,10.67,10.87,10.60,10.79,1475512
28-Jun-16,10.79,10.83,10.41,10.54,2324190
27-Jun-16,10.77,10.90,10.61,10.70,2878124
24-Jun-16,10.87,11.08,10.81,10.84,1835186
23-Jun-16,11.30,11.52,11.20,11.43,1012262
22-Jun-16,11.29,11.32,11.10,11.15,861239
21-Jun-16,11.20,11.21,11.04,11.17,2133728
20-Jun-16,11.42,11.50,11.19,11.21,2193163
17-Jun-16,11.33,11.38,11.15,11.19,1025929
16-Jun-16,11.11,11.28,10.95,11.23,1119359
15-Jun-16,11.30,11.37,11.16,11.24,1194550
14-Jun-16,11.56,11.64,11.21,11.30,1448914
13-Jun-16,11.65,11.77,11.57,11.62,1290433
10-Jun-16,11.96,11.96,11.65,11.70,1010024
9-Jun-16,12.22,12.22,11.96,12.00,1024505
8-Jun-16,12.33,12.42,12.17,12.24,1711059
7-Jun-16,12.11,12.18,12.00,12.14,1661052
6-Jun-16,11.77,12.06,11.76,12.04,1225892
3-Jun-16,11.70,11.77,11.58,11.71,1137915
2-Jun-16,11.33,11.60,11.33,11.60,1898566
1-Jun-16,11.56,11.61,11.33,11.40,2014123
31-May-16,11.72,11.82,11.62,11.63,2270894
27-May-16,11.66,11.78,11.58,11.71,758254
26-May-16,11.92,11.96,11.68,11.71,1195405
25-May-16,11.67,11.93,11.65,11.69,949125
24-May-16,11.55,11.79,11.37,11.60,1972326
23-May-16,11.31,11.69,11.28,11.65,1058197
20-May-16,11.47,11.53,11.31,11.39,970354
19-May-16,11.28,11.44,11.23,11.41,820801
