Date,Open,High,Low,Close,Volume
22-Nov-16,21.30,21.37,20.95,21.00,131187
21-Nov-16,21.35,21.50,20.80,21.20,140527
18-Nov-16,20.80,21.35,20.70,21.35,80440
17-Nov-16,20.40,21.10,20.40,20.70,123340
16-Nov-16,20.40,20.65,20.35,20.45,87513
15-Nov-16,20.50,20.82,20.45,20.50,102096
14-Nov-16,21.20,21.20,20.45,20.65,82439
11-Nov-16,20.55,21.10,20.30,21.00,98401
10-Nov-16,20.50,20.95,20.05,20.40,86388
9-Nov-16,19.50,20.35,19.45,20.35,53764
8-Nov-16,19.95,20.00,19.45,19.85,34427
7-Nov-16,20.05,20.35,19.00,20.05,89446
4-Nov-16,20.25,20.65,19.80,19.85,104398
3-Nov-16,19.30,20.55,19.20,20.20,353804
2-Nov-16,18.45,19.95,18.45,19.20,270875
1-Nov-16,19.70,19.80,18.90,19.35,35231
31-Oct-16,19.70,19.90,19.65,19.70,50146
28-Oct-16,19.90,19.98,19.46,19.75,59609
27-Oct-16,20.55,20.60,19.90,19.95,24531
26-Oct-16,20.35,20.85,20.30,20.45,35649
25-Oct-16,20.90,20.90,20.30,20.40,51546
24-Oct-16,20.80,21.20,20.80,21.00,21130
21-Oct-16,20.50,20.85,20.50,20.70,31719
20-Oct-16,20.85,20.90,20.40,20.70,37056
19-Oct-16,21.00,21.05,20.75,20.80,131642
18-Oct-16,21.15,21.50,20.90,20.90,26926
17-Oct-16,20.90,21.10,20.80,20.95,39656
14-Oct-16,20.94,21.26,20.78,20.84,34043
13-Oct-16,20.81,20.90,20.46,20.76,67739
12-Oct-16,20.40,21.11,20.18,21.06,72732
11-Oct-16,20.67,20.74,20.37,20.45,53867
10-Oct-16,20.74,20.76,20.56,20.65,42069
7-Oct-16,21.10,21.10,20.47,20.47,49036
6-Oct-16,21.08,21.11,20.85,21.00,39804
5-Oct-16,21.37,21.52,20.97,21.12,73781
4-Oct-16,21.23,21.64,21.04,21.25,35474
3-Oct-16,21.39,21.54,21.02,21.19,55409
30-Sep-16,21.23,21.62,21.09,21.51,71667
29-Sep-16,21.09,21.31,20.81,21.18,58400
28-Sep-16,20.77,21.26,20.70,21.15,83424
27-Sep-16,20.61,20.89,20.61,20.83,40012
26-Sep-16,20.67,20.97,20.65,20.70,48058
23-Sep-16,21.01,21.14,20.79,20.87,41524
22-Sep-16,19.80,21.04,19.60,20.97,182308
21-Sep-16,19.80,19.91,19.45,19.79,53850
20-Sep-16,20.20,20.20,19.52,19.61,87854
19-Sep-16,20.06,20.36,19.77,19.97,95370
16-Sep-16,20.43,20.43,19.96,20.00,102392
15-Sep-16,20.10,20.47,20.10,20.47,114371
14-Sep-16,19.60,20.31,19.54,20.20,154081
13-Sep-16,19.71,19.93,19.43,19.59,50252
12-Sep-16,19.27,20.01,19.27,19.93,75529
9-Sep-16,20.30,20.30,19.40,19.41,85904
8-Sep-16,20.58,20.67,20.32,20.38,69186
7-Sep-16,20.06,20.77,20.00,20.71,312876
6-Sep-16,20.29,20.40,19.98,20.12,46954
2-Sep-16,19.99,20.43,19.92,20.27,78735
1-Sep-16,19.97,19.98,19.75,19.90,51646
31-Aug-16,19.90,20.01,19.38,19.69,53382
30-Aug-16,19.97,20.05,19.72,19.89,61853
29-Aug-16,20.01,20.15,19.77,19.91,23979
26-Aug-16,20.21,20.31,19.82,19.95,199578
25-Aug-16,20.11,20.30,19.65,20.20,81412
24-Aug-16,19.78,20.13,19.74,20.08,47205
