Date,Open,High,Low,Close,Volume
22-Nov-16,36.75,36.75,36.32,36.64,867556
21-Nov-16,36.84,36.89,36.45,36.57,719239
18-Nov-16,36.80,36.91,36.31,36.42,619402
17-Nov-16,37.17,37.24,36.53,36.71,701426
16-Nov-16,36.99,37.66,36.67,37.07,699519
15-Nov-16,37.47,37.59,36.98,37.45,730722
14-Nov-16,37.02,37.63,36.83,37.50,1231829
11-Nov-16,35.70,36.38,35.60,36.36,1827734
10-Nov-16,35.59,36.66,35.59,35.90,1448930
9-Nov-16,34.30,35.16,34.10,34.96,1591319
8-Nov-16,33.24,34.22,32.84,33.99,866188
7-Nov-16,33.41,33.54,33.16,33.39,808947
4-Nov-16,31.66,32.97,31.33,32.59,1120885
3-Nov-16,30.71,31.72,30.59,31.69,786703
2-Nov-16,30.75,31.07,30.33,30.64,752378
1-Nov-16,32.05,32.05,30.66,30.98,859972
31-Oct-16,31.98,31.99,31.54,31.79,480909
28-Oct-16,32.24,32.88,31.58,31.67,1367593
27-Oct-16,30.28,32.04,30.15,32.01,1892738
26-Oct-16,29.36,30.20,29.28,29.39,838657
25-Oct-16,30.11,30.15,29.55,29.67,419518
24-Oct-16,30.22,30.62,29.86,30.13,485334
21-Oct-16,28.88,30.24,28.83,30.02,1048060
20-Oct-16,29.12,29.56,29.00,29.30,434599
19-Oct-16,29.24,29.44,29.01,29.37,1476120
18-Oct-16,29.73,29.73,28.96,29.00,375438
17-Oct-16,29.48,29.62,29.11,29.26,447978
14-Oct-16,29.54,29.79,29.23,29.44,359767
13-Oct-16,28.80,29.42,28.47,29.26,664076
12-Oct-16,29.16,29.52,29.10,29.40,247274
11-Oct-16,29.68,29.69,28.95,29.25,576638
10-Oct-16,30.30,30.73,29.70,29.86,613772
7-Oct-16,30.99,30.99,29.90,30.26,577867
6-Oct-16,30.94,31.26,30.50,31.05,2019024
5-Oct-16,30.59,31.26,30.14,31.09,550626
4-Oct-16,30.63,30.92,30.09,30.20,1382034
3-Oct-16,31.26,31.35,30.57,30.61,685928
30-Sep-16,30.84,31.66,30.65,31.43,753396
29-Sep-16,30.48,31.00,30.31,30.48,687204
28-Sep-16,29.26,30.54,29.26,30.48,1098316
27-Sep-16,28.96,29.16,28.77,29.09,484153
