Date,Open,High,Low,Close,Volume
22-Nov-16,51.15,51.55,50.35,51.55,120366
21-Nov-16,50.20,51.15,50.00,51.10,145980
18-Nov-16,50.20,50.45,49.95,50.10,247231
17-Nov-16,50.70,50.90,50.10,50.10,206348
16-Nov-16,50.00,50.95,50.00,50.43,350606
15-Nov-16,50.00,50.30,49.65,49.95,485896
14-Nov-16,49.75,50.50,49.70,50.20,232470
11-Nov-16,49.40,49.98,49.30,49.60,299763
10-Nov-16,50.25,50.40,49.40,49.50,380875
9-Nov-16,48.80,50.05,48.48,49.90,228547
8-Nov-16,48.65,49.55,48.00,49.25,287306
7-Nov-16,48.50,49.30,48.50,49.15,217358
4-Nov-16,48.35,48.55,47.95,48.00,198940
3-Nov-16,48.00,48.90,47.95,48.25,415022
2-Nov-16,47.70,48.55,47.65,48.05,278932
1-Nov-16,48.35,48.50,47.40,47.70,387474
31-Oct-16,47.55,48.50,47.45,48.45,287630
28-Oct-16,45.55,47.50,45.55,47.25,399908
27-Oct-16,46.00,46.90,44.80,45.50,226379
26-Oct-16,44.55,44.75,44.10,44.45,357722
25-Oct-16,45.00,45.40,44.55,44.85,122982
24-Oct-16,45.65,46.20,45.05,45.10,142539
21-Oct-16,44.80,45.50,44.65,45.35,82691
20-Oct-16,45.25,45.38,44.80,45.05,290282
19-Oct-16,45.90,45.95,45.30,45.40,159922
18-Oct-16,45.80,46.00,45.55,45.85,141949
17-Oct-16,44.45,45.40,44.45,45.35,425215
14-Oct-16,44.31,44.78,44.18,44.47,651412
13-Oct-16,43.98,44.29,43.70,44.06,364840
12-Oct-16,44.22,44.45,44.08,44.35,148915
11-Oct-16,44.66,44.69,43.97,44.17,173860
10-Oct-16,44.58,44.93,44.58,44.79,198408
7-Oct-16,44.83,44.83,44.11,44.41,189385
6-Oct-16,44.83,44.95,44.58,44.83,213928
5-Oct-16,44.61,45.29,44.58,44.92,551656
4-Oct-16,44.99,45.08,44.36,44.58,349106
3-Oct-16,44.92,45.23,44.55,44.82,209814
30-Sep-16,45.20,45.21,44.63,45.08,192620
29-Sep-16,44.30,45.21,44.28,44.79,158562
28-Sep-16,44.97,45.18,44.52,44.71,128096
27-Sep-16,45.62,45.68,44.94,45.09,186996
26-Sep-16,47.19,47.27,45.52,45.58,211873
23-Sep-16,46.41,46.71,46.15,46.58,238882
22-Sep-16,46.76,46.92,46.59,46.68,193632
21-Sep-16,46.29,46.62,45.81,46.60,260664
20-Sep-16,46.62,47.33,46.15,46.28,122182
19-Sep-16,46.50,46.64,45.94,46.28,154255
16-Sep-16,46.68,46.81,46.35,46.44,128708
15-Sep-16,46.50,47.12,46.50,46.80,140572
14-Sep-16,46.82,47.11,46.55,46.72,141094
13-Sep-16,47.19,47.46,46.79,46.90,220637
12-Sep-16,46.44,47.54,46.44,47.51,213901
9-Sep-16,47.83,47.94,46.63,46.79,124131
8-Sep-16,48.34,48.58,48.05,48.14,124561
7-Sep-16,48.19,48.59,48.09,48.56,119796
6-Sep-16,48.11,48.80,47.66,48.21,198416
2-Sep-16,48.37,48.52,47.98,48.09,157470
1-Sep-16,48.46,48.77,48.08,48.45,206228
31-Aug-16,48.94,49.21,48.44,48.49,117244
30-Aug-16,49.18,49.31,48.93,49.04,194024
29-Aug-16,49.14,49.50,49.06,49.16,109846
26-Aug-16,49.42,49.76,48.85,49.10,159895
25-Aug-16,49.05,49.47,49.05,49.38,188928
24-Aug-16,49.41,49.91,49.05,49.17,85341
23-Aug-16,49.57,50.05,49.42,49.43,136098
22-Aug-16,49.47,49.64,49.21,49.49,160045
19-Aug-16,49.40,49.81,49.28,49.61,137853
18-Aug-16,49.34,49.70,49.20,49.58,68998
17-Aug-16,49.53,49.54,49.16,49.33,133903
16-Aug-16,48.72,49.57,48.61,49.53,363254
15-Aug-16,48.93,49.48,48.75,48.93,273074
12-Aug-16,48.67,49.03,48.57,48.80,104473
11-Aug-16,49.14,49.28,48.76,48.82,82106
