Date,Open,High,Low,Close,Volume
22-Nov-16,108.14,109.55,106.82,109.02,314896
21-Nov-16,108.32,110.85,107.60,108.26,376444
18-Nov-16,106.53,107.45,105.62,106.05,288871
17-Nov-16,107.81,108.99,105.71,105.98,296877
16-Nov-16,105.65,108.57,104.96,106.36,535417
15-Nov-16,106.89,108.34,105.70,108.25,560299
14-Nov-16,103.48,106.39,103.43,105.93,515065
11-Nov-16,104.04,104.52,101.61,103.55,557598
10-Nov-16,100.70,105.33,99.55,105.09,902665
9-Nov-16,96.30,101.97,96.30,101.43,434578
8-Nov-16,97.05,98.04,96.68,96.80,561569
7-Nov-16,99.13,99.28,96.85,97.65,421079
4-Nov-16,97.13,98.04,96.58,97.34,736879
3-Nov-16,98.00,99.36,96.84,97.93,481698
2-Nov-16,97.60,98.30,96.59,97.08,455969
1-Nov-16,97.62,98.99,97.46,98.70,978128
31-Oct-16,99.56,99.79,96.91,96.97,547102
28-Oct-16,101.64,102.49,99.23,99.94,395808
27-Oct-16,103.85,103.85,101.36,102.16,424017
26-Oct-16,103.72,104.11,100.99,102.95,648632
25-Oct-16,104.72,106.32,104.40,104.52,649833
24-Oct-16,105.74,106.43,104.03,105.21,661661
21-Oct-16,105.45,106.96,104.60,106.20,923355
20-Oct-16,111.00,112.64,104.00,105.81,1839532
19-Oct-16,112.20,116.49,112.20,115.10,593036
18-Oct-16,112.48,112.48,110.46,111.99,299286
17-Oct-16,111.81,111.81,109.11,110.59,313245
14-Oct-16,113.11,113.58,110.52,111.41,311242
13-Oct-16,110.72,113.13,110.52,112.65,303160
12-Oct-16,113.68,114.18,112.18,112.27,236347
11-Oct-16,114.12,114.98,112.74,114.42,344546
10-Oct-16,114.44,115.65,113.95,114.43,340500
7-Oct-16,113.44,113.86,112.21,113.34,404168
6-Oct-16,112.46,113.83,111.50,112.96,575576
5-Oct-16,112.93,114.32,111.63,111.87,585873
4-Oct-16,112.13,112.99,110.35,111.08,436147
3-Oct-16,112.00,113.01,111.10,112.16,435973
30-Sep-16,111.07,113.23,109.98,112.33,636968
29-Sep-16,109.24,111.90,108.64,110.48,1122510
28-Sep-16,104.75,109.00,103.60,108.26,880594
27-Sep-16,103.82,105.29,102.50,104.53,616453
26-Sep-16,104.42,106.20,103.90,104.11,729897
23-Sep-16,107.07,107.70,104.63,104.76,806888
22-Sep-16,108.16,108.83,107.08,107.81,452860
21-Sep-16,106.92,108.43,105.85,106.86,745330
20-Sep-16,107.62,108.44,106.60,106.78,267005
19-Sep-16,108.78,108.88,107.11,107.50,210842
16-Sep-16,107.97,108.25,106.18,106.95,655506
15-Sep-16,109.63,110.36,108.66,109.21,292125
14-Sep-16,108.01,109.97,107.58,108.52,414963
13-Sep-16,109.08,109.28,106.50,108.25,472774
12-Sep-16,109.22,111.73,109.17,110.47,449621
9-Sep-16,111.68,112.44,109.91,110.20,689676
8-Sep-16,111.21,113.61,111.10,112.99,665265
7-Sep-16,112.36,112.43,110.41,110.70,524041
6-Sep-16,112.94,113.97,111.89,112.19,460707
2-Sep-16,112.42,114.29,112.10,112.32,295287
1-Sep-16,111.20,111.71,107.96,111.43,568143
31-Aug-16,114.07,115.25,111.20,111.78,463433
30-Aug-16,116.50,117.16,113.36,114.41,280855
29-Aug-16,115.07,116.10,114.50,115.34,303872
26-Aug-16,117.59,119.41,115.13,115.63,382572
25-Aug-16,116.86,118.40,116.00,117.45,289228
24-Aug-16,117.67,117.90,116.30,116.93,232015
23-Aug-16,116.22,119.29,115.20,117.99,287605
