Date,Open,High,Low,Close,Volume
22-Nov-16,19.40,19.59,19.25,19.54,224866
21-Nov-16,19.28,19.47,19.22,19.32,133218
18-Nov-16,19.43,19.47,19.20,19.22,182934
17-Nov-16,19.41,19.73,19.30,19.39,96511
16-Nov-16,19.12,19.48,19.12,19.38,147667
15-Nov-16,20.12,20.12,19.03,19.21,209346
14-Nov-16,19.53,20.18,19.47,20.15,331747
11-Nov-16,19.03,19.65,19.03,19.44,383907
10-Nov-16,18.84,19.05,18.35,18.90,267954
9-Nov-16,17.28,18.60,17.17,18.56,335260
8-Nov-16,17.20,17.80,17.15,17.55,248964
7-Nov-16,17.36,17.57,17.13,17.24,335770
4-Nov-16,16.78,17.53,16.74,17.26,241315
3-Nov-16,17.65,17.70,16.45,16.77,434293
2-Nov-16,17.54,17.69,17.40,17.62,175895
1-Nov-16,17.70,17.70,17.29,17.52,241068
31-Oct-16,17.65,17.81,17.59,17.70,171420
28-Oct-16,17.69,17.81,17.41,17.63,183522
27-Oct-16,18.04,18.04,17.61,17.65,142094
26-Oct-16,18.36,18.36,17.94,18.02,235138
25-Oct-16,18.35,18.39,18.21,18.37,162804
24-Oct-16,18.10,18.49,18.08,18.33,157653
21-Oct-16,17.84,18.04,17.77,18.00,114172
20-Oct-16,18.07,18.17,17.80,17.97,116267
19-Oct-16,17.93,18.07,17.86,18.06,153319
18-Oct-16,17.85,18.14,17.75,17.94,164103
17-Oct-16,17.72,17.95,17.66,17.68,170838
14-Oct-16,17.86,18.13,17.60,17.69,243550
13-Oct-16,17.90,18.34,17.73,17.84,303727
12-Oct-16,17.71,17.95,17.58,17.90,254365
11-Oct-16,18.55,18.55,17.76,18.00,473127
10-Oct-16,18.63,18.96,18.63,18.82,201094
7-Oct-16,19.05,19.33,18.59,18.63,372643
6-Oct-16,18.91,19.06,18.68,18.98,206260
5-Oct-16,19.17,19.24,18.89,18.93,216729
4-Oct-16,19.13,19.49,19.03,19.13,191582
3-Oct-16,19.22,19.22,18.99,19.16,154468
30-Sep-16,19.55,19.63,19.16,19.25,217074
29-Sep-16,19.55,19.59,19.35,19.37,129464
28-Sep-16,19.33,19.55,19.30,19.55,173364
27-Sep-16,19.73,19.73,19.28,19.35,171743
26-Sep-16,19.96,20.03,19.65,19.65,139149
23-Sep-16,19.77,20.09,19.63,20.02,148644
22-Sep-16,19.69,19.96,19.69,19.85,197591
21-Sep-16,19.40,19.51,19.05,19.47,152317
20-Sep-16,19.54,19.69,19.32,19.36,102955
19-Sep-16,19.37,19.58,19.31,19.45,123577
16-Sep-16,19.10,19.27,19.04,19.23,197218
15-Sep-16,18.98,19.16,18.95,19.11,350235
14-Sep-16,19.04,19.19,18.95,18.95,229896
13-Sep-16,19.25,19.27,18.97,19.00,233416
12-Sep-16,19.15,19.51,19.15,19.38,308993
9-Sep-16,20.05,20.18,19.27,19.28,364947
8-Sep-16,20.49,20.49,20.14,20.20,254938
7-Sep-16,20.16,20.50,20.12,20.49,165973
6-Sep-16,20.32,20.50,20.11,20.15,182436
2-Sep-16,20.39,20.97,20.20,20.29,198568
1-Sep-16,20.61,20.88,20.14,20.30,254658
31-Aug-16,21.20,21.21,20.70,20.73,342624
30-Aug-16,21.04,21.37,20.95,21.20,256934
29-Aug-16,21.27,21.50,20.96,21.00,314138
26-Aug-16,21.69,21.70,21.20,21.35,151280
25-Aug-16,21.32,21.62,21.26,21.61,133157
24-Aug-16,21.50,21.60,21.08,21.32,146924
23-Aug-16,21.57,21.74,21.40,21.48,123204
22-Aug-16,21.28,21.46,21.20,21.41,93636
19-Aug-16,21.23,21.34,21.06,21.23,102678
18-Aug-16,21.23,21.43,21.15,21.29,106542
17-Aug-16,21.25,21.25,20.92,21.17,177030
16-Aug-16,21.54,21.54,21.13,21.25,181745
15-Aug-16,21.42,21.61,21.39,21.54,159651
12-Aug-16,21.47,21.75,21.31,21.39,125974
11-Aug-16,21.86,21.86,21.40,21.46,189741
10-Aug-16,21.98,21.98,21.72,21.80,201458
9-Aug-16,21.90,22.01,21.63,21.80,186078
8-Aug-16,21.62,22.05,21.56,21.90,216306
5-Aug-16,21.00,21.73,20.90,21.61,441903
4-Aug-16,21.75,21.87,20.88,21.00,607822
3-Aug-16,23.14,23.14,21.89,22.11,495751
2-Aug-16,24.16,24.16,23.64,23.67,126825
1-Aug-16,23.88,24.19,23.77,24.17,145921
29-Jul-16,23.66,24.16,23.66,23.98,156338
28-Jul-16,23.62,24.01,23.38,23.72,122796
27-Jul-16,24.25,24.25,23.50,23.62,270040
26-Jul-16,24.65,24.66,24.07,24.33,290275
25-Jul-16,24.58,24.80,24.54,24.56,155384
22-Jul-16,24.30,24.71,24.26,24.50,173476
21-Jul-16,24.17,24.28,24.02,24.20,181664
20-Jul-16,24.16,24.37,23.96,24.18,150402
19-Jul-16,23.66,24.03,23.58,24.02,160557
18-Jul-16,23.54,23.87,23.45,23.73,178446
15-Jul-16,23.21,23.56,23.03,23.54,121120
14-Jul-16,23.35,23.47,23.06,23.12,177844
13-Jul-16,23.40,23.46,23.12,23.32,217373
12-Jul-16,22.72,23.33,22.72,23.28,245539
11-Jul-16,22.41,22.89,22.26,22.82,128071
8-Jul-16,22.00,22.61,21.99,22.26,384125
7-Jul-16,22.14,22.14,21.80,21.81,172642
6-Jul-16,22.14,22.22,21.86,22.10,190371
5-Jul-16,22.13,22.30,22.08,22.18,215629
1-Jul-16,22.03,22.29,21.95,22.25,160527
30-Jun-16,21.89,21.99,21.58,21.98,166498
29-Jun-16,21.50,21.86,21.38,21.86,192367
28-Jun-16,21.33,21.53,21.01,21.34,219435
27-Jun-16,21.30,21.30,20.70,20.82,298027
24-Jun-16,21.43,21.82,21.12,21.43,334730
23-Jun-16,21.48,21.84,21.44,21.83,343217
22-Jun-16,21.35,21.44,21.25,21.29,285586
21-Jun-16,21.53,21.60,21.25,21.31,294826
20-Jun-16,21.62,21.84,21.38,21.40,340924
17-Jun-16,21.29,21.56,21.17,21.34,528821
16-Jun-16,21.02,21.40,20.86,21.29,208557
15-Jun-16,20.91,21.46,20.88,21.10,209841
14-Jun-16,20.79,21.04,20.75,20.85,228939
13-Jun-16,21.07,21.26,20.79,20.85,335591
10-Jun-16,21.40,21.45,21.04,21.10,237614
9-Jun-16,21.57,21.60,21.28,21.29,244543
8-Jun-16,21.80,21.85,21.54,21.64,397874
7-Jun-16,21.97,22.05,21.78,21.80,159255
6-Jun-16,22.05,22.29,21.82,21.95,154399
3-Jun-16,22.27,22.34,22.03,22.05,256984
2-Jun-16,21.68,22.13,21.61,22.07,161995
1-Jun-16,21.73,21.92,21.61,21.68,166227
31-May-16,21.69,21.79,21.43,21.69,162926
27-May-16,21.43,21.63,21.35,21.55,139310
26-May-16,21.29,21.40,21.16,21.35,140961
25-May-16,21.16,21.42,21.02,21.40,145334
24-May-16,21.00,21.11,20.80,21.11,250906
23-May-16,20.99,20.99,20.63,20.79,138261
20-May-16,20.66,20.93,20.52,20.91,182397
19-May-16,20.97,20.97,20.36,20.57,172071
18-May-16,21.25,21.30,20.72,21.05,166862
17-May-16,22.00,22.00,21.15,21.28,199354
16-May-16,21.76,22.10,21.70,22.05,117029
13-May-16,21.84,21.84,21.37,21.70,218698
12-May-16,22.20,22.26,21.77,21.85,164816
