Date,Open,High,Low,Close,Volume
22-Nov-16,62.90,64.00,61.70,64.00,68643
21-Nov-16,63.25,63.25,62.30,62.70,96910
18-Nov-16,63.05,63.65,62.70,63.25,83885
17-Nov-16,62.35,63.75,62.05,62.85,107536
16-Nov-16,61.60,62.12,60.95,62.05,72800
15-Nov-16,61.15,62.00,60.55,61.90,66640
14-Nov-16,60.15,62.10,59.80,61.15,178397
11-Nov-16,55.10,57.40,55.10,57.35,112820
10-Nov-16,53.70,55.45,53.45,54.85,102689
9-Nov-16,51.30,53.40,51.15,53.35,99192
8-Nov-16,51.65,52.60,51.36,51.65,78320
7-Nov-16,52.80,52.80,51.10,51.70,113855
4-Nov-16,52.10,53.60,52.05,52.10,142320
3-Nov-16,51.60,52.00,51.30,51.85,89606
2-Nov-16,50.30,51.62,50.30,51.35,113682
1-Nov-16,53.35,53.35,50.30,50.30,135513
31-Oct-16,53.85,54.00,52.95,53.10,149893
28-Oct-16,53.52,54.20,52.92,53.86,149027
27-Oct-16,53.33,53.90,52.58,53.74,134552
26-Oct-16,55.25,55.60,53.06,53.13,210230
25-Oct-16,55.89,57.36,54.86,55.62,128940
24-Oct-16,56.30,57.06,54.98,55.99,264254
21-Oct-16,63.42,64.05,55.75,56.04,557549
20-Oct-16,65.50,65.52,64.11,64.78,96022
19-Oct-16,65.05,65.83,64.21,65.67,52821
18-Oct-16,65.11,65.46,64.71,64.98,35586
17-Oct-16,65.45,65.76,64.51,64.77,46569
14-Oct-16,64.86,65.87,64.51,65.62,55422
13-Oct-16,64.29,64.55,63.37,64.46,60843
12-Oct-16,64.45,65.41,64.45,64.77,27014
11-Oct-16,64.98,64.98,63.95,64.63,56707
10-Oct-16,64.70,65.62,64.70,65.34,36042
7-Oct-16,65.13,65.40,64.28,64.38,53459
6-Oct-16,64.50,65.55,64.50,64.96,60523
5-Oct-16,65.06,65.70,64.08,64.77,81649
4-Oct-16,64.82,65.46,64.45,64.78,91144
3-Oct-16,64.54,64.80,63.27,64.80,144542
30-Sep-16,63.60,65.29,63.44,64.67,101366
29-Sep-16,63.93,63.93,63.16,63.53,60090
28-Sep-16,63.67,64.14,63.14,64.13,144117
27-Sep-16,62.80,63.94,62.74,63.45,95372
26-Sep-16,63.13,63.30,62.34,62.93,62203
23-Sep-16,63.38,63.89,63.22,63.26,58974
22-Sep-16,63.17,64.18,63.17,63.73,54931
21-Sep-16,62.38,63.15,62.38,63.02,53911
20-Sep-16,62.45,62.82,61.86,62.01,59724
19-Sep-16,62.25,62.94,61.83,62.37,60261
16-Sep-16,61.78,62.53,61.56,62.01,112552
15-Sep-16,60.94,61.95,60.77,61.67,43289
