Date,Open,High,Low,Close,Volume
22-Nov-16,22.00,22.00,21.75,22.00,135224
21-Nov-16,22.50,22.50,21.82,21.93,129249
18-Nov-16,21.82,22.11,21.66,21.84,138030
17-Nov-16,22.60,22.97,20.90,21.63,298839
16-Nov-16,22.18,22.45,21.39,22.39,170099
15-Nov-16,21.20,21.75,21.11,21.36,257839
14-Nov-16,20.44,21.16,20.25,20.85,251602
11-Nov-16,19.68,20.12,19.42,19.98,164036
10-Nov-16,20.31,20.47,19.50,19.53,247634
9-Nov-16,19.20,20.77,19.20,20.13,203123
8-Nov-16,19.43,19.73,19.20,19.20,142607
7-Nov-16,20.56,20.98,19.33,19.55,285301
4-Nov-16,21.86,22.45,19.78,20.31,331846
3-Nov-16,21.25,21.88,21.03,21.42,179725
2-Nov-16,20.74,21.38,20.35,21.12,200370
1-Nov-16,21.20,21.33,20.80,20.91,167086
31-Oct-16,21.25,21.25,20.99,21.11,111424
28-Oct-16,21.17,21.42,20.80,20.85,124141
27-Oct-16,21.38,21.59,21.03,21.06,128934
26-Oct-16,20.94,21.11,20.60,21.09,182792
25-Oct-16,21.18,21.24,20.93,20.97,133488
24-Oct-16,21.28,21.58,20.96,21.00,339402
21-Oct-16,20.16,21.24,20.16,20.80,567928
20-Oct-16,19.98,20.05,19.48,19.48,114900
19-Oct-16,20.18,20.21,19.56,19.91,115290
18-Oct-16,20.30,20.35,19.91,19.98,56577
17-Oct-16,20.09,20.28,19.93,20.28,98524
14-Oct-16,20.13,20.30,19.73,20.09,133159
13-Oct-16,19.23,20.10,19.20,20.10,78598
12-Oct-16,19.23,19.41,18.86,19.37,54700
11-Oct-16,19.40,19.41,19.11,19.27,115508
10-Oct-16,19.51,19.74,19.25,19.30,132406
7-Oct-16,19.64,19.74,19.26,19.44,110409
6-Oct-16,19.49,19.76,19.26,19.51,173792
5-Oct-16,18.60,19.43,18.44,19.25,206277
4-Oct-16,18.26,18.38,18.04,18.30,64393
3-Oct-16,18.02,18.36,17.89,18.29,71686
30-Sep-16,18.21,18.21,17.87,18.10,212176
29-Sep-16,18.42,18.61,17.89,17.99,122805
