Date,Open,High,Low,Close,Volume
22-Nov-16,7.58,7.63,7.28,7.45,583264
21-Nov-16,7.37,7.69,7.36,7.49,443138
18-Nov-16,7.13,7.22,6.99,7.12,343782
17-Nov-16,7.55,7.58,7.04,7.07,492113
16-Nov-16,7.24,7.43,7.12,7.35,455389
15-Nov-16,7.24,7.58,7.11,7.29,704187
14-Nov-16,7.04,7.18,6.90,7.14,530365
11-Nov-16,6.98,7.14,6.83,7.03,623458
10-Nov-16,6.90,7.22,6.90,7.05,1229125
9-Nov-16,6.20,6.96,6.20,6.86,1212756
8-Nov-16,6.23,6.28,6.05,6.24,515245
7-Nov-16,6.38,6.50,6.12,6.19,622074
4-Nov-16,6.44,6.48,6.19,6.25,882984
3-Nov-16,6.41,6.70,6.23,6.42,900881
2-Nov-16,5.97,6.50,5.90,6.41,1203093
1-Nov-16,6.37,6.53,5.85,6.08,1678737
31-Oct-16,6.13,6.20,5.66,6.10,2431095
28-Oct-16,6.98,6.98,6.03,6.20,3157718
27-Oct-16,9.49,9.89,7.14,7.17,5479229
26-Oct-16,9.55,9.85,9.45,9.78,871628
25-Oct-16,9.91,10.25,9.59,9.65,782527
24-Oct-16,10.67,10.76,9.90,10.09,819167
21-Oct-16,10.77,11.00,10.68,10.78,317946
20-Oct-16,10.87,11.00,10.64,10.88,450761
19-Oct-16,10.70,11.17,10.61,11.06,623284
18-Oct-16,10.82,10.95,10.38,10.56,656829
17-Oct-16,10.67,10.84,10.48,10.54,385333
14-Oct-16,11.06,11.10,10.54,10.71,336929
13-Oct-16,10.94,11.11,10.80,10.94,360595
12-Oct-16,11.07,11.18,10.80,11.06,442052
11-Oct-16,11.31,11.36,10.90,11.08,374505
10-Oct-16,11.71,11.85,11.31,11.38,529540
7-Oct-16,11.50,11.70,11.33,11.38,837328
6-Oct-16,11.69,11.95,11.46,11.53,906206
5-Oct-16,12.06,12.16,11.60,11.62,562687
4-Oct-16,11.93,12.08,11.52,11.64,632051
3-Oct-16,11.00,12.09,10.77,11.87,1661733
30-Sep-16,11.06,11.33,10.81,10.94,868881
29-Sep-16,10.90,11.56,10.83,10.87,898959
28-Sep-16,10.12,10.84,9.86,10.83,630059
27-Sep-16,9.92,10.04,9.48,10.00,789158
26-Sep-16,10.44,10.66,10.05,10.07,647123
23-Sep-16,10.75,10.94,10.09,10.27,682034
22-Sep-16,11.12,11.24,10.70,10.86,499443
21-Sep-16,10.98,11.07,10.74,10.96,628555
20-Sep-16,10.91,11.00,10.52,10.63,661572
19-Sep-16,11.52,11.76,10.89,10.94,694000
16-Sep-16,11.67,11.75,11.22,11.37,727389
15-Sep-16,11.75,12.13,11.67,11.96,354148
14-Sep-16,11.88,12.10,11.55,11.66,525909
13-Sep-16,12.31,12.37,11.58,12.00,760939
12-Sep-16,12.07,12.81,11.96,12.63,637160
9-Sep-16,12.61,12.69,12.10,12.27,912678
8-Sep-16,12.32,13.05,12.04,12.90,876773
7-Sep-16,12.29,12.45,12.04,12.19,559363
6-Sep-16,12.39,12.54,12.02,12.24,676914
2-Sep-16,12.46,12.65,12.23,12.31,427863
1-Sep-16,12.41,12.52,12.09,12.22,571776
31-Aug-16,12.76,13.00,12.46,12.53,584986
30-Aug-16,13.15,13.31,12.78,12.91,791477
29-Aug-16,12.98,13.30,12.87,13.07,315100
26-Aug-16,13.22,13.64,13.00,13.03,385910
25-Aug-16,13.40,13.70,13.10,13.15,503746
24-Aug-16,14.30,14.62,13.39,13.44,516316
23-Aug-16,14.15,14.86,13.99,14.43,679609
22-Aug-16,14.23,14.31,13.83,14.27,422138
19-Aug-16,14.60,14.60,14.16,14.44,389685
18-Aug-16,14.03,14.89,13.97,14.72,729213
17-Aug-16,14.09,14.09,13.68,13.94,393430
16-Aug-16,14.29,14.46,14.00,14.19,452866
15-Aug-16,14.44,14.62,14.00,14.34,548825
12-Aug-16,14.45,14.80,14.02,14.21,587426
11-Aug-16,14.21,14.55,14.09,14.38,517362
10-Aug-16,14.72,14.88,13.92,14.03,559832
9-Aug-16,14.67,14.90,14.44,14.63,415282
8-Aug-16,14.39,15.00,13.99,14.67,901274
5-Aug-16,13.87,14.32,13.49,14.20,696486
4-Aug-16,13.64,14.14,13.54,13.76,599838
3-Aug-16,13.25,14.11,13.20,13.84,625910
2-Aug-16,13.82,13.83,12.86,13.32,806432
1-Aug-16,14.11,14.17,13.52,13.66,851203
29-Jul-16,12.51,14.41,12.51,14.10,1429259
28-Jul-16,11.68,13.00,11.33,12.71,1546075
27-Jul-16,12.02,12.41,11.63,11.92,627287
26-Jul-16,11.82,12.02,11.45,11.94,867677
25-Jul-16,12.51,12.64,11.77,11.94,915056
22-Jul-16,12.62,12.79,12.45,12.67,401904
21-Jul-16,12.83,13.25,12.44,12.62,696588
20-Jul-16,12.70,13.04,12.40,12.81,523952
19-Jul-16,13.44,13.60,12.83,12.87,472685
18-Jul-16,13.59,13.59,13.00,13.39,404155
15-Jul-16,14.21,14.38,13.60,13.78,512078
14-Jul-16,13.88,14.44,13.80,14.06,458596
13-Jul-16,14.99,15.30,13.44,13.67,624875
12-Jul-16,13.76,15.00,13.65,14.91,901280
11-Jul-16,13.36,13.70,12.96,13.28,373477
8-Jul-16,13.14,13.52,12.95,13.34,349516
7-Jul-16,12.76,13.81,12.76,12.91,565786
6-Jul-16,12.80,12.91,12.46,12.59,467695
5-Jul-16,13.88,14.02,12.48,12.99,897660
1-Jul-16,13.11,14.39,13.07,14.33,559370
30-Jun-16,12.89,13.24,12.72,13.10,352244
29-Jun-16,12.75,13.22,12.63,13.02,356569
28-Jun-16,12.67,12.75,12.24,12.54,352632
27-Jun-16,13.52,13.84,12.17,12.32,445971
24-Jun-16,13.01,13.99,12.90,13.83,587509
23-Jun-16,13.69,14.00,13.53,14.00,310231
22-Jun-16,14.16,14.29,13.43,13.44,348268
21-Jun-16,13.63,14.03,13.38,13.99,346096
20-Jun-16,14.14,14.25,13.55,13.84,681385
17-Jun-16,12.94,14.11,12.90,13.79,1358554
16-Jun-16,12.79,12.85,12.37,12.70,604812
15-Jun-16,12.80,13.42,12.50,12.99,806793
14-Jun-16,12.72,13.33,12.57,13.03,407616
13-Jun-16,12.99,13.37,12.52,12.82,811155
10-Jun-16,14.00,14.10,13.15,13.22,848083
9-Jun-16,13.83,14.94,13.68,14.41,1156482
8-Jun-16,14.19,14.48,13.84,14.10,761659
7-Jun-16,13.77,14.60,13.77,14.01,881058
6-Jun-16,12.13,14.00,12.07,13.69,1236749
3-Jun-16,11.61,12.19,11.60,11.94,429712
2-Jun-16,11.80,11.85,11.28,11.58,378396
1-Jun-16,12.04,12.20,11.40,11.99,479196
31-May-16,12.26,12.93,12.19,12.33,584790
27-May-16,11.92,12.33,11.76,12.20,375244
26-May-16,12.49,12.81,11.95,12.09,491734
25-May-16,11.62,12.48,11.58,12.41,775130
24-May-16,11.35,11.57,11.06,11.47,672039
23-May-16,10.94,11.90,10.92,11.33,864413
20-May-16,10.98,11.38,10.67,11.32,560710
19-May-16,12.01,12.01,11.20,11.22,799790
18-May-16,11.80,12.38,11.49,11.70,985961
17-May-16,11.31,12.49,11.30,11.93,881796
16-May-16,11.13,11.47,10.74,11.20,828462
13-May-16,11.48,11.48,10.60,10.63,574146
12-May-16,11.75,12.01,11.23,11.31,773851
11-May-16,11.82,11.82,10.94,11.59,975885
10-May-16,11.98,12.25,11.60,11.85,527557
9-May-16,12.50,12.51,11.50,11.85,869643
6-May-16,12.84,13.45,12.75,12.84,537695
5-May-16,14.33,14.33,12.81,12.99,683564
4-May-16,13.58,14.45,13.51,13.79,720269
3-May-16,13.23,13.65,13.10,13.50,674259
2-May-16,14.74,14.89,13.22,13.80,656954
29-Apr-16,14.35,15.20,14.11,14.85,1138056
28-Apr-16,15.01,15.21,12.53,13.86,2686021
27-Apr-16,16.35,16.50,15.64,15.95,642453
26-Apr-16,16.06,16.34,15.71,16.16,312933
25-Apr-16,16.32,16.60,15.70,15.87,349858
22-Apr-16,15.91,16.60,15.65,16.45,578171
21-Apr-16,16.85,16.85,14.57,15.74,1074595
20-Apr-16,16.10,16.94,16.07,16.70,462258
19-Apr-16,16.17,17.07,16.10,16.25,913654
18-Apr-16,14.89,16.24,14.66,16.00,423872
15-Apr-16,15.49,15.99,15.08,15.73,392389
14-Apr-16,15.85,15.89,15.15,15.76,554804
13-Apr-16,14.97,16.09,14.77,15.73,581729
12-Apr-16,14.24,15.32,13.99,15.15,570560
11-Apr-16,14.60,14.66,14.07,14.08,321858
8-Apr-16,14.19,14.81,14.09,14.30,457361
7-Apr-16,13.92,14.56,13.56,13.78,472274
6-Apr-16,14.01,14.53,13.60,14.19,435573
5-Apr-16,13.93,14.19,13.60,13.74,428633
4-Apr-16,13.82,14.22,13.60,13.97,562709
1-Apr-16,14.00,14.24,13.35,13.95,715107
31-Mar-16,15.06,15.33,14.19,14.20,716908
30-Mar-16,15.35,15.89,14.53,15.06,587381
29-Mar-16,14.18,15.24,14.05,15.05,486310
28-Mar-16,15.02,15.12,14.11,14.51,782068
24-Mar-16,14.60,15.26,14.54,15.11,480740
23-Mar-16,15.65,15.93,14.98,15.06,568630
22-Mar-16,16.61,16.70,15.81,15.85,700269
21-Mar-16,16.23,16.81,15.78,16.65,831627
18-Mar-16,18.97,18.97,15.50,16.53,3523304
17-Mar-16,19.03,19.26,18.11,18.87,546074
16-Mar-16,18.73,19.09,18.01,18.38,612735
15-Mar-16,19.90,20.15,17.92,18.24,819031
14-Mar-16,20.93,21.37,19.90,20.28,701961
11-Mar-16,20.02,22.26,19.81,21.39,900940
10-Mar-16,19.57,19.70,18.91,19.64,370533
9-Mar-16,20.80,20.95,19.12,19.83,489448
8-Mar-16,23.36,23.78,20.20,20.24,694917
7-Mar-16,21.07,24.20,21.07,23.68,943997
4-Mar-16,20.72,22.37,20.00,20.91,823035
3-Mar-16,19.69,20.48,19.69,19.97,942223
2-Mar-16,19.45,20.17,18.71,19.99,599271
1-Mar-16,20.56,20.57,19.07,19.67,597560
29-Feb-16,18.46,20.33,18.29,19.99,1151733
26-Feb-16,18.29,19.23,17.88,18.28,473837
25-Feb-16,17.94,18.39,16.82,17.77,404255
24-Feb-16,16.82,17.96,16.42,17.80,447390
23-Feb-16,18.80,19.28,17.12,17.25,392894
22-Feb-16,18.78,19.62,18.39,18.84,378100
19-Feb-16,17.94,18.33,17.30,18.15,332884
18-Feb-16,18.47,18.71,17.61,18.09,443493
17-Feb-16,15.80,18.34,15.51,18.12,1027230
16-Feb-16,15.66,15.99,14.67,15.21,645977
12-Feb-16,14.87,15.62,14.41,15.30,534221
11-Feb-16,14.71,15.05,14.07,14.56,456278
10-Feb-16,15.17,15.89,14.68,15.15,302667
9-Feb-16,16.92,16.95,14.92,15.26,541780
8-Feb-16,16.69,17.43,16.25,17.33,591296
5-Feb-16,16.57,17.34,16.50,16.98,658760
4-Feb-16,16.52,17.76,16.35,16.99,748331
3-Feb-16,15.43,16.22,14.18,16.07,639049
2-Feb-16,14.90,15.49,14.38,14.84,655507
1-Feb-16,15.75,16.08,15.14,15.46,831986
29-Jan-16,16.83,17.54,15.61,16.55,1110578
28-Jan-16,17.57,19.17,16.73,17.24,1028257
27-Jan-16,16.33,17.72,16.07,16.42,807956
26-Jan-16,16.66,16.66,16.00,16.58,684054
25-Jan-16,15.85,16.97,15.77,15.98,499240
22-Jan-16,16.97,17.36,15.94,16.48,862824
21-Jan-16,15.38,16.39,14.90,15.83,1176056
20-Jan-16,16.46,16.48,13.21,15.22,2582562
19-Jan-16,18.27,18.66,16.69,17.27,696390
15-Jan-16,18.45,18.84,17.24,18.51,1745030
14-Jan-16,16.16,19.64,15.71,19.49,1692201
13-Jan-16,16.11,16.42,15.52,15.79,648607
12-Jan-16,16.03,16.12,15.19,15.88,1326898
11-Jan-16,16.21,16.21,15.34,15.75,495810
8-Jan-16,16.32,16.32,15.50,16.07,645687
7-Jan-16,15.24,16.29,15.11,16.02,635364
6-Jan-16,16.62,16.68,15.65,15.87,423230
5-Jan-16,18.12,18.25,16.86,17.42,439868
4-Jan-16,17.19,17.98,16.46,17.84,589775
31-Dec-15,17.22,17.83,17.11,17.20,668210
30-Dec-15,17.09,18.04,17.09,17.31,372900
29-Dec-15,18.09,18.22,16.92,17.64,397464
28-Dec-15,18.01,18.18,17.40,17.47,577207
24-Dec-15,18.81,19.22,18.11,18.41,330978
23-Dec-15,17.43,18.95,17.21,18.83,826994
22-Dec-15,16.08,17.31,15.96,17.03,533339
21-Dec-15,15.54,16.16,14.77,16.07,706728
18-Dec-15,15.40,15.87,15.38,15.49,1021014
17-Dec-15,16.13,16.46,15.34,15.40,710172
16-Dec-15,16.73,17.14,16.15,16.30,375012
15-Dec-15,16.30,17.12,15.98,16.73,581514
14-Dec-15,16.06,16.66,15.72,16.10,656139
11-Dec-15,16.85,17.27,16.21,16.32,414955
10-Dec-15,16.80,17.56,16.76,17.16,452011
9-Dec-15,16.39,17.11,16.18,16.97,521154
8-Dec-15,15.96,17.00,15.90,16.12,429692
7-Dec-15,16.53,16.70,15.32,16.37,426631
4-Dec-15,17.61,17.85,16.81,16.93,654092
3-Dec-15,18.39,19.24,17.68,18.23,497367
2-Dec-15,18.40,19.00,17.53,18.25,386208
1-Dec-15,18.72,18.97,18.32,18.69,357248
30-Nov-15,17.75,19.14,17.75,18.64,686037
27-Nov-15,18.65,18.68,17.26,17.37,249012
25-Nov-15,18.12,19.14,17.66,18.83,416684
24-Nov-15,16.89,18.96,16.89,18.50,562489
23-Nov-15,16.03,16.92,15.80,16.72,428437
20-Nov-15,16.74,16.92,16.07,16.18,328510
19-Nov-15,17.43,17.57,16.61,16.72,336465
18-Nov-15,17.18,17.62,16.40,17.61,388448
17-Nov-15,18.20,18.26,16.83,16.94,442058
16-Nov-15,17.82,18.84,17.58,18.25,513985
13-Nov-15,17.22,18.10,16.88,17.80,273364
12-Nov-15,17.59,18.47,17.32,17.40,553771
11-Nov-15,19.36,19.36,17.26,18.09,339476
10-Nov-15,19.31,19.95,19.06,19.39,323971
9-Nov-15,19.69,20.23,18.93,19.49,355116
6-Nov-15,19.08,20.27,18.84,19.72,336317
5-Nov-15,19.86,20.28,19.13,19.31,303696
4-Nov-15,19.70,20.26,19.24,20.01,437143
3-Nov-15,18.14,20.06,17.94,19.75,611841
2-Nov-15,17.28,18.38,16.94,18.04,489305
30-Oct-15,17.56,17.96,15.98,17.52,1083660
29-Oct-15,19.16,20.50,17.12,17.99,1187737
28-Oct-15,16.07,19.44,15.73,18.90,1381908
27-Oct-15,16.11,16.77,15.51,15.88,985243
26-Oct-15,18.42,18.85,16.09,16.41,1649250
23-Oct-15,19.66,19.78,17.58,18.60,1373985
22-Oct-15,20.57,21.20,19.76,20.18,725210
21-Oct-15,20.46,20.66,20.00,20.14,680949
20-Oct-15,19.56,20.98,19.55,20.81,697512
19-Oct-15,20.67,20.97,19.44,19.62,772105
16-Oct-15,21.77,21.84,20.70,21.06,621980
15-Oct-15,21.99,22.55,21.24,21.73,728710
14-Oct-15,22.12,22.72,21.45,22.35,369400
13-Oct-15,22.51,23.58,22.10,22.18,330655
12-Oct-15,24.64,24.84,22.27,22.98,491315
9-Oct-15,24.76,25.41,23.94,24.51,570372
8-Oct-15,23.45,25.27,22.70,24.74,852592
7-Oct-15,23.77,25.62,22.52,23.49,552281
6-Oct-15,21.28,23.70,20.76,23.42,727563
5-Oct-15,20.11,21.50,20.01,21.03,600389
2-Oct-15,18.25,19.86,17.77,19.85,640194
1-Oct-15,19.34,20.22,18.17,18.44,596329
30-Sep-15,20.18,20.53,18.36,18.99,631645
29-Sep-15,20.33,20.68,19.71,20.05,363740
28-Sep-15,20.55,20.55,19.97,20.11,447415
25-Sep-15,21.97,21.97,19.75,20.87,632221
24-Sep-15,21.53,22.19,21.27,21.81,294083
23-Sep-15,22.35,22.53,21.61,21.65,319701
22-Sep-15,21.97,23.12,21.86,22.26,388566
21-Sep-15,22.19,23.30,21.30,22.17,523191
18-Sep-15,23.42,23.95,21.90,22.49,805776
17-Sep-15,23.99,24.69,23.18,23.92,470021
16-Sep-15,22.08,24.47,22.07,24.13,546404
15-Sep-15,21.21,22.14,21.07,21.86,484243
14-Sep-15,21.11,21.33,20.75,21.15,268647
11-Sep-15,22.74,22.96,20.35,21.12,1009606
10-Sep-15,23.41,24.06,23.13,23.21,908947
9-Sep-15,25.23,26.02,23.40,23.50,796405
8-Sep-15,25.26,25.86,24.74,25.02,247804
4-Sep-15,24.98,25.62,24.76,25.36,236675
3-Sep-15,25.16,26.18,24.86,25.56,319440
2-Sep-15,26.00,26.00,24.60,25.08,310741
1-Sep-15,26.22,27.09,25.30,25.63,413259
31-Aug-15,26.21,27.62,25.14,27.42,608260
28-Aug-15,24.39,27.39,24.39,26.59,734309
27-Aug-15,24.28,25.72,24.04,24.80,479488
26-Aug-15,24.15,24.41,23.40,23.78,780240
25-Aug-15,24.57,24.81,23.50,23.54,763884
24-Aug-15,23.10,24.63,22.20,23.53,1140317
21-Aug-15,24.85,25.96,24.31,24.40,885730
20-Aug-15,26.24,26.40,24.78,24.97,803008
19-Aug-15,28.45,28.79,26.22,26.34,763054
18-Aug-15,29.36,29.57,27.94,28.56,757985
17-Aug-15,30.16,30.16,28.62,29.32,696142
14-Aug-15,31.62,32.25,30.08,30.14,328683
13-Aug-15,34.24,34.24,31.30,31.46,542322
12-Aug-15,33.02,34.92,32.19,34.75,779476
11-Aug-15,32.84,33.12,31.56,32.96,516201
10-Aug-15,30.69,33.29,30.53,33.25,651467
7-Aug-15,31.22,32.38,30.45,30.69,634216
6-Aug-15,30.72,32.04,30.51,31.72,794073
5-Aug-15,31.29,32.50,30.54,30.72,543312
4-Aug-15,31.33,32.02,30.70,30.81,809301
3-Aug-15,32.28,33.06,30.94,31.03,994994
31-Jul-15,36.65,36.70,32.81,32.85,1299190
30-Jul-15,35.00,38.56,32.30,37.02,2017292
29-Jul-15,33.40,36.47,33.03,34.81,1683791
28-Jul-15,32.24,33.96,31.85,33.65,697652
27-Jul-15,32.91,33.68,31.10,32.02,1005207
24-Jul-15,34.86,35.70,33.16,33.38,763663
23-Jul-15,34.10,35.27,33.35,35.01,590532
22-Jul-15,33.50,33.77,32.60,33.67,756781
21-Jul-15,34.70,34.91,33.70,33.81,910063
20-Jul-15,35.39,35.57,34.16,34.75,693742
17-Jul-15,35.88,35.90,34.84,35.48,708669
16-Jul-15,36.26,36.80,35.63,35.99,408696
15-Jul-15,37.41,37.49,35.72,36.01,476515
14-Jul-15,36.37,38.57,36.13,37.66,523106
13-Jul-15,35.75,36.91,35.25,36.39,567942
10-Jul-15,36.44,36.90,35.01,35.74,422571
9-Jul-15,36.54,36.96,35.89,36.19,352663
8-Jul-15,38.37,38.99,35.80,35.99,531736
7-Jul-15,37.71,38.98,35.98,38.87,562851
6-Jul-15,38.16,38.50,37.40,37.77,492823
2-Jul-15,39.38,40.19,38.52,38.79,269496
1-Jul-15,41.58,41.87,38.68,39.05,710078
30-Jun-15,42.73,43.05,41.26,41.63,474237
29-Jun-15,42.48,43.26,42.02,42.32,254305
26-Jun-15,44.19,44.19,42.61,43.13,831358
25-Jun-15,45.03,45.61,44.06,44.18,314781
24-Jun-15,45.49,46.17,44.45,44.63,282276
23-Jun-15,44.20,46.55,43.33,45.65,539590
22-Jun-15,43.39,45.14,42.60,44.19,603760
19-Jun-15,44.44,44.48,42.96,43.14,668798
18-Jun-15,45.03,45.03,43.22,44.30,442558
17-Jun-15,46.10,46.50,44.26,45.01,377793
16-Jun-15,45.99,45.99,44.06,45.10,368564
15-Jun-15,44.89,45.68,43.98,45.49,449712
12-Jun-15,45.02,46.12,44.20,45.52,397060
11-Jun-15,45.89,46.46,44.99,45.30,448172
