Date,Open,High,Low,Close,Volume
22-Nov-16,10.96,11.10,10.83,11.06,166797
21-Nov-16,10.74,10.94,10.69,10.89,95133
18-Nov-16,10.87,10.87,10.69,10.73,141163
17-Nov-16,10.86,11.00,10.75,10.84,115242
16-Nov-16,10.98,10.98,10.71,10.84,155292
15-Nov-16,11.24,11.24,10.91,11.02,169358
14-Nov-16,11.21,11.43,11.09,11.25,220954
11-Nov-16,10.97,11.19,10.83,11.12,218769
10-Nov-16,11.14,11.23,10.78,10.92,206066
9-Nov-16,10.85,11.13,10.63,11.05,182842
8-Nov-16,10.78,10.98,10.73,10.95,81621
7-Nov-16,10.75,10.84,10.63,10.75,56694
4-Nov-16,10.27,10.74,10.27,10.65,86757
3-Nov-16,10.06,10.37,10.06,10.27,85186
2-Nov-16,10.15,10.20,10.05,10.06,61854
1-Nov-16,10.57,10.57,10.11,10.13,147067
31-Oct-16,10.60,10.65,10.53,10.54,90431
28-Oct-16,10.71,10.83,10.54,10.56,43255
27-Oct-16,10.78,10.83,10.55,10.69,96315
26-Oct-16,10.84,10.86,10.76,10.78,94277
25-Oct-16,10.91,10.96,10.82,10.90,66778
24-Oct-16,11.02,11.04,10.94,10.97,58099
21-Oct-16,10.90,11.00,10.89,10.94,79056
20-Oct-16,11.04,11.04,10.92,11.01,60324
19-Oct-16,10.97,11.18,10.95,11.07,109913
18-Oct-16,11.02,11.06,10.93,10.94,104799
17-Oct-16,10.92,11.01,10.87,10.97,94527
14-Oct-16,11.01,11.07,10.87,10.93,106929
13-Oct-16,11.02,11.16,10.94,10.96,73443
12-Oct-16,10.87,11.06,10.78,11.04,54334
11-Oct-16,10.91,10.92,10.77,10.83,74195
10-Oct-16,10.95,11.10,10.83,10.97,99472
7-Oct-16,10.97,11.08,10.80,10.87,73205
6-Oct-16,10.95,11.07,10.87,10.95,120058
5-Oct-16,11.25,11.27,10.88,10.94,130692
4-Oct-16,11.44,11.54,11.09,11.25,116922
3-Oct-16,11.71,11.71,11.41,11.46,59445
30-Sep-16,11.66,11.79,11.52,11.69,270965
29-Sep-16,11.64,11.72,11.47,11.64,140664
28-Sep-16,11.62,11.73,11.60,11.69,82764
