Date,Open,High,Low,Close,Volume
22-Nov-16,8.06,8.06,7.73,7.83,8382338
21-Nov-16,7.80,8.06,7.80,7.89,11231232
18-Nov-16,8.02,8.11,7.70,7.71,16325541
17-Nov-16,7.68,8.03,7.68,8.02,24150868
16-Nov-16,7.58,7.77,7.50,7.71,18112502
15-Nov-16,7.62,7.82,7.61,7.67,17981269
14-Nov-16,7.54,7.75,7.34,7.49,23230141
11-Nov-16,7.55,7.55,7.19,7.43,30481935
10-Nov-16,8.25,8.34,7.50,7.53,39997835
9-Nov-16,8.13,8.38,7.80,8.34,50041631
8-Nov-16,9.01,9.35,8.98,8.98,23162638
7-Nov-16,8.77,9.02,8.72,8.99,17361723
4-Nov-16,8.44,8.76,8.30,8.33,18822407
3-Nov-16,8.42,8.66,8.37,8.51,16667799
2-Nov-16,8.27,8.50,8.26,8.41,15461812
1-Nov-16,8.72,8.75,8.28,8.38,20039380
31-Oct-16,8.72,8.78,8.62,8.68,10491158
28-Oct-16,8.98,9.08,8.58,8.70,16868214
27-Oct-16,9.11,9.17,8.72,8.96,13471066
26-Oct-16,9.02,9.08,8.98,9.03,12869355
25-Oct-16,9.22,9.22,9.09,9.12,9833890
24-Oct-16,9.25,9.25,9.04,9.15,8994953
21-Oct-16,8.95,9.27,8.94,9.14,14105176
20-Oct-16,8.80,9.01,8.76,9.01,12637813
19-Oct-16,8.80,8.97,8.69,8.88,12547565
18-Oct-16,8.63,8.82,8.61,8.73,9918001
17-Oct-16,8.41,8.56,8.39,8.52,5437634
14-Oct-16,8.55,8.60,8.34,8.36,7594235
13-Oct-16,8.17,8.50,8.11,8.49,14758704
12-Oct-16,8.28,8.40,8.18,8.33,8206104
11-Oct-16,8.45,8.58,8.39,8.39,15169547
10-Oct-16,8.38,8.53,8.25,8.51,11880957
7-Oct-16,8.19,8.20,7.97,8.13,9130544
6-Oct-16,8.01,8.20,7.99,8.17,5839985
5-Oct-16,7.98,8.15,7.93,8.10,4865259
4-Oct-16,7.97,7.98,7.84,7.90,10307270
3-Oct-16,7.84,8.04,7.83,7.93,7684384
30-Sep-16,8.23,8.31,7.91,7.94,14598842
29-Sep-16,8.09,8.33,8.02,8.19,18872187
28-Sep-16,7.95,8.10,7.78,8.10,16315678
27-Sep-16,7.63,7.96,7.59,7.94,10700198
26-Sep-16,7.73,7.74,7.55,7.55,10192765
23-Sep-16,7.71,7.84,7.64,7.73,7114543
22-Sep-16,7.61,7.85,7.57,7.80,14794748
21-Sep-16,7.48,7.51,7.27,7.51,8290225
20-Sep-16,7.41,7.43,7.30,7.37,6003606
19-Sep-16,7.44,7.52,7.32,7.37,7764465
16-Sep-16,7.46,7.48,7.26,7.29,8922141
15-Sep-16,7.55,7.62,7.46,7.55,7702474
14-Sep-16,7.66,7.69,7.49,7.56,11237193
13-Sep-16,7.84,7.86,7.63,7.69,13092422
12-Sep-16,7.75,8.07,7.66,8.03,16974902
9-Sep-16,8.20,8.20,7.64,7.80,19850944
8-Sep-16,8.41,8.42,8.22,8.26,8404818
7-Sep-16,8.46,8.60,8.26,8.36,11171497
6-Sep-16,8.57,8.61,8.48,8.53,9728865
2-Sep-16,8.44,8.56,8.37,8.48,8538056
1-Sep-16,8.31,8.44,8.26,8.28,8887403
31-Aug-16,8.25,8.34,8.10,8.29,12042825
30-Aug-16,8.40,8.44,8.19,8.31,12709130
29-Aug-16,8.53,8.53,8.32,8.41,9574197
26-Aug-16,8.23,8.47,8.06,8.35,27534649
25-Aug-16,8.36,8.44,8.06,8.13,13696004
24-Aug-16,8.43,8.44,8.27,8.33,8830720
23-Aug-16,8.67,8.76,8.40,8.45,15338482
22-Aug-16,8.56,8.65,8.52,8.62,8940716
19-Aug-16,8.56,8.70,8.45,8.65,13427039
18-Aug-16,8.82,8.82,8.64,8.69,11433070
17-Aug-16,8.75,8.77,8.54,8.74,13650578
16-Aug-16,8.90,8.96,8.70,8.81,13625475
15-Aug-16,8.84,9.09,8.79,8.89,21450481
12-Aug-16,8.67,8.81,8.63,8.73,19065751
11-Aug-16,8.37,8.72,8.37,8.69,24935797
10-Aug-16,8.21,8.49,8.13,8.43,23118039
9-Aug-16,7.96,8.18,7.91,8.17,16018211
8-Aug-16,7.86,8.04,7.78,7.88,9755184
5-Aug-16,7.63,7.90,7.56,7.86,15431765
4-Aug-16,7.49,7.70,7.49,7.56,9274581
3-Aug-16,7.33,7.55,7.30,7.55,11200621
2-Aug-16,7.57,7.61,7.24,7.35,10228275
1-Aug-16,7.62,7.68,7.51,7.60,11066016
29-Jul-16,7.42,7.67,7.38,7.65,11829644
28-Jul-16,7.09,7.48,7.09,7.44,17593127
27-Jul-16,7.18,7.54,7.09,7.10,31183357
26-Jul-16,6.92,6.98,6.84,6.97,7822051
25-Jul-16,6.83,6.88,6.76,6.85,7176919
22-Jul-16,6.78,6.91,6.78,6.90,6305704
21-Jul-16,6.93,6.97,6.79,6.79,7936740
20-Jul-16,6.78,6.97,6.70,6.89,16384747
19-Jul-16,7.00,7.03,6.73,6.74,10655731
18-Jul-16,6.74,7.10,6.74,7.09,16718473
15-Jul-16,6.76,6.79,6.73,6.79,7836265
14-Jul-16,6.76,6.84,6.74,6.78,10719082
13-Jul-16,6.82,6.84,6.65,6.69,15512894
12-Jul-16,6.64,6.81,6.63,6.81,14556592
11-Jul-16,6.35,6.56,6.34,6.55,16124713
8-Jul-16,6.17,6.29,6.08,6.26,8814402
7-Jul-16,5.90,6.10,5.87,6.05,10498183
6-Jul-16,5.73,5.88,5.72,5.87,7021421
5-Jul-16,5.90,5.95,5.76,5.81,12636876
1-Jul-16,6.16,6.40,6.10,6.15,7046022
30-Jun-16,5.96,6.19,5.81,6.17,17704754
29-Jun-16,5.82,6.00,5.77,5.90,15669673
28-Jun-16,5.71,5.78,5.57,5.69,12433587
27-Jun-16,5.80,5.86,5.49,5.49,16097341
24-Jun-16,5.96,6.20,5.85,5.88,31743392
23-Jun-16,6.70,6.80,6.66,6.80,7704303
22-Jun-16,6.49,6.56,6.44,6.52,8500232
21-Jun-16,6.55,6.61,6.42,6.44,6691184
20-Jun-16,6.52,6.62,6.49,6.51,11513438
17-Jun-16,6.26,6.36,6.24,6.34,6398509
16-Jun-16,6.05,6.21,5.96,6.19,8632285
15-Jun-16,5.98,6.21,5.93,6.14,8887988
14-Jun-16,6.11,6.18,5.89,5.90,10393855
13-Jun-16,6.17,6.25,6.10,6.13,8628504
10-Jun-16,6.50,6.50,6.26,6.27,9349223
9-Jun-16,6.78,6.79,6.58,6.58,8872412
8-Jun-16,6.73,6.97,6.71,6.86,20371993
7-Jun-16,6.37,6.64,6.34,6.61,12904530
6-Jun-16,6.45,6.48,6.30,6.33,7176723
3-Jun-16,6.25,6.44,6.18,6.42,12012547
2-Jun-16,6.26,6.36,6.14,6.19,10229912
1-Jun-16,6.31,6.34,6.20,6.30,8497680
31-May-16,6.46,6.57,6.30,6.36,7088625
27-May-16,6.59,6.60,6.45,6.49,7766279
26-May-16,6.64,6.67,6.52,6.57,8388796
25-May-16,6.55,6.69,6.54,6.60,8102824
24-May-16,6.54,6.55,6.41,6.51,8356734
23-May-16,6.46,6.54,6.38,6.45,6935734
20-May-16,6.51,6.57,6.42,6.47,5270305
19-May-16,6.40,6.52,6.30,6.42,8481459
18-May-16,6.54,6.73,6.45,6.52,9803536
17-May-16,6.63,6.75,6.54,6.67,9598664
16-May-16,6.70,6.82,6.62,6.64,8788613
13-May-16,6.77,6.88,6.59,6.59,7248505
12-May-16,7.03,7.04,6.79,6.84,8043855
11-May-16,6.98,7.09,6.85,6.87,4626809
10-May-16,6.81,6.99,6.78,6.97,10761774
9-May-16,6.76,6.82,6.46,6.74,11221431
6-May-16,6.77,6.89,6.65,6.83,9515115
5-May-16,7.07,7.07,6.79,6.83,11627987
4-May-16,6.97,7.12,6.80,6.96,15355327
3-May-16,7.27,7.36,7.00,7.08,12945482
2-May-16,7.47,7.58,7.41,7.43,7947034
29-Apr-16,7.53,7.53,7.32,7.45,9787295
28-Apr-16,7.51,7.73,7.47,7.57,10019919
27-Apr-16,7.34,7.55,7.30,7.52,10424432
26-Apr-16,7.43,7.47,7.35,7.45,14227000
25-Apr-16,7.60,7.60,7.29,7.33,10806710
22-Apr-16,7.51,7.66,7.51,7.58,10701540
21-Apr-16,7.68,7.81,7.46,7.52,15039030
20-Apr-16,7.58,7.65,7.48,7.59,9445588
19-Apr-16,7.50,7.62,7.41,7.54,6684015
18-Apr-16,7.28,7.47,7.25,7.43,6641527
15-Apr-16,7.16,7.39,7.16,7.35,11569936
14-Apr-16,7.35,7.40,7.25,7.26,6377972
13-Apr-16,7.30,7.33,7.14,7.31,10040469
12-Apr-16,7.06,7.24,7.06,7.23,8933767
11-Apr-16,7.05,7.18,7.03,7.06,6569414
8-Apr-16,7.00,7.08,6.94,6.97,6406830
7-Apr-16,6.96,7.09,6.85,6.92,8944068
6-Apr-16,7.00,7.14,6.94,7.09,8231998
5-Apr-16,7.03,7.13,6.94,7.06,8614632
4-Apr-16,7.24,7.27,7.05,7.14,6443769
1-Apr-16,7.14,7.30,7.06,7.26,7219653
31-Mar-16,7.26,7.43,7.22,7.28,11999420
30-Mar-16,7.17,7.30,7.15,7.24,10932648
29-Mar-16,7.01,7.17,6.90,7.11,11044864
28-Mar-16,7.00,7.06,6.90,7.05,8134999
24-Mar-16,6.72,7.10,6.69,7.02,12029619
23-Mar-16,7.15,7.15,6.73,6.84,13025549
22-Mar-16,7.09,7.21,6.95,7.21,11782868
21-Mar-16,6.94,7.20,6.91,7.13,15167464
18-Mar-16,6.60,6.95,6.56,6.90,21550043
17-Mar-16,6.31,6.54,6.16,6.50,14155030
16-Mar-16,5.95,6.22,5.89,6.22,13298569
15-Mar-16,5.97,6.10,5.88,5.97,10794843
14-Mar-16,6.04,6.18,6.00,6.14,9412327
11-Mar-16,6.17,6.29,6.06,6.09,8039380
10-Mar-16,6.13,6.19,5.96,6.12,9131467
9-Mar-16,6.10,6.19,6.04,6.08,13031363
8-Mar-16,6.13,6.15,5.90,5.90,13629534
7-Mar-16,5.95,6.30,5.91,6.25,14027576
4-Mar-16,5.95,6.13,5.92,5.95,16396800
3-Mar-16,5.83,5.92,5.73,5.86,9700588
2-Mar-16,5.80,5.97,5.78,5.87,11484050
1-Mar-16,5.59,5.86,5.56,5.85,12252516
29-Feb-16,5.44,5.56,5.38,5.54,8384922
26-Feb-16,5.48,5.72,5.38,5.44,9278799
25-Feb-16,5.42,5.48,5.28,5.45,8371636
24-Feb-16,5.14,5.40,5.03,5.34,11691271
23-Feb-16,5.39,5.55,5.29,5.32,9906317
22-Feb-16,5.22,5.47,5.20,5.47,13629925
19-Feb-16,5.04,5.14,4.93,5.09,9274660
18-Feb-16,5.29,5.30,4.95,5.04,16127536
17-Feb-16,4.77,5.34,4.75,5.26,33639626
16-Feb-16,4.72,4.76,4.59,4.70,8984555
12-Feb-16,4.26,4.52,4.24,4.52,16006780
11-Feb-16,4.30,4.38,4.08,4.27,16692511
10-Feb-16,4.43,4.58,4.34,4.39,15306263
9-Feb-16,4.44,4.68,4.32,4.43,21987661
8-Feb-16,4.91,4.95,4.52,4.58,19635892
5-Feb-16,5.15,5.25,4.99,5.02,17363751
4-Feb-16,4.78,5.42,4.78,5.20,29723381
3-Feb-16,4.43,4.67,4.14,4.65,18437720
2-Feb-16,4.39,4.49,4.26,4.32,15869281
1-Feb-16,4.41,4.48,4.26,4.41,12799052
29-Jan-16,4.39,4.57,4.30,4.53,21258395
28-Jan-16,4.27,4.38,4.09,4.27,17126527
27-Jan-16,4.12,4.26,4.02,4.10,15986901
26-Jan-16,4.09,4.17,3.87,4.17,11759989
25-Jan-16,4.30,4.31,3.97,3.97,10220212
22-Jan-16,4.40,4.58,4.29,4.36,10627172
21-Jan-16,3.96,4.32,3.92,4.25,16269630
20-Jan-16,3.94,4.02,3.64,3.98,18034800
19-Jan-16,4.36,4.39,4.02,4.08,13287491
15-Jan-16,4.24,4.34,3.91,4.32,22158847
14-Jan-16,4.28,4.49,4.20,4.45,11680062
13-Jan-16,4.56,4.63,4.26,4.29,15739723
12-Jan-16,4.42,4.50,4.32,4.46,12534457
11-Jan-16,4.38,4.45,4.26,4.33,11459842
8-Jan-16,4.74,4.75,4.30,4.31,22353330
7-Jan-16,4.98,5.01,4.60,4.63,18760231
6-Jan-16,5.09,5.22,5.02,5.10,11757519
5-Jan-16,5.22,5.29,5.12,5.16,12741594
4-Jan-16,5.41,5.45,5.23,5.23,10113917
31-Dec-15,5.26,5.57,5.26,5.57,5591449
30-Dec-15,5.35,5.39,5.29,5.29,3655602
29-Dec-15,5.47,5.53,5.39,5.39,3166078
28-Dec-15,5.33,5.56,5.33,5.43,5216798
24-Dec-15,5.69,5.74,5.62,5.64,3178052
23-Dec-15,5.31,5.69,5.29,5.69,13215451
22-Dec-15,5.16,5.34,5.14,5.29,11887620
21-Dec-15,5.40,5.40,5.11,5.14,11977462
18-Dec-15,5.31,5.34,5.19,5.23,17186438
17-Dec-15,5.37,5.42,5.29,5.35,19437909
16-Dec-15,5.23,5.38,5.12,5.35,19079596
15-Dec-15,5.11,5.25,5.11,5.20,12719211
14-Dec-15,5.10,5.14,4.95,5.01,18619434
11-Dec-15,5.44,5.44,5.14,5.15,32022859
10-Dec-15,5.51,5.62,5.50,5.51,17252648
9-Dec-15,5.52,5.66,5.51,5.59,12440402
8-Dec-15,5.68,5.68,5.47,5.52,18689884
7-Dec-15,5.95,5.95,5.74,5.77,17466010
4-Dec-15,5.93,6.01,5.85,5.96,14149690
3-Dec-15,6.12,6.14,5.92,5.97,13358395
2-Dec-15,6.22,6.30,6.08,6.09,16613003
1-Dec-15,6.36,6.38,6.21,6.25,17524073
30-Nov-15,6.26,6.40,6.23,6.30,14044411
27-Nov-15,6.21,6.25,6.14,6.24,4581249
25-Nov-15,6.11,6.24,6.04,6.24,7196956
24-Nov-15,6.05,6.20,6.05,6.14,10232537
23-Nov-15,6.14,6.24,6.07,6.07,8419679
20-Nov-15,6.04,6.37,6.03,6.20,16401153
19-Nov-15,6.07,6.10,5.87,6.04,11505449
18-Nov-15,5.92,6.00,5.80,5.96,12130059
17-Nov-15,5.54,6.03,5.54,5.90,22860828
16-Nov-15,5.50,5.66,4.98,5.61,22105217
13-Nov-15,5.86,5.91,5.53,5.54,15302342
12-Nov-15,5.87,5.99,5.85,5.88,9778384
11-Nov-15,6.05,6.07,5.87,5.94,10712057
10-Nov-15,5.97,6.03,5.80,5.96,14146277
9-Nov-15,6.22,6.25,5.94,5.98,15244459
6-Nov-15,6.29,6.40,6.07,6.22,10904686
