Date,Open,High,Low,Close,Volume
21-Dec-11,-,-,-,3.31,0
20-Dec-11,3.31,3.36,3.31,3.34,320396
19-Dec-11,3.28,3.33,3.28,3.29,42246
16-Dec-11,3.31,3.34,3.30,3.30,147580
15-Dec-11,3.33,3.35,3.31,3.31,45746
14-Dec-11,3.34,3.36,3.31,3.33,66541
13-Dec-11,3.37,3.42,3.34,3.38,80583
12-Dec-11,3.38,3.40,3.34,3.40,156034
9-Dec-11,3.38,3.44,3.36,3.44,152189
8-Dec-11,3.39,3.42,3.37,3.37,27154
7-Dec-11,3.44,3.44,3.40,3.43,73893
6-Dec-11,3.44,3.46,3.42,3.42,59581
5-Dec-11,3.47,3.50,3.45,3.45,72666
2-Dec-11,3.43,3.48,3.43,3.43,36112
1-Dec-11,3.45,3.45,3.42,3.44,56950
30-Nov-11,3.42,3.45,3.37,3.45,79804
29-Nov-11,3.26,3.37,3.26,3.32,122506
28-Nov-11,3.31,3.33,3.24,3.24,58199
25-Nov-11,3.26,3.31,3.20,3.22,102213
23-Nov-11,-,-,-,3.26,0
22-Nov-11,3.27,3.35,3.27,3.30,34410
21-Nov-11,3.36,3.36,3.24,3.31,108499
18-Nov-11,3.39,3.42,3.36,3.36,26438
17-Nov-11,3.42,3.46,3.37,3.37,96028
16-Nov-11,3.46,3.48,3.41,3.41,86144
15-Nov-11,3.40,3.48,3.40,3.44,39368
14-Nov-11,3.47,3.49,3.40,3.42,58344
11-Nov-11,3.42,3.50,3.42,3.47,88821
10-Nov-11,3.43,3.46,3.40,3.45,27697
9-Nov-11,3.48,3.48,3.39,3.40,19926
8-Nov-11,3.46,3.51,3.45,3.51,58752
7-Nov-11,3.44,3.47,3.41,3.46,55850
4-Nov-11,3.50,3.50,3.44,3.45,27117
3-Nov-11,3.50,3.50,3.46,3.50,25403
2-Nov-11,3.40,3.47,3.40,3.43,44987
1-Nov-11,3.43,3.43,3.36,3.39,32719
31-Oct-11,3.51,3.54,3.47,3.49,75925
28-Oct-11,3.57,3.57,3.50,3.51,53695
27-Oct-11,3.45,3.55,3.45,3.55,62843
26-Oct-11,3.50,3.50,3.38,3.44,57659
25-Oct-11,3.46,3.46,3.39,3.40,77966
24-Oct-11,3.34,3.48,3.34,3.46,102032
21-Oct-11,3.41,3.48,3.36,3.44,49930
20-Oct-11,3.42,3.45,3.37,3.41,37891
19-Oct-11,3.49,3.50,3.39,3.40,69494
18-Oct-11,3.47,3.50,3.42,3.49,55575
17-Oct-11,3.48,3.51,3.43,3.50,101043
14-Oct-11,3.49,3.53,3.44,3.53,122921
13-Oct-11,3.40,3.42,3.37,3.38,63791
12-Oct-11,3.38,3.46,3.37,3.39,40406
11-Oct-11,3.27,3.38,3.27,3.35,86392
10-Oct-11,3.21,3.33,3.21,3.32,124726
7-Oct-11,3.25,3.25,3.18,3.20,69445
6-Oct-11,3.19,3.25,3.15,3.21,101724
5-Oct-11,3.11,3.19,3.10,3.19,49798
4-Oct-11,3.10,3.15,3.05,3.08,152186
3-Oct-11,3.30,3.34,3.16,3.17,119404
30-Sep-11,3.38,3.40,3.30,3.30,61425
29-Sep-11,3.42,3.42,3.35,3.37,54824
28-Sep-11,3.51,3.52,3.40,3.40,23005
27-Sep-11,3.48,3.53,3.45,3.45,68055
26-Sep-11,3.50,3.54,3.39,3.43,143203
23-Sep-11,3.53,3.53,3.49,3.49,58589
22-Sep-11,3.60,3.60,3.54,3.54,77749
21-Sep-11,3.67,3.72,3.61,3.66,67955
20-Sep-11,3.68,3.76,3.64,3.67,120345
19-Sep-11,3.69,3.69,3.63,3.64,62136
16-Sep-11,3.68,3.70,3.62,3.70,88117
15-Sep-11,3.67,3.70,3.62,3.70,49661
14-Sep-11,3.58,3.65,3.55,3.64,127994
13-Sep-11,3.50,3.57,3.49,3.57,153658
12-Sep-11,3.41,3.50,3.40,3.47,138349
9-Sep-11,3.52,3.52,3.45,3.45,53991
8-Sep-11,3.58,3.62,3.51,3.51,72416
7-Sep-11,3.62,3.63,3.56,3.59,69516
6-Sep-11,3.53,3.59,3.51,3.57,57518
2-Sep-11,3.62,3.64,3.58,3.64,36545
1-Sep-11,3.68,3.68,3.59,3.66,78494
31-Aug-11,3.68,3.68,3.64,3.67,34463
30-Aug-11,3.60,3.64,3.53,3.64,47627
29-Aug-11,3.60,3.61,3.53,3.61,92472
26-Aug-11,3.41,3.56,3.41,3.55,182796
25-Aug-11,3.52,3.54,3.42,3.45,86724
24-Aug-11,3.48,3.50,3.44,3.48,69922
23-Aug-11,3.35,3.45,3.35,3.45,65951
22-Aug-11,3.36,3.42,3.32,3.34,118722
19-Aug-11,3.39,3.43,3.32,3.32,117134
18-Aug-11,3.52,3.53,3.30,3.41,154336
17-Aug-11,3.59,3.62,3.54,3.58,88596
16-Aug-11,3.50,3.63,3.50,3.56,79766
15-Aug-11,3.53,3.66,3.50,3.60,206748
12-Aug-11,3.45,3.53,3.44,3.49,142821
11-Aug-11,3.30,3.45,3.30,3.39,97847
10-Aug-11,3.18,3.34,3.18,3.27,114317
9-Aug-11,3.20,3.50,3.18,3.24,213503
8-Aug-11,3.33,3.36,3.10,3.24,251721
5-Aug-11,3.49,3.51,3.21,3.44,266494
4-Aug-11,3.60,3.65,3.42,3.45,271310
3-Aug-11,3.68,3.74,3.60,3.65,168534
2-Aug-11,3.78,3.81,3.68,3.68,85440
1-Aug-11,3.85,3.86,3.72,3.78,95428
29-Jul-11,3.79,3.83,3.72,3.80,127891
28-Jul-11,3.75,3.81,3.73,3.80,49532
27-Jul-11,3.86,3.87,3.79,3.79,88297
26-Jul-11,3.89,3.89,3.84,3.84,77939
25-Jul-11,3.82,3.92,3.81,3.85,88396
22-Jul-11,3.86,3.90,3.86,3.90,63587
21-Jul-11,3.88,3.91,3.84,3.87,39379
20-Jul-11,3.83,3.86,3.82,3.85,52983
19-Jul-11,3.82,3.83,3.78,3.79,76093
18-Jul-11,3.79,3.81,3.73,3.80,96499
15-Jul-11,3.86,3.87,3.74,3.77,72117
14-Jul-11,3.90,3.90,3.75,3.82,50429
13-Jul-11,3.82,3.94,3.82,3.87,177974
12-Jul-11,3.83,3.87,3.82,3.85,95414
11-Jul-11,3.83,3.87,3.77,3.86,127723
8-Jul-11,3.79,3.85,3.79,3.84,16804
7-Jul-11,3.80,3.86,3.80,3.85,74132
6-Jul-11,3.81,3.88,3.79,3.79,131115
5-Jul-11,3.82,3.86,3.81,3.85,125428
1-Jul-11,-,-,-,3.82,0
30-Jun-11,3.80,3.83,3.77,3.80,53316
29-Jun-11,3.76,3.78,3.74,3.78,54000
28-Jun-11,3.72,3.78,3.71,3.73,106792
27-Jun-11,3.70,3.76,3.67,3.74,103927
24-Jun-11,3.70,3.73,3.65,3.67,68711
23-Jun-11,3.69,3.69,3.61,3.69,185888
22-Jun-11,3.71,3.75,3.68,3.70,138739
21-Jun-11,3.63,3.71,3.62,3.70,198823
20-Jun-11,3.57,3.64,3.51,3.61,1502696
17-Jun-11,3.77,3.79,3.71,3.71,46864
16-Jun-11,3.79,3.79,3.73,3.73,72362
15-Jun-11,3.80,3.82,3.75,3.82,108893
14-Jun-11,3.80,3.84,3.73,3.81,103494
13-Jun-11,3.82,3.82,3.68,3.80,191221
10-Jun-11,3.90,3.92,3.76,3.81,143340
9-Jun-11,3.90,3.93,3.85,3.90,113851
8-Jun-11,3.93,3.94,3.86,3.86,55463
7-Jun-11,3.92,3.95,3.88,3.93,125023
6-Jun-11,3.89,3.90,3.85,3.89,95991
3-Jun-11,3.90,3.93,3.84,3.90,123521
2-Jun-11,3.96,3.97,3.91,3.92,76784
1-Jun-11,3.96,3.99,3.93,3.94,154841
31-May-11,3.96,3.97,3.94,3.97,110429
27-May-11,-,-,-,3.96,0
26-May-11,3.92,3.97,3.91,3.96,104039
25-May-11,3.87,3.92,3.87,3.90,78846
24-May-11,3.95,3.96,3.87,3.87,61116
23-May-11,3.92,3.95,3.89,3.94,121709
20-May-11,3.97,3.98,3.93,3.97,166986
19-May-11,3.93,3.96,3.87,3.95,179679
18-May-11,3.84,3.95,3.79,3.93,174273
17-May-11,3.92,3.92,3.79,3.86,87035
16-May-11,3.95,3.96,3.88,3.89,52005
13-May-11,3.95,3.98,3.90,3.95,122896
12-May-11,3.87,3.99,3.85,3.93,117551
11-May-11,3.84,3.92,3.81,3.88,110144
10-May-11,3.93,3.93,3.85,3.86,55742
9-May-11,3.95,3.95,3.87,3.91,125320
6-May-11,3.92,3.95,3.91,3.93,67881
5-May-11,3.95,3.97,3.90,3.92,142353
4-May-11,3.95,3.98,3.92,3.95,110920
3-May-11,3.98,3.98,3.91,3.96,70098
2-May-11,3.99,3.99,3.97,3.97,44857
29-Apr-11,3.98,3.99,3.94,3.99,88953
28-Apr-11,3.93,3.99,3.92,3.99,99431
27-Apr-11,3.87,3.97,3.86,3.94,153044
26-Apr-11,3.93,3.94,3.89,3.89,95828
25-Apr-11,3.93,3.94,3.83,3.94,123949
21-Apr-11,-,-,-,3.94,0
20-Apr-11,3.73,3.90,3.73,3.84,277032
19-Apr-11,3.72,3.73,3.69,3.70,113008
18-Apr-11,3.74,3.74,3.69,3.70,102263
15-Apr-11,3.80,3.82,3.73,3.73,73634
14-Apr-11,3.79,3.83,3.76,3.78,50534
13-Apr-11,3.85,3.85,3.73,3.80,187217
12-Apr-11,3.83,3.86,3.75,3.83,176871
11-Apr-11,3.86,3.87,3.79,3.87,152778
8-Apr-11,3.83,3.86,3.80,3.86,243165
7-Apr-11,3.77,3.82,3.74,3.81,316327
6-Apr-11,3.76,3.80,3.74,3.76,60513
5-Apr-11,3.74,3.79,3.74,3.75,63606
4-Apr-11,3.73,3.77,3.73,3.75,124783
1-Apr-11,3.73,3.74,3.73,3.74,80997
31-Mar-11,3.76,3.76,3.70,3.75,65462
30-Mar-11,3.74,3.77,3.72,3.75,124231
29-Mar-11,3.69,3.72,3.64,3.71,106210
28-Mar-11,3.70,3.75,3.67,3.72,111236
25-Mar-11,3.72,3.78,3.66,3.71,182494
24-Mar-11,3.60,3.72,3.60,3.72,141129
23-Mar-11,3.54,3.59,3.51,3.59,92078
22-Mar-11,3.52,3.58,3.52,3.54,72583
21-Mar-11,3.52,3.55,3.51,3.52,44637
18-Mar-11,3.52,3.56,3.49,3.49,62716
17-Mar-11,3.46,3.52,3.46,3.49,81732
16-Mar-11,3.49,3.53,3.43,3.45,131322
15-Mar-11,3.46,3.57,3.45,3.52,125720
14-Mar-11,3.56,3.61,3.52,3.57,83204
11-Mar-11,3.55,3.61,3.54,3.57,81895
10-Mar-11,3.59,3.62,3.54,3.55,62388
9-Mar-11,3.61,3.66,3.58,3.62,81132
8-Mar-11,3.58,3.66,3.58,3.62,60587
7-Mar-11,3.59,3.62,3.57,3.57,31980
4-Mar-11,3.60,3.63,3.58,3.62,30276
3-Mar-11,3.56,3.62,3.56,3.59,61917
2-Mar-11,3.52,3.59,3.52,3.57,34735
1-Mar-11,3.60,3.60,3.51,3.51,69566
28-Feb-11,3.54,3.61,3.54,3.58,53987
25-Feb-11,3.49,3.55,3.49,3.55,19546
24-Feb-11,3.50,3.51,3.44,3.47,98222
23-Feb-11,3.47,3.54,3.46,3.49,114214
