Date,Open,High,Low,Close,Volume
22-Nov-16,14.74,14.81,14.68,14.76,104681
21-Nov-16,14.71,14.75,14.67,14.67,58902
18-Nov-16,14.76,14.76,14.64,14.66,75901
17-Nov-16,14.60,14.75,14.56,14.73,125902
16-Nov-16,14.53,14.58,14.49,14.56,93578
15-Nov-16,14.36,14.55,14.36,14.55,121515
14-Nov-16,14.40,14.44,14.31,14.41,87888
11-Nov-16,14.26,14.40,14.26,14.34,102431
10-Nov-16,14.28,14.49,14.24,14.36,120807
9-Nov-16,13.77,14.40,13.72,14.24,176211
8-Nov-16,13.91,14.15,13.91,14.01,123586
7-Nov-16,13.91,14.02,13.89,13.97,132062
4-Nov-16,13.90,13.96,13.81,13.81,83758
3-Nov-16,14.03,14.04,13.90,13.90,136484
2-Nov-16,14.24,14.24,14.03,14.07,125884
1-Nov-16,14.18,14.18,14.07,14.13,85569
31-Oct-16,14.26,14.26,14.13,14.16,63655
28-Oct-16,14.22,14.28,14.20,14.21,57838
27-Oct-16,14.33,14.33,14.17,14.19,55538
26-Oct-16,14.25,14.29,14.21,14.26,58078
25-Oct-16,14.33,14.38,14.27,14.30,124221
24-Oct-16,14.36,14.37,14.23,14.27,56393
21-Oct-16,14.14,14.29,14.09,14.27,103821
20-Oct-16,14.11,14.15,14.05,14.10,78808
19-Oct-16,14.11,14.17,14.04,14.11,84019
18-Oct-16,14.04,14.07,13.97,14.04,83747
17-Oct-16,14.16,14.19,13.91,13.95,115137
14-Oct-16,14.15,14.29,14.09,14.10,68086
13-Oct-16,14.15,14.17,14.04,14.05,64995
12-Oct-16,14.20,14.30,14.19,14.19,71041
11-Oct-16,14.35,14.40,14.25,14.25,211050
10-Oct-16,14.41,14.42,14.32,14.33,45460
7-Oct-16,14.38,14.40,14.34,14.35,73290
6-Oct-16,14.32,14.38,14.32,14.32,141958
5-Oct-16,14.21,14.37,14.21,14.23,112404
4-Oct-16,14.28,14.40,14.15,14.21,129722
3-Oct-16,14.34,14.39,14.24,14.30,110822
30-Sep-16,14.31,14.43,14.25,14.42,115927
29-Sep-16,14.41,14.43,14.20,14.24,75038
28-Sep-16,14.37,14.46,14.23,14.43,79834
27-Sep-16,14.21,14.34,14.18,14.34,55251
26-Sep-16,14.15,14.24,14.12,14.16,105269
23-Sep-16,14.47,14.47,14.33,14.37,22352
22-Sep-16,14.46,14.52,14.43,14.46,58297
21-Sep-16,14.33,14.44,14.29,14.42,94070
20-Sep-16,14.35,14.40,14.26,14.30,23680
19-Sep-16,14.39,14.42,14.31,14.32,44860
16-Sep-16,14.40,14.40,14.20,14.37,47211
15-Sep-16,14.37,14.44,14.28,14.39,55955
14-Sep-16,14.33,14.37,14.28,14.36,47914
13-Sep-16,14.43,14.45,14.25,14.33,96353
12-Sep-16,14.67,14.79,14.53,14.75,73683
9-Sep-16,14.85,14.88,14.64,14.68,83786
8-Sep-16,14.89,14.93,14.86,14.92,59009
7-Sep-16,14.91,14.95,14.87,14.90,41556
6-Sep-16,14.90,14.95,14.85,14.88,55711
2-Sep-16,14.88,14.92,14.86,14.89,44092
1-Sep-16,14.80,14.85,14.71,14.79,42701
31-Aug-16,14.78,14.84,14.76,14.82,64320
30-Aug-16,14.81,14.86,14.79,14.83,35943
29-Aug-16,14.83,14.90,14.81,14.82,71695
26-Aug-16,14.84,14.94,14.70,14.82,54898
25-Aug-16,14.83,14.87,14.79,14.84,114892
24-Aug-16,14.86,14.86,14.73,14.79,57310
23-Aug-16,14.95,14.95,14.78,14.82,84298
22-Aug-16,14.87,14.87,14.80,14.85,53307
19-Aug-16,14.86,14.89,14.80,14.87,59613
18-Aug-16,14.81,14.88,14.76,14.82,50424
17-Aug-16,14.80,14.86,14.76,14.82,101999
16-Aug-16,14.91,14.91,14.77,14.84,79599
15-Aug-16,14.91,14.95,14.85,14.86,32945
12-Aug-16,14.87,14.90,14.85,14.86,86431
11-Aug-16,14.86,14.86,14.77,14.84,68210
10-Aug-16,14.87,14.87,14.73,14.79,51376
9-Aug-16,14.83,14.86,14.80,14.85,66780
8-Aug-16,14.86,14.86,14.79,14.79,49511
5-Aug-16,14.82,14.86,14.73,14.86,63320
4-Aug-16,14.70,14.77,14.68,14.74,69386
3-Aug-16,14.60,14.67,14.45,14.65,71781
2-Aug-16,14.74,14.74,14.63,14.66,58334
1-Aug-16,14.77,14.79,14.70,14.75,72515
29-Jul-16,14.80,14.83,14.78,14.79,38196
