Date,Open,High,Low,Close,Volume
22-Nov-16,7.63,7.63,7.43,7.53,95410
21-Nov-16,7.50,7.64,7.44,7.60,103655
18-Nov-16,7.36,7.37,7.25,7.37,69361
17-Nov-16,7.32,7.44,7.29,7.29,59280
16-Nov-16,7.26,7.38,7.23,7.33,85966
15-Nov-16,7.36,7.36,7.23,7.25,65477
14-Nov-16,7.34,7.34,7.08,7.22,72513
11-Nov-16,7.35,7.38,7.21,7.28,56285
10-Nov-16,7.24,7.48,7.24,7.39,88824
9-Nov-16,7.10,7.37,7.00,7.22,129773
8-Nov-16,7.40,7.65,7.27,7.51,109986
7-Nov-16,7.39,7.45,7.31,7.42,86215
4-Nov-16,7.31,7.43,7.25,7.31,102967
3-Nov-16,7.51,7.53,7.36,7.49,83354
2-Nov-16,7.50,7.75,7.50,7.54,135157
1-Nov-16,7.46,7.61,7.37,7.60,121768
31-Oct-16,7.42,7.47,7.27,7.46,100616
28-Oct-16,7.42,7.48,7.33,7.44,174379
27-Oct-16,7.44,7.49,7.36,7.41,156485
26-Oct-16,7.37,7.44,7.26,7.43,75773
25-Oct-16,7.59,7.59,7.35,7.41,64157
24-Oct-16,7.55,7.59,7.51,7.56,73081
21-Oct-16,7.48,7.55,7.43,7.55,73819
20-Oct-16,7.38,7.50,7.36,7.45,54102
19-Oct-16,7.43,7.51,7.35,7.43,58171
18-Oct-16,7.34,7.38,7.23,7.33,101997
17-Oct-16,7.40,7.40,7.30,7.30,36243
14-Oct-16,7.47,7.50,7.32,7.38,55694
13-Oct-16,7.46,7.50,7.35,7.50,43585
12-Oct-16,7.48,7.52,7.47,7.50,25876
11-Oct-16,7.73,7.73,7.46,7.50,40637
10-Oct-16,7.61,7.61,7.54,7.60,23877
7-Oct-16,7.56,7.59,7.41,7.47,82993
6-Oct-16,7.63,7.63,7.49,7.52,48758
5-Oct-16,7.57,7.61,7.53,7.58,51631
4-Oct-16,7.64,7.64,7.46,7.50,52676
3-Oct-16,7.75,7.75,7.61,7.63,21168
30-Sep-16,7.69,7.77,7.63,7.73,40063
29-Sep-16,7.65,7.75,7.56,7.64,84317
28-Sep-16,7.58,7.62,7.38,7.61,91020
27-Sep-16,7.42,7.54,7.37,7.48,76248
26-Sep-16,7.59,7.59,7.52,7.52,33905
23-Sep-16,7.59,7.70,7.50,7.52,43190
22-Sep-16,7.55,7.65,7.51,7.64,69102
21-Sep-16,7.38,7.40,7.30,7.40,36242
20-Sep-16,7.30,7.33,7.25,7.25,31442
19-Sep-16,7.38,7.38,7.26,7.29,56116
16-Sep-16,7.28,7.39,7.14,7.23,90100
15-Sep-16,7.25,7.39,7.13,7.34,154021
14-Sep-16,7.21,7.32,7.17,7.23,72795
13-Sep-16,7.47,7.53,7.24,7.24,130329
12-Sep-16,7.64,7.64,7.47,7.59,109347
9-Sep-16,7.85,7.94,7.59,7.64,109581
8-Sep-16,7.82,8.06,7.82,7.93,131158
7-Sep-16,7.74,7.84,7.69,7.73,193384
6-Sep-16,7.58,7.76,7.58,7.66,117259
2-Sep-16,7.52,7.65,7.46,7.65,70195
1-Sep-16,7.49,7.54,7.46,7.48,39097
31-Aug-16,7.58,7.63,7.50,7.54,70285
30-Aug-16,7.73,7.78,7.53,7.65,75661
29-Aug-16,7.66,7.76,7.62,7.70,44076
26-Aug-16,7.75,7.91,7.64,7.73,96535
25-Aug-16,7.71,7.84,7.71,7.74,40898
24-Aug-16,7.95,7.95,7.70,7.77,58492
23-Aug-16,7.97,7.98,7.90,7.93,77392
22-Aug-16,7.95,7.98,7.86,7.94,55817
19-Aug-16,8.16,8.16,7.99,8.01,72015
18-Aug-16,8.05,8.12,7.96,8.09,119706
17-Aug-16,8.05,8.11,7.90,8.00,63281
16-Aug-16,8.04,8.05,7.90,7.98,102692
15-Aug-16,8.00,8.12,7.95,8.01,79009
12-Aug-16,7.97,8.02,7.88,7.89,127294
11-Aug-16,8.03,8.10,7.89,7.92,77164
10-Aug-16,8.08,8.14,7.86,8.01,118764
9-Aug-16,8.09,8.09,7.91,8.06,85353
8-Aug-16,8.08,8.33,8.07,8.27,183848
5-Aug-16,7.97,8.10,7.93,8.02,99325
4-Aug-16,7.90,7.95,7.83,7.95,97536
3-Aug-16,7.58,7.85,7.55,7.85,104157
2-Aug-16,7.55,7.68,7.35,7.50,95264
1-Aug-16,7.69,7.72,7.56,7.57,73258
29-Jul-16,7.46,7.75,7.46,7.75,103311
28-Jul-16,7.63,7.67,7.54,7.54,74216
27-Jul-16,7.71,7.84,7.70,7.70,64313
26-Jul-16,7.73,7.90,7.72,7.75,57581
25-Jul-16,7.88,7.88,7.72,7.78,78967
22-Jul-16,7.86,7.95,7.84,7.91,64072
21-Jul-16,7.80,8.00,7.75,7.86,143356
20-Jul-16,7.76,7.88,7.68,7.81,72194
19-Jul-16,7.78,7.81,7.61,7.73,62691
18-Jul-16,7.62,7.76,7.60,7.75,59980
15-Jul-16,7.78,7.78,7.60,7.67,65561
14-Jul-16,7.80,7.85,7.66,7.74,56892
13-Jul-16,7.96,7.96,7.63,7.67,75936
12-Jul-16,7.80,8.03,7.80,7.85,63538
11-Jul-16,7.67,7.81,7.61,7.64,44283
8-Jul-16,7.57,7.78,7.51,7.67,49298
7-Jul-16,7.78,7.78,7.46,7.46,65355
6-Jul-16,7.54,7.71,7.52,7.68,51811
5-Jul-16,7.62,7.79,7.50,7.72,53690
1-Jul-16,7.83,7.98,7.81,7.82,43695
30-Jun-16,7.86,7.96,7.68,7.88,82582
29-Jun-16,7.81,8.00,7.81,7.88,95219
28-Jun-16,7.53,7.87,7.31,7.71,107595
27-Jun-16,7.50,7.50,7.16,7.27,115426
24-Jun-16,7.93,7.93,7.51,7.60,89210
23-Jun-16,7.88,8.04,7.84,8.01,80565
22-Jun-16,7.89,7.97,7.77,7.83,42368
21-Jun-16,7.63,7.87,7.59,7.84,68014
20-Jun-16,7.69,7.69,7.58,7.63,40418
17-Jun-16,7.42,7.58,7.42,7.51,54458
16-Jun-16,7.29,7.45,7.20,7.38,90514
15-Jun-16,7.27,7.46,7.20,7.41,90973
14-Jun-16,7.37,7.48,7.27,7.33,71078
13-Jun-16,7.57,7.72,7.47,7.49,82275
10-Jun-16,8.01,8.09,7.73,7.73,105130
9-Jun-16,8.18,8.25,8.08,8.15,110066
8-Jun-16,8.36,8.50,8.30,8.31,134373
7-Jun-16,8.33,8.34,8.16,8.30,88107
6-Jun-16,8.07,8.30,7.95,8.19,119973
3-Jun-16,7.79,7.99,7.79,7.90,94565
2-Jun-16,7.46,7.84,7.46,7.84,77359
1-Jun-16,7.31,7.71,7.29,7.54,93741
31-May-16,7.51,7.65,7.39,7.45,92718
27-May-16,7.59,7.68,7.43,7.50,123918
26-May-16,7.80,7.85,7.59,7.72,169734
25-May-16,7.67,7.83,7.62,7.73,129067
24-May-16,7.74,7.82,7.58,7.67,122160
23-May-16,7.60,7.82,7.50,7.66,115595
20-May-16,7.41,7.61,7.33,7.61,94105
19-May-16,7.19,7.39,7.06,7.22,117240
18-May-16,7.21,7.34,7.03,7.17,91677
