Date,Open,High,Low,Close,Volume
22-Nov-16,22.95,23.04,22.79,22.83,48945
21-Nov-16,23.20,23.20,22.93,22.98,40879
18-Nov-16,23.17,23.17,22.90,23.02,86018
17-Nov-16,23.46,23.50,23.33,23.50,69804
16-Nov-16,23.31,23.48,23.20,23.46,126130
15-Nov-16,22.90,23.13,22.90,23.11,102002
14-Nov-16,22.94,22.95,22.70,22.83,281420
11-Nov-16,22.86,23.02,22.82,22.88,243888
10-Nov-16,23.01,23.10,22.82,22.82,100164
9-Nov-16,23.06,23.09,22.82,22.91,145313
8-Nov-16,23.13,23.27,23.05,23.20,150779
7-Nov-16,23.21,23.26,23.00,23.07,74301
4-Nov-16,22.88,23.07,22.84,23.00,73911
3-Nov-16,23.08,23.08,22.76,22.82,59390
2-Nov-16,23.03,23.08,22.98,23.02,87034
1-Nov-16,23.05,23.08,22.93,23.02,49137
31-Oct-16,23.09,23.09,23.00,23.02,59404
28-Oct-16,22.91,23.14,22.91,22.97,117268
27-Oct-16,22.98,23.10,22.87,22.99,338433
26-Oct-16,23.13,23.13,22.84,22.84,210508
25-Oct-16,23.23,23.23,22.99,23.05,232378
24-Oct-16,23.52,23.57,23.20,23.22,193521
21-Oct-16,23.41,23.56,23.24,23.27,211706
20-Oct-16,23.25,23.57,23.25,23.52,900578
19-Oct-16,23.10,23.29,23.07,23.13,132759
18-Oct-16,22.84,23.09,22.76,22.98,122486
17-Oct-16,22.66,23.05,22.51,22.70,119431
14-Oct-16,22.94,23.02,22.68,22.71,142211
13-Oct-16,22.77,22.93,22.60,22.93,758529
12-Oct-16,22.80,22.85,22.67,22.84,675899
11-Oct-16,23.03,23.04,22.64,22.66,469895
10-Oct-16,23.04,23.07,22.83,23.04,260129
7-Oct-16,23.12,23.47,22.97,23.01,573793
6-Oct-16,23.15,23.20,22.91,23.08,1481138
5-Oct-16,23.00,23.17,22.88,23.12,479967
4-Oct-16,22.84,23.07,22.75,22.83,389906
3-Oct-16,23.27,23.27,22.68,22.71,1107529
30-Sep-16,22.46,23.47,22.45,23.27,1639201
29-Sep-16,23.13,23.25,21.86,22.23,1423779
28-Sep-16,23.30,23.37,22.92,23.13,443592
27-Sep-16,23.19,23.50,22.06,22.79,845994
26-Sep-16,24.30,24.30,23.28,23.51,581520
23-Sep-16,24.78,24.81,24.61,24.73,257719
22-Sep-16,24.61,24.83,24.61,24.78,151667
21-Sep-16,24.17,24.50,24.17,24.44,231441
20-Sep-16,24.55,24.55,23.76,24.33,511073
19-Sep-16,24.60,24.94,24.60,24.61,339032
16-Sep-16,25.00,25.00,24.40,24.75,541699
15-Sep-16,25.20,25.24,25.20,25.24,47121
14-Sep-16,25.20,25.28,25.17,25.24,36642
13-Sep-16,25.25,25.30,25.16,25.29,64722
12-Sep-16,25.25,25.29,25.20,25.26,52534
9-Sep-16,25.28,25.28,25.16,25.20,82886
8-Sep-16,25.28,25.30,25.24,25.27,53762
7-Sep-16,25.20,25.34,25.20,25.30,59389
6-Sep-16,25.20,25.23,25.15,25.23,44787
2-Sep-16,25.17,25.27,25.11,25.24,114025
1-Sep-16,25.19,25.19,25.10,25.17,102194
31-Aug-16,25.24,25.25,25.15,25.16,96840
30-Aug-16,25.20,25.27,25.18,25.20,95326
29-Aug-16,25.28,25.28,25.19,25.20,90628
26-Aug-16,25.25,25.34,25.21,25.27,96075
25-Aug-16,25.30,25.39,25.20,25.25,151777
24-Aug-16,25.30,25.39,25.26,25.34,110940
23-Aug-16,25.30,25.35,25.27,25.30,68492
22-Aug-16,25.23,25.28,25.15,25.27,73764
19-Aug-16,25.10,25.19,25.07,25.18,74500
18-Aug-16,25.25,25.31,25.09,25.09,146694
17-Aug-16,25.57,25.72,25.53,25.67,110420
16-Aug-16,25.49,25.60,25.44,25.60,94752
15-Aug-16,25.45,25.54,25.40,25.54,116942
12-Aug-16,25.35,25.39,25.32,25.38,53187
11-Aug-16,25.42,25.45,25.25,25.25,119635
10-Aug-16,25.41,25.50,25.31,25.43,83833
9-Aug-16,25.29,25.44,25.28,25.40,87906
8-Aug-16,25.17,25.29,25.16,25.27,127103
5-Aug-16,25.15,25.21,25.10,25.19,65088
4-Aug-16,25.05,25.20,25.05,25.15,115638
3-Aug-16,25.00,25.13,25.00,25.07,121820
2-Aug-16,25.02,25.10,24.94,25.09,137869
1-Aug-16,25.07,25.12,25.02,25.10,86258
29-Jul-16,24.95,25.19,24.94,25.12,95640
28-Jul-16,24.98,25.03,24.90,24.98,151744
27-Jul-16,25.14,25.14,24.98,25.01,188506
26-Jul-16,25.12,25.25,25.04,25.23,118436
25-Jul-16,25.00,25.20,25.00,25.19,173982
22-Jul-16,25.00,25.07,24.96,25.05,176957
21-Jul-16,24.98,25.04,24.97,25.03,115159
20-Jul-16,25.00,25.00,24.92,24.96,140035
19-Jul-16,24.88,24.99,24.81,24.98,146273
18-Jul-16,24.95,24.95,24.87,24.91,110275
15-Jul-16,24.92,24.93,24.78,24.78,267355
14-Jul-16,24.55,24.83,24.55,24.78,148164
13-Jul-16,24.30,24.53,24.26,24.49,246279
12-Jul-16,24.17,24.30,24.08,24.22,196042
11-Jul-16,24.09,24.16,24.04,24.08,159978
8-Jul-16,23.91,24.09,23.91,24.03,162936
7-Jul-16,24.21,24.22,23.85,23.85,240591
6-Jul-16,24.37,24.37,24.09,24.16,297778
5-Jul-16,24.70,24.75,24.38,24.45,229948
1-Jul-16,24.82,24.93,24.65,24.69,214408
30-Jun-16,24.87,25.02,24.68,24.80,347912
29-Jun-16,24.95,25.03,24.85,25.01,184822
28-Jun-16,24.55,24.91,24.55,24.86,264697
27-Jun-16,24.50,24.50,24.26,24.36,274745
24-Jun-16,24.15,24.80,24.15,24.68,505663
23-Jun-16,24.95,25.09,24.95,25.05,311427
22-Jun-16,24.97,24.97,24.85,24.85,195859
21-Jun-16,24.96,25.00,24.96,25.00,199556
20-Jun-16,25.01,25.05,24.95,24.99,258697
17-Jun-16,24.95,25.00,24.92,24.95,283009
16-Jun-16,24.75,24.90,24.62,24.88,378968
15-Jun-16,24.79,24.94,24.76,24.84,353442
14-Jun-16,24.76,24.77,24.32,24.73,481641
13-Jun-16,24.81,24.88,24.73,24.77,228658
10-Jun-16,24.88,24.92,24.76,24.92,170510
9-Jun-16,24.87,24.95,24.87,24.95,166515
8-Jun-16,24.98,24.98,24.90,24.95,157935
7-Jun-16,24.92,24.98,24.85,24.96,133927
6-Jun-16,24.93,25.00,24.90,24.93,147758
3-Jun-16,24.95,24.96,24.88,24.88,262100
2-Jun-16,24.93,24.97,24.90,24.92,134848
1-Jun-16,24.99,24.99,24.92,24.93,262706
31-May-16,24.99,25.01,24.92,24.97,144073
27-May-16,24.92,24.99,24.87,24.98,163155
26-May-16,24.92,24.99,24.86,24.92,185707
25-May-16,24.93,24.93,24.76,24.91,218249
24-May-16,25.00,25.00,24.88,24.98,151789
23-May-16,25.00,25.13,24.94,24.98,137278
20-May-16,24.97,25.18,24.90,25.00,223644
19-May-16,24.90,24.98,24.75,24.97,173857
18-May-16,24.97,25.00,24.85,24.91,399160
17-May-16,25.15,25.15,25.10,25.11,229459
16-May-16,25.05,25.12,25.01,25.08,245636
13-May-16,24.98,25.12,24.92,25.05,202824
12-May-16,25.00,25.02,24.95,24.96,145558
11-May-16,24.95,25.00,24.93,24.94,181028
10-May-16,24.97,24.98,24.93,24.96,147624
9-May-16,24.95,24.96,24.89,24.95,93832
6-May-16,24.85,24.97,24.85,24.92,246656
5-May-16,24.92,24.95,24.81,24.88,95372
4-May-16,24.95,25.08,24.91,24.92,133638
3-May-16,25.00,25.00,24.88,24.91,327313
2-May-16,24.90,25.06,24.85,25.02,127852
29-Apr-16,24.75,24.90,24.75,24.90,255837
28-Apr-16,24.77,24.80,24.71,24.77,138640
27-Apr-16,24.69,24.77,24.61,24.67,154468
26-Apr-16,24.56,24.69,24.55,24.65,114532
25-Apr-16,24.66,24.67,24.60,24.65,116943
22-Apr-16,24.59,24.69,24.51,24.61,101510
21-Apr-16,24.55,24.55,24.51,24.54,58249
20-Apr-16,24.60,24.60,24.49,24.55,199568
19-Apr-16,24.47,24.55,24.44,24.50,234547
18-Apr-16,24.40,24.45,24.27,24.40,117939
