Date,Open,High,Low,Close,Volume
22-Nov-16,13.06,13.37,13.03,13.37,280901
21-Nov-16,12.73,13.23,12.73,13.05,89159
18-Nov-16,12.64,12.81,12.54,12.78,45738
17-Nov-16,12.63,12.72,12.61,12.69,22029
16-Nov-16,12.59,12.71,12.55,12.60,29576
15-Nov-16,12.42,12.61,12.35,12.56,28213
14-Nov-16,12.48,12.50,12.41,12.41,27398
11-Nov-16,12.32,12.50,12.29,12.46,26275
10-Nov-16,12.63,12.63,12.32,12.38,61514
9-Nov-16,12.55,12.65,12.42,12.63,45886
8-Nov-16,12.49,12.65,12.47,12.61,41706
7-Nov-16,12.39,12.51,12.36,12.47,60364
4-Nov-16,12.38,12.49,12.36,12.38,62777
3-Nov-16,12.35,12.54,12.35,12.38,47871
2-Nov-16,12.35,12.50,12.26,12.34,43825
1-Nov-16,12.44,12.51,12.30,12.35,45614
31-Oct-16,12.50,12.60,12.37,12.58,47420
28-Oct-16,12.47,12.52,12.36,12.50,39133
27-Oct-16,12.59,12.63,12.41,12.47,42514
26-Oct-16,12.81,12.87,12.50,12.58,70699
25-Oct-16,12.66,12.83,12.54,12.81,93070
24-Oct-16,12.54,12.69,12.54,12.66,44449
21-Oct-16,12.47,12.60,12.47,12.52,32388
20-Oct-16,12.54,12.59,12.51,12.58,13746
19-Oct-16,12.52,12.59,12.50,12.53,25231
18-Oct-16,12.43,12.57,12.43,12.49,20038
17-Oct-16,12.51,12.56,12.41,12.45,22756
14-Oct-16,12.55,12.59,12.44,12.51,19324
13-Oct-16,12.62,12.72,12.51,12.55,32236
12-Oct-16,12.57,12.74,12.51,12.66,21929
11-Oct-16,12.55,12.59,12.45,12.54,26539
10-Oct-16,12.41,12.61,12.41,12.57,25920
7-Oct-16,12.35,12.47,12.21,12.46,29741
6-Oct-16,12.38,12.38,12.24,12.27,27929
5-Oct-16,12.47,12.53,12.34,12.35,42303
4-Oct-16,12.77,12.77,12.22,12.44,107205
3-Oct-16,13.00,13.00,12.74,12.78,28263
30-Sep-16,12.96,13.03,12.95,12.98,24598
29-Sep-16,12.95,13.07,12.84,12.99,34172
28-Sep-16,13.00,13.07,12.88,13.02,28120
27-Sep-16,13.38,13.45,13.31,13.37,59433
26-Sep-16,13.44,13.56,13.35,13.38,61230
23-Sep-16,13.37,13.55,13.23,13.45,58903
22-Sep-16,13.41,13.52,13.36,13.47,68016
21-Sep-16,13.32,13.43,13.22,13.38,64992
20-Sep-16,13.43,13.44,13.28,13.28,35282
19-Sep-16,13.26,13.41,13.26,13.35,36902
16-Sep-16,13.26,13.35,13.06,13.26,70544
15-Sep-16,13.12,13.44,13.12,13.34,33774
14-Sep-16,13.18,13.40,13.18,13.27,35536
13-Sep-16,13.25,13.34,13.14,13.19,12747
12-Sep-16,13.21,13.41,13.09,13.30,54980
9-Sep-16,13.79,13.90,13.14,13.21,77283
8-Sep-16,13.79,13.90,13.78,13.88,16419
7-Sep-16,13.93,14.07,13.80,13.83,28130
6-Sep-16,13.99,14.03,13.91,13.93,17017
2-Sep-16,13.61,14.06,13.61,14.01,48875
1-Sep-16,13.56,13.64,13.45,13.57,45802
31-Aug-16,13.50,13.56,13.41,13.54,25130
30-Aug-16,13.35,13.50,13.35,13.44,22009
29-Aug-16,13.47,13.59,13.35,13.37,15758
26-Aug-16,13.59,13.66,13.37,13.43,24064
25-Aug-16,13.61,13.72,13.58,13.62,12097
24-Aug-16,13.60,13.70,13.55,13.62,18677
23-Aug-16,13.46,13.69,13.46,13.67,63092
22-Aug-16,13.42,13.54,13.41,13.48,17963
19-Aug-16,13.43,13.53,13.39,13.48,25668
18-Aug-16,13.56,13.73,13.49,13.49,46655
17-Aug-16,13.70,13.72,13.52,13.63,35376
16-Aug-16,13.85,13.85,13.67,13.71,29333
15-Aug-16,13.98,13.98,13.81,13.84,31821
12-Aug-16,13.94,13.94,13.78,13.88,18276
11-Aug-16,13.79,13.92,13.75,13.85,36620
10-Aug-16,13.98,14.00,13.84,13.88,28607
9-Aug-16,13.79,13.99,13.79,13.90,34862
8-Aug-16,13.99,14.02,13.82,13.83,29682
5-Aug-16,13.82,14.00,13.81,13.92,23051
4-Aug-16,14.00,14.08,13.67,13.84,46268
3-Aug-16,14.09,14.12,13.80,14.00,42100
2-Aug-16,14.38,14.40,14.23,14.29,48734
1-Aug-16,14.13,14.43,14.12,14.43,76152
29-Jul-16,14.06,14.28,14.06,14.14,21540
28-Jul-16,14.00,14.14,13.93,14.10,37360
27-Jul-16,13.91,14.09,13.89,13.96,21177
