Date,Open,High,Low,Close,Volume
22-Nov-16,34.30,34.40,34.30,34.34,189270
21-Nov-16,34.38,34.40,34.30,34.36,126379
18-Nov-16,34.35,34.40,34.33,34.38,129850
17-Nov-16,34.38,34.41,34.30,34.40,116429
16-Nov-16,34.35,34.43,34.33,34.42,142568
15-Nov-16,34.36,34.43,34.29,34.37,94910
14-Nov-16,34.40,34.43,34.31,34.43,143803
11-Nov-16,34.37,34.44,34.32,34.40,228337
10-Nov-16,34.35,34.49,34.20,34.34,246237
9-Nov-16,34.11,34.34,34.11,34.34,225283
8-Nov-16,34.20,34.29,34.17,34.23,128693
7-Nov-16,34.13,34.25,34.12,34.23,128613
4-Nov-16,34.12,34.22,34.12,34.12,109857
3-Nov-16,34.11,34.20,34.11,34.11,110478
2-Nov-16,34.12,34.18,34.04,34.11,107245
1-Nov-16,34.23,34.24,34.11,34.12,145936
31-Oct-16,34.27,34.28,34.21,34.23,146290
28-Oct-16,34.26,34.30,34.24,34.25,86864
27-Oct-16,34.23,34.30,34.23,34.30,120604
26-Oct-16,34.23,34.33,34.23,34.26,132049
25-Oct-16,34.33,34.33,34.25,34.25,123439
24-Oct-16,34.27,34.40,34.27,34.32,69838
21-Oct-16,34.23,34.30,34.19,34.26,94161
20-Oct-16,34.29,34.32,34.25,34.26,98171
19-Oct-16,34.28,34.32,34.23,34.26,97237
18-Oct-16,34.23,34.33,34.23,34.27,172731
17-Oct-16,34.16,34.24,34.16,34.22,83264
14-Oct-16,34.16,34.23,34.16,34.16,95244
13-Oct-16,34.19,34.25,34.16,34.17,128469
12-Oct-16,34.17,34.21,34.16,34.21,106561
11-Oct-16,34.19,34.20,34.13,34.18,150058
10-Oct-16,34.12,34.20,34.12,34.20,63586
7-Oct-16,34.12,34.18,34.11,34.12,125597
6-Oct-16,34.10,34.22,34.10,34.12,116342
5-Oct-16,34.08,34.19,34.08,34.13,168226
4-Oct-16,34.08,34.11,34.08,34.08,104167
3-Oct-16,34.12,34.15,34.08,34.14,134633
30-Sep-16,34.13,34.27,34.11,34.14,212782
29-Sep-16,34.09,34.14,34.08,34.13,98778
28-Sep-16,34.11,34.14,34.07,34.11,147126
27-Sep-16,34.04,34.12,34.03,34.11,276299
26-Sep-16,34.08,34.12,34.02,34.04,197609
23-Sep-16,34.06,34.12,34.00,34.10,589793
22-Sep-16,34.11,34.12,34.06,34.07,159307
21-Sep-16,34.06,34.10,34.06,34.07,146923
20-Sep-16,34.12,34.13,34.05,34.06,499789
19-Sep-16,34.02,34.13,34.02,34.13,217936
16-Sep-16,34.05,34.06,34.02,34.04,318739
15-Sep-16,34.02,34.06,34.02,34.03,210474
14-Sep-16,34.03,34.10,34.02,34.02,269510
13-Sep-16,34.08,34.14,34.02,34.03,159535
12-Sep-16,34.02,34.11,34.02,34.11,293402
9-Sep-16,34.02,34.06,34.02,34.05,216143
8-Sep-16,33.90,34.05,33.90,34.00,199943
7-Sep-16,33.95,33.96,33.87,33.94,149772
6-Sep-16,33.90,33.97,33.88,33.97,122366
2-Sep-16,33.80,33.96,33.80,33.93,100740
1-Sep-16,33.75,33.85,33.66,33.84,112284
31-Aug-16,33.71,33.89,33.68,33.82,155872
30-Aug-16,33.92,33.92,33.78,33.82,135596
29-Aug-16,33.88,34.10,33.88,33.98,172568
26-Aug-16,33.95,33.97,33.83,33.88,178186
25-Aug-16,33.86,33.96,33.86,33.95,115792
24-Aug-16,33.85,33.95,33.84,33.90,121569
23-Aug-16,33.88,33.95,33.88,33.90,105124
22-Aug-16,33.82,33.92,33.82,33.91,48271
