Date,Open,High,Low,Close,Volume
22-Nov-16,16.45,16.50,16.38,16.50,80074
21-Nov-16,16.41,16.45,16.21,16.45,139821
18-Nov-16,16.30,16.42,16.23,16.40,77712
17-Nov-16,16.21,16.32,16.20,16.26,34427
16-Nov-16,16.17,16.34,16.16,16.29,72737
15-Nov-16,15.93,16.12,15.93,16.12,77704
14-Nov-16,16.11,16.25,15.93,15.94,79408
11-Nov-16,15.82,16.23,15.82,16.08,93209
10-Nov-16,15.87,15.97,15.78,15.83,77515
9-Nov-16,15.62,16.00,15.61,15.76,95672
8-Nov-16,15.66,15.98,15.66,15.98,59916
7-Nov-16,15.55,15.77,15.55,15.77,74584
4-Nov-16,15.40,15.70,15.30,15.51,138966
3-Nov-16,15.48,15.77,15.41,15.74,78085
2-Nov-16,15.56,15.66,15.45,15.58,52210
1-Nov-16,15.50,15.75,15.35,15.64,129753
31-Oct-16,15.93,15.93,15.75,15.86,52661
28-Oct-16,15.92,16.05,15.91,15.94,34620
27-Oct-16,15.96,16.01,15.91,15.95,20766
26-Oct-16,15.91,16.02,15.91,15.96,58283
25-Oct-16,15.93,16.02,15.91,15.99,77325
24-Oct-16,15.86,16.02,15.81,15.99,64294
21-Oct-16,15.90,16.02,15.87,15.91,58686
20-Oct-16,15.85,15.95,15.85,15.94,33550
19-Oct-16,15.92,15.99,15.87,15.93,40467
18-Oct-16,15.96,16.17,15.75,15.92,63281
17-Oct-16,16.00,16.08,15.80,15.90,46018
14-Oct-16,16.16,16.17,15.93,16.01,55369
13-Oct-16,16.05,16.19,16.02,16.07,91160
12-Oct-16,16.02,16.24,16.02,16.10,33565
11-Oct-16,15.95,16.16,15.95,16.07,45803
10-Oct-16,15.90,16.16,15.88,16.06,141436
7-Oct-16,15.90,16.14,15.78,15.80,186074
6-Oct-16,16.16,16.18,15.78,15.85,207506
5-Oct-16,16.30,16.39,16.17,16.18,74630
4-Oct-16,16.52,16.52,16.09,16.29,211737
3-Oct-16,16.70,16.70,16.51,16.51,41055
30-Sep-16,16.67,16.75,16.65,16.67,66993
29-Sep-16,16.90,16.90,16.65,16.72,88944
28-Sep-16,16.87,16.90,16.81,16.85,54018
27-Sep-16,16.94,16.97,16.84,16.88,69530
