Date,Open,High,Low,Close,Volume
22-Nov-16,10.69,10.71,10.64,10.66,70707
21-Nov-16,10.49,10.63,10.49,10.61,104413
18-Nov-16,10.48,10.51,10.44,10.44,52968
17-Nov-16,10.53,10.66,10.45,10.52,123094
16-Nov-16,10.45,10.60,10.45,10.50,98667
15-Nov-16,10.33,10.56,10.33,10.56,223168
14-Nov-16,10.41,10.46,10.19,10.27,367963
11-Nov-16,10.69,10.69,10.45,10.45,157112
10-Nov-16,10.88,10.88,10.49,10.83,308476
9-Nov-16,10.76,10.98,10.73,10.87,372315
8-Nov-16,10.81,10.91,10.81,10.87,68786
7-Nov-16,10.84,10.95,10.79,10.81,73306
4-Nov-16,10.88,10.88,10.72,10.74,66543
3-Nov-16,10.99,10.99,10.82,10.92,174226
2-Nov-16,10.98,11.02,10.91,10.95,153676
1-Nov-16,11.04,11.08,10.97,11.05,123905
31-Oct-16,11.04,11.04,10.93,10.99,43152
28-Oct-16,10.94,11.07,10.94,10.99,84158
27-Oct-16,11.17,11.17,10.70,10.98,95361
26-Oct-16,11.18,11.25,11.13,11.13,59331
25-Oct-16,11.18,11.26,11.15,11.19,72667
24-Oct-16,11.17,11.20,11.13,11.16,53983
21-Oct-16,11.12,11.18,11.08,11.17,45387
20-Oct-16,11.14,11.15,11.09,11.13,47758
19-Oct-16,11.07,11.12,11.05,11.12,75891
18-Oct-16,11.15,11.17,11.07,11.07,117524
17-Oct-16,11.20,11.21,11.07,11.13,81968
14-Oct-16,11.25,11.27,11.19,11.23,54901
13-Oct-16,11.29,11.29,11.20,11.22,55084
12-Oct-16,11.33,11.39,11.28,11.34,53398
11-Oct-16,11.38,11.38,11.27,11.30,34145
10-Oct-16,11.40,11.45,11.38,11.41,45920
7-Oct-16,11.46,11.47,11.39,11.41,28396
6-Oct-16,11.47,11.49,11.44,11.49,26098
5-Oct-16,11.46,11.50,11.45,11.47,50328
4-Oct-16,11.56,11.60,11.45,11.45,89321
3-Oct-16,11.46,11.60,11.46,11.59,70204
30-Sep-16,11.53,11.60,11.50,11.51,131765
29-Sep-16,11.47,11.55,11.38,11.45,50488
28-Sep-16,11.52,11.52,11.47,11.49,30729
27-Sep-16,11.48,11.51,11.43,11.49,116958
26-Sep-16,11.47,11.48,11.34,11.44,122478
23-Sep-16,11.48,11.50,11.45,11.49,57997
22-Sep-16,11.44,11.51,11.44,11.48,100514
21-Sep-16,11.29,11.40,11.26,11.39,154178
20-Sep-16,11.52,11.55,11.45,11.46,70157
19-Sep-16,11.51,11.61,11.48,11.49,115127
16-Sep-16,11.62,11.62,11.50,11.51,59368
15-Sep-16,11.65,11.65,11.61,11.63,41822
14-Sep-16,11.63,11.67,11.60,11.66,77750
13-Sep-16,11.76,11.76,11.55,11.59,108797
12-Sep-16,11.76,11.86,11.75,11.78,130693
9-Sep-16,11.93,11.93,11.74,11.81,63062
8-Sep-16,11.89,12.01,11.85,12.00,159557
7-Sep-16,11.84,11.89,11.80,11.89,196952
