Date,Open,High,Low,Close,Volume
22-Nov-16,12.96,13.05,12.78,12.88,183215
21-Nov-16,12.90,12.99,12.70,12.86,222220
18-Nov-16,12.75,12.81,12.59,12.77,92089
17-Nov-16,12.86,12.98,12.67,12.72,88328
16-Nov-16,12.99,13.13,12.80,12.83,78657
15-Nov-16,13.29,13.53,13.21,13.35,144850
14-Nov-16,13.15,13.27,13.10,13.25,319644
11-Nov-16,12.95,13.27,12.79,13.18,388208
10-Nov-16,12.79,13.05,12.71,12.95,151394
9-Nov-16,12.30,12.81,12.25,12.66,224739
8-Nov-16,12.29,12.57,12.26,12.41,127062
7-Nov-16,12.55,12.58,12.33,12.38,80099
4-Nov-16,12.42,12.56,12.34,12.36,104645
3-Nov-16,12.56,12.66,12.52,12.57,52468
2-Nov-16,12.53,12.72,12.41,12.63,102194
1-Nov-16,12.80,12.83,12.60,12.72,108560
31-Oct-16,13.18,13.18,12.73,12.74,180407
28-Oct-16,13.24,13.41,13.12,13.31,187543
27-Oct-16,13.30,13.51,13.28,13.33,184544
26-Oct-16,13.13,13.37,13.00,13.32,136592
25-Oct-16,13.30,13.30,13.05,13.27,146799
24-Oct-16,13.13,13.34,13.05,13.27,307489
21-Oct-16,12.90,13.01,12.86,12.97,115325
20-Oct-16,12.83,12.90,12.74,12.88,44529
19-Oct-16,12.87,12.98,12.83,12.88,149751
18-Oct-16,12.75,12.86,12.68,12.86,71363
17-Oct-16,12.89,12.94,12.60,12.70,136692
14-Oct-16,12.91,12.94,12.78,12.87,93477
13-Oct-16,12.88,13.01,12.79,12.90,76704
12-Oct-16,13.07,13.12,12.93,13.04,53568
11-Oct-16,13.21,13.21,12.97,13.07,109370
10-Oct-16,13.17,13.28,13.17,13.25,80203
7-Oct-16,13.22,13.22,13.08,13.12,82983
6-Oct-16,13.28,13.28,12.99,13.15,145751
5-Oct-16,13.12,13.20,13.07,13.20,84109
4-Oct-16,13.18,13.33,12.98,13.01,122858
3-Oct-16,13.27,13.30,13.15,13.24,100589
30-Sep-16,13.37,13.38,13.17,13.30,128596
29-Sep-16,13.48,13.49,13.15,13.28,124992
28-Sep-16,13.26,13.50,12.95,13.41,91796
27-Sep-16,13.19,13.19,12.95,13.12,72912
26-Sep-16,13.44,13.44,13.12,13.24,154910
23-Sep-16,13.44,13.44,13.33,13.38,61948
22-Sep-16,13.36,13.45,13.21,13.39,95671
21-Sep-16,13.05,13.26,12.94,13.26,78687
20-Sep-16,13.18,13.23,12.91,12.91,55298
19-Sep-16,13.14,13.29,13.08,13.20,67423
16-Sep-16,12.81,13.15,12.81,13.11,104101
15-Sep-16,12.84,13.16,12.72,12.96,87511
14-Sep-16,12.77,13.12,12.77,12.84,47449
13-Sep-16,13.24,13.25,12.81,12.84,49945
12-Sep-16,13.10,13.38,13.05,13.30,68923
9-Sep-16,13.28,13.48,13.20,13.20,144211
8-Sep-16,13.49,13.64,13.48,13.54,87881
7-Sep-16,13.24,13.47,13.19,13.46,88644
6-Sep-16,13.29,13.37,13.15,13.22,96194
2-Sep-16,13.05,13.27,13.04,13.22,91565
1-Sep-16,12.85,13.02,12.85,12.99,112337
31-Aug-16,12.97,13.00,12.88,12.99,135317
30-Aug-16,13.14,13.14,12.92,13.04,143004
29-Aug-16,13.12,13.14,12.95,13.05,155631
26-Aug-16,12.92,13.32,12.91,13.18,336581
25-Aug-16,12.91,12.98,12.82,12.85,102782
24-Aug-16,13.17,13.17,12.88,12.91,174325
23-Aug-16,13.12,13.21,13.05,13.18,98905
22-Aug-16,13.12,13.12,12.94,13.05,138633
19-Aug-16,13.34,13.35,13.09,13.17,114499
18-Aug-16,13.18,13.35,13.10,13.33,95050
17-Aug-16,13.18,13.18,12.93,13.06,102355
16-Aug-16,13.20,13.35,13.15,13.33,145260
15-Aug-16,13.30,13.30,13.10,13.12,191169
12-Aug-16,12.94,13.26,12.92,13.10,152350
11-Aug-16,12.76,12.89,12.74,12.85,104003
10-Aug-16,12.94,12.96,12.65,12.73,159123
9-Aug-16,13.06,13.25,12.77,12.91,215190
8-Aug-16,13.01,13.11,12.98,13.02,84826
5-Aug-16,12.93,12.98,12.77,12.96,72543
4-Aug-16,12.75,12.90,12.66,12.90,86767
3-Aug-16,12.55,12.92,12.55,12.75,133081
2-Aug-16,12.65,12.76,12.22,12.53,120915
1-Aug-16,12.89,12.89,12.53,12.63,80851
29-Jul-16,12.76,12.96,12.69,12.91,56987
28-Jul-16,12.78,12.88,12.75,12.77,58000
27-Jul-16,12.88,13.09,12.80,12.86,94545
26-Jul-16,12.79,13.01,12.79,12.86,94894
25-Jul-16,13.23,13.24,12.88,12.92,109107
22-Jul-16,13.05,13.44,12.99,13.33,109056
21-Jul-16,13.15,13.31,12.96,12.98,111071
20-Jul-16,12.82,13.17,12.82,13.10,97518
19-Jul-16,12.98,13.02,12.85,12.87,43926
18-Jul-16,12.87,13.00,12.84,12.98,71943
15-Jul-16,13.03,13.05,12.75,12.92,62984
14-Jul-16,13.00,13.12,12.98,12.98,72384
13-Jul-16,13.29,13.30,12.80,12.94,186727
12-Jul-16,13.14,13.61,13.14,13.31,169610
11-Jul-16,13.22,13.23,12.94,12.98,105072
8-Jul-16,12.90,13.05,12.68,13.05,88079
7-Jul-16,12.84,12.96,12.60,12.69,40756
6-Jul-16,12.63,12.68,12.46,12.68,41494
5-Jul-16,12.70,12.86,12.49,12.69,91974
1-Jul-16,13.09,13.20,12.97,12.98,97691
30-Jun-16,13.09,13.14,12.82,13.08,119088
29-Jun-16,12.92,13.20,12.86,13.12,116267
28-Jun-16,12.55,12.84,12.48,12.82,122609
27-Jun-16,12.53,12.57,11.94,12.21,80692
24-Jun-16,12.55,12.91,12.41,12.68,126645
23-Jun-16,12.98,13.06,12.82,13.06,118674
22-Jun-16,12.92,12.95,12.71,12.80,104839
21-Jun-16,12.59,12.86,12.51,12.84,99972
20-Jun-16,12.70,12.76,12.55,12.58,81348
17-Jun-16,12.59,12.62,12.43,12.43,88325
16-Jun-16,12.41,12.55,12.20,12.50,78429
15-Jun-16,12.40,12.67,12.33,12.57,75621
