Date,Open,High,Low,Close,Volume
22-Nov-16,13.39,13.71,13.35,13.55,55212
21-Nov-16,13.33,13.42,13.23,13.36,51652
18-Nov-16,13.13,13.24,13.09,13.23,21600
17-Nov-16,13.20,13.24,13.03,13.16,52223
16-Nov-16,12.86,13.25,12.84,13.22,79969
15-Nov-16,12.82,13.13,12.78,12.98,61391
14-Nov-16,13.00,13.07,12.71,12.71,17459
11-Nov-16,13.53,13.63,13.01,13.01,74276
10-Nov-16,14.22,14.22,13.50,13.55,35928
9-Nov-16,14.32,14.43,14.22,14.23,27271
8-Nov-16,14.44,14.59,14.44,14.53,40857
7-Nov-16,14.44,14.60,14.38,14.54,85989
4-Nov-16,14.43,14.43,14.26,14.30,49846
3-Nov-16,14.47,14.60,14.37,14.41,58399
2-Nov-16,14.06,14.46,13.95,14.46,57227
1-Nov-16,14.39,14.39,14.04,14.16,44960
31-Oct-16,14.12,14.44,14.12,14.37,101564
28-Oct-16,14.31,14.32,14.04,14.04,103723
27-Oct-16,14.38,14.44,14.17,14.35,85903
26-Oct-16,14.47,14.49,14.30,14.36,73952
25-Oct-16,14.42,14.66,14.40,14.56,75334
24-Oct-16,14.42,14.55,14.34,14.49,35266
21-Oct-16,14.59,14.59,14.34,14.38,44558
20-Oct-16,14.64,14.66,14.35,14.59,98682
19-Oct-16,13.91,14.66,13.88,14.63,177552
18-Oct-16,14.00,14.04,13.78,13.99,76883
17-Oct-16,13.75,13.89,13.59,13.86,134845
14-Oct-16,13.71,13.88,13.62,13.77,42026
13-Oct-16,13.76,13.80,13.49,13.72,39006
12-Oct-16,13.70,13.89,13.58,13.81,38538
11-Oct-16,13.55,13.73,13.45,13.68,51415
10-Oct-16,13.62,13.69,13.45,13.61,20496
7-Oct-16,13.62,13.66,13.46,13.63,107507
6-Oct-16,13.57,13.70,13.51,13.67,20480
5-Oct-16,13.68,13.68,13.38,13.67,37666
4-Oct-16,13.66,13.69,13.46,13.61,85854
3-Oct-16,13.63,13.64,13.36,13.64,97211
30-Sep-16,13.52,13.84,13.38,13.70,380361
29-Sep-16,13.79,13.84,13.35,13.44,130767
28-Sep-16,13.66,13.75,13.63,13.71,79424
27-Sep-16,13.67,13.71,13.61,13.63,87499
26-Sep-16,13.79,13.85,13.61,13.63,45333
23-Sep-16,14.01,14.01,13.75,13.95,24409
22-Sep-16,13.93,14.17,13.80,14.17,59027
21-Sep-16,13.54,13.92,13.49,13.90,17042
20-Sep-16,13.43,13.62,13.37,13.40,20423
19-Sep-16,13.41,13.55,13.27,13.38,29244
16-Sep-16,13.40,13.64,13.19,13.31,17187
15-Sep-16,13.35,13.53,13.30,13.47,22385
14-Sep-16,13.32,13.49,13.19,13.45,13874
13-Sep-16,13.47,13.60,13.19,13.40,54981
12-Sep-16,13.68,13.70,13.50,13.70,15934
9-Sep-16,13.62,13.89,13.62,13.89,43003
8-Sep-16,13.86,13.91,13.66,13.78,27954
7-Sep-16,14.04,14.04,13.75,13.83,3495
6-Sep-16,13.92,14.07,13.73,14.03,45620
2-Sep-16,13.68,14.02,13.61,13.93,39005
1-Sep-16,13.46,13.65,13.40,13.65,14153
31-Aug-16,13.61,13.65,13.33,13.53,64908
30-Aug-16,13.75,13.80,13.55,13.63,50860
29-Aug-16,13.71,13.83,13.54,13.81,11127
26-Aug-16,13.83,14.00,13.63,13.72,29886
25-Aug-16,13.73,13.94,13.63,13.84,20907
24-Aug-16,13.73,13.79,13.43,13.74,15795
23-Aug-16,13.87,13.92,13.70,13.74,12933
22-Aug-16,13.71,13.94,13.62,13.81,22304
19-Aug-16,14.07,14.07,13.79,13.90,19179
18-Aug-16,14.15,14.25,14.01,14.10,17112
17-Aug-16,14.00,14.10,13.77,14.10,22198
16-Aug-16,14.37,14.37,14.16,14.19,44920
15-Aug-16,14.34,14.44,14.11,14.36,4739
12-Aug-16,14.65,14.65,14.24,14.37,17883
11-Aug-16,14.55,14.80,14.36,14.73,26967
10-Aug-16,14.43,14.67,14.28,14.60,28351
9-Aug-16,14.33,14.45,13.93,14.38,135980
8-Aug-16,14.19,14.50,14.16,14.38,17024
5-Aug-16,14.12,14.26,14.03,14.22,18309
4-Aug-16,14.07,14.26,13.98,14.13,62187
3-Aug-16,13.83,14.20,13.77,14.09,63745
2-Aug-16,13.78,14.19,13.70,13.92,100315
1-Aug-16,13.91,14.00,13.56,13.87,68960
29-Jul-16,13.82,14.06,13.66,14.01,95849
28-Jul-16,13.97,13.97,13.76,13.93,27049
27-Jul-16,14.14,14.14,13.82,13.95,34212
26-Jul-16,14.13,14.21,14.05,14.15,19944
25-Jul-16,14.31,14.31,13.82,14.17,133949
22-Jul-16,14.43,14.50,14.14,14.34,64135
21-Jul-16,14.31,14.43,14.15,14.42,67494
20-Jul-16,14.65,14.73,14.09,14.22,89237
19-Jul-16,14.54,14.74,14.10,14.63,91275
18-Jul-16,14.40,14.72,14.37,14.70,82246
15-Jul-16,14.10,14.53,14.10,14.43,45022
14-Jul-16,14.05,14.31,14.02,14.16,110546
13-Jul-16,13.67,14.06,13.61,13.97,52791
12-Jul-16,13.84,13.97,13.60,13.71,58966
11-Jul-16,13.50,14.01,13.48,13.85,42342
8-Jul-16,13.24,13.72,13.24,13.31,20440
7-Jul-16,13.42,13.54,13.14,13.19,59530
6-Jul-16,13.56,13.56,13.12,13.43,18385
5-Jul-16,13.82,13.82,13.36,13.64,14444
