Date,Open,High,Low,Close,Volume
22-Nov-16,28.96,29.68,28.96,29.14,1119629
21-Nov-16,29.22,29.37,28.85,28.87,719149
18-Nov-16,28.90,29.20,28.86,29.08,719062
17-Nov-16,28.99,29.13,28.83,28.85,514763
16-Nov-16,28.90,29.04,28.64,28.93,727962
15-Nov-16,29.16,29.34,28.75,28.94,824661
14-Nov-16,28.64,29.18,28.33,29.09,1076505
11-Nov-16,28.60,29.06,28.58,28.62,610948
10-Nov-16,29.20,29.20,28.52,28.62,937344
9-Nov-16,29.22,29.32,28.64,29.17,807747
8-Nov-16,29.82,29.88,29.52,29.62,636164
7-Nov-16,29.25,29.91,29.23,29.79,887864
4-Nov-16,29.05,29.21,28.95,28.99,723404
3-Nov-16,28.06,29.18,28.04,29.00,669420
2-Nov-16,29.62,29.68,29.07,29.08,712447
1-Nov-16,30.09,30.11,29.60,29.67,795555
31-Oct-16,29.57,30.40,29.52,30.21,779550
28-Oct-16,29.62,29.76,29.32,29.41,418392
27-Oct-16,29.82,29.85,29.41,29.55,819863
26-Oct-16,30.37,30.44,29.85,29.93,656266
25-Oct-16,30.62,30.62,30.37,30.43,426834
24-Oct-16,30.59,30.93,30.39,30.66,594580
21-Oct-16,30.40,30.56,30.21,30.49,384589
20-Oct-16,30.65,30.82,30.32,30.52,418306
19-Oct-16,30.69,30.76,30.54,30.62,601091
18-Oct-16,30.82,30.98,30.56,30.61,815958
17-Oct-16,30.59,30.83,30.51,30.63,1049999
14-Oct-16,30.71,30.73,30.36,30.46,671266
13-Oct-16,30.14,30.71,30.09,30.65,991856
12-Oct-16,29.68,30.19,29.65,30.17,949281
11-Oct-16,29.84,29.94,29.55,29.67,615417
10-Oct-16,29.84,30.04,29.72,29.77,518796
7-Oct-16,29.82,30.10,29.46,29.75,620806
6-Oct-16,29.41,29.72,29.16,29.63,761015
5-Oct-16,29.75,29.92,29.34,29.42,1450798
4-Oct-16,30.16,30.20,29.58,29.72,771767
3-Oct-16,30.10,30.46,29.97,30.18,1234716
30-Sep-16,31.35,31.36,30.20,30.22,1230386
29-Sep-16,30.68,30.80,30.39,30.45,863527
28-Sep-16,30.65,30.89,30.57,30.69,689138
27-Sep-16,31.20,31.30,30.63,30.68,770665
26-Sep-16,30.96,31.12,30.81,31.06,1035981
23-Sep-16,30.93,31.15,30.59,31.07,972985
22-Sep-16,31.02,31.24,30.85,31.05,962858
21-Sep-16,30.45,30.98,30.41,30.83,890100
20-Sep-16,30.54,30.66,30.37,30.40,501571
19-Sep-16,30.28,30.64,30.24,30.48,667385
16-Sep-16,30.02,30.46,29.92,30.30,2138195
15-Sep-16,29.84,30.10,29.69,30.07,697427
14-Sep-16,30.08,30.22,29.81,29.84,1060239
13-Sep-16,30.76,30.81,30.09,30.19,768673
12-Sep-16,31.11,31.16,30.65,30.98,1413166
9-Sep-16,31.51,31.51,30.86,31.04,2119455
8-Sep-16,31.68,31.90,31.57,31.74,1709695
7-Sep-16,31.75,31.90,31.52,31.71,2916996
6-Sep-16,31.71,31.78,31.53,31.77,1019611
2-Sep-16,31.50,31.83,31.41,31.67,621430
1-Sep-16,31.36,31.49,31.06,31.44,997172
31-Aug-16,31.06,31.32,30.90,31.29,1374727
30-Aug-16,30.86,31.07,30.64,31.06,1114945
29-Aug-16,30.63,31.12,30.63,30.95,780122
26-Aug-16,30.63,30.90,30.41,30.58,979529
25-Aug-16,30.52,30.75,30.52,30.63,667583
24-Aug-16,30.59,30.64,30.32,30.62,735552
23-Aug-16,30.26,30.61,30.24,30.61,736355
22-Aug-16,30.08,30.34,29.96,30.22,436329
19-Aug-16,30.44,30.44,29.90,30.06,574124
18-Aug-16,30.09,30.40,30.09,30.37,1140579
17-Aug-16,30.19,30.28,29.89,30.28,807969
16-Aug-16,29.84,30.24,29.56,30.18,993449
15-Aug-16,30.21,30.67,29.95,30.00,1341574
12-Aug-16,29.69,30.03,29.69,29.78,485217
11-Aug-16,29.91,29.96,29.50,29.69,549281
10-Aug-16,29.84,29.98,29.75,29.84,530321
9-Aug-16,29.65,29.86,29.52,29.85,560489
8-Aug-16,29.60,29.68,29.41,29.65,1141940
5-Aug-16,29.86,29.97,29.58,29.61,1026951
4-Aug-16,30.03,30.05,29.71,29.75,773074
3-Aug-16,29.73,30.08,29.72,29.95,832469
2-Aug-16,30.03,30.09,29.61,29.79,1139221
1-Aug-16,30.00,30.05,29.84,30.05,1078616
29-Jul-16,29.77,30.05,29.55,30.02,1615556
28-Jul-16,29.30,29.71,29.27,29.62,669286
27-Jul-16,29.23,29.46,29.14,29.32,1261721
26-Jul-16,29.45,29.56,29.25,29.30,917496
25-Jul-16,29.45,29.60,29.35,29.37,579510
22-Jul-16,29.32,29.65,29.32,29.45,1003293
21-Jul-16,29.30,29.57,29.23,29.44,538213
20-Jul-16,29.70,29.77,29.37,29.46,914373
19-Jul-16,29.37,29.74,29.32,29.72,639101
18-Jul-16,29.29,29.39,29.24,29.33,431373
15-Jul-16,29.51,29.53,29.24,29.34,592581
14-Jul-16,29.63,29.76,29.43,29.46,661682
13-Jul-16,29.50,29.63,29.45,29.59,647964
12-Jul-16,29.87,29.96,29.46,29.51,921524
11-Jul-16,29.35,29.94,29.13,29.87,1050471
8-Jul-16,29.49,29.67,29.33,29.34,1056971
7-Jul-16,29.67,29.75,29.32,29.36,600953
6-Jul-16,29.46,29.80,29.46,29.71,1067105
5-Jul-16,29.36,29.65,29.32,29.60,971128
1-Jul-16,29.21,29.55,29.21,29.41,675485
30-Jun-16,28.89,29.13,28.62,29.13,1537360
29-Jun-16,28.84,28.98,28.82,28.87,1095093
28-Jun-16,28.84,28.99,28.59,28.69,1287345
27-Jun-16,28.68,28.99,28.50,28.57,838823
24-Jun-16,28.68,29.14,28.32,28.96,1367200
23-Jun-16,29.16,29.23,28.98,29.09,713029
22-Jun-16,29.11,29.20,28.98,29.01,350412
21-Jun-16,28.95,29.22,28.94,29.00,446968
20-Jun-16,28.85,29.18,28.85,28.94,835554
17-Jun-16,28.78,28.92,28.61,28.73,813484
16-Jun-16,28.71,28.92,28.65,28.88,409751
15-Jun-16,28.78,29.05,28.78,28.88,545327
14-Jun-16,28.96,28.96,28.78,28.86,452756
13-Jun-16,29.23,29.42,28.94,28.97,345330
10-Jun-16,29.24,29.34,29.11,29.21,729878
9-Jun-16,29.27,29.39,29.18,29.35,356838
8-Jun-16,29.13,29.38,28.71,29.27,508061
7-Jun-16,29.33,29.46,29.07,29.15,363153
6-Jun-16,29.46,29.74,29.25,29.35,501359
