Date,Open,High,Low,Close,Volume
22-Nov-16,8.08,8.13,7.84,8.03,1105681
21-Nov-16,7.70,8.07,7.67,8.05,1994784
18-Nov-16,7.32,7.63,7.31,7.44,1086149
17-Nov-16,7.50,7.64,7.24,7.28,1243979
16-Nov-16,7.20,7.50,7.15,7.36,1447229
15-Nov-16,6.89,7.31,6.89,7.26,1748042
14-Nov-16,6.26,6.80,6.26,6.73,1501182
11-Nov-16,6.53,6.54,6.32,6.40,908066
10-Nov-16,6.65,6.76,6.52,6.67,1013545
9-Nov-16,6.55,6.80,6.55,6.78,990960
8-Nov-16,6.68,6.76,6.57,6.62,712834
7-Nov-16,6.76,6.81,6.66,6.74,793430
4-Nov-16,6.66,6.80,6.43,6.64,1103769
3-Nov-16,6.81,6.85,6.69,6.78,602307
2-Nov-16,6.81,6.97,6.63,6.75,1495570
1-Nov-16,6.87,6.99,6.76,6.99,1436613
31-Oct-16,6.78,6.83,6.65,6.72,978019
28-Oct-16,6.83,7.14,6.79,6.86,1275629
27-Oct-16,6.91,7.08,6.87,6.88,999158
26-Oct-16,6.93,7.03,6.77,6.85,1906910
25-Oct-16,7.22,7.41,7.07,7.08,1061815
24-Oct-16,7.47,7.52,7.19,7.31,869665
21-Oct-16,7.37,7.58,7.32,7.54,889201
20-Oct-16,7.49,7.58,7.36,7.44,905333
19-Oct-16,7.50,7.74,7.38,7.64,1480935
18-Oct-16,7.29,7.41,7.23,7.37,1017144
17-Oct-16,7.27,7.27,7.05,7.13,687027
14-Oct-16,7.33,7.41,7.17,7.27,926589
13-Oct-16,7.18,7.44,7.05,7.31,1248112
12-Oct-16,7.32,7.36,7.14,7.26,1242105
11-Oct-16,7.44,7.60,7.35,7.40,1028447
10-Oct-16,7.44,7.57,7.31,7.44,584025
7-Oct-16,7.47,7.49,7.23,7.31,807328
6-Oct-16,7.51,7.61,7.26,7.39,1224834
5-Oct-16,7.02,7.56,7.02,7.44,2905779
4-Oct-16,6.69,6.93,6.61,6.89,2459248
3-Oct-16,6.45,6.74,6.28,6.69,1147343
30-Sep-16,6.39,6.59,6.29,6.41,1208645
29-Sep-16,6.32,6.64,6.19,6.28,2225714
28-Sep-16,5.74,6.29,5.61,6.27,2378049
27-Sep-16,5.82,5.84,5.66,5.69,1121788
26-Sep-16,6.16,6.20,5.91,5.91,817684
23-Sep-16,6.24,6.32,6.07,6.09,887571
22-Sep-16,6.28,6.37,6.23,6.26,1088114
21-Sep-16,5.87,6.14,5.84,6.11,1017759
20-Sep-16,5.84,5.94,5.72,5.79,1189300
19-Sep-16,6.07,6.14,5.89,5.90,867916
16-Sep-16,5.84,6.02,5.72,5.98,1463608
15-Sep-16,6.05,6.14,5.98,6.01,907945
14-Sep-16,6.09,6.28,6.00,6.01,1114251
13-Sep-16,6.45,6.46,6.08,6.14,1200769
12-Sep-16,6.59,6.73,6.46,6.63,909227
9-Sep-16,6.98,7.02,6.71,6.72,894431
