Date,Open,High,Low,Close,Volume
22-Nov-16,20.90,21.00,20.40,20.80,730383
21-Nov-16,20.40,20.80,20.08,20.80,751701
18-Nov-16,20.05,20.45,19.62,19.75,518128
17-Nov-16,20.40,20.75,19.70,19.90,760932
16-Nov-16,20.30,20.40,19.90,20.15,777673
15-Nov-16,19.75,20.55,19.75,20.40,850916
14-Nov-16,19.05,19.60,18.85,19.45,791753
11-Nov-16,18.45,19.10,18.30,19.05,1131122
10-Nov-16,18.60,19.10,18.60,18.70,1362533
9-Nov-16,17.25,18.90,17.25,18.75,1310678
8-Nov-16,17.20,17.55,17.10,17.40,913760
7-Nov-16,17.20,17.55,16.92,17.30,1159282
4-Nov-16,17.20,17.50,17.00,17.10,1702844
3-Nov-16,17.65,17.95,17.40,17.40,771469
2-Nov-16,17.70,17.85,17.40,17.60,654063
1-Nov-16,18.15,18.25,17.65,18.15,1168275
31-Oct-16,18.55,18.60,17.85,18.00,1567765
28-Oct-16,19.35,19.90,17.85,18.45,2301866
27-Oct-16,20.05,20.15,19.30,19.35,1358394
26-Oct-16,20.10,20.20,19.55,19.80,1240081
25-Oct-16,21.05,21.15,20.20,20.45,1205946
24-Oct-16,21.30,21.55,20.75,21.00,566673
21-Oct-16,21.10,21.80,21.00,21.20,818415
20-Oct-16,21.35,21.55,21.02,21.49,783361
19-Oct-16,21.35,21.95,21.35,21.65,623896
18-Oct-16,21.40,21.50,20.95,21.10,680683
17-Oct-16,21.35,21.55,20.68,21.00,1115817
14-Oct-16,21.75,22.00,21.30,21.35,785873
13-Oct-16,21.85,22.40,21.60,21.65,1164422
12-Oct-16,21.90,22.45,21.75,22.15,871712
11-Oct-16,22.15,22.15,21.55,22.05,998195
10-Oct-16,21.60,22.85,21.60,22.35,1189515
7-Oct-16,21.60,21.65,20.95,21.25,916499
6-Oct-16,21.15,21.70,20.80,21.60,1001881
5-Oct-16,20.30,21.40,20.25,20.95,718482
4-Oct-16,20.00,20.50,19.82,20.05,1083826
3-Oct-16,19.90,20.55,19.75,19.95,1002872
30-Sep-16,20.06,20.29,19.84,19.86,1667639
29-Sep-16,19.45,20.14,19.21,19.80,901690
28-Sep-16,18.13,19.34,17.71,19.22,889385
27-Sep-16,17.93,18.13,17.83,17.98,444605
26-Sep-16,18.32,18.60,18.20,18.28,373229
23-Sep-16,18.89,18.95,18.16,18.21,851603
22-Sep-16,18.63,19.21,18.19,18.47,527163
21-Sep-16,17.51,18.28,17.46,18.24,607503
20-Sep-16,17.18,17.44,16.94,17.21,656638
19-Sep-16,17.30,17.46,17.01,17.09,634700
16-Sep-16,17.00,17.30,16.81,17.10,1275525
15-Sep-16,17.12,17.52,16.96,17.26,817280
14-Sep-16,17.47,17.73,17.02,17.26,758448
13-Sep-16,18.07,18.14,17.49,17.55,918807
12-Sep-16,17.75,18.55,17.62,18.46,589632
9-Sep-16,18.52,18.71,17.97,17.97,460652
8-Sep-16,18.38,19.07,18.38,18.88,912108
7-Sep-16,18.36,18.37,18.00,18.22,426137
6-Sep-16,18.00,18.36,17.74,18.35,590016
2-Sep-16,18.00,18.07,17.61,17.93,513586
1-Sep-16,17.50,17.68,17.23,17.64,690079
31-Aug-16,17.59,17.65,17.26,17.57,687324
30-Aug-16,18.04,18.43,17.67,17.69,693076
