Date,Open,High,Low,Close,Volume
22-Nov-16,11.87,11.87,11.69,11.79,437759
21-Nov-16,11.68,11.95,11.68,11.93,488099
18-Nov-16,11.26,11.64,11.22,11.47,1424796
17-Nov-16,11.40,11.53,11.10,11.22,613358
16-Nov-16,11.38,11.44,11.20,11.27,666553
15-Nov-16,11.68,11.97,11.45,11.49,811282
14-Nov-16,11.26,11.98,11.21,11.50,1461804
11-Nov-16,10.97,11.23,10.81,11.22,672847
10-Nov-16,10.66,11.14,10.61,11.01,559791
9-Nov-16,10.56,10.96,10.54,10.73,571602
8-Nov-16,10.68,10.71,10.53,10.53,376243
7-Nov-16,10.77,10.78,10.60,10.73,380794
4-Nov-16,10.95,11.10,10.47,10.59,1640949
3-Nov-16,11.17,11.45,10.86,11.05,607133
2-Nov-16,11.08,11.30,10.86,11.17,996928
1-Nov-16,11.32,11.47,11.18,11.41,571524
31-Oct-16,11.42,11.54,11.15,11.25,504397
28-Oct-16,11.75,11.84,11.37,11.51,385649
27-Oct-16,12.03,12.05,11.80,11.82,328843
26-Oct-16,12.13,12.26,11.88,11.96,561294
25-Oct-16,12.59,12.84,12.27,12.31,346462
24-Oct-16,13.02,13.19,12.67,12.68,482830
21-Oct-16,12.93,13.13,12.75,13.07,521250
20-Oct-16,12.79,12.96,12.73,12.94,389701
19-Oct-16,12.48,13.04,12.46,12.84,845576
18-Oct-16,12.51,12.58,12.28,12.42,476827
17-Oct-16,12.32,12.46,12.22,12.38,372385
14-Oct-16,12.67,12.75,12.36,12.40,637318
13-Oct-16,12.75,12.79,12.57,12.59,761373
12-Oct-16,13.21,13.24,12.77,12.80,794415
11-Oct-16,13.26,13.41,12.74,13.24,390256
10-Oct-16,13.76,13.89,13.24,13.35,483788
7-Oct-16,13.61,14.86,13.17,13.53,1527474
6-Oct-16,13.28,13.45,13.26,13.37,615650
5-Oct-16,13.19,13.37,12.89,13.34,2281631
4-Oct-16,12.96,13.04,12.80,13.00,1141185
3-Oct-16,12.99,13.20,12.92,12.96,998502
30-Sep-16,12.85,13.07,12.75,13.00,733675
29-Sep-16,12.63,12.90,12.54,12.74,774357
28-Sep-16,12.17,12.68,12.01,12.62,727663
27-Sep-16,12.48,12.49,11.94,12.06,690182
26-Sep-16,12.45,12.63,12.22,12.24,941770
23-Sep-16,12.49,12.65,12.20,12.38,1138980
22-Sep-16,12.25,12.78,12.23,12.49,1060711
21-Sep-16,11.80,12.19,11.70,12.09,797233
