Date,Open,High,Low,Close,Volume
22-Nov-16,77.46,77.77,76.98,77.64,1484507
21-Nov-16,77.24,77.88,77.17,77.53,1506744
18-Nov-16,75.95,77.56,75.80,77.12,2242406
17-Nov-16,75.34,75.95,74.92,75.87,1796304
16-Nov-16,74.75,75.22,74.44,75.10,1442311
15-Nov-16,75.54,75.86,74.63,74.74,1909508
14-Nov-16,76.45,76.98,74.81,75.19,2011490
11-Nov-16,76.66,77.40,76.21,76.32,1732011
10-Nov-16,77.20,77.40,75.86,77.05,1999281
9-Nov-16,75.68,77.15,74.96,76.90,1567660
8-Nov-16,76.50,77.00,76.01,76.60,967563
7-Nov-16,76.38,76.81,76.23,76.50,1776055
4-Nov-16,74.90,75.90,74.86,75.42,1433385
3-Nov-16,75.05,75.38,74.76,74.97,1101455
2-Nov-16,76.61,76.81,74.88,75.05,2216426
1-Nov-16,73.91,77.10,73.89,76.85,4195859
31-Oct-16,74.43,74.62,73.25,73.92,1785073
28-Oct-16,74.23,74.99,74.14,74.37,1866285
27-Oct-16,74.96,75.04,73.57,74.09,3173817
26-Oct-16,75.37,75.90,75.02,75.15,888424
25-Oct-16,75.79,75.86,75.44,75.56,1511494
24-Oct-16,75.52,76.04,75.23,75.90,1478072
21-Oct-16,74.82,75.31,74.41,75.01,1086906
20-Oct-16,76.31,76.36,74.85,75.29,2186131
19-Oct-16,76.21,76.53,76.02,76.32,986257
18-Oct-16,76.45,76.61,75.88,75.95,1174008
17-Oct-16,76.68,76.73,75.76,75.81,1156071
14-Oct-16,76.67,77.45,76.49,76.50,904803
13-Oct-16,76.68,76.93,75.93,76.33,1508508
12-Oct-16,76.59,77.29,76.28,77.19,964769
11-Oct-16,77.08,77.09,76.02,76.49,1394691
10-Oct-16,77.88,78.15,77.37,77.41,1114978
7-Oct-16,78.46,78.69,77.29,77.63,1691463
6-Oct-16,76.91,78.33,76.88,78.28,1888410
5-Oct-16,76.88,77.87,76.34,76.87,1761587
4-Oct-16,76.91,77.17,75.93,76.46,1114821
3-Oct-16,76.80,77.32,76.73,76.91,1059083
30-Sep-16,76.93,77.31,76.28,77.03,1816037
29-Sep-16,77.18,77.89,76.79,76.84,1183023
28-Sep-16,77.88,77.88,76.57,77.23,1702718
27-Sep-16,76.98,77.77,76.86,77.74,1272578
26-Sep-16,76.76,77.27,76.75,76.87,943679
23-Sep-16,77.02,77.41,77.00,77.08,1088211
22-Sep-16,77.73,77.89,77.00,77.52,1370889
21-Sep-16,76.86,77.28,76.08,77.12,2127280
20-Sep-16,76.39,76.93,76.21,76.57,1978825
19-Sep-16,75.92,76.15,75.45,75.90,2786468
16-Sep-16,76.38,76.39,74.87,75.09,12346474
15-Sep-16,75.91,76.97,75.50,76.65,2161661
14-Sep-16,76.54,76.84,75.77,76.06,2751358
13-Sep-16,77.34,77.68,76.62,76.69,2026992
12-Sep-16,77.01,78.21,76.72,78.05,2129734
9-Sep-16,78.84,79.30,77.39,77.40,2025114
8-Sep-16,79.67,80.07,79.10,79.26,2070645
7-Sep-16,80.39,80.39,79.66,80.05,1427986
6-Sep-16,81.67,81.67,79.83,80.41,1808436
2-Sep-16,80.00,80.45,79.66,80.44,1614237
1-Sep-16,79.41,79.79,79.05,79.64,1407634
31-Aug-16,79.49,79.49,79.02,79.33,1314953
30-Aug-16,79.51,79.70,79.22,79.52,825790
29-Aug-16,79.52,79.99,79.32,79.38,1117917
26-Aug-16,79.85,80.35,79.09,79.52,789487
25-Aug-16,79.51,79.75,79.20,79.61,1031758
24-Aug-16,79.95,80.10,79.26,79.56,1144740
23-Aug-16,79.78,80.12,79.71,80.07,891154
22-Aug-16,79.21,79.52,78.97,79.51,832993
19-Aug-16,79.03,79.32,78.69,79.28,1417066
18-Aug-16,79.02,79.46,78.97,79.24,1453007
17-Aug-16,79.09,79.30,78.52,79.15,1166038
16-Aug-16,79.71,79.71,78.89,78.89,1237060
15-Aug-16,80.13,80.37,79.89,80.09,1145412
12-Aug-16,80.23,80.27,79.74,80.04,1334131
11-Aug-16,80.15,80.72,80.15,80.50,1491887
10-Aug-16,79.80,79.92,79.45,79.85,915401
9-Aug-16,79.50,79.95,79.23,79.73,1663795
8-Aug-16,79.76,79.76,79.14,79.41,1040706
5-Aug-16,78.59,79.37,78.48,79.23,1030778
4-Aug-16,78.26,78.81,78.15,78.22,1549180
3-Aug-16,78.49,78.53,77.73,78.15,1467869
2-Aug-16,79.14,79.23,78.19,78.47,1592937
1-Aug-16,79.73,79.89,78.93,79.20,1389647
29-Jul-16,80.38,80.49,79.33,79.53,1890454
28-Jul-16,80.68,80.72,79.76,80.36,1418726
27-Jul-16,81.00,81.41,80.41,80.79,2700516
26-Jul-16,80.00,81.29,79.51,80.84,5673806
25-Jul-16,78.05,78.05,77.44,77.90,2230707
22-Jul-16,77.69,78.10,77.69,77.98,1011986
21-Jul-16,78.05,78.20,77.38,77.83,1773467
20-Jul-16,77.66,78.04,77.38,78.00,1595654
19-Jul-16,76.60,77.19,76.41,77.16,1170722
18-Jul-16,76.64,76.94,76.41,76.88,1286666
15-Jul-16,77.15,77.25,76.50,76.54,1556887
14-Jul-16,77.54,77.75,76.85,76.89,1964532
13-Jul-16,77.28,77.44,76.92,77.14,1371838
12-Jul-16,76.36,77.07,76.00,76.95,1871889
11-Jul-16,76.30,76.85,75.95,76.01,1888041
8-Jul-16,75.06,76.18,75.00,76.03,2184183
7-Jul-16,74.23,74.82,74.23,74.76,1672230
6-Jul-16,74.22,74.64,73.84,74.25,2066919
5-Jul-16,74.07,74.67,73.78,74.61,2904756
1-Jul-16,73.80,74.56,73.80,74.50,2797239
30-Jun-16,72.51,73.68,72.27,73.68,2288315
29-Jun-16,71.40,72.55,71.31,72.45,2005234
28-Jun-16,69.05,71.04,69.04,71.04,2322278
27-Jun-16,69.95,69.99,68.03,68.36,2764589
24-Jun-16,71.29,72.11,70.63,70.67,5526697
23-Jun-16,73.59,73.92,73.31,73.91,1603346
22-Jun-16,73.41,73.67,73.02,73.13,1203369
