Date,Open,High,Low,Close,Volume
22-Nov-16,138.71,140.98,138.61,140.74,341855
21-Nov-16,138.45,139.30,138.04,138.61,417017
18-Nov-16,137.32,138.21,136.81,137.81,526889
17-Nov-16,138.07,139.21,137.30,137.36,404817
16-Nov-16,138.15,138.85,136.93,138.17,317110
15-Nov-16,139.16,140.83,137.12,138.00,484971
14-Nov-16,136.90,139.60,135.85,138.98,666906
11-Nov-16,136.71,139.73,136.71,137.35,361790
10-Nov-16,139.37,139.37,135.25,136.98,603144
9-Nov-16,139.14,139.95,136.04,139.04,563799
8-Nov-16,141.41,142.49,140.60,142.15,408180
7-Nov-16,139.73,141.86,139.04,141.76,504126
4-Nov-16,137.54,138.42,136.42,138.24,929679
3-Nov-16,139.24,139.24,134.39,137.31,1111869
2-Nov-16,142.10,142.99,140.10,140.52,559875
1-Nov-16,144.86,144.86,141.48,141.88,464247
31-Oct-16,144.51,145.38,143.18,145.23,752180
28-Oct-16,143.49,144.79,142.80,143.71,468355
27-Oct-16,146.08,146.08,142.18,143.15,325708
26-Oct-16,147.55,147.55,145.34,146.28,439491
25-Oct-16,147.53,148.39,146.93,147.85,400802
24-Oct-16,148.00,149.01,146.99,148.10,279477
21-Oct-16,145.97,147.79,145.90,147.35,333806
20-Oct-16,147.50,147.62,145.71,146.96,381244
19-Oct-16,147.39,147.88,146.48,147.76,330317
18-Oct-16,147.72,148.59,146.81,147.10,276341
17-Oct-16,147.25,148.49,147.20,147.30,233526
14-Oct-16,148.78,149.38,147.18,147.25,411026
13-Oct-16,145.72,148.80,145.50,148.74,561333
12-Oct-16,144.18,146.66,144.02,146.39,430292
11-Oct-16,145.18,146.30,143.54,144.20,478026
10-Oct-16,145.70,146.87,145.06,145.74,249624
7-Oct-16,145.63,147.14,144.33,145.20,542870
6-Oct-16,144.10,145.76,143.19,144.70,352291
5-Oct-16,147.41,147.84,143.53,144.74,587696
4-Oct-16,147.97,148.03,145.73,147.00,973588
3-Oct-16,152.26,153.41,147.78,148.08,1058966
30-Sep-16,156.25,156.59,153.90,153.93,698000
29-Sep-16,157.61,158.03,155.06,155.32,322963
28-Sep-16,158.27,159.01,157.80,158.80,340231
27-Sep-16,159.74,160.15,158.17,158.39,312580
26-Sep-16,158.69,160.15,158.35,159.50,286652
23-Sep-16,157.84,159.58,156.19,158.90,304334
22-Sep-16,156.63,158.62,156.63,158.56,356726
21-Sep-16,154.14,155.84,152.16,155.68,402162
20-Sep-16,156.00,156.02,154.18,154.20,247758
19-Sep-16,155.42,156.48,155.42,156.14,214132
16-Sep-16,154.24,155.16,153.73,155.10,642236
15-Sep-16,154.15,155.15,153.95,154.96,222663
14-Sep-16,154.43,155.33,153.99,154.56,299471
13-Sep-16,157.09,157.64,154.03,154.42,552811
12-Sep-16,154.66,158.71,154.66,158.06,617481
9-Sep-16,158.81,159.39,154.48,154.48,467370
8-Sep-16,159.98,160.75,158.97,160.47,816588
7-Sep-16,159.96,160.89,159.04,160.83,362715
6-Sep-16,159.44,160.17,158.12,160.16,606286
2-Sep-16,158.51,161.00,158.48,159.48,269370
1-Sep-16,158.87,159.08,157.38,158.07,259880
31-Aug-16,159.04,159.39,157.21,159.00,645576
30-Aug-16,160.92,161.43,158.25,159.20,325203
29-Aug-16,160.15,162.06,159.97,160.65,379719
26-Aug-16,159.92,161.25,158.25,159.10,590174
25-Aug-16,158.06,159.66,157.74,159.55,430245
24-Aug-16,157.82,158.13,156.21,157.89,243943
23-Aug-16,158.52,158.85,157.09,157.51,279602
22-Aug-16,157.58,158.89,157.33,157.96,372498
19-Aug-16,158.18,159.14,157.50,157.84,451035
18-Aug-16,159.01,159.60,158.06,158.73,292084
