Date,Open,High,Low,Close,Volume
22-Nov-16,8.89,9.00,8.88,8.97,25193
21-Nov-16,8.80,8.88,8.80,8.87,8861
18-Nov-16,8.76,8.77,8.76,8.77,5972
17-Nov-16,8.77,8.81,8.70,8.80,15874
16-Nov-16,8.70,8.79,8.70,8.78,5250
15-Nov-16,8.70,8.82,8.70,8.82,23475
14-Nov-16,8.84,8.84,8.73,8.76,15634
11-Nov-16,8.84,8.86,8.37,8.84,9711
10-Nov-16,9.00,9.03,8.94,8.95,11392
9-Nov-16,8.98,9.02,8.90,8.94,18285
8-Nov-16,9.09,9.16,9.05,9.10,23654
7-Nov-16,9.12,9.12,9.01,9.09,11004
4-Nov-16,9.02,9.02,8.95,8.95,9892
3-Nov-16,9.00,9.01,8.99,8.99,8660
2-Nov-16,9.01,9.06,8.99,9.03,9737
1-Nov-16,9.05,9.12,8.98,9.06,49704
31-Oct-16,9.01,9.02,8.99,9.02,3297
28-Oct-16,9.02,9.05,8.98,8.99,5362
27-Oct-16,9.11,9.11,9.08,9.08,4325
26-Oct-16,9.15,9.15,9.11,9.12,5696
25-Oct-16,9.22,9.22,9.20,9.20,2101
24-Oct-16,9.19,9.23,9.19,9.22,3176
21-Oct-16,9.14,9.17,9.12,9.14,14142
20-Oct-16,9.11,9.15,9.11,9.15,14588
19-Oct-16,9.15,9.15,9.06,9.13,25330
18-Oct-16,9.11,9.13,9.09,9.13,17869
17-Oct-16,8.99,9.04,8.99,9.00,13095
14-Oct-16,9.08,9.11,9.06,9.07,31291
13-Oct-16,9.02,9.02,8.95,9.01,5436
12-Oct-16,9.06,9.11,9.05,9.10,7005
11-Oct-16,9.10,9.10,9.05,9.05,7080
10-Oct-16,9.20,9.24,9.19,9.20,15265
7-Oct-16,9.20,9.20,9.11,9.11,6964
6-Oct-16,9.21,9.22,9.16,9.22,9491
5-Oct-16,9.10,9.20,9.10,9.17,7134
4-Oct-16,9.14,9.14,9.09,9.09,2745
3-Oct-16,9.09,9.14,9.09,9.14,10711
30-Sep-16,9.07,9.12,9.05,9.09,4016
29-Sep-16,9.14,9.17,9.05,9.07,9031
28-Sep-16,9.20,9.20,9.12,9.12,806
27-Sep-16,9.15,9.15,9.11,9.14,1299
26-Sep-16,9.07,9.08,9.06,9.07,1867
23-Sep-16,9.22,9.22,9.14,9.14,9319
22-Sep-16,9.24,9.28,9.21,9.27,6694
21-Sep-16,9.16,9.23,9.00,9.23,11773
20-Sep-16,9.09,9.15,9.09,9.10,8757
19-Sep-16,9.13,9.14,9.07,9.11,20052
16-Sep-16,9.09,9.11,9.08,9.10,11105
15-Sep-16,9.11,9.14,9.08,9.10,17276
14-Sep-16,9.09,9.09,9.02,9.05,20978
13-Sep-16,9.14,9.14,9.01,9.02,9928
12-Sep-16,9.12,9.22,9.11,9.17,11168
9-Sep-16,9.34,9.34,9.23,9.23,28697
8-Sep-16,9.33,9.37,9.31,9.34,8867
7-Sep-16,9.36,9.36,9.28,9.30,10881
6-Sep-16,9.27,9.36,9.27,9.35,27931
2-Sep-16,9.19,9.26,9.19,9.20,22388
1-Sep-16,9.08,9.08,9.07,9.08,838
