Date,Open,High,Low,Close,Volume
22-Nov-16,67.00,67.00,64.70,66.85,16329
21-Nov-16,67.50,67.50,66.45,67.00,8435
18-Nov-16,69.25,69.25,67.77,68.60,8263
17-Nov-16,68.00,69.25,67.65,68.90,10802
16-Nov-16,67.30,69.00,66.85,68.80,18708
15-Nov-16,66.60,66.85,65.75,66.75,8007
14-Nov-16,65.60,66.20,65.25,66.20,16093
11-Nov-16,64.10,65.60,63.40,65.40,25597
10-Nov-16,61.15,63.80,61.05,63.15,13993
9-Nov-16,58.20,60.70,58.00,60.70,12104
8-Nov-16,58.50,59.05,58.50,59.00,3026
7-Nov-16,58.40,59.20,58.00,58.90,12143
4-Nov-16,58.25,58.25,57.35,57.35,16121
3-Nov-16,58.35,58.35,57.35,57.75,2888
2-Nov-16,57.50,58.50,57.45,57.50,3454
1-Nov-16,58.50,58.85,57.55,57.55,7130
31-Oct-16,57.85,59.10,57.65,58.25,8942
28-Oct-16,58.80,59.70,58.75,58.95,4627
27-Oct-16,58.92,60.05,58.80,59.20,8691
26-Oct-16,58.50,59.90,57.95,59.45,9218
25-Oct-16,59.00,59.45,58.45,58.45,6012
24-Oct-16,60.00,60.00,59.05,59.50,8508
21-Oct-16,59.00,60.30,59.00,60.00,8137
20-Oct-16,59.70,60.10,59.30,59.75,2261
19-Oct-16,59.85,60.95,59.35,59.95,7016
18-Oct-16,59.75,60.30,59.30,59.80,8386
17-Oct-16,59.40,59.83,59.30,59.75,3909
14-Oct-16,59.50,60.65,59.00,59.20,4737
13-Oct-16,59.75,59.75,58.65,58.65,7364
12-Oct-16,60.15,61.00,59.65,59.85,4388
11-Oct-16,59.95,59.95,58.50,59.00,10698
10-Oct-16,58.60,60.25,58.45,60.00,6429
7-Oct-16,58.85,59.34,58.21,58.22,3698
6-Oct-16,59.14,59.50,58.78,59.05,6403
5-Oct-16,59.19,60.00,58.61,59.14,3707
4-Oct-16,59.80,60.25,58.75,58.86,9458
3-Oct-16,60.37,60.37,59.59,59.59,3646
30-Sep-16,60.75,62.05,60.30,60.59,14850
29-Sep-16,60.04,61.03,59.69,60.04,5228
28-Sep-16,61.55,61.63,60.42,60.57,10380
27-Sep-16,59.62,61.96,59.62,60.97,16177
26-Sep-16,60.25,61.14,59.99,60.08,5401
