Date,Open,High,Low,Close,Volume
22-Nov-16,14.64,14.78,14.64,14.71,183290
21-Nov-16,14.49,14.62,14.49,14.60,163805
18-Nov-16,14.47,14.50,14.40,14.46,181429
17-Nov-16,14.40,14.48,14.40,14.45,159122
16-Nov-16,14.37,14.45,14.30,14.45,209791
15-Nov-16,14.28,14.49,14.26,14.40,324750
14-Nov-16,14.30,14.35,14.15,14.26,486091
11-Nov-16,14.36,14.39,14.24,14.37,244725
10-Nov-16,14.53,14.57,14.20,14.36,224032
9-Nov-16,14.56,14.65,14.53,14.58,159848
8-Nov-16,14.66,14.74,14.62,14.73,164530
7-Nov-16,14.62,14.75,14.62,14.71,209006
4-Nov-16,14.57,14.63,14.53,14.55,138632
3-Nov-16,14.56,14.64,14.55,14.58,102188
2-Nov-16,14.67,14.68,14.55,14.61,268275
1-Nov-16,14.82,14.82,14.69,14.74,159490
31-Oct-16,14.91,14.91,14.72,14.72,183631
28-Oct-16,14.84,14.93,14.79,14.86,206390
27-Oct-16,14.97,14.97,14.83,14.84,210619
26-Oct-16,14.90,14.96,14.80,14.95,175460
25-Oct-16,14.93,14.96,14.91,14.93,74642
24-Oct-16,14.96,14.98,14.91,14.95,153957
21-Oct-16,14.89,14.99,14.85,14.95,103127
20-Oct-16,14.95,14.95,14.85,14.89,86787
19-Oct-16,14.80,14.95,14.78,14.95,142244
18-Oct-16,14.83,14.83,14.74,14.79,102336
17-Oct-16,14.90,14.90,14.64,14.73,176847
14-Oct-16,14.94,14.97,14.86,14.87,73320
13-Oct-16,14.93,14.98,14.88,14.92,107716
12-Oct-16,14.95,15.00,14.91,14.97,92190
11-Oct-16,15.08,15.08,15.00,15.04,138335
10-Oct-16,15.02,15.11,15.00,15.09,104666
7-Oct-16,15.05,15.06,14.96,14.96,79250
6-Oct-16,15.04,15.06,14.96,15.05,92145
5-Oct-16,15.08,15.09,15.01,15.03,104726
4-Oct-16,15.13,15.15,15.03,15.05,105327
3-Oct-16,15.12,15.16,15.02,15.16,103736
30-Sep-16,15.13,15.20,15.08,15.11,196673
29-Sep-16,15.16,15.16,15.06,15.11,139190
28-Sep-16,15.06,15.17,15.03,15.17,136632
27-Sep-16,15.01,15.08,14.95,15.04,97218
26-Sep-16,15.03,15.03,14.98,15.01,88336
23-Sep-16,15.07,15.11,15.05,15.08,69165
22-Sep-16,15.08,15.15,15.01,15.08,148450
21-Sep-16,14.99,15.02,14.90,15.00,241242
20-Sep-16,14.88,14.96,14.88,14.94,86150
19-Sep-16,14.85,14.92,14.83,14.86,201513
16-Sep-16,14.86,14.90,14.80,14.85,87374
15-Sep-16,14.74,14.91,14.74,14.87,169660
14-Sep-16,14.73,14.92,14.69,14.77,276928
13-Sep-16,15.01,15.03,14.79,14.88,316146
12-Sep-16,14.93,15.12,14.87,15.09,302266
9-Sep-16,15.37,15.41,15.01,15.08,212846
8-Sep-16,15.36,15.43,15.36,15.41,84781
7-Sep-16,15.34,15.38,15.27,15.37,128005
6-Sep-16,15.27,15.32,15.24,15.32,278332
2-Sep-16,15.28,15.37,15.21,15.32,207593
1-Sep-16,15.43,15.43,15.23,15.26,296835
31-Aug-16,15.47,15.52,15.43,15.50,136059
30-Aug-16,15.38,15.47,15.34,15.42,146337
29-Aug-16,15.37,15.40,15.35,15.35,136035
26-Aug-16,15.35,15.39,15.34,15.37,162117
25-Aug-16,15.35,15.40,15.32,15.39,94662
24-Aug-16,15.42,15.45,15.31,15.31,71160
23-Aug-16,15.34,15.41,15.32,15.40,77104
22-Aug-16,15.31,15.33,15.25,15.29,81373
19-Aug-16,15.32,15.33,15.26,15.30,91396
18-Aug-16,15.33,15.39,15.32,15.37,49083
17-Aug-16,15.27,15.32,15.22,15.29,113656
16-Aug-16,15.30,15.35,15.30,15.33,85467
15-Aug-16,15.31,15.37,15.31,15.32,89962
12-Aug-16,15.32,15.36,15.27,15.32,107356
11-Aug-16,15.25,15.38,15.25,15.34,81668
10-Aug-16,15.30,15.32,15.21,15.27,141628
9-Aug-16,15.24,15.28,15.22,15.25,157844
8-Aug-16,15.24,15.26,15.20,15.23,114623
5-Aug-16,15.26,15.30,15.22,15.23,103896
4-Aug-16,15.26,15.27,15.18,15.25,202049
3-Aug-16,15.19,15.23,15.16,15.19,95577
2-Aug-16,15.28,15.30,15.16,15.22,102959
1-Aug-16,15.40,15.40,15.21,15.27,125708
29-Jul-16,15.32,15.38,15.23,15.38,160114
28-Jul-16,15.20,15.29,15.18,15.28,126920
27-Jul-16,15.24,15.24,15.08,15.21,263171
26-Jul-16,15.33,15.34,15.15,15.21,155801
25-Jul-16,15.33,15.39,15.26,15.31,82726
22-Jul-16,15.36,15.36,15.27,15.32,111518
21-Jul-16,15.34,15.40,15.29,15.36,108478
20-Jul-16,15.29,15.34,15.25,15.34,123614
19-Jul-16,15.29,15.33,15.21,15.23,122229
18-Jul-16,15.20,15.28,15.20,15.25,139194
15-Jul-16,15.35,15.35,15.19,15.20,99983
14-Jul-16,15.30,15.37,15.20,15.37,219747
13-Jul-16,15.34,15.34,15.11,15.20,232203
12-Jul-16,15.30,15.35,15.16,15.29,171653
11-Jul-16,15.23,15.29,15.21,15.28,137046
8-Jul-16,15.26,15.26,15.17,15.20,82701
7-Jul-16,15.12,15.18,15.09,15.15,81139
6-Jul-16,14.95,15.12,14.94,15.12,111684
5-Jul-16,14.98,15.05,14.97,15.00,163817
1-Jul-16,15.04,15.16,15.04,15.07,115730
30-Jun-16,15.00,15.04,14.96,15.01,178748
29-Jun-16,14.98,15.06,14.94,14.98,190412
28-Jun-16,14.98,15.07,14.89,14.89,180725
27-Jun-16,15.05,15.08,14.85,14.85,193012
24-Jun-16,15.00,15.22,14.96,15.10,210659
23-Jun-16,15.30,15.35,15.22,15.26,140281
22-Jun-16,15.34,15.34,15.17,15.18,131487
21-Jun-16,15.33,15.36,15.28,15.33,99120
20-Jun-16,15.31,15.36,15.25,15.34,153600
17-Jun-16,15.14,15.23,15.14,15.15,159487
16-Jun-16,15.17,15.17,15.08,15.08,122184
15-Jun-16,15.17,15.22,15.09,15.20,136116
14-Jun-16,15.24,15.26,15.15,15.23,119114
13-Jun-16,15.18,15.31,15.18,15.24,149494
10-Jun-16,15.24,15.29,15.15,15.20,219500
9-Jun-16,15.21,15.29,15.18,15.26,244513
8-Jun-16,15.18,15.19,15.07,15.19,341546
7-Jun-16,15.14,15.23,15.08,15.11,342058
6-Jun-16,15.03,15.18,14.98,15.05,579321
3-Jun-16,14.82,14.90,14.78,14.90,102903
2-Jun-16,14.85,14.85,14.77,14.83,174834
1-Jun-16,14.86,14.97,14.81,14.81,90892
31-May-16,14.92,14.94,14.84,14.85,130634
27-May-16,14.89,14.96,14.85,14.85,79663
26-May-16,14.88,14.91,14.85,14.88,73680
25-May-16,14.77,14.90,14.77,14.89,101387
24-May-16,14.77,14.81,14.74,14.76,123884
23-May-16,14.75,14.79,14.71,14.78,132986
20-May-16,14.67,14.77,14.64,14.77,111486
19-May-16,14.69,14.75,14.52,14.64,194493
18-May-16,14.76,14.78,14.69,14.70,111063
17-May-16,14.76,14.77,14.70,14.77,75938
16-May-16,14.69,14.76,14.68,14.75,119815
13-May-16,14.63,14.73,14.62,14.70,120080
12-May-16,14.64,14.68,14.59,14.61,202132
11-May-16,14.74,14.79,14.59,14.60,234382
10-May-16,14.73,14.84,14.72,14.83,119916
9-May-16,14.79,14.88,14.69,14.73,153487
6-May-16,14.75,14.83,14.75,14.79,95449
5-May-16,14.80,14.84,14.77,14.78,147051
4-May-16,14.80,14.88,14.76,14.80,106020
3-May-16,14.89,14.91,14.80,14.83,84595
2-May-16,14.94,14.96,14.86,14.91,97985
29-Apr-16,14.86,14.93,14.81,14.93,161354
28-Apr-16,14.84,14.94,14.84,14.85,112308
27-Apr-16,14.88,14.95,14.86,14.93,85493
26-Apr-16,14.88,14.88,14.81,14.87,182579
25-Apr-16,14.92,14.93,14.80,14.82,115929
22-Apr-16,14.87,14.93,14.84,14.93,101251
21-Apr-16,14.82,14.88,14.79,14.88,119675
20-Apr-16,14.77,14.90,14.73,14.77,192608
19-Apr-16,14.81,14.82,14.71,14.76,179348
18-Apr-16,14.75,14.84,14.70,14.79,145613
15-Apr-16,14.73,14.81,14.70,14.76,119954
14-Apr-16,14.81,14.85,14.74,14.75,230801
13-Apr-16,14.77,14.90,14.76,14.81,96962
12-Apr-16,14.82,14.89,14.78,14.84,101724
11-Apr-16,14.88,14.95,14.80,14.83,66275
8-Apr-16,14.88,14.94,14.82,14.83,79362
7-Apr-16,14.82,14.88,14.77,14.80,54428
6-Apr-16,14.74,14.86,14.74,14.85,71958
5-Apr-16,14.75,14.80,14.70,14.71,87864
4-Apr-16,14.95,14.95,14.80,14.80,90224
1-Apr-16,14.84,14.96,14.75,14.88,106943
31-Mar-16,14.92,14.92,14.69,14.88,336386
30-Mar-16,14.84,14.89,14.81,14.88,122243
29-Mar-16,14.64,14.81,14.60,14.81,126579
28-Mar-16,14.72,14.72,14.63,14.63,72367
24-Mar-16,14.68,14.71,14.64,14.67,79789
23-Mar-16,14.78,14.83,14.74,14.76,97949
22-Mar-16,14.88,14.91,14.79,14.81,98562
21-Mar-16,14.84,14.90,14.82,14.90,84322
18-Mar-16,14.78,14.84,14.70,14.83,123173
17-Mar-16,14.65,14.78,14.65,14.78,111169
16-Mar-16,14.63,14.68,14.60,14.64,125359
15-Mar-16,14.57,14.73,14.57,14.72,113769
14-Mar-16,14.67,14.68,14.59,14.62,152976
11-Mar-16,14.63,14.72,14.62,14.70,126360
10-Mar-16,14.66,14.72,14.56,14.59,172646
9-Mar-16,14.57,14.68,14.57,14.62,170096
8-Mar-16,14.51,14.62,14.51,14.53,157295
7-Mar-16,14.53,14.61,14.48,14.57,167131
4-Mar-16,14.42,14.55,14.40,14.54,192014
3-Mar-16,14.43,14.46,14.37,14.42,149864
2-Mar-16,14.42,14.48,14.35,14.45,201637
1-Mar-16,14.30,14.47,14.25,14.45,250794
29-Feb-16,14.15,14.31,14.10,14.31,242281
26-Feb-16,14.02,14.18,13.97,14.16,162853
25-Feb-16,13.82,14.01,13.81,14.01,116679
24-Feb-16,13.74,13.88,13.74,13.85,103572
23-Feb-16,13.71,13.82,13.71,13.78,76690
22-Feb-16,13.72,13.80,13.72,13.77,128838
19-Feb-16,13.65,13.76,13.65,13.68,54430
18-Feb-16,13.70,13.72,13.64,13.70,131460
17-Feb-16,13.65,13.71,13.58,13.63,141016
16-Feb-16,13.60,13.70,13.55,13.67,109977
12-Feb-16,13.58,13.64,13.52,13.57,73764
11-Feb-16,13.51,13.61,13.48,13.53,99280
10-Feb-16,13.80,13.80,13.62,13.62,159232
9-Feb-16,13.63,13.76,13.60,13.75,212344
8-Feb-16,13.79,13.79,13.62,13.74,304407
5-Feb-16,14.00,14.02,13.82,13.83,114030
4-Feb-16,14.01,14.02,13.88,14.01,120370
3-Feb-16,14.06,14.06,13.87,14.02,111980
2-Feb-16,13.89,14.02,13.89,13.96,103528
1-Feb-16,13.90,14.09,13.90,14.04,233946
29-Jan-16,13.97,14.05,13.97,13.99,265103
28-Jan-16,13.88,14.00,13.88,13.96,97769
27-Jan-16,13.81,13.89,13.73,13.79,251894
26-Jan-16,13.69,13.87,13.68,13.81,204430
25-Jan-16,13.66,13.75,13.64,13.64,143057
22-Jan-16,13.59,13.76,13.55,13.71,265555
21-Jan-16,13.52,13.59,13.40,13.48,383799
20-Jan-16,13.48,13.53,13.26,13.40,355778
19-Jan-16,13.72,13.78,13.54,13.55,216047
15-Jan-16,13.71,13.77,13.51,13.76,284335
14-Jan-16,13.84,13.91,13.73,13.87,203190
13-Jan-16,14.12,14.12,13.85,13.85,236654
12-Jan-16,14.15,14.17,14.04,14.11,408607
11-Jan-16,14.20,14.26,14.08,14.11,337508
8-Jan-16,14.29,14.29,14.18,14.22,236683
7-Jan-16,14.10,14.26,14.10,14.26,410813
6-Jan-16,14.07,14.25,14.07,14.25,185926
5-Jan-16,14.14,14.21,14.11,14.20,119321
4-Jan-16,14.00,14.17,13.95,14.11,188977
31-Dec-15,14.09,14.26,14.03,14.15,452368
30-Dec-15,14.16,14.16,14.08,14.09,314978
29-Dec-15,14.05,14.18,14.05,14.18,266655
28-Dec-15,14.30,14.32,14.04,14.04,270086
24-Dec-15,14.35,14.48,14.35,14.42,163748
23-Dec-15,14.22,14.42,14.20,14.41,348976
22-Dec-15,14.00,14.18,13.95,14.18,355249
21-Dec-15,14.01,14.05,13.92,13.93,300318
18-Dec-15,13.92,14.08,13.90,13.96,404866
17-Dec-15,13.84,13.98,13.75,13.93,314122
16-Dec-15,13.63,13.83,13.56,13.82,436354
15-Dec-15,13.35,13.66,13.35,13.63,555830
14-Dec-15,13.43,13.47,13.21,13.32,647348
11-Dec-15,13.69,13.69,13.38,13.40,327691
10-Dec-15,13.77,13.79,13.72,13.74,191863
9-Dec-15,13.84,13.86,13.68,13.72,211857
8-Dec-15,13.70,13.79,13.68,13.74,198138
7-Dec-15,13.90,13.92,13.73,13.77,197170
4-Dec-15,13.93,13.98,13.89,13.89,183497
3-Dec-15,13.97,14.08,13.91,13.93,163388
2-Dec-15,13.98,14.07,13.98,14.05,242465
1-Dec-15,13.89,14.01,13.88,13.95,258442
30-Nov-15,13.83,13.88,13.80,13.83,277429
27-Nov-15,13.86,13.88,13.84,13.87,83645
25-Nov-15,13.80,13.90,13.74,13.80,166842
24-Nov-15,13.83,13.87,13.73,13.80,241831
23-Nov-15,13.94,13.96,13.76,13.83,277983
20-Nov-15,13.93,14.00,13.87,13.90,182599
19-Nov-15,14.04,14.06,13.87,13.93,221065
18-Nov-15,14.05,14.06,13.93,14.01,203250
17-Nov-15,14.21,14.21,14.03,14.08,157224
16-Nov-15,14.11,14.18,14.08,14.16,106288
13-Nov-15,14.14,14.17,14.06,14.16,171002
12-Nov-15,14.13,14.16,14.06,14.15,102124
