Date,Open,High,Low,Close,Volume
22-Nov-16,35.10,36.25,35.10,36.05,503958
21-Nov-16,34.75,35.60,34.65,35.10,689954
18-Nov-16,34.15,34.90,33.55,34.90,279189
17-Nov-16,34.00,34.90,33.80,33.95,422659
16-Nov-16,33.05,33.60,32.60,33.60,378911
15-Nov-16,33.05,33.35,32.25,33.05,201674
14-Nov-16,34.45,34.45,32.85,33.30,356514
11-Nov-16,33.80,34.90,33.52,34.60,426245
10-Nov-16,32.15,33.55,32.15,33.55,415327
9-Nov-16,29.90,31.95,29.90,31.80,385303
8-Nov-16,29.60,30.50,29.60,30.30,209601
7-Nov-16,29.60,30.00,29.55,29.75,227375
4-Nov-16,29.20,29.55,29.05,29.10,174818
3-Nov-16,28.70,29.30,28.60,29.25,211865
2-Nov-16,29.60,29.95,29.40,29.40,195476
1-Nov-16,30.35,30.65,29.60,29.85,168821
31-Oct-16,30.55,30.55,30.10,30.35,154759
28-Oct-16,30.10,30.68,30.00,30.40,86959
27-Oct-16,30.65,30.65,30.10,30.25,78562
26-Oct-16,30.65,30.89,30.50,30.55,88911
25-Oct-16,30.75,30.75,30.35,30.70,84657
24-Oct-16,30.85,31.15,30.58,30.80,65688
21-Oct-16,30.22,30.76,30.16,30.58,124105
20-Oct-16,30.64,30.76,30.43,30.58,106975
19-Oct-16,30.77,30.94,30.66,30.78,143884
18-Oct-16,31.11,31.11,30.62,30.73,92696
17-Oct-16,30.73,30.94,30.62,30.83,80768
14-Oct-16,30.64,30.96,30.64,30.72,109157
13-Oct-16,30.78,30.78,30.48,30.55,170451
12-Oct-16,30.89,31.26,30.89,30.98,117881
11-Oct-16,31.48,31.55,30.77,30.94,118285
10-Oct-16,31.75,31.93,31.49,31.52,104943
7-Oct-16,31.85,31.85,31.43,31.52,134382
6-Oct-16,31.50,31.99,31.32,31.86,126828
5-Oct-16,31.39,31.71,30.96,31.55,131020
4-Oct-16,31.57,31.66,30.92,31.25,180643
3-Oct-16,31.65,31.99,31.38,31.59,171445
30-Sep-16,31.48,31.78,31.30,31.64,164162
29-Sep-16,31.83,31.95,31.20,31.27,106479
28-Sep-16,31.34,31.79,31.27,31.78,201679
27-Sep-16,31.07,31.37,31.02,31.17,198460
26-Sep-16,31.25,31.45,31.01,31.14,151976
23-Sep-16,31.55,31.63,31.17,31.41,112419
22-Sep-16,31.13,31.76,31.13,31.71,161266
21-Sep-16,30.67,30.98,30.52,30.96,149111
20-Sep-16,30.77,30.83,30.50,30.50,95682
19-Sep-16,30.42,30.88,30.30,30.67,93449
16-Sep-16,30.53,30.58,30.22,30.28,286405
15-Sep-16,30.37,30.60,30.31,30.60,106008
14-Sep-16,30.45,30.48,30.19,30.32,122301
13-Sep-16,31.27,31.27,30.63,30.69,123147
12-Sep-16,31.39,31.61,31.24,31.42,166552
9-Sep-16,32.22,32.22,31.49,31.50,203101
8-Sep-16,32.07,32.45,32.01,32.30,224270
7-Sep-16,31.94,32.08,31.87,32.02,267453
6-Sep-16,32.12,32.13,31.85,31.87,199766
2-Sep-16,32.13,32.18,31.95,32.06,371179
1-Sep-16,32.20,32.20,31.71,31.90,262034
31-Aug-16,32.49,32.58,32.12,32.15,240746
30-Aug-16,32.65,32.68,32.41,32.47,102203
29-Aug-16,32.56,32.75,32.51,32.54,118372
26-Aug-16,33.01,33.12,32.46,32.58,107405
25-Aug-16,32.90,33.17,32.82,32.95,123034
24-Aug-16,33.01,33.14,32.82,32.90,126545
23-Aug-16,32.99,33.15,32.93,32.99,132642
22-Aug-16,32.68,33.00,32.57,32.89,123754
19-Aug-16,32.66,32.84,32.58,32.83,191343
18-Aug-16,32.54,32.81,32.35,32.81,276297
17-Aug-16,32.31,32.57,32.09,32.44,201453
16-Aug-16,31.86,32.30,31.77,32.24,332999
15-Aug-16,31.68,31.99,31.53,31.95,354705
12-Aug-16,31.49,31.91,31.41,31.54,223686
11-Aug-16,31.61,31.91,31.46,31.57,337124
10-Aug-16,31.51,31.71,31.43,31.46,201377
9-Aug-16,31.54,31.62,31.43,31.51,235333
8-Aug-16,31.24,31.64,31.24,31.44,233127
5-Aug-16,31.84,31.84,31.20,31.24,343567
4-Aug-16,32.30,33.16,31.36,31.75,959931
3-Aug-16,31.91,32.31,31.02,31.25,414630
2-Aug-16,32.26,32.30,31.89,31.97,153242
1-Aug-16,32.36,32.43,32.08,32.24,124249
29-Jul-16,32.57,32.64,32.18,32.35,107497
28-Jul-16,32.60,32.70,32.30,32.56,146879
27-Jul-16,32.36,32.71,32.29,32.63,206789
26-Jul-16,32.09,32.40,32.05,32.35,93988
25-Jul-16,32.18,32.29,31.91,32.02,80972
22-Jul-16,31.93,32.24,31.75,32.20,63832
21-Jul-16,32.15,32.22,31.74,31.93,112996
