Date,Open,High,Low,Close,Volume
22-Nov-16,27.90,28.37,27.88,28.22,527479
21-Nov-16,28.06,28.20,27.76,27.88,373378
18-Nov-16,27.35,28.14,27.18,27.90,771442
17-Nov-16,27.39,27.67,27.14,27.21,544354
16-Nov-16,27.50,27.75,27.15,27.38,383546
15-Nov-16,27.14,27.61,26.92,27.50,988850
14-Nov-16,27.16,27.76,26.99,27.34,659335
11-Nov-16,26.30,26.90,26.29,26.81,654679
10-Nov-16,26.06,26.65,25.61,26.37,560129
9-Nov-16,24.92,25.80,24.73,25.48,620082
8-Nov-16,24.85,25.18,24.75,24.85,237183
7-Nov-16,24.75,25.07,24.35,24.94,302833
4-Nov-16,24.50,24.55,24.19,24.30,242898
3-Nov-16,24.11,24.52,24.05,24.44,231356
2-Nov-16,24.46,24.47,23.86,24.08,460689
1-Nov-16,24.81,24.86,24.36,24.45,317630
31-Oct-16,24.15,24.79,23.91,24.70,450966
28-Oct-16,24.50,25.12,24.09,24.40,430697
27-Oct-16,24.65,24.75,24.35,24.45,613065
26-Oct-16,24.48,24.60,24.34,24.47,237522
25-Oct-16,24.41,24.80,24.27,24.61,352795
24-Oct-16,24.32,24.66,24.32,24.51,217505
21-Oct-16,23.79,24.19,23.69,24.13,153225
20-Oct-16,23.47,24.22,23.30,24.05,240199
19-Oct-16,23.69,24.17,23.58,24.06,299853
18-Oct-16,23.42,23.73,23.11,23.59,283272
17-Oct-16,23.13,23.30,22.99,23.07,173210
14-Oct-16,23.20,23.41,23.00,23.15,169916
13-Oct-16,23.09,23.09,22.59,22.99,288360
12-Oct-16,23.37,23.58,23.30,23.31,232812
11-Oct-16,23.61,23.68,23.23,23.38,271926
10-Oct-16,23.15,23.63,23.12,23.62,324884
7-Oct-16,23.20,23.20,22.85,23.08,158532
6-Oct-16,23.17,23.22,23.00,23.20,138599
5-Oct-16,22.85,23.39,22.79,23.20,226107
4-Oct-16,22.24,22.76,22.24,22.75,288195
3-Oct-16,22.41,22.48,22.21,22.25,116619
