Date,Open,High,Low,Close,Volume
22-Nov-16,-,-,-,22.70,0
21-Nov-16,-,-,-,22.70,0
18-Nov-16,22.11,22.75,21.75,22.70,1461
17-Nov-16,-,-,-,21.70,0
16-Nov-16,-,-,-,21.70,0
15-Nov-16,-,-,-,21.70,0
14-Nov-16,-,-,-,21.70,0
11-Nov-16,-,-,-,21.70,0
10-Nov-16,21.30,21.75,21.30,21.70,941
9-Nov-16,20.65,20.65,20.65,20.65,100
8-Nov-16,-,-,-,19.65,0
7-Nov-16,19.65,19.65,19.65,19.65,103
4-Nov-16,-,-,-,19.20,0
3-Nov-16,-,-,-,19.20,0
2-Nov-16,18.85,19.20,18.85,19.20,275
1-Nov-16,-,-,-,18.04,0
31-Oct-16,-,-,-,18.04,0
28-Oct-16,-,-,-,18.04,0
27-Oct-16,-,-,-,18.04,0
26-Oct-16,-,-,-,18.04,0
25-Oct-16,-,-,-,18.04,0
24-Oct-16,-,-,-,18.04,0
21-Oct-16,-,-,-,18.04,0
20-Oct-16,-,-,-,18.04,0
19-Oct-16,18.04,18.04,18.04,18.04,320
14-Oct-16,-,-,-,17.53,0
13-Oct-16,-,-,-,17.53,0
12-Oct-16,-,-,-,17.53,0
11-Oct-16,17.53,17.53,17.53,17.53,351
10-Oct-16,18.94,18.94,17.04,18.00,2506
7-Oct-16,-,-,-,19.63,0
6-Oct-16,-,-,-,19.63,0
5-Oct-16,19.63,19.63,19.63,19.63,200
4-Oct-16,-,-,-,19.89,0
3-Oct-16,-,-,-,19.89,0
30-Sep-16,-,-,-,19.89,0
29-Sep-16,19.89,19.89,19.89,19.89,200
28-Sep-16,19.89,19.90,19.89,19.90,332
27-Sep-16,-,-,-,20.32,0
26-Sep-16,20.32,20.32,20.32,20.32,296
23-Sep-16,20.11,20.11,20.11,20.11,100
22-Sep-16,20.42,20.42,20.42,20.42,100
21-Sep-16,-,-,-,19.45,0
20-Sep-16,-,-,-,19.45,0
19-Sep-16,-,-,-,19.45,0
16-Sep-16,19.45,19.45,19.45,19.45,200
15-Sep-16,18.94,18.94,18.94,18.94,200
14-Sep-16,19.61,19.61,19.61,19.61,100
13-Sep-16,-,-,-,19.66,0
12-Sep-16,19.05,19.66,19.05,19.66,553
9-Sep-16,19.85,19.85,19.85,19.85,144
8-Sep-16,-,-,-,19.50,0
7-Sep-16,-,-,-,19.50,0
6-Sep-16,-,-,-,19.50,0
2-Sep-16,19.50,19.50,19.50,19.50,200
1-Sep-16,-,-,-,19.90,0
31-Aug-16,19.89,19.90,19.75,19.90,400
30-Aug-16,-,-,-,20.19,0
29-Aug-16,-,-,-,20.19,0
26-Aug-16,-,-,-,20.19,0
25-Aug-16,-,-,-,20.19,0
24-Aug-16,-,-,-,20.19,0
23-Aug-16,-,-,-,20.19,0
22-Aug-16,-,-,-,20.19,0
19-Aug-16,-,-,-,20.19,0
18-Aug-16,-,-,-,20.19,0
17-Aug-16,20.19,20.19,20.19,20.19,158
16-Aug-16,20.00,20.00,20.00,20.00,104
15-Aug-16,20.79,20.85,20.79,20.85,512
12-Aug-16,-,-,-,20.42,0
11-Aug-16,-,-,-,20.42,0
10-Aug-16,-,-,-,20.42,0
9-Aug-16,-,-,-,20.42,0
8-Aug-16,20.39,20.42,20.10,20.42,600
5-Aug-16,-,-,-,19.94,0
4-Aug-16,-,-,-,19.94,0
3-Aug-16,20.00,20.00,19.94,19.94,645
2-Aug-16,21.72,21.72,20.10,20.10,1319
1-Aug-16,-,-,-,18.51,0
29-Jul-16,-,-,-,18.51,0
28-Jul-16,-,-,-,18.51,0
27-Jul-16,-,-,-,18.51,0
26-Jul-16,-,-,-,18.51,0
25-Jul-16,-,-,-,18.51,0
22-Jul-16,-,-,-,18.51,0
21-Jul-16,-,-,-,18.51,0
20-Jul-16,-,-,-,18.51,0
19-Jul-16,-,-,-,18.51,0
18-Jul-16,18.39,18.60,18.33,18.51,7261
15-Jul-16,-,-,-,18.91,0
14-Jul-16,-,-,-,18.91,0
13-Jul-16,-,-,-,18.91,0
12-Jul-16,18.77,18.91,18.77,18.91,200
11-Jul-16,-,-,-,17.90,0
8-Jul-16,-,-,-,17.90,0
7-Jul-16,-,-,-,17.90,0
6-Jul-16,-,-,-,17.90,0
5-Jul-16,-,-,-,17.90,0
1-Jul-16,-,-,-,17.90,0
30-Jun-16,17.86,17.90,17.66,17.90,507
29-Jun-16,-,-,-,17.07,0
28-Jun-16,-,-,-,17.07,0
27-Jun-16,17.07,17.07,17.07,17.07,114
24-Jun-16,-,-,-,18.20,0
23-Jun-16,-,-,-,18.20,0
22-Jun-16,-,-,-,18.20,0
21-Jun-16,-,-,-,18.20,0
20-Jun-16,-,-,-,18.20,0
17-Jun-16,-,-,-,18.20,0
16-Jun-16,-,-,-,18.20,0
