Date,Open,High,Low,Close,Volume
22-Nov-16,40.83,40.96,40.40,40.50,1418453
21-Nov-16,40.17,40.79,39.95,40.66,907729
18-Nov-16,40.18,40.24,39.74,40.17,651469
17-Nov-16,40.58,40.65,39.83,39.98,877367
16-Nov-16,40.10,40.68,39.87,40.52,804548
15-Nov-16,39.83,40.27,39.70,40.16,1001504
14-Nov-16,39.54,39.94,39.52,39.82,863759
11-Nov-16,38.71,39.43,38.39,39.35,1200170
10-Nov-16,39.32,39.67,38.60,38.66,1733875
9-Nov-16,38.29,39.44,38.29,39.22,1546418
8-Nov-16,38.81,38.99,38.16,38.77,2694725
7-Nov-16,39.31,39.60,38.76,38.85,2076318
4-Nov-16,40.50,41.36,38.86,38.94,4996028
3-Nov-16,42.50,42.71,42.01,42.10,1634630
2-Nov-16,42.10,42.50,42.00,42.17,1362216
1-Nov-16,42.49,42.66,41.82,42.02,762803
31-Oct-16,42.36,42.73,42.17,42.58,726062
28-Oct-16,42.01,42.59,42.01,42.50,1267579
27-Oct-16,42.80,42.97,41.90,41.90,1081436
26-Oct-16,43.00,43.21,42.80,42.80,538086
25-Oct-16,43.59,43.59,43.02,43.02,709675
24-Oct-16,43.50,44.02,43.42,43.67,369744
21-Oct-16,43.40,43.58,43.12,43.35,814910
20-Oct-16,43.71,43.86,43.55,43.71,839355
19-Oct-16,44.00,44.04,43.50,43.85,797343
18-Oct-16,43.77,43.89,43.59,43.77,748990
17-Oct-16,43.30,43.61,43.27,43.42,555676
14-Oct-16,43.60,43.63,43.28,43.42,473644
13-Oct-16,43.17,43.35,42.96,43.30,762049
12-Oct-16,43.20,43.82,43.09,43.55,844443
11-Oct-16,43.23,43.27,42.86,43.21,635431
10-Oct-16,43.57,43.92,43.37,43.40,521814
7-Oct-16,43.81,43.81,43.18,43.45,756081
6-Oct-16,43.63,43.89,43.25,43.74,1305197
5-Oct-16,43.66,44.10,43.51,43.88,1289064
4-Oct-16,43.37,43.49,43.14,43.44,995434
3-Oct-16,43.23,43.85,43.10,43.49,1093005
30-Sep-16,42.83,43.27,42.73,43.16,759884
29-Sep-16,43.08,43.11,42.62,42.80,478371
28-Sep-16,43.31,43.31,42.61,43.04,1164565
27-Sep-16,42.86,43.27,42.86,43.17,735568
26-Sep-16,43.47,43.54,42.95,42.98,980991
23-Sep-16,43.30,43.67,43.23,43.56,1045954
22-Sep-16,43.25,43.49,42.98,43.48,963422
21-Sep-16,42.85,43.07,42.59,42.96,1192896
20-Sep-16,42.31,42.58,42.12,42.56,1296692
19-Sep-16,41.64,42.13,41.64,42.03,1160322
16-Sep-16,41.93,41.99,41.53,41.77,1641964
15-Sep-16,41.50,42.18,41.39,42.06,976710
14-Sep-16,41.70,42.01,41.58,41.69,880223
13-Sep-16,42.27,42.27,41.47,41.74,1417252
12-Sep-16,41.12,42.26,41.00,42.07,1603041
9-Sep-16,42.00,42.10,41.44,41.44,1176239
8-Sep-16,42.35,42.55,42.15,42.20,895949
7-Sep-16,42.49,42.80,42.34,42.62,1292739
6-Sep-16,42.66,42.68,42.12,42.61,807274
2-Sep-16,42.49,42.80,42.40,42.75,893159
1-Sep-16,42.27,42.55,41.99,42.29,611847
31-Aug-16,42.17,42.32,41.94,42.28,640373
30-Aug-16,42.31,42.47,41.90,42.17,739903
29-Aug-16,42.04,42.60,42.04,42.34,636169
26-Aug-16,42.21,42.65,41.86,42.09,598190
25-Aug-16,42.23,42.28,41.99,42.06,1108312
24-Aug-16,42.16,42.38,42.06,42.25,758116
23-Aug-16,41.87,42.53,41.87,42.27,1154877
22-Aug-16,41.85,42.01,41.56,41.87,915517
19-Aug-16,41.63,41.74,41.42,41.61,641300
18-Aug-16,41.20,41.76,41.04,41.75,1239827
17-Aug-16,41.14,41.24,40.82,41.13,821471
16-Aug-16,40.73,41.16,40.62,41.08,1193207
15-Aug-16,40.92,41.18,40.81,41.06,942842
12-Aug-16,41.08,41.12,40.72,40.80,608191
11-Aug-16,40.80,41.27,40.65,41.08,1269096
10-Aug-16,40.43,40.81,40.24,40.69,2109610
9-Aug-16,40.48,40.82,40.33,40.40,1428349
8-Aug-16,40.86,41.09,40.52,40.55,1526281
5-Aug-16,41.01,41.12,40.58,40.81,1724098
4-Aug-16,41.13,41.38,40.74,40.78,1820228
3-Aug-16,41.00,41.66,40.23,41.13,4202510
2-Aug-16,42.79,42.90,41.94,42.45,2058360
1-Aug-16,42.64,43.20,42.36,42.92,2440485
29-Jul-16,43.01,43.02,42.52,42.77,810770
28-Jul-16,42.91,43.14,42.60,43.00,1081478
27-Jul-16,43.48,43.48,42.67,42.87,799259
26-Jul-16,43.51,43.91,43.11,43.36,2015810
25-Jul-16,42.96,43.26,42.77,43.23,875856
22-Jul-16,42.42,43.27,42.30,42.98,1185913
21-Jul-16,42.31,42.47,42.06,42.35,655736
20-Jul-16,42.49,42.60,42.26,42.27,637751
19-Jul-16,42.12,42.41,42.03,42.28,436042
18-Jul-16,42.10,42.55,42.01,42.34,637234
15-Jul-16,42.67,42.70,42.16,42.27,853938
14-Jul-16,42.15,42.51,41.86,42.44,1475694
13-Jul-16,42.76,42.85,42.51,42.62,439497
12-Jul-16,42.75,42.99,42.44,42.71,816563
11-Jul-16,42.28,42.58,42.20,42.55,706855
8-Jul-16,41.88,42.26,41.62,42.13,957361
7-Jul-16,41.79,41.98,41.30,41.52,857407
6-Jul-16,41.17,42.00,41.17,41.85,1024862
5-Jul-16,41.79,41.79,41.28,41.49,1010258
1-Jul-16,41.72,42.11,41.51,41.88,1183760
30-Jun-16,41.39,41.76,41.02,41.74,820651
29-Jun-16,40.22,41.37,40.04,41.25,1116159
28-Jun-16,39.20,39.86,39.11,39.77,919832
27-Jun-16,39.80,39.80,38.71,38.90,1412365
24-Jun-16,39.70,40.56,39.70,40.15,3363205
23-Jun-16,40.00,40.80,39.93,40.78,983144
22-Jun-16,39.84,39.84,39.45,39.77,1012517
21-Jun-16,39.66,39.84,39.49,39.66,915622
20-Jun-16,39.52,39.80,39.40,39.68,1321528
17-Jun-16,39.75,39.75,39.10,39.37,1978662
16-Jun-16,39.77,39.99,39.31,39.93,1261161
15-Jun-16,39.75,40.14,39.56,39.89,1038538
14-Jun-16,40.07,40.21,39.55,39.67,1115663
