Date,Open,High,Low,Close,Volume
22-Nov-16,40.10,40.45,39.85,40.40,136580
21-Nov-16,40.45,40.59,39.75,39.90,179900
18-Nov-16,40.40,41.00,40.30,40.55,296591
17-Nov-16,39.65,40.45,39.15,40.20,248088
16-Nov-16,39.10,39.80,38.95,39.55,193318
15-Nov-16,39.85,40.10,39.25,39.35,207042
14-Nov-16,40.10,41.20,39.85,40.00,302430
11-Nov-16,38.60,39.85,38.30,39.45,394788
10-Nov-16,38.10,39.45,37.80,38.50,304008
9-Nov-16,36.25,37.65,36.25,37.55,236730
8-Nov-16,35.95,36.75,35.65,36.45,216413
7-Nov-16,36.25,36.35,35.75,35.95,169294
4-Nov-16,37.00,37.00,35.30,35.60,223570
3-Nov-16,36.30,36.55,35.85,35.90,165882
2-Nov-16,36.80,37.00,36.15,36.15,177100
1-Nov-16,37.60,37.70,36.70,37.05,221489
31-Oct-16,37.85,38.45,37.55,37.55,157551
28-Oct-16,37.60,38.30,37.30,37.60,117103
27-Oct-16,37.30,37.90,37.01,37.65,102553
26-Oct-16,37.05,37.60,37.00,37.15,56095
25-Oct-16,37.50,37.60,37.05,37.35,65803
24-Oct-16,37.95,38.15,37.35,37.55,100834
21-Oct-16,37.60,37.80,37.35,37.40,105556
20-Oct-16,38.50,38.50,37.75,38.10,139952
19-Oct-16,38.85,38.90,38.35,38.40,123220
18-Oct-16,39.30,39.35,38.60,38.70,136232
17-Oct-16,39.65,39.70,38.90,38.90,132343
14-Oct-16,39.35,40.05,39.35,39.65,93929
13-Oct-16,39.40,39.45,38.70,39.15,141447
12-Oct-16,39.85,40.20,39.45,40.00,115435
11-Oct-16,39.85,40.00,39.15,39.70,122979
10-Oct-16,39.50,40.30,39.35,40.05,154479
7-Oct-16,39.03,39.39,38.65,39.09,157173
6-Oct-16,38.61,38.93,38.09,38.92,120996
5-Oct-16,37.89,38.86,37.76,38.72,177361
4-Oct-16,38.37,38.44,37.30,37.83,418642
3-Oct-16,39.06,39.24,38.30,38.37,415819
30-Sep-16,38.91,39.52,38.66,39.32,200738
29-Sep-16,38.66,39.36,38.55,38.59,127357
28-Sep-16,38.09,38.87,37.91,38.85,137826
27-Sep-16,37.83,38.01,37.46,37.98,117589
26-Sep-16,37.30,38.08,37.27,37.99,153393
23-Sep-16,37.93,38.13,37.26,37.49,148549
22-Sep-16,37.68,38.02,37.44,37.93,166094
21-Sep-16,36.70,37.42,36.52,37.39,211768
20-Sep-16,37.00,37.06,36.64,36.66,101600
19-Sep-16,36.08,37.02,36.08,36.82,97107
16-Sep-16,36.10,36.57,35.82,35.97,249710
15-Sep-16,35.87,36.62,35.87,36.43,82339
14-Sep-16,36.34,36.52,35.88,35.93,60334
13-Sep-16,36.53,36.82,36.06,36.38,118855
12-Sep-16,36.78,36.99,36.19,36.98,159205
9-Sep-16,37.46,37.51,36.73,36.75,119977
8-Sep-16,38.11,38.24,37.64,37.77,75376
7-Sep-16,37.83,38.18,37.56,38.18,132359
6-Sep-16,37.61,37.78,37.34,37.77,138446
2-Sep-16,37.72,37.72,37.19,37.61,181230
1-Sep-16,37.58,37.97,36.89,37.38,99710
31-Aug-16,37.62,37.73,37.18,37.45,124339
30-Aug-16,37.63,37.69,37.16,37.57,86344
29-Aug-16,37.07,37.70,37.07,37.48,69612
26-Aug-16,36.99,37.37,36.72,36.92,83995
25-Aug-16,36.58,37.16,36.58,36.95,89212
24-Aug-16,36.75,36.83,36.54,36.67,52493
23-Aug-16,36.63,36.90,36.62,36.69,57299
22-Aug-16,36.39,36.53,36.04,36.53,82996
19-Aug-16,36.52,36.68,36.42,36.46,114782
18-Aug-16,36.60,37.05,36.37,36.56,113180
17-Aug-16,36.74,36.84,36.43,36.70,100504
16-Aug-16,37.23,37.34,36.67,36.69,123330
15-Aug-16,36.90,37.31,36.90,37.25,113992
12-Aug-16,37.24,37.27,36.81,36.90,101665
11-Aug-16,37.44,37.61,37.09,37.15,109164
10-Aug-16,38.00,38.56,37.59,37.59,150322
9-Aug-16,39.00,39.46,38.90,39.19,129092
8-Aug-16,38.43,39.29,37.90,39.01,197667
5-Aug-16,36.43,39.24,36.43,38.21,396896
4-Aug-16,33.96,34.48,33.96,34.31,97982
3-Aug-16,33.81,34.10,33.75,34.06,123564
2-Aug-16,33.76,34.13,33.66,33.74,90427
1-Aug-16,34.40,34.43,33.75,33.84,91581
29-Jul-16,34.75,34.83,34.24,34.27,118598
28-Jul-16,34.98,35.15,34.70,34.71,88356
27-Jul-16,35.08,35.25,34.94,35.07,115977
26-Jul-16,34.63,35.19,34.63,35.02,126605
25-Jul-16,34.33,34.82,34.33,34.66,77771
22-Jul-16,34.07,34.64,34.07,34.48,59503
21-Jul-16,34.43,34.43,34.00,34.07,70023
20-Jul-16,34.33,34.69,34.27,34.44,75495
19-Jul-16,34.20,34.42,34.04,34.31,57330
18-Jul-16,34.37,34.66,34.23,34.36,68914
15-Jul-16,34.30,34.49,34.00,34.45,79585
14-Jul-16,34.34,34.41,33.99,34.00,107323
13-Jul-16,34.13,34.31,33.78,33.97,113911
12-Jul-16,33.52,34.22,33.40,33.92,162271
11-Jul-16,32.71,33.26,32.54,33.19,99115
8-Jul-16,31.82,32.54,31.82,32.49,150012
7-Jul-16,31.31,31.74,31.10,31.55,114910
6-Jul-16,31.00,31.39,30.95,31.31,119295
5-Jul-16,30.96,31.28,30.88,31.16,135556
1-Jul-16,30.90,31.44,30.87,31.39,104898
30-Jun-16,30.43,30.99,30.18,30.98,225162
29-Jun-16,30.32,30.40,29.98,30.38,164666
28-Jun-16,30.04,30.34,29.74,29.88,168095
27-Jun-16,30.06,30.25,29.62,29.67,287625
24-Jun-16,31.25,31.62,30.33,30.60,511928
23-Jun-16,32.07,32.91,31.76,32.89,188007
22-Jun-16,31.83,32.21,31.62,31.64,107882
21-Jun-16,31.84,31.92,31.57,31.72,101750
20-Jun-16,32.06,32.23,31.78,31.80,96755
17-Jun-16,32.46,32.67,31.46,31.58,294213
16-Jun-16,31.97,32.42,31.79,32.38,138525
15-Jun-16,32.48,32.62,32.15,32.20,179506
14-Jun-16,32.04,32.47,32.04,32.39,126261
13-Jun-16,33.02,33.16,32.09,32.25,266228
10-Jun-16,32.75,33.18,32.45,33.15,142977
9-Jun-16,32.84,33.20,32.66,33.12,123004
8-Jun-16,32.62,33.20,32.62,33.11,127553
7-Jun-16,32.34,32.67,32.03,32.66,138160
6-Jun-16,31.81,32.41,31.77,32.27,121349
3-Jun-16,32.21,32.21,31.43,31.83,126823
2-Jun-16,32.31,32.53,32.13,32.45,77921
1-Jun-16,32.12,32.54,31.83,32.52,77499
31-May-16,32.57,32.71,32.25,32.31,141007
27-May-16,31.94,32.37,31.94,32.34,133623
26-May-16,32.25,32.32,32.02,32.04,67855
25-May-16,32.50,32.68,32.14,32.29,74292
24-May-16,31.93,32.70,31.74,32.47,135661
23-May-16,32.59,32.59,31.58,31.60,122903
20-May-16,31.41,32.57,31.27,32.55,191303
19-May-16,31.55,31.90,31.05,31.35,95470
18-May-16,30.98,31.81,30.87,31.79,171468
17-May-16,31.00,31.16,30.82,31.00,342102
16-May-16,31.00,31.12,30.78,31.01,127349
13-May-16,31.27,31.48,30.75,30.91,174385
12-May-16,31.00,31.36,30.80,31.29,196121
11-May-16,31.34,31.34,30.90,31.01,187950
10-May-16,31.04,31.42,30.96,31.29,203994
9-May-16,31.02,31.26,30.13,31.01,329912
6-May-16,31.00,32.74,30.92,31.48,216221
5-May-16,31.13,31.53,30.99,31.01,155830
4-May-16,31.07,31.50,30.91,31.00,169944
3-May-16,31.19,31.45,30.97,31.39,118573
2-May-16,31.13,31.56,30.87,31.44,135622
29-Apr-16,31.00,31.16,30.61,30.96,156201
28-Apr-16,31.00,31.19,30.83,31.00,219263
27-Apr-16,31.26,31.40,30.89,31.09,143624
26-Apr-16,31.17,31.43,30.86,31.36,148575
25-Apr-16,30.83,31.14,30.60,31.00,254488
22-Apr-16,30.05,31.10,30.05,31.05,299480
21-Apr-16,30.03,30.22,29.88,30.08,157893
20-Apr-16,29.50,30.27,29.50,30.19,104316
19-Apr-16,29.84,29.84,29.41,29.58,123008
18-Apr-16,30.02,30.33,29.76,29.87,111594
15-Apr-16,30.66,30.93,30.28,30.35,160953
14-Apr-16,30.31,30.88,30.28,30.81,119442
13-Apr-16,29.60,30.33,29.37,30.32,161259
