Date,Open,High,Low,Close,Volume
22-Nov-16,21.36,21.57,20.73,20.80,12814
21-Nov-16,20.77,21.37,20.77,21.03,11680
18-Nov-16,20.59,20.96,20.58,20.87,3496
17-Nov-16,20.90,21.15,20.74,21.05,9911
16-Nov-16,20.30,20.84,20.30,20.84,6743
15-Nov-16,20.40,20.67,20.34,20.50,11118
14-Nov-16,21.00,21.00,20.53,20.59,12070
11-Nov-16,20.75,20.99,20.31,20.90,16300
10-Nov-16,20.86,20.86,20.50,20.69,12869
9-Nov-16,20.70,20.97,20.50,20.52,7892
8-Nov-16,20.39,20.98,20.38,20.90,3312
7-Nov-16,20.77,20.96,20.57,20.65,5307
4-Nov-16,20.79,20.98,20.65,20.98,4833
3-Nov-16,20.75,20.98,20.65,20.72,9071
2-Nov-16,20.90,20.95,20.73,20.80,10300
1-Nov-16,20.80,21.17,20.80,21.03,4000
31-Oct-16,20.76,21.09,20.75,20.92,5001
28-Oct-16,21.40,21.40,20.65,20.68,16529
27-Oct-16,21.54,21.92,21.26,21.31,26573
26-Oct-16,21.53,21.92,21.49,21.49,11574
25-Oct-16,21.90,21.99,21.33,21.80,14227
24-Oct-16,21.14,21.93,21.14,21.80,15306
21-Oct-16,21.10,21.96,21.07,21.45,39418
20-Oct-16,21.01,21.25,20.78,21.25,46580
19-Oct-16,20.82,21.10,20.80,21.09,6970
18-Oct-16,20.98,21.08,20.94,21.05,5460
17-Oct-16,20.83,21.00,20.73,21.00,15176
14-Oct-16,21.00,21.00,20.70,20.98,10282
13-Oct-16,20.85,21.00,20.65,21.00,5584
12-Oct-16,20.93,20.96,20.67,20.81,4290
11-Oct-16,20.98,20.98,20.80,20.97,3349
10-Oct-16,20.84,20.98,20.69,20.94,6533
7-Oct-16,20.74,20.99,20.74,20.99,22504
6-Oct-16,20.84,21.09,20.48,20.91,11065
5-Oct-16,20.53,20.96,20.49,20.87,21553
4-Oct-16,20.93,20.95,20.50,20.59,9214
3-Oct-16,20.80,20.95,20.32,20.85,16049
30-Sep-16,20.35,20.88,20.35,20.75,6378
29-Sep-16,20.48,20.61,20.28,20.46,8064
28-Sep-16,20.70,20.96,20.65,20.80,10231
27-Sep-16,20.59,20.70,20.35,20.68,15480
26-Sep-16,20.35,20.74,20.32,20.63,6202
23-Sep-16,20.38,20.75,20.14,20.71,19520
22-Sep-16,20.26,20.58,20.26,20.39,8340
21-Sep-16,20.60,20.67,20.21,20.21,4242
20-Sep-16,20.42,20.68,20.03,20.63,7897
19-Sep-16,20.09,20.62,20.03,20.42,9297
16-Sep-16,20.63,20.74,19.81,20.09,3778
15-Sep-16,20.04,20.73,20.04,20.36,10347
14-Sep-16,19.98,20.58,19.74,20.58,11696
13-Sep-16,20.12,20.23,19.74,19.92,36897
12-Sep-16,19.99,20.54,19.42,20.01,28347
9-Sep-16,20.80,20.88,20.26,20.40,16216
8-Sep-16,20.30,21.10,20.25,21.06,48899
7-Sep-16,20.12,20.48,19.99,20.45,27342
6-Sep-16,20.23,20.55,19.63,20.23,20099
2-Sep-16,20.19,20.34,19.44,20.17,32304
1-Sep-16,20.09,20.30,19.31,20.25,44927
31-Aug-16,19.97,20.07,19.83,20.00,27094
30-Aug-16,20.00,20.00,19.62,19.84,22655
29-Aug-16,19.88,20.04,19.63,19.90,23666
26-Aug-16,20.45,20.93,20.45,20.61,44673
25-Aug-16,20.76,20.93,20.05,20.43,69951
24-Aug-16,20.67,20.75,20.52,20.66,32707
