Date,Open,High,Low,Close,Volume
22-Nov-16,20.10,20.29,19.89,20.12,353282
21-Nov-16,20.01,20.13,19.55,20.07,372056
18-Nov-16,19.83,19.83,19.44,19.49,314185
17-Nov-16,19.83,20.01,19.55,19.68,296109
16-Nov-16,19.87,20.01,19.50,19.63,359627
15-Nov-16,19.84,20.18,19.67,20.08,345048
14-Nov-16,19.31,19.72,19.21,19.57,371206
11-Nov-16,19.55,19.63,19.16,19.58,373646
10-Nov-16,19.34,19.70,19.34,19.63,416812
9-Nov-16,18.00,19.43,17.97,19.29,599814
8-Nov-16,18.33,18.54,18.24,18.24,353924
7-Nov-16,18.47,18.58,18.25,18.36,241932
4-Nov-16,18.33,18.35,18.06,18.21,362078
3-Nov-16,18.40,18.46,18.24,18.40,289051
2-Nov-16,18.55,18.68,18.20,18.44,459922
1-Nov-16,18.98,18.99,18.62,18.74,269230
31-Oct-16,19.00,19.16,18.75,18.85,342873
28-Oct-16,19.15,19.42,19.06,19.11,173804
27-Oct-16,19.64,19.71,19.20,19.24,349779
26-Oct-16,19.06,19.60,19.06,19.55,337092
25-Oct-16,19.51,19.66,19.32,19.35,290996
24-Oct-16,19.79,19.93,19.50,19.64,331439
21-Oct-16,19.55,19.72,19.54,19.72,154188
20-Oct-16,19.51,19.75,19.47,19.64,154983
19-Oct-16,19.55,19.85,19.40,19.66,289726
18-Oct-16,19.69,19.69,19.33,19.36,253359
17-Oct-16,19.45,19.61,19.32,19.42,301604
14-Oct-16,19.37,19.85,19.26,19.44,431225
13-Oct-16,19.00,19.30,18.93,19.20,226238
12-Oct-16,19.27,19.32,19.07,19.16,246198
11-Oct-16,19.48,19.56,19.21,19.25,236456
10-Oct-16,19.47,19.69,19.45,19.58,322767
7-Oct-16,19.52,19.58,19.14,19.32,281356
6-Oct-16,19.93,19.96,19.44,19.48,319405
5-Oct-16,19.92,20.00,19.64,19.80,411858
4-Oct-16,20.21,20.56,20.10,20.35,417609
3-Oct-16,20.71,20.75,20.17,20.29,409165
30-Sep-16,20.25,20.67,20.23,20.63,428211
29-Sep-16,20.15,20.43,19.95,20.25,492934
28-Sep-16,19.68,19.98,19.20,19.89,391415
27-Sep-16,19.49,19.75,19.41,19.49,251198
26-Sep-16,20.11,20.24,19.56,19.68,286353
23-Sep-16,20.59,20.69,19.92,19.97,289056
22-Sep-16,20.39,20.60,20.21,20.56,298531
21-Sep-16,19.61,20.16,19.61,20.07,253133
20-Sep-16,19.37,19.76,19.37,19.51,225667
19-Sep-16,19.69,20.00,19.36,19.51,457499
16-Sep-16,19.12,19.50,19.08,19.50,199172
15-Sep-16,19.05,19.36,19.00,19.23,453831
14-Sep-16,18.90,19.37,18.85,18.93,438776
13-Sep-16,19.58,19.73,18.94,19.04,455812
12-Sep-16,19.62,19.80,19.55,19.65,515684
9-Sep-16,20.71,20.75,19.86,19.95,501208
8-Sep-16,20.66,21.15,20.48,20.95,718740
7-Sep-16,20.04,20.35,20.01,20.35,336840
6-Sep-16,19.92,20.10,19.86,19.94,286571
2-Sep-16,19.79,19.95,19.66,19.83,427981
1-Sep-16,19.64,19.65,19.42,19.57,358665
31-Aug-16,19.65,19.74,19.43,19.68,325796
30-Aug-16,19.84,19.90,19.66,19.81,348884
29-Aug-16,19.54,19.82,19.51,19.74,285522
26-Aug-16,19.53,19.90,19.50,19.66,250283
25-Aug-16,19.17,19.50,19.17,19.44,369137
24-Aug-16,19.57,19.72,19.22,19.27,333325
23-Aug-16,19.40,19.82,19.24,19.76,376212
22-Aug-16,19.22,19.40,19.13,19.33,323063
19-Aug-16,19.78,19.82,19.47,19.49,383923
18-Aug-16,19.58,19.93,19.58,19.75,318872
17-Aug-16,19.44,19.58,19.28,19.51,292146
16-Aug-16,19.47,19.59,19.35,19.51,349609
15-Aug-16,19.36,19.63,19.35,19.43,322334
12-Aug-16,19.37,19.52,19.23,19.31,234524
11-Aug-16,19.06,19.30,19.04,19.12,223469
10-Aug-16,19.44,19.47,18.92,19.02,585991
9-Aug-16,19.61,19.70,19.32,19.44,223265
8-Aug-16,19.42,19.67,19.37,19.51,360466
5-Aug-16,19.13,19.49,19.06,19.23,272034
4-Aug-16,19.06,19.31,18.94,19.13,327357
3-Aug-16,18.44,19.12,18.37,19.12,418247
2-Aug-16,18.63,18.84,18.13,18.40,398060
1-Aug-16,19.07,19.07,18.46,18.55,530318
29-Jul-16,18.69,19.13,18.63,19.08,275778
28-Jul-16,19.01,19.14,18.80,18.80,330524
