Date,Open,High,Low,Close,Volume
22-Nov-16,127.13,129.15,125.87,128.87,505175
21-Nov-16,127.69,128.00,124.90,126.78,494864
18-Nov-16,126.80,128.03,126.12,126.87,706941
17-Nov-16,125.55,126.76,123.41,126.54,497600
16-Nov-16,124.46,126.61,124.43,126.18,734711
15-Nov-16,123.01,125.82,123.00,125.33,783426
14-Nov-16,119.47,124.12,119.47,122.62,1127226
11-Nov-16,118.83,119.62,117.53,119.05,784908
10-Nov-16,116.06,121.13,115.79,119.24,1043220
9-Nov-16,117.40,118.71,112.54,116.93,2399043
8-Nov-16,121.92,122.87,120.12,122.23,890663
7-Nov-16,122.53,123.40,121.46,122.60,660994
4-Nov-16,120.11,122.17,119.42,120.43,714419
3-Nov-16,121.07,121.69,119.74,120.06,520392
2-Nov-16,122.19,124.01,120.09,120.62,1072668
1-Nov-16,123.00,123.96,121.21,122.84,1595052
31-Oct-16,121.49,122.97,121.21,122.78,980736
28-Oct-16,121.08,121.98,119.72,121.30,1049524
27-Oct-16,120.62,122.11,117.95,121.04,1941296
26-Oct-16,116.00,121.05,114.15,120.62,2536654
25-Oct-16,116.32,117.16,112.46,114.10,1316796
24-Oct-16,115.86,117.45,115.86,117.23,649099
21-Oct-16,114.57,115.59,113.46,115.39,388951
20-Oct-16,115.85,115.95,114.34,115.38,611992
19-Oct-16,113.25,116.08,112.91,115.83,794120
18-Oct-16,116.68,116.98,110.77,112.84,1768917
17-Oct-16,116.18,117.80,115.85,115.91,711103
14-Oct-16,116.65,117.77,115.84,116.06,509090
13-Oct-16,118.18,118.18,115.26,116.39,1049433
12-Oct-16,118.74,119.63,118.32,119.05,467649
11-Oct-16,120.19,120.50,117.75,118.40,588595
10-Oct-16,121.62,122.40,120.28,120.35,326704
7-Oct-16,121.57,121.64,119.81,121.01,1247213
6-Oct-16,120.72,122.46,120.23,121.79,1107566
5-Oct-16,121.39,125.28,121.27,124.46,725239
4-Oct-16,121.59,122.51,120.72,121.25,597570
3-Oct-16,121.20,121.69,120.48,121.00,589522
30-Sep-16,119.43,121.78,119.05,121.22,573747
29-Sep-16,119.44,120.32,118.70,118.77,650627
28-Sep-16,118.85,120.25,118.76,120.13,613989
27-Sep-16,118.84,119.45,118.11,118.71,664067
26-Sep-16,119.18,119.68,118.33,119.21,820355
23-Sep-16,120.59,120.59,119.06,119.98,620463
22-Sep-16,119.04,121.05,119.04,120.71,644337
21-Sep-16,117.52,118.72,117.52,118.59,477240
20-Sep-16,117.47,117.68,116.12,117.21,756932
19-Sep-16,117.98,119.24,116.47,116.56,609047
16-Sep-16,116.93,117.44,115.34,117.30,809890
15-Sep-16,115.47,117.35,115.10,116.95,533939
14-Sep-16,113.82,115.88,113.25,115.23,517099
13-Sep-16,114.22,115.39,113.57,114.42,576854
12-Sep-16,112.22,115.94,111.95,115.56,789843
9-Sep-16,114.76,115.15,112.78,113.05,755982
8-Sep-16,116.52,116.99,115.31,115.58,763520
7-Sep-16,116.81,117.50,116.38,116.94,684375
6-Sep-16,117.49,117.77,116.32,116.81,570679
2-Sep-16,116.30,117.28,115.70,117.05,485405
1-Sep-16,116.00,118.17,115.12,115.75,725512
31-Aug-16,115.55,117.00,114.94,116.29,709799
30-Aug-16,115.26,116.25,114.78,115.72,648964
29-Aug-16,115.22,116.40,114.94,115.66,459053
26-Aug-16,115.55,116.84,115.10,115.47,628624
25-Aug-16,115.30,116.00,113.97,115.45,506438
24-Aug-16,115.67,116.72,115.29,115.70,528527
23-Aug-16,115.30,116.32,115.07,115.80,769945
22-Aug-16,114.14,114.84,113.77,114.75,632874
19-Aug-16,113.00,114.92,112.51,114.75,471784
18-Aug-16,112.97,113.99,112.41,113.61,791229
17-Aug-16,112.79,113.47,112.32,113.32,800886
16-Aug-16,114.24,114.24,112.69,112.80,735212
15-Aug-16,114.13,115.12,114.13,114.70,477758
12-Aug-16,114.27,114.79,113.31,114.25,538656
