Date,Open,High,Low,Close,Volume
22-Nov-16,77.81,77.81,75.50,75.99,5208832
21-Nov-16,76.80,77.04,76.10,76.64,4060274
18-Nov-16,77.58,77.92,76.52,76.67,4571592
17-Nov-16,77.00,77.81,76.73,77.71,4513996
16-Nov-16,77.52,77.52,76.82,76.94,1922331
15-Nov-16,77.43,77.54,76.18,77.32,3097568
14-Nov-16,78.01,78.24,76.69,77.02,3221676
11-Nov-16,77.97,78.09,76.79,77.67,3072650
10-Nov-16,78.96,79.70,78.00,78.34,6904770
9-Nov-16,77.15,79.30,76.58,78.39,7332730
8-Nov-16,73.57,74.47,73.36,74.02,2690761
7-Nov-16,73.22,73.93,73.05,73.88,4969412
4-Nov-16,72.12,73.03,71.67,72.49,3617209
3-Nov-16,72.81,73.28,71.88,72.11,4843213
2-Nov-16,73.15,73.49,72.64,72.65,4433872
1-Nov-16,73.81,73.98,71.85,72.98,8190524
31-Oct-16,74.63,74.74,73.80,73.84,3562142
28-Oct-16,75.62,75.68,73.86,74.53,5651541
27-Oct-16,77.36,77.42,76.13,76.16,3789861
26-Oct-16,77.42,77.65,76.37,76.76,2988727
25-Oct-16,76.88,78.28,75.50,77.75,8496226
24-Oct-16,78.49,78.69,77.44,77.57,4363173
21-Oct-16,78.54,78.78,78.08,78.25,3214971
20-Oct-16,78.73,79.11,78.39,78.74,2661919
19-Oct-16,78.96,79.33,78.53,78.56,2988801
18-Oct-16,79.09,79.14,78.50,78.77,3218290
17-Oct-16,79.53,79.53,78.01,78.53,3884657
14-Oct-16,80.17,80.32,79.21,79.27,3143876
13-Oct-16,79.93,80.49,79.60,80.00,3565014
12-Oct-16,81.81,82.22,80.46,80.51,3629801
11-Oct-16,82.60,82.85,81.25,81.81,4218223
10-Oct-16,82.13,83.24,82.10,83.06,4608430
7-Oct-16,81.57,82.31,81.30,82.09,4241408
6-Oct-16,81.25,81.78,80.73,81.47,2994223
5-Oct-16,81.35,82.09,81.23,81.75,3560429
4-Oct-16,81.06,81.41,80.68,81.11,3184071
3-Oct-16,80.00,81.07,79.69,81.00,3983503
30-Sep-16,80.10,80.65,80.03,80.26,3622982
29-Sep-16,80.35,80.47,79.23,79.74,3269150
28-Sep-16,80.84,81.17,80.02,80.71,2467803
27-Sep-16,80.62,80.92,79.61,80.88,6888929
26-Sep-16,81.00,81.15,79.50,79.52,4332789
23-Sep-16,80.97,81.46,80.77,81.16,2197653
22-Sep-16,81.05,81.46,80.73,81.29,2639754
21-Sep-16,79.80,81.00,79.68,80.87,3147586
20-Sep-16,79.63,80.34,79.28,79.88,3629703
19-Sep-16,78.79,79.37,78.49,79.16,3321540
16-Sep-16,78.70,78.91,78.17,78.80,4255102
15-Sep-16,78.12,79.06,77.77,78.82,2653694
