Date,Open,High,Low,Close,Volume
22-Nov-16,47.69,47.99,46.75,47.10,7401268
21-Nov-16,47.08,47.68,46.98,47.36,6760706
18-Nov-16,46.91,47.25,46.68,47.06,6783000
17-Nov-16,45.69,46.74,45.35,46.69,5772170
16-Nov-16,46.04,46.34,45.45,45.85,6502590
15-Nov-16,46.55,47.30,45.68,46.25,9921402
14-Nov-16,43.90,45.45,43.88,45.35,11144737
11-Nov-16,43.50,43.85,42.99,43.84,7907311
10-Nov-16,42.64,43.85,42.58,43.64,10326084
9-Nov-16,40.80,42.46,40.75,42.37,8472576
8-Nov-16,41.57,42.00,41.22,41.93,8783963
7-Nov-16,41.00,41.57,40.70,41.57,7740837
4-Nov-16,39.69,40.93,39.56,40.38,7293975
3-Nov-16,39.82,40.38,39.51,39.70,5187598
2-Nov-16,39.57,40.10,39.43,39.61,6691512
1-Nov-16,39.98,40.42,39.33,39.68,8004600
31-Oct-16,39.49,40.47,39.15,40.05,8148848
28-Oct-16,39.29,39.84,38.95,39.18,10321178
27-Oct-16,38.50,39.58,37.65,39.24,22002658
26-Oct-16,37.70,39.80,36.91,38.40,43824879
25-Oct-16,42.15,42.72,41.71,41.95,11101775
24-Oct-16,42.52,42.93,42.20,42.33,5311393
21-Oct-16,41.91,42.46,41.75,42.43,5448358
20-Oct-16,42.15,42.47,41.76,42.29,7813331
19-Oct-16,41.74,42.40,41.57,42.25,6334976
18-Oct-16,41.56,41.98,41.19,41.68,8755648
17-Oct-16,41.40,42.20,41.16,41.24,5509896
14-Oct-16,41.60,42.41,41.11,41.32,7296827
13-Oct-16,39.68,41.62,39.12,41.38,11107184
12-Oct-16,40.15,40.38,39.73,40.01,6634830
11-Oct-16,40.03,40.33,39.51,39.79,9126557
10-Oct-16,38.50,39.95,38.46,39.77,7815066
7-Oct-16,39.14,39.20,38.18,38.47,6932903
6-Oct-16,39.05,39.32,38.69,39.17,4816741
5-Oct-16,39.02,39.42,38.83,39.10,4221673
4-Oct-16,40.32,40.49,39.09,39.16,10682210
3-Oct-16,38.85,39.74,38.70,39.74,8643552
30-Sep-16,38.27,39.18,38.03,38.89,9364392
29-Sep-16,38.02,38.54,37.95,38.15,5534992
28-Sep-16,38.53,38.95,37.95,38.07,7121076
27-Sep-16,36.78,38.57,36.78,38.54,10038165
26-Sep-16,36.97,37.16,36.61,36.87,5718693
23-Sep-16,37.25,37.39,36.76,37.24,4628200
22-Sep-16,37.09,37.67,36.92,37.33,6559598
21-Sep-16,36.80,37.06,36.31,36.91,4971083
20-Sep-16,36.79,37.20,36.63,36.82,3312028
19-Sep-16,36.71,37.18,36.59,36.70,5395188
16-Sep-16,36.90,36.90,36.51,36.59,6268408
15-Sep-16,36.81,37.12,36.45,36.99,4479158
14-Sep-16,37.14,37.41,36.65,36.84,5071733
13-Sep-16,37.73,38.09,37.01,37.14,6749032
12-Sep-16,36.94,37.93,36.64,37.82,5192880
9-Sep-16,38.68,38.69,37.18,37.34,9013285
8-Sep-16,38.54,39.06,38.43,38.76,7353439
7-Sep-16,37.32,38.84,37.28,38.68,11627730
6-Sep-16,36.89,37.07,36.56,36.95,6383255
2-Sep-16,36.57,37.01,36.52,36.89,4456041
1-Sep-16,36.88,37.25,36.41,36.59,4781378
31-Aug-16,37.20,37.62,36.40,36.88,8148224
30-Aug-16,36.60,37.34,36.37,37.18,6007293
29-Aug-16,36.41,36.54,36.32,36.45,4108749
26-Aug-16,36.73,36.76,36.05,36.27,5245502
25-Aug-16,36.55,36.85,36.43,36.69,3334942
24-Aug-16,36.60,36.84,36.42,36.66,4473329
23-Aug-16,36.46,36.80,36.45,36.69,4566389
22-Aug-16,36.34,36.54,36.13,36.28,4829693
19-Aug-16,36.71,36.80,36.30,36.35,7517151
18-Aug-16,36.85,36.90,36.52,36.84,4370523
17-Aug-16,36.55,36.95,36.48,36.85,5891937
16-Aug-16,36.70,36.79,36.41,36.52,5773033
15-Aug-16,36.50,36.95,36.33,36.88,5617788
12-Aug-16,37.07,37.21,36.42,36.52,7717784
11-Aug-16,36.96,37.53,36.80,37.24,5974554
10-Aug-16,37.18,37.35,36.60,36.99,6507060
9-Aug-16,37.75,37.95,37.30,37.46,4827301
8-Aug-16,37.77,38.03,37.27,37.45,5918352
5-Aug-16,36.80,37.87,36.77,37.85,9160389
