Date,Open,High,Low,Close,Volume
22-Nov-16,40.75,41.21,40.48,41.12,1869361
21-Nov-16,40.78,41.13,40.46,41.00,1215341
18-Nov-16,40.40,40.83,40.24,40.61,1663692
17-Nov-16,40.07,40.49,39.76,40.43,1402562
16-Nov-16,39.22,40.12,38.92,40.10,1600266
15-Nov-16,38.60,39.48,38.31,39.48,1602406
14-Nov-16,38.72,39.16,38.27,38.55,2047394
11-Nov-16,38.69,38.89,38.32,38.62,1138848
10-Nov-16,37.92,39.07,37.88,38.81,2768566
9-Nov-16,37.64,38.46,36.77,38.04,3822536
8-Nov-16,39.74,39.99,39.08,39.84,1565300
7-Nov-16,39.62,39.94,39.25,39.64,1169895
4-Nov-16,39.05,39.44,38.52,38.87,1636871
3-Nov-16,40.65,41.03,39.07,39.22,2420489
2-Nov-16,40.02,40.41,39.60,39.97,1953553
1-Nov-16,41.26,41.36,39.77,40.18,2515658
31-Oct-16,40.69,41.22,40.63,41.05,941666
28-Oct-16,40.56,41.01,40.32,40.64,1080182
27-Oct-16,41.30,41.31,40.37,40.71,1136172
26-Oct-16,40.43,41.30,40.29,41.19,1301007
25-Oct-16,40.82,41.13,40.07,40.53,1077970
24-Oct-16,40.37,40.99,40.33,40.93,962063
21-Oct-16,40.11,40.29,39.79,40.26,1379427
20-Oct-16,40.54,40.82,40.34,40.56,1427897
19-Oct-16,40.08,40.79,40.08,40.62,1062031
18-Oct-16,41.99,41.99,40.03,40.12,3079701
17-Oct-16,42.04,42.23,41.52,41.57,879898
14-Oct-16,42.36,42.84,41.98,42.04,1129270
13-Oct-16,42.20,42.39,41.48,42.13,1212111
12-Oct-16,42.86,42.86,42.47,42.72,964672
11-Oct-16,42.40,42.95,42.38,42.86,2151107
10-Oct-16,42.21,42.86,42.05,42.50,923038
7-Oct-16,42.68,42.87,41.91,42.23,1131420
6-Oct-16,43.45,43.66,42.91,42.92,1557991
5-Oct-16,43.00,43.96,42.91,43.75,928032
4-Oct-16,42.94,43.47,42.63,42.76,1035937
3-Oct-16,42.99,43.13,42.63,42.89,1220291
30-Sep-16,42.25,43.24,42.08,42.95,1437635
29-Sep-16,41.72,42.24,41.62,41.83,1550439
28-Sep-16,41.37,41.85,41.27,41.83,1234655
27-Sep-16,41.02,41.26,40.77,41.22,1160894
26-Sep-16,41.39,41.62,41.13,41.27,1086543
23-Sep-16,41.82,41.94,41.39,41.58,1292391
22-Sep-16,41.28,42.46,41.27,42.03,2084295
21-Sep-16,40.45,40.92,40.28,40.85,1529172
20-Sep-16,39.84,40.32,39.73,40.26,1531041
19-Sep-16,40.00,40.43,39.75,39.76,979978
16-Sep-16,39.51,39.78,39.25,39.64,1269796
15-Sep-16,39.27,40.00,39.17,39.87,1481205
14-Sep-16,39.23,39.54,38.73,39.23,1750140
13-Sep-16,39.86,40.17,39.32,39.38,1955952
12-Sep-16,39.39,40.55,39.23,40.35,1572961
9-Sep-16,40.55,40.78,39.86,39.86,1783990
8-Sep-16,41.38,41.45,40.88,41.05,1444112
7-Sep-16,41.33,41.69,40.93,41.56,1361606
6-Sep-16,41.44,41.53,41.00,41.31,1287005
2-Sep-16,40.54,41.12,40.47,41.10,1127313
1-Sep-16,40.24,41.02,40.08,40.22,1470392
31-Aug-16,40.12,40.61,40.05,40.30,1435782
30-Aug-16,40.35,40.56,40.14,40.26,953840
29-Aug-16,40.21,40.60,40.12,40.40,638932
26-Aug-16,40.25,40.71,40.09,40.27,804954
25-Aug-16,40.14,40.38,39.72,40.17,838263
24-Aug-16,40.45,40.81,40.17,40.27,837013
23-Aug-16,40.48,40.81,40.39,40.64,971824
22-Aug-16,40.31,40.59,40.15,40.19,1289827
19-Aug-16,40.10,40.58,40.07,40.50,935503
18-Aug-16,40.74,40.87,40.29,40.39,1127351
17-Aug-16,40.51,40.80,40.28,40.68,992926
16-Aug-16,41.07,41.11,40.64,40.65,1085518
15-Aug-16,40.73,41.11,40.67,41.01,747494
12-Aug-16,41.01,41.06,40.41,40.55,955797
11-Aug-16,40.80,41.22,40.68,41.06,1104593
10-Aug-16,40.77,40.92,40.41,40.56,1107964
9-Aug-16,40.41,40.63,40.25,40.50,1387950
8-Aug-16,40.42,40.51,40.07,40.21,2071970
5-Aug-16,39.37,40.18,39.00,39.92,2335410
4-Aug-16,38.02,38.62,37.95,38.30,1228354
3-Aug-16,37.38,38.07,37.06,37.98,1087723
2-Aug-16,38.60,38.60,36.89,37.35,1542468
1-Aug-16,38.51,38.81,38.08,38.56,884482
29-Jul-16,37.94,38.78,37.94,38.57,1067735
28-Jul-16,38.81,39.09,37.41,37.85,2798760
27-Jul-16,39.31,39.61,39.03,39.42,1456209
26-Jul-16,38.79,39.32,38.50,39.28,1029514
25-Jul-16,38.81,39.20,38.63,38.88,859495
22-Jul-16,38.91,38.97,38.29,38.89,1085332
21-Jul-16,38.56,39.27,38.54,38.81,1354865
20-Jul-16,38.07,38.48,37.77,38.30,1075668
19-Jul-16,37.81,38.17,37.67,38.03,1162969
18-Jul-16,37.27,38.25,37.22,38.10,1159302
15-Jul-16,37.77,38.71,37.41,37.48,1536040
14-Jul-16,37.56,38.05,37.17,37.69,1641950
13-Jul-16,36.65,37.14,36.27,37.01,1829141
12-Jul-16,36.20,36.90,36.15,36.52,2031000
11-Jul-16,35.27,35.99,35.27,35.62,2283702
8-Jul-16,34.37,35.10,34.36,35.01,1948082
7-Jul-16,33.99,34.44,33.58,33.92,1408093
6-Jul-16,33.88,33.88,32.76,33.83,2506033
5-Jul-16,35.08,35.38,33.71,33.93,2010831
1-Jul-16,35.33,35.84,34.83,35.03,1251700
30-Jun-16,35.02,35.33,34.56,35.07,2377883
29-Jun-16,34.17,34.99,34.15,34.92,2658969
28-Jun-16,34.39,34.51,33.26,33.78,4486608
27-Jun-16,35.96,36.05,33.62,33.67,4788471
24-Jun-16,37.81,38.07,36.13,36.18,4279962
23-Jun-16,39.68,40.35,39.57,40.12,1125108
22-Jun-16,39.04,39.50,38.92,38.96,1063768
21-Jun-16,39.54,39.56,38.91,39.04,1266058
20-Jun-16,40.06,40.45,39.60,39.62,1515908
17-Jun-16,38.80,39.63,38.80,39.33,1058240
16-Jun-16,38.57,38.87,37.88,38.79,1843130
15-Jun-16,38.90,39.49,38.84,38.97,1308471
14-Jun-16,39.10,39.44,38.71,38.92,2010243
13-Jun-16,40.10,40.16,39.33,39.34,1523485
10-Jun-16,40.82,41.00,40.27,40.37,1086781
9-Jun-16,41.18,41.29,40.86,41.18,897835
8-Jun-16,41.87,42.15,41.58,41.59,1150848
7-Jun-16,40.96,41.61,40.82,41.52,1397048
6-Jun-16,40.61,41.00,40.44,40.79,1261244
3-Jun-16,40.61,40.61,40.04,40.41,1270007
2-Jun-16,40.29,40.59,40.19,40.46,1698933
1-Jun-16,40.43,40.61,39.47,40.45,1670110
31-May-16,40.67,40.80,40.34,40.53,1758060
27-May-16,40.07,40.80,40.04,40.72,1029746
26-May-16,40.62,40.65,39.79,40.22,1161442
25-May-16,39.77,40.54,39.69,40.30,1575621
24-May-16,39.21,40.04,39.20,39.76,1994930
23-May-16,39.45,39.68,39.01,39.04,702397
20-May-16,39.16,39.77,39.04,39.59,1052167
19-May-16,39.48,39.77,38.82,39.01,1658253
18-May-16,39.83,40.42,39.60,39.87,1179388
17-May-16,40.03,40.71,39.89,40.13,1147323
16-May-16,40.07,40.53,39.98,40.27,1218956
13-May-16,40.32,40.86,39.92,40.00,1021251
12-May-16,41.16,41.22,40.16,40.57,1254882
11-May-16,41.23,41.56,40.74,40.77,966545
10-May-16,41.16,41.55,40.95,41.42,1111822
9-May-16,40.70,41.25,40.46,41.05,1699408
6-May-16,40.22,41.21,40.03,40.96,1393082
5-May-16,40.71,41.42,40.19,40.38,2445198
4-May-16,40.79,40.79,39.67,39.70,2359183
3-May-16,41.54,41.64,40.68,41.25,1384786
2-May-16,42.35,42.39,41.50,42.09,964792
29-Apr-16,42.70,42.70,41.87,42.02,1097374
28-Apr-16,42.84,43.06,42.01,42.65,2159781
27-Apr-16,43.63,43.66,42.78,43.04,2137418
26-Apr-16,43.38,43.60,43.14,43.54,1319478
25-Apr-16,42.73,43.41,42.70,43.22,1081781
22-Apr-16,43.04,43.53,42.82,42.97,1386929
21-Apr-16,43.47,43.50,42.97,43.14,2099515
20-Apr-16,42.37,43.62,42.32,43.43,2356266
19-Apr-16,42.25,42.83,42.12,42.37,1452783
18-Apr-16,41.29,42.18,41.20,42.04,1416121
15-Apr-16,41.64,41.71,41.16,41.42,1063370
14-Apr-16,41.67,42.11,41.33,41.68,1086507
13-Apr-16,40.86,41.70,40.68,41.58,1395991
12-Apr-16,40.14,40.74,39.82,40.51,1193614
11-Apr-16,40.05,40.49,39.83,39.93,991102
8-Apr-16,40.05,40.54,39.62,39.76,1125410
7-Apr-16,40.80,40.83,39.15,39.52,1760171
6-Apr-16,41.08,41.08,40.34,40.99,1127862
5-Apr-16,40.33,41.31,39.96,41.13,1648402
4-Apr-16,41.78,41.79,40.60,40.95,1668615
1-Apr-16,42.52,42.80,41.84,41.89,1379771
31-Mar-16,43.22,43.50,42.90,42.96,1144109
30-Mar-16,42.95,43.39,42.70,43.15,1349408
29-Mar-16,41.49,42.66,41.31,42.52,1824784
28-Mar-16,41.64,42.06,41.54,41.74,1233089
24-Mar-16,41.45,41.46,40.84,41.40,2209831
23-Mar-16,42.45,42.52,41.87,41.97,2070967
22-Mar-16,42.29,42.85,41.98,42.44,1787508
