Date,Open,High,Low,Close,Volume
22-Nov-16,19.22,19.26,19.04,19.26,58386
21-Nov-16,18.93,19.05,18.82,19.03,65117
18-Nov-16,18.83,18.91,18.78,18.82,40502
17-Nov-16,18.83,18.99,18.67,18.86,52818
16-Nov-16,18.45,18.72,18.45,18.72,67806
15-Nov-16,18.40,18.60,18.40,18.56,81045
14-Nov-16,18.74,18.74,18.33,18.35,60692
11-Nov-16,19.24,19.24,18.91,18.92,149704
10-Nov-16,19.96,19.96,19.46,19.59,164920
9-Nov-16,19.58,20.04,19.40,20.03,164559
8-Nov-16,19.61,19.80,19.59,19.76,50258
7-Nov-16,19.36,19.64,19.33,19.63,56319
4-Nov-16,19.36,19.36,19.22,19.28,46973
3-Nov-16,19.55,19.55,19.30,19.33,42907
2-Nov-16,20.24,20.24,19.62,19.65,65395
1-Nov-16,20.53,20.56,20.28,20.34,35027
31-Oct-16,20.37,20.62,20.36,20.59,43300
28-Oct-16,20.50,20.56,20.32,20.38,25714
27-Oct-16,20.87,20.87,20.59,20.62,9850
26-Oct-16,20.71,20.84,20.71,20.79,12510
25-Oct-16,20.90,20.93,20.82,20.92,17631
24-Oct-16,20.94,20.97,20.83,20.93,26031
21-Oct-16,20.72,20.88,20.66,20.88,34983
20-Oct-16,20.71,20.87,20.71,20.84,19357
19-Oct-16,20.54,20.88,20.54,20.88,33130
18-Oct-16,20.45,20.50,20.41,20.48,52681
17-Oct-16,20.66,20.70,20.32,20.33,52825
14-Oct-16,20.85,20.91,20.59,20.70,38205
13-Oct-16,20.64,20.78,20.55,20.78,41489
12-Oct-16,20.72,20.83,20.63,20.70,41003
11-Oct-16,20.99,20.99,20.59,20.72,23773
10-Oct-16,21.02,21.05,20.95,20.99,59501
7-Oct-16,21.18,21.18,20.78,20.95,34915
6-Oct-16,21.10,21.25,20.94,21.24,28905
5-Oct-16,21.31,21.40,21.10,21.22,42413
4-Oct-16,21.69,21.69,21.23,21.37,42701
3-Oct-16,21.71,21.89,21.54,21.89,88545
30-Sep-16,21.63,21.93,21.59,21.80,52681
29-Sep-16,21.67,21.70,21.44,21.64,55579
28-Sep-16,21.59,21.67,21.33,21.63,65258
27-Sep-16,21.53,21.67,21.45,21.57,36040
26-Sep-16,21.79,21.79,21.58,21.58,30782
23-Sep-16,21.88,21.98,21.80,21.80,18924
22-Sep-16,22.00,22.20,22.00,22.02,47531
21-Sep-16,21.85,21.85,21.67,21.81,49659
20-Sep-16,21.81,21.93,21.08,21.68,50475
19-Sep-16,21.53,21.86,21.49,21.70,28138
16-Sep-16,21.86,21.88,21.69,21.82,33393
15-Sep-16,21.87,22.14,21.81,22.02,17630
