Date,Open,High,Low,Close,Volume
22-Nov-16,6.30,6.30,6.09,6.12,419858
21-Nov-16,6.19,6.42,6.05,6.17,490240
18-Nov-16,5.81,5.82,5.60,5.79,1029469
17-Nov-16,6.41,6.43,6.17,6.27,573120
16-Nov-16,6.36,6.57,6.36,6.51,664354
15-Nov-16,6.66,6.74,6.54,6.61,868476
14-Nov-16,6.20,6.50,6.15,6.50,1527551
11-Nov-16,5.69,5.72,5.23,5.45,630423
10-Nov-16,5.82,5.83,5.34,5.63,1369451
9-Nov-16,4.99,5.34,4.99,5.33,1328415
8-Nov-16,4.93,5.00,4.87,4.92,322604
7-Nov-16,4.60,4.98,4.60,4.94,568933
4-Nov-16,4.31,4.51,4.19,4.39,614324
3-Nov-16,4.54,4.63,4.29,4.35,771805
2-Nov-16,4.89,4.91,4.62,4.69,591683
1-Nov-16,4.91,4.97,4.91,4.95,350306
31-Oct-16,4.83,4.94,4.70,4.94,537914
28-Oct-16,4.86,4.99,4.77,4.86,555126
27-Oct-16,5.03,5.17,4.79,4.89,1171447
26-Oct-16,4.69,4.83,4.68,4.80,794246
25-Oct-16,4.70,5.00,4.60,4.87,2104762
24-Oct-16,4.40,5.25,4.25,5.19,3457651
21-Oct-16,3.62,3.96,3.60,3.82,1134449
20-Oct-16,3.28,3.60,3.18,3.58,949232
19-Oct-16,3.08,3.29,3.05,3.27,737626
18-Oct-16,2.96,3.02,2.93,2.99,203398
17-Oct-16,2.90,2.95,2.90,2.94,111489
14-Oct-16,2.78,2.88,2.77,2.84,119614
13-Oct-16,2.75,2.87,2.64,2.81,203168
12-Oct-16,2.94,2.97,2.85,2.90,132874
11-Oct-16,2.90,2.97,2.89,2.97,228853
10-Oct-16,2.87,2.95,2.84,2.95,181984
7-Oct-16,2.85,2.92,2.83,2.88,149842
6-Oct-16,2.95,2.99,2.87,2.92,253726
5-Oct-16,2.97,3.01,2.95,3.01,253283
4-Oct-16,3.01,3.06,3.00,3.04,283448
3-Oct-16,2.87,3.02,2.87,3.01,306912
30-Sep-16,2.86,2.88,2.83,2.86,207006
29-Sep-16,2.89,2.90,2.83,2.87,172171
28-Sep-16,2.86,2.90,2.86,2.90,86706
27-Sep-16,2.89,2.92,2.80,2.90,459963
26-Sep-16,2.84,2.95,2.83,2.89,145472
23-Sep-16,2.85,2.90,2.80,2.86,688237
22-Sep-16,2.75,2.88,2.70,2.87,620559
21-Sep-16,2.68,2.77,2.61,2.75,507018
20-Sep-16,2.60,2.69,2.60,2.66,512503
19-Sep-16,2.63,2.74,2.56,2.69,504449
16-Sep-16,2.41,2.70,2.41,2.69,828471
15-Sep-16,2.47,2.50,2.43,2.49,216761
14-Sep-16,2.41,2.47,2.38,2.46,451297
13-Sep-16,2.41,2.50,2.33,2.37,330751
12-Sep-16,2.56,2.62,2.53,2.61,283737
9-Sep-16,2.81,2.81,2.58,2.66,568067
8-Sep-16,2.66,2.83,2.64,2.80,1116751
7-Sep-16,2.39,2.50,2.36,2.46,583444
6-Sep-16,2.21,2.49,2.20,2.49,407389
2-Sep-16,2.11,2.17,2.07,2.14,237192
1-Sep-16,2.10,2.15,2.08,2.10,552190
31-Aug-16,2.02,2.10,1.99,2.10,620183
30-Aug-16,1.91,1.95,1.90,1.91,88327
29-Aug-16,1.90,1.93,1.86,1.89,237278
26-Aug-16,1.85,1.88,1.80,1.80,87267
25-Aug-16,1.85,1.85,1.82,1.85,83395
