Date,Open,High,Low,Close,Volume
22-Nov-16,3.80,4.00,3.75,4.00,66241
21-Nov-16,3.90,3.90,3.80,3.85,112558
18-Nov-16,3.65,3.80,3.50,3.80,147409
17-Nov-16,3.35,3.65,3.35,3.65,148360
16-Nov-16,3.35,3.40,3.35,3.40,57303
15-Nov-16,3.40,3.45,3.35,3.35,60020
14-Nov-16,3.35,3.45,3.30,3.40,15547
11-Nov-16,3.40,3.40,3.30,3.30,36115
10-Nov-16,3.35,3.40,3.30,3.35,8266
9-Nov-16,3.40,3.45,3.30,3.35,15909
8-Nov-16,3.35,3.45,3.35,3.35,51417
7-Nov-16,3.40,3.50,3.35,3.35,73930
4-Nov-16,3.55,3.58,3.45,3.45,54668
3-Nov-16,3.60,3.60,3.50,3.55,40047
2-Nov-16,3.65,3.70,3.60,3.60,49728
1-Nov-16,3.64,3.70,3.64,3.70,75478
31-Oct-16,3.65,3.69,3.55,3.60,84808
28-Oct-16,3.65,3.70,3.60,3.65,49252
27-Oct-16,3.60,3.60,3.45,3.60,31686
26-Oct-16,3.60,3.60,3.55,3.60,19153
25-Oct-16,3.70,3.70,3.60,3.60,37449
24-Oct-16,3.65,3.70,3.60,3.70,28228
21-Oct-16,3.64,3.70,3.60,3.65,30657
20-Oct-16,3.55,3.65,3.55,3.60,72545
19-Oct-16,3.70,3.75,3.65,3.65,52835
18-Oct-16,3.65,3.75,3.50,3.75,56690
17-Oct-16,3.75,3.75,3.59,3.60,42804
14-Oct-16,3.56,3.71,3.55,3.71,30725
13-Oct-16,3.58,3.62,3.51,3.61,31696
12-Oct-16,3.51,3.54,3.31,3.50,185018
11-Oct-16,3.49,3.50,3.48,3.50,58419
10-Oct-16,3.43,3.50,3.38,3.49,56579
7-Oct-16,3.30,3.45,3.30,3.39,38467
6-Oct-16,3.38,3.47,3.25,3.26,84644
5-Oct-16,3.43,3.45,3.35,3.41,142765
4-Oct-16,3.45,3.50,3.45,3.50,76272
3-Oct-16,3.58,3.58,3.40,3.41,59717
30-Sep-16,3.55,3.60,3.42,3.54,109758
29-Sep-16,3.51,3.60,3.51,3.58,166565
28-Sep-16,3.43,3.54,3.41,3.54,41427
27-Sep-16,3.35,3.47,3.35,3.46,34873
26-Sep-16,3.45,3.49,3.26,3.37,33314
23-Sep-16,3.45,3.48,3.44,3.48,48416
22-Sep-16,3.50,3.50,3.43,3.48,63180
21-Sep-16,3.49,3.50,3.45,3.47,66326
20-Sep-16,3.31,3.49,3.31,3.43,54086
19-Sep-16,3.37,3.42,3.33,3.34,23566
16-Sep-16,3.33,3.41,3.33,3.41,24738
15-Sep-16,3.37,3.43,3.32,3.36,16806
14-Sep-16,3.42,3.42,3.32,3.32,29604
13-Sep-16,3.49,3.49,3.28,3.35,23287
12-Sep-16,3.48,3.50,3.25,3.50,20607
9-Sep-16,3.44,3.50,3.37,3.48,40647
8-Sep-16,3.38,3.51,3.37,3.49,53820
7-Sep-16,3.27,3.35,3.26,3.35,66384
6-Sep-16,3.28,3.29,3.26,3.27,29639
2-Sep-16,3.23,3.28,3.22,3.25,18140
1-Sep-16,3.27,3.29,3.19,3.23,33981
31-Aug-16,3.41,3.41,3.29,3.30,70072
30-Aug-16,3.33,3.45,3.33,3.36,29386
29-Aug-16,3.40,3.47,3.33,3.33,27195
26-Aug-16,3.44,3.50,3.41,3.43,35241
25-Aug-16,3.50,3.50,3.40,3.44,17129
24-Aug-16,3.45,3.51,3.45,3.48,10701
23-Aug-16,3.49,3.55,3.40,3.46,53127
22-Aug-16,3.45,3.60,3.45,3.47,42176
19-Aug-16,3.51,3.53,3.38,3.42,30946
18-Aug-16,3.51,3.61,3.43,3.48,146606
17-Aug-16,3.49,3.50,3.44,3.50,29221
16-Aug-16,3.46,3.51,3.41,3.51,29846
15-Aug-16,3.42,3.54,3.41,3.44,41155
12-Aug-16,3.50,3.56,3.36,3.44,63086
11-Aug-16,3.41,3.52,3.41,3.51,19208
10-Aug-16,3.53,3.59,3.36,3.36,18504
9-Aug-16,3.59,3.66,3.43,3.50,34765
8-Aug-16,3.50,3.70,3.44,3.64,93712
5-Aug-16,3.49,3.49,3.32,3.49,12154
4-Aug-16,3.37,3.50,3.36,3.49,49727
3-Aug-16,3.30,3.39,3.30,3.39,31940
2-Aug-16,3.39,3.42,3.28,3.30,40911
1-Aug-16,3.65,3.65,3.33,3.34,34797
29-Jul-16,3.58,3.65,3.48,3.60,19384
28-Jul-16,3.55,3.62,3.55,3.62,9179
27-Jul-16,3.60,3.64,3.55,3.58,22424
26-Jul-16,3.60,3.65,3.56,3.63,40972
25-Jul-16,3.60,3.73,3.59,3.60,21809
22-Jul-16,3.60,3.65,3.60,3.63,16722
21-Jul-16,3.68,3.69,3.57,3.60,42276
20-Jul-16,3.61,3.74,3.56,3.71,102296
19-Jul-16,3.59,3.64,3.59,3.61,45888
18-Jul-16,3.60,3.65,3.56,3.60,62853
15-Jul-16,3.68,3.68,3.56,3.60,43043
14-Jul-16,3.52,3.76,3.52,3.65,107414
13-Jul-16,3.63,3.63,3.51,3.51,28120
12-Jul-16,3.60,3.67,3.59,3.60,74193
11-Jul-16,3.60,3.63,3.56,3.59,23634
8-Jul-16,3.55,3.62,3.54,3.59,29781
7-Jul-16,3.64,3.67,3.45,3.51,106692
6-Jul-16,3.50,3.65,3.50,3.63,36219
5-Jul-16,3.61,3.67,3.53,3.56,21092
1-Jul-16,3.72,3.83,3.66,3.69,34943
30-Jun-16,3.71,3.78,3.64,3.71,32818
29-Jun-16,3.72,3.80,3.62,3.80,51931
28-Jun-16,3.50,3.72,3.50,3.64,55927
