Date,Open,High,Low,Close,Volume
22-Nov-16,18.80,19.15,18.45,18.80,642757
21-Nov-16,18.60,18.90,18.50,18.80,456721
18-Nov-16,18.30,18.55,18.05,18.40,564580
17-Nov-16,17.85,18.48,17.80,18.15,427996
16-Nov-16,18.25,18.55,17.52,17.60,485276
15-Nov-16,17.90,18.30,17.80,18.25,367119
14-Nov-16,17.55,17.95,17.15,17.75,450806
11-Nov-16,17.50,17.72,16.80,17.40,385007
10-Nov-16,17.80,18.34,17.15,17.65,430527
9-Nov-16,17.15,17.96,17.10,17.75,284028
8-Nov-16,17.00,17.45,17.00,17.15,268409
7-Nov-16,16.65,17.50,16.65,17.30,360377
4-Nov-16,15.75,16.95,14.65,16.65,477878
3-Nov-16,17.45,17.75,16.70,17.05,392170
2-Nov-16,17.25,17.95,16.80,17.65,628048
1-Nov-16,17.85,18.10,17.20,17.70,328794
31-Oct-16,18.55,18.80,17.80,17.80,245936
28-Oct-16,18.45,18.89,18.40,18.59,209062
27-Oct-16,19.11,19.11,18.42,18.61,316452
26-Oct-16,18.96,19.39,18.90,19.05,271424
25-Oct-16,19.42,19.71,19.22,19.24,218661
24-Oct-16,19.20,19.74,19.13,19.53,335773
21-Oct-16,19.11,19.42,19.11,19.33,249675
20-Oct-16,19.21,19.43,18.67,19.35,264462
19-Oct-16,19.17,19.70,19.02,19.35,672816
18-Oct-16,19.18,19.33,18.99,19.05,224463
17-Oct-16,19.07,19.16,18.75,19.00,455871
14-Oct-16,19.35,19.70,19.05,19.10,221449
13-Oct-16,19.01,19.75,18.91,19.41,256479
12-Oct-16,18.75,19.26,18.59,19.19,379360
11-Oct-16,18.94,19.00,18.65,18.92,249923
10-Oct-16,19.20,19.62,18.99,19.00,482627
7-Oct-16,18.99,19.20,18.53,19.05,348089
6-Oct-16,19.39,19.60,18.81,18.92,558257
5-Oct-16,19.66,20.50,19.40,19.61,529689
4-Oct-16,19.45,19.91,19.32,19.46,445436
3-Oct-16,18.95,19.49,18.83,19.33,467432
30-Sep-16,18.87,18.95,18.67,18.84,262543
29-Sep-16,18.91,19.14,18.42,18.75,231657
28-Sep-16,18.50,18.91,18.01,18.86,300417
27-Sep-16,18.56,18.74,18.26,18.38,243490
26-Sep-16,18.99,19.41,18.73,18.73,505344
23-Sep-16,18.67,18.98,18.65,18.86,539146
22-Sep-16,18.25,18.86,18.02,18.67,700429
21-Sep-16,17.87,18.03,17.67,18.00,352851
20-Sep-16,17.70,17.98,17.45,17.64,241417
19-Sep-16,17.55,17.98,17.47,17.70,273462
16-Sep-16,17.00,17.82,16.77,17.43,550673
15-Sep-16,17.39,17.50,17.00,17.27,380877
14-Sep-16,17.40,17.65,17.05,17.31,261607
13-Sep-16,17.67,17.95,16.87,17.20,492803
12-Sep-16,17.85,18.18,17.63,17.98,255895
9-Sep-16,18.20,18.38,17.95,17.96,426131
8-Sep-16,18.35,18.49,18.03,18.27,435064
7-Sep-16,18.16,18.59,18.10,18.28,303920
6-Sep-16,18.25,18.51,18.02,18.14,295482
2-Sep-16,18.10,18.67,18.07,18.38,666086
1-Sep-16,17.85,18.21,17.60,18.01,288517
31-Aug-16,17.88,18.18,17.50,18.14,619168
30-Aug-16,18.03,18.08,17.88,17.98,459879
29-Aug-16,17.71,18.00,17.42,17.91,344367
26-Aug-16,17.82,18.07,17.32,17.82,285738
25-Aug-16,17.31,17.84,17.10,17.73,325256
24-Aug-16,18.16,18.38,17.54,17.74,349301
23-Aug-16,18.45,18.65,18.24,18.34,359883
22-Aug-16,18.15,18.51,18.11,18.45,411369
19-Aug-16,18.18,18.61,18.09,18.48,438937
18-Aug-16,18.25,18.38,18.12,18.15,666312
17-Aug-16,18.68,18.71,18.11,18.18,525029
16-Aug-16,18.74,19.15,18.62,18.82,340252
15-Aug-16,18.55,19.10,18.49,18.78,410523
12-Aug-16,18.52,18.62,18.20,18.53,556377
11-Aug-16,18.65,18.81,18.40,18.49,334695
10-Aug-16,18.21,18.65,18.08,18.47,356563
9-Aug-16,18.19,18.38,18.04,18.17,184140
8-Aug-16,18.34,18.60,18.02,18.02,327101
5-Aug-16,19.01,19.04,17.99,18.14,416426
4-Aug-16,18.14,18.84,16.75,18.76,967752
3-Aug-16,17.71,18.25,17.23,18.07,561004
2-Aug-16,17.41,17.87,16.97,17.59,865645
1-Aug-16,18.77,18.78,17.45,17.81,910563
29-Jul-16,18.70,18.92,18.13,18.81,558209
28-Jul-16,18.56,19.14,18.56,18.75,349380
27-Jul-16,19.06,19.45,18.50,18.64,610897
26-Jul-16,18.45,19.04,18.31,18.89,482556
25-Jul-16,18.80,18.88,17.96,18.54,1004258
22-Jul-16,19.41,19.49,18.70,18.88,542371
21-Jul-16,19.46,19.85,19.20,19.38,373660
20-Jul-16,19.10,19.93,18.65,19.56,640363
19-Jul-16,19.31,19.74,19.07,19.44,356153
18-Jul-16,19.01,19.48,18.81,19.18,310500
